B L U F' U B
B L R2 F' U' B U'
B L U L F' U B
B L U L' F' U B
B L U L2 F' U B
B L U D F' U B
B L U D' F' U B
B L U D2 F' U B
B L U F' L U B
B L U F' L' U B
B L U F' L2 U B
B L U F' U D B
B L U F' U D' B
B L U F' U D2 B
B L U F' U B D
B L U F' U B D'
B L U F' U B D2
B L U F' D U B
B L U F' D' U B
B L U F' D2 U B
B L U2 B U' F' U
B L D U F' U B
B L D' U F' U B
B L D2 U F' U B
B L F U F2 U B
B L F U2 D' L2 B
B L F U2 D' B L2
B L F U2 B D' L2
B L F D R2 F' U2
B L F D' U2 L2 B
B L F D' U2 B L2
B L F2 U F U B
B' R' D B' D L F2
B' R' D B' D F2 L
B' R' D2 F2 D' B' L
B' R' B' L2 D' F L'
B' R' B' D' L2 F L'
B R2 L F' U' B U'
B R2 F' L U' B U'
D' R2 B U L U2 F'
B' R2 B' R D L2 F
F' R2 B' U F' R' B'
B' R2 B' D L2 R F
B' R2 B' D R L2 F
F' U R2 B2 D' F' R
B U F' U B2 R' B'
B U F' U' L U2 B
B U F' B2 U R' B'
B U B2 F' U R' B'
B2 U' F' U' B' L U2
B2 U2 B' L U F' U
F' U2 B2 D L2 F R
B U2 B2 R' D B' L
F U2 B2 D' L2 F R
B D L U F' U B
B' D R' D F2 B' L
B' D R' D B' L F2
B' D R' D B' F2 L
U2 F B2 R D' L2 F
U2 F B2 D' L2 R F
U2 F B2 D' R L2 F
U2 F' U' L' B U2 B
U2 F' U' B L' U2 B
B D' L U F' U B
U F' U' B L U2 B
R2 F' B' R' D B' L2
R2 F' B' D R' B' L2
B' D' F' R2 U R B'
B' D' F' R2 U B' R
B D2 L U F' U B
B' D2 R' F2 D B' L
D' B L U' R2 B U'
L' B L U F' U B
D2 B L F2 U F U
L2 B L U F' U B
D B L U L F' U
D B L U F' L U
L B L U F' U B
B' D2 F' U F' R' B'
R2 B U L U2 F' B
R2 B U L U2 B F'
R2 B U' F' B2 R' B'
B F L U F2 U B
R2 B U' B D2 F' R
B F L U2 D' L2 B
B F L U2 D' B L2
B F L U2 B D' L2
R2 B U' B2 F' R' B'
B F L D R2 F' U2
B F L D' U2 L2 B
B F L D' U2 B L2
F B L U F2 U B
F B L U2 D' L2 B
F B L U2 D' B L2
F B L U2 B D' L2
F B L D R2 F' U2
F B L D' U2 L2 B
F B L D' U2 B L2
B' F R' B' D' L2 F
B F D L R2 F' U2
B F D R2 L F' U2
B F D R2 F' L U2
F B D L R2 F' U2
F B D R2 L F' U2
F B D R2 F' L U2
B F D' L U2 L B
R' B' R' F' B' D L2
R' B' R' B' D L2 F'
R' B' R' B' D F' L2
R' B' R' B' F' D L2
F B D' L U2 L B
R' B' D R' F' B' L
R' B' D R' B' L F'
R' B' D R' B' F' L
R2 B' D F' R' B' L2
B' F' U R' D2 F2 B'
B' F' U R' D2 B' F2
B' F' U D2 R' F2 B'
B' F' U D2 R' B' F2
B' F' U D2 F2 R' B'
F' B' U R' D2 F2 B'
F' B' U R' D2 B' F2
F' B' U D2 R' F2 B'
F' B' U D2 R' B' F2
F' B' U D2 F2 R' B'
F B' R' B' D' L2 F
B' F' U' B2 L U2 B
F' B' U' B2 L U2 B
R2 B' F' R' D B' L2
R2 B' F' D R' B' L2
B' F' D' R2 U R B'
B' F' D' R2 U B' R
F' B' D' R2 U R B'
F' B' D' R2 U B' R
B' F' D2 U R' F2 B'
B' F' D2 U R' B' F2
B' F' D2 U F2 R' B'
F' B' D2 U R' F2 B'
F' B' D2 U R' B' F2
F' B' D2 U F2 R' B'
U2 B2 L2 F R D' L2
U2 B2 L2 F D' L2 R
U2 B2 L2 F D' R L2
U2 B2 F R D' L2 F
U2 B2 F D' L2 R F
U2 B2 F D' R L2 F
