B' L' R' F2 U' B
B' L' F2 R' U' B
B' R' L' F2 U' B
R' B' L' F2 U' B2
B' L R F2 L2 U' B'
B' L R' F2 L2 U' B
B' L F2 L2 R' U' B
B' L F2 R' L2 U' B
B' L' R U' D R2 B
B' L' R D U' R2 B
B' L' R F2 U F U2
B' L' R' U' D B R2
B' L' R' U' B D R2
B' L' R' D U' B R2
B' L' R' F2 U' D B
B' L' R' F2 U' D' B
B' L' R' F2 U' D2 B
B' L' R' F2 U' B D
B' L' R' F2 U' B D'
B' L' R' F2 U' B D2
B' L' R' F2 D U' B
B' L' R' F2 D' U' B
B' L' R' F2 D2 U' B
B2 L' R' F2 U' B L
B L' R' F2 B2 U' B'
B L' R' B2 F2 U' B'
B' L' R2 F2 R U' B
B' L' U' R D R2 B
B' L' U' R' D B R2
B' L' U' R' B D R2
B2 L' D B R' U' R'
B' L' F R' F U' B
B' L' F' D' F' R U'
B' L' F2 R U F' U2
B' L' F2 R' U' D B
B' L' F2 R' U' D' B
B' L' F2 R' U' D2 B
B' L' F2 R' U' B D
B' L' F2 R' U' B D'
B' L' F2 R' U' B D2
B' L' F2 R' D U' B
B' L' F2 R' D' U' B
B' L' F2 R' D2 U' B
B2 L' F2 R' U' B L
B' L' F2 U' R' B R
B L' F2 R' B2 U' B'
B2 L' F2 D B R' U'
B2 L' F2 B R' U' B
B L' F2 B2 R' U' B
B2 L' B R' F2 U' B
B2 L' B F2 R' U' B
B L' B2 R' F2 U' B
B L' B2 F2 R' U' B
B' L2 R' F2 L U' B
B' L2 F2 L R' U' B
B' L2 F2 R' L U' B
B' L2 F2 D2 L U' B'
B' R L F2 L2 U' B'
B' R L' U' D R2 B
B' R L' D U' R2 B
B' R L' F2 U F U2
R' U B' L' F2 U' B2
B' R D L' U' R2 B
F2 R B' U F' U2 F
B' R' L F2 L2 U' B
B' R' L' U' D B R2
B' R' L' U' B D R2
B' R' L' D U' B R2
B' R' L' F2 U' D B
B' R' L' F2 U' D' B
B' R' L' F2 U' D2 B
B' R' L' F2 U' B D
B' R' L' F2 U' B D'
B' R' L' F2 U' B D2
B' R' L' F2 D U' B
B' R' L' F2 D' U' B
B' R' L' F2 D2 U' B
B2 R' L' F2 U' B L
B R' L' F2 B2 U' B'
B R' L' B2 F2 U' B'
B' R' L2 F2 L U' B
R' U' B' L' F2 U' B2
B' R' D L' U' B R2
R2 U' B' L' R' F2 U'
R2 U' B' L' F2 R' U'
R2 U' B' R' L' F2 U'
F2 R' D' B' U' F2 B2
F2 R' D' B' U' B2 F2
F2 R' D2 B' L2 U' B2
U' R' B' L' F2 U' B2
U2 R' B' L' F2 U' B2
F2 R' B' U' B2 D' F2
F2 R' B' U2 R2 U B2
F2 R' B' D' R2 U' F2
U R' B' L' F2 U' B2
B' R2 L' F2 R U' B
R' U2 B' L' F2 U' B2
R2 U2 B' L' F2 U' B'
R' D B' L' U' R2 B2
R' D B' L' U' B2 R2
R D B' L' U' R2 B
B2 D L' B R' U' R'
B2 D B L' R' U' R'
B2 D B R' L' U' R'
F2 D B' U2 L R U
F2 D B' U2 R L U
B' D' L' F2 U' R B
R' F2 B' U2 R U B2
R' B L D L2 R2 F2
R' B L D L2 F2 R2
R' B L D R2 L2 F2
R' B L D R2 F2 L2
R' B L D F2 L2 R2
R' B L D F2 R2 L2
R' B L' F2 B2 U' B2
R' B L' B2 F2 U' B2
F' D2 F' B' L U' B'
F' D2 B' L F' U' B'
R' B U L' F2 B2 U'
R' B U L' B2 F2 U'
F' D2 B' F' L U' B'
R' B U B2 L' F2 U'
R' B' L F2 L2 U' B2
U' B' L' R' F2 U' B
R' B' L' R F2 U' B2
R' B' L' R' F2 U' B2
R' B' L' R2 F2 U' B2
R' B' L' U' B2 D R2
U' B' L' F2 R' U' B
R' B' L' F2 R U' B2
R' B' L' F2 R' U' B2
R' B' L' F2 R2 U' B2
R' B' L' F2 U' B2 D
R' B' L' F2 U' B2 D'
R' B' L' F2 U' B2 D2
R' B' L' F2 D' R2 U'
D' B' L' F2 U' R B
U2 B' L' R' F2 U' B
R2 B' L' R F2 U' B
U2 B' L' F2 R' U' B
R' B' L2 F2 L U' B2
D B' L' U' R2 D' B2
D B' L' U2 L2 U R2
D B' L' D' F2 U' B2
R' B' R L' F2 U' B2
R2 B' L' F2 R U' B
U B' L' R' F2 U' B
R B' L F2 L2 U' B'
U' B' R' L' F2 U' B
R B' L' R2 F2 U' B
U B' L' F2 R' U' B
R B' L' U' D R2 B
R' B' R' L' F2 U' B2
R B' L' D U' R2 B
R2 B' R L' F2 U' B
R B' L' F2 U F U2
U2 B' R' L' F2 U' B
R' B' R2 L' F2 U' B2
U B' R' L' F2 U' B
R B' R2 L' F2 U' B
F2 B' R U F' U2 F
F2 B' R' U' D' F2 B
F2 B' R' U' D' B F2
F2 B' R' U' B D' F2
F2 B' R' D' U' F2 B
F2 B' R' D' U' B F2
F2 B' R' D2 L2 U' B
R B' D L' U' R2 B
F2 B' U2 R U' F' U2
R' B' F2 U2 R U B2
B' F2 R U F' U2 F
B' F2 R' U' D' F2 B
B' F2 R' U' D' B F2
B' F2 R' U' B D' F2
B' F2 R' D' U' F2 B
B' F2 R' D' U' B F2
B' F2 R' D2 L2 U' B
B' F2 U2 R U' F' U2
