D L B' U' R' B
F' L R B' U' L R'
F' L R B' U' R' L
D' L R' B U' B2 R'
D L R' B' U' R' B2
D L F B' U' R' B
D L F' B' U' R' B
D L F2 B' U' R' B
F' L B' R U' L R2
F' L B' R U' R2 L
D L B' R U' R2 B
D L B' U' R' D B
D L B' U' R' D' B
D L B' U' R' D2 B
D L B' U' R' B D
D L B' U' R' B D'
D L B' U' R' B D2
D L B' F U' R' B
D L B' F' U' R' B
D L B' F2 U' R' B
F' R L B' U' L R'
F' R L B' U' R' L
F' R D L B' U' R'
F' R B' U' L R' F
F' R B' U' L F R'
F' R B' U' R' L F
D' R' L B U' B2 R'
D R' L B' U' R' B2
R' D L B' U' R' B
R2 D L B' U' R' B
R D L B' U' R' B
B' U L D R' F' B
B' U L D R' B F'
B' U R' D' L F' B'
B' U R' D' L B' F'
B' U R' D' F' L B'
B' U D L R' F' B
B' U D L R' B F'
B' U D R' L F' B
B' U D R' L B F'
B' U D R' F' L B
B' U D' L R' F' B'
B' U D' L R' B' F'
B' U D' R' L F' B'
B' U D' R' L B' F'
B' U D' R' F' L B'
B' U' L D R' F B
B' U' L D R' B F
B' U' L D F R' B
B' U' R' D' L F B'
B' U' R' D' L B' F
B' U' D L R' F B
B' U' D L R' B F
B' U' D L F R' B
B' U' D R' L F B
B' U' D R' L B F
B' U' D' L R' F B'
B' U' D' L R' B' F
B' U' D' L F R' B'
B' U' D' R' L F B'
B' U' D' R' L B' F
D F L B' U' R' B
F' D L R B' U' R'
F' D L B' R U' R2
B D L R' B' U2 B2
F' D R L B' U' R'
B D R' L B' U2 B2
B' D U L R' F' B
B' D U L R' B F'
B' D U R' L F' B
B' D U R' L B F'
B' D U R' F' L B
B' D U' L R' F B
B' D U' L R' B F
B' D U' L F R' B
B' D U' R' L F B
B' D U' R' L B F
D F' L B' U' R' B
L F' R B' U' L R'
L F' R B' U' R' L
B D' L R' B U2 B2
B2 D' R' B U L B'
B D' R' L B U2 B2
B' D' U L R' F' B'
B' D' U L R' B' F'
B' D' U R' L F' B'
B' D' U R' L B' F'
B' D' U R' F' L B'
B' D' U' L R' F B'
B' D' U' L R' B' F
B' D' U' L F R' B'
B' D' U' R' L F B'
B' D' U' R' L B' F
L F' B' R U' L R2
L F' B' R U' R2 L
D F2 L B' U' R' B
B' F L' U L2 R' F'
B' F L' U R' L2 F'
B' F L' U R' F' L2
L2 B' L D R' F2 B
L2 B' L D R' B F2
L2 B' L D F2 R' B
B' F' R U' L R2 F
B' F' R U' L F R2
B' F' R U' R2 L F
F B' L' U L2 R' F'
F B' L' U R' L2 F'
F B' L' U R' F' L2
F' B' R U' L R2 F
F' B' R U' L F R2
F' B' R U' R2 L F
L' B' D L R' F2 B
L' B' D L R' B F2
L' B' D L F2 R' B
L B' U' L D R' B
L' B' D R' L F2 B
L' B' D R' L B F2
L' B' D R' F2 L B
L B' U' R' D' L B'
L B' U' D L R' B
L B' U' D R' L B
L B' U' D' L R' B'
L B' U' D' R' L B'
L' B' D F2 L R' B
L' B' D F2 R' L B
L B' D U' L R' B
L B' D U' R' L B
L B' D' U' L R' B'
L B' D' U' R' L B'
L B' F' R U' L R2
L B' F' R U' R2 L
