L2 R U' F2 L R
L2 R U' F2 R L
B2 L' R' F2 D B2
R L2 U' F2 L R
R L2 U' F2 R L
R U L U2 L2 F2
R U L U2 F2 L2
B2 R U' L' R2 F2
B2 R U' L' F2 R2
B2 R U' R2 L' F2
R U' L' F2 D2 R2
R U' L2 F2 L R
R U' L2 F2 R L
L U' R U' L2 F2
L U' R U' F2 L2
B2 R' L' F2 D B2
L2 F2 L R D' B2
L2 F2 L D' R B2
L2 F2 L D' B2 R
L2 F2 R L D' B2
R B2 U' L' R' F2
R B2 U' L' F2 R'
R B2 U' R' L' F2
R B2 U' R' L' F2
B2 L R U' L2 R2 F2
B2 L R U' L2 F2 R2
L2 R U L' U2 L2 F2
B2 L R U' R2 L2 F2
L2 R U L' U2 F2 L2
B2 L R U' R2 F2 L2
B2 L R U' F2 L2 R2
B2 L R U' F2 R2 L2
F2 L R D F2 U2 F2
L2 R U' L F2 D2 R2
L R U' L2 F2 D R2
R' L U' R2 U' L2 F2
R' L U' R2 U' F2 L2
L2 R U' R F2 L R
L2 R U' R F2 R L
R2 L U' R' U' L2 F2
R2 L U' R' U' F2 L2
L2 R U' R' F2 L R
L2 R U' R' F2 R L
B2 L R' F2 L2 D B2
R L U' L2 F2 D R2
L2 R U' R2 F2 L R
L2 R U' R2 F2 R L
L2 R U' F' L F' R
L2 R U' F2 L R D
L2 R U' F2 L R D'
L2 R U' F2 L R D2
L2 R U' F2 L D R
L2 R U' F2 L D' R
L2 R U' F2 L D2 R
L R U' F2 L2 D R2
L2 R U' F2 R L D
L2 R U' F2 R L D'
L2 R U' F2 R L D2
L2 R U' F2 R D L
L2 R U' F2 R D' L
L2 R U' F2 R D2 L
L2 R U' F2 D L R
L2 R U' F2 D R L
L2 R U' F2 D' L R
L2 R U' F2 D' R L
L2 R U' F2 D2 L R
L2 R U' F2 D2 R L
R L U' F2 L2 D R2
R' L U2 L2 F2 D B2
L R U2 L2 F2 D' B2
R L U2 L2 F2 D' B2
R' L U2 F2 L2 D B2
L R U2 F2 L2 D' B2
R L U2 F2 L2 D' B2
D' L U' L R U' L
D' L U' R L U' L
U' L U' R U' L2 F2
U' L U' R U' F2 L2
U2 L U' R U' L2 F2
U2 L U' R U' F2 L2
U L U' R U' L2 F2
U L U' R U' F2 L2
F2 L D R F2 U2 F2
F2 L D F2 U2 L' F2
L2 R F' U' L F' R
L2 R F' U' F' L R
L2 R F' U' F' R L
L' R F2 D2 R2 D B2
L R' U' R2 U' L2 F2
L R' U' R2 U' F2 L2
D2 L B2 U' R U' L2
L R' U2 L2 F2 D B2
L R' U2 F2 L2 D B2
B2 L' R F2 R2 D B2
B2 L' R' U R2 U' F2
B2 L' R' D B2 D' F2
B2 L' R' F D F B2
B2 L' R' F D B2 F
B2 L' R' F' D F' B2
B2 L' R' F' D B2 F'
B2 L' R' F2 U R2 U'
B2 L' R' F2 D B2 D
B2 L' R' F2 D B2 D'
B2 L' R' F2 D B2 D2
B2 L' R' F2 B D B2
B2 L' R' F2 B' D B2
B2 L' R' F2 B2 D B2
B2 L' R' B F2 D B2
B2 L' R' B' F2 D B2
B2 L' R' B2 F2 D B2
B2 L' U R U' R2 F2
B2 L' U R U' F2 R2
L2 R' F2 L D R B2
L2 R' F2 L D B2 R
R' L' F2 D B2 D R2
L' R' F2 D B2 D R2
R' L' F2 D2 R2 D' B2
L' R' F2 D2 R2 D' B2
L2 R' F2 D L R B2
L2 R' F2 D L B2 R
L2 R' F2 D R L B2
R L' F2 D2 R2 D B2
B2 L' D' R' D F2 B2
B2 L' D' R' D B2 F2
B2 L' F D R' F B
B2 L' F D R' B F
B2 L' F D F R' B
R L2 U L' U2 L2 F2
R L2 U L' U2 F2 L2
R L2 U' L F2 D2 R2
B2 L' F2 R' U' L' U
L R2 U' R' U' L2 F2
L R2 U' R' U' F2 L2
B' L' F2 U' L' B' U
F2 L' F2 U L' F2 R
R L2 U' R F2 L R
R L2 U' R F2 R L
B2 L' F2 U' L' U R'
R L2 U' R' F2 L R
R L2 U' R' F2 L R
R L2 U' R' F2 R L
R L2 U' R2 F2 L R
R L2 U' R2 F2 R L
R L2 U' F' L F' R
R L2 U' F2 L R D
R L2 U' F2 L R D'
R L2 U' F2 L R D2
R L2 U' F2 L D R
R L2 U' F2 L D' R
R L2 U' F2 L D2 R
R L2 U' F2 R L D
R L2 U' F2 R L D'
R L2 U' F2 R L D2
R L2 U' F2 R D L
R L2 U' F2 R D' L
R L2 U' F2 R D2 L
R L2 U' F2 D L R
R L2 U' F2 D R L
R L2 U' F2 D' L R
R L2 U' F2 D' R L
R L2 U' F2 D2 L R
R L2 U' F2 D2 R L
B L' B R' F2 D B2
B' L' B' R' F2 D B2
D' L2 R U L' U2 L2
D' L2 R U' L D2 R2
U' L2 R U' F2 L R
U' L2 R U' F2 R L
B2 L2 R U' L R2 F2
B2 L2 R U' L F2 R2
B2 L2 R U' R2 L F2
B2 L2 R U' R2 F2 L
B2 L2 R U' F2 L R2
B2 L2 R U' F2 R2 L
U2 L2 R U' F2 L R
U2 L2 R U' F2 R L
D' L2 R F2 U' L R
D' L2 R F2 U' R L
U L2 R U' F2 L R
U L2 R U' F2 R L
B2 L2 R' F2 L D B2
B2 L2 R' F2 D L B2
R' L2 F2 L D R B2
R' L2 F2 L D B2 R
R' L2 F2 L D B2 R
R L2 F' U' L F' R
R L2 F' U' F' L R
R L2 F' U' F' R L
L2 R2 F2 L R D B2
R2 L2 F2 L R D B2
R' L2 F2 D L R B2
L2 R2 F2 R L D B2
R' L2 F2 D L B2 R
R' L2 F2 D R L B2
L2 R2 F2 R D L B2
R2 L2 F2 R L D B2
R2 L2 F2 R D L B2
R U L R U2 L2 F2
R U L R U2 F2 L2
R U L R' U2 L2 F2
R U L R' U2 F2 L2
R U L R2 U2 L2 F2
R U L R2 U2 F2 L2
R U L U2 L F2 L
R U L U2 L2 F2 D
R U L U2 L2 F2 D'
R U L U2 L2 F2 D2
L' U L' R U' F2 R
R U L U2 F' L2 F'
R U L U2 F2 L2 D
R U L U2 F2 L2 D'
R U L U2 F2 L2 D2
R U L D2 R2 B2 U2
R U L D2 B2 R2 U2
R U L B U2 L2 F2
R U L B U2 F2 L2
R U L B' U2 L2 F2
R U L B' U2 F2 L2
R U L B2 U2 L2 F2
R U L B2 U2 F2 L2
R U L' F2 D2 R2 B2
R U L' F2 D2 B2 R2
L' U R L' U' F2 R
R U L2 U2 F2 L R
R U L2 U2 F2 R L
L' U R U L2 U2 F2
L' U R U' F2 D2 R2
U' L2 F2 L R D' B2
U' L2 F2 L D' R B2
U' L2 F2 L D' B2 R
L2 U R U' F2 L R
L2 U R U' F2 R L
R U R L U2 L2 F2
R U R L U2 F2 L2
B2 L2 F2 L R' D' B2
U2 L2 F2 L R D' B2
B2 L2 F2 L D' R' B2
U' L2 F2 R L D' B2
U2 L2 F2 L D' R B2
U2 L2 F2 L D' B2 R
U2 L2 F2 R L D' B2
B2 L2 F2 R' L D' B2
U L2 F2 L R D' B2
U L2 F2 L D' R B2
U L2 F2 L D' B2 R
U L2 F2 R L D' B2
R U R' L U2 L2 F2
R U R' L U2 F2 L2
R U R2 L U2 L2 F2
R U R2 L U2 F2 L2
L' U D R F2 L' U'
L U D F2 L' R2 U
L U D F2 R2 L' U
B2 R L U' L2 R2 F2
B2 R L U' L2 F2 R2
