F' L2 R' U' L' B
F' L2 R' U' B L'
F' R' L2 U' L' B
F' R' L2 U' B L'
R' D L F2 B R'
R' D L B R' F2
R' D L B F2 R'
R' D F2 L B R'
D2 L U' R2 B U B2
F' L D2 L U' B' L'
R' L B D' R F' R
R' L B D' F' R F'
D2 L B' U' R2 B U
L2 R' U' L' D B R'
L2 R' U' D L' B R'
L2 R' U' D B L' R'
L2 R' U' D B R' L'
L2 R' D U' L' B R'
L2 R' D U' B L' R'
L2 R' D U' B R' L'
D2 L' R2 B U L2 B'
L R' B D' R F' R
L R' B D' F' R F'
R' L2 U' L' D B R'
R' L2 U' D L' B R'
R' L2 U' D B L' R'
R' L2 U' D B R' L'
R' L2 D U' L' B R'
R' L2 D U' B L' R'
R' L2 D U' B R' L'
F' L2 R' U' L B L2
F' L2 R' U' L' D B
F' L2 R' U' L' D' B
F' L2 R' U' L' D2 B
F' L2 R' U' L' B D
F' L2 R' U' L' B D'
F' L2 R' U' L' B D2
F' L2 R' U' D L' B
F' L2 R' U' D B L'
F' L2 R' U' D' L' B
F' L2 R' U' D' B L'
F' L2 R' U' D2 L' B
F' L2 R' U' D2 B L'
F' L2 R' U' B L' D
F' L2 R' U' B L' D'
F' L2 R' U' B L' D2
F' L2 R' U' B D L'
F' L2 R' U' B D' L'
F' L2 R' U' B D2 L'
F' L2 R' U' B' L' B2
F' L2 R' D U' L' B
F' L2 R' D U' B L'
F' L2 R' D' U' L' B
F' L2 R' D' U' B L'
F' L2 R' D2 U' L' B
F' L2 R' D2 U' B L'
F' L2 R' B' U' L' B2
F' L2 R' B' U' B2 L'
F' L2 R' B2 U' B' L'
F' L2 U R' U2 L' B
F' L2 U R' U2 B L'
F' L2 U R2 U2 L' B'
F' L2 U F2 R F' U2
F' L2 U' L' R' B R
F' L2 U' L2 D2 L B'
F' L2 U' R' L' B R
F' L2 U' R' B L' R
F' L2 U' R' B R L'
F' L2 U' D2 L B' L2
F' L2 D B R' U' L'
F' L2 D B2 U' L' B'
L U L D' F' R U'
F' L2 D2 U' L B' L2
L U L F' R' U' B
B2 L2 F' U R' U2 B
F L2 F2 U R F' U2
F' L2 B R' U' L' B
F' L2 B R' U' B L'
F' L2 B' R' U' L' B
F' L2 B' R' U' B L'
R' U D L F2 B R'
R' U D L B R' F2
R' U D L B F2 R'
R' U D F2 L B R'
F' L2 B2 R' U' L' B
F' L2 B2 R' U' B L'
L U D' L F' R U'
L U D' F' L R U'
L U D' F' R L U'
L U D2 L F' U' B'
L U D2 F' L U' B'
L U F' L R' U' B
L U F' R' L U' B
L U F' D2 L U' B'
F R D L R2 F2 B
F R D L R2 B F2
F R D R2 L F2 B
F R D R2 L B F2
F R D R2 F2 L B
L2 U' L' R' D B R'
F R F2 L2 U' B' L'
L2 U' R' L' D B R'
L2 U' R' D L' B R'
L2 U' R' D B L' R'
L2 U' R' D B R' L'
R' U' D L F2 B R'
R' U' D L B R' F2
R' U' D L B F2 R'
R' U' D F2 L B R'
F' R' L2 U' L B L2
F' R' L2 U' L' D B
F' R' L2 U' L' D' B
F' R' L2 U' L' D2 B
F' R' L2 U' L' B D
F' R' L2 U' L' B D'
F' R' L2 U' L' B D2
F' R' L2 U' D L' B
F' R' L2 U' D B L'
F' R' L2 U' D' L' B
F' R' L2 U' D' B L'
F' R' L2 U' D2 L' B
F' R' L2 U' D2 B L'
F' R' L2 U' B L' D
F' R' L2 U' B L' D'
F' R' L2 U' B L' D2
F' R' L2 U' B D L'
F' R' L2 U' B D' L'
F' R' L2 U' B D2 L'
F' R' L2 U' B' L' B2
F' R' L2 D U' L' B
F' R' L2 D U' B L'
F' R' L2 D' U' L' B
F' R' L2 D' U' B L'
F' R' L2 D2 U' L' B
F' R' L2 D2 U' B L'
F' R' L2 B' U' L' B2
F' R' L2 B' U' B2 L'
F' R' L2 B2 U' B' L'
F' R' U' D L F2 B
F' R' U' D L B F2
F' R' U' D F2 L B
B2 R' U2 D F2 B R'
B2 R' U2 D B R' F2
B2 R' U2 D B F2 R'
U' R' D L F2 B R'
U' R' D L B R' F2
U' R' D L B F2 R'
U2 R' D L F2 B R'
U2 R' D L B R' F2
U2 R' D L B F2 R'
F' R' D U' L F2 B
F' R' D U' L B F2
F' R' D U' F2 L B
U' R' D F2 L B R'
B' R' D F2 B L R'
B' R' D F2 B R' L
B' R' D B L R' F2
B' R' D B L F2 R'
B2 R' D U2 F2 B R'
B2 R' D U2 B R' F2
B2 R' D U2 B F2 R'
B' R' D B R' L F2
B' R' D B R' F2 L
B' R' D B F2 L R'
B' R' D B F2 R' L
F R' D L F2 B R2
F R' D L B R2 F2
F R' D L B F2 R2
U R' D L F2 B R'
U R' D L B R' F2
U R' D L B F2 R'
B2 R' D B R' F2 L'
U2 R' D F2 L B R'
F R' D F2 L B R2
U R' D F2 L B R'
F2 R' F L2 U' L' B
F2 R' F L2 U' B L'
F R' F2 L2 U' L' B
F R' F2 L2 U' B L'
R' U2 D L F2 B R'
R' U2 D L B R' F2
R' U2 D L B F2 R'
R' U2 D F2 L B R'
D2 R2 L' B U L2 B'
D2 R2 U L B' D' R2
R' D L F B R' F
R' D L F2 B R' D
R' D L F2 B R' D'
R' D L F2 B R' D2
R' D L F2 B D R'
R' D L F2 B D' R'
R' D L F2 B D2 R'
R' D L B R F2 R2
R' D L B R' F2 D
R' D L B R' F2 D'
R' D L B R' F2 D2
R' D L B F R' F
R' D L B F2 R' D
R' D L B F2 R' D'
R' D L B F2 R' D2
R' D L B F2 D R'
R' D L B F2 D' R'
R' D L B F2 D2 R'
R' D L' F2 L2 B R'
R' D L' F2 B L2 R'
R' D L' F2 B R' L2
R' D L' B L2 R' F2
R' D L' B L2 F2 R'
R' D L' B R' L2 F2
R' D L' B R' F2 L2
R' D L' B F2 L2 R'
R' D L' B F2 R' L2
R' D L2 B L' R' F2
R' D L2 B L' F2 R'
R' D L2 B R' L' F2
D2 R2 B L U B' L
D2 R2 B U L B' L
D2 R2 B U B' L B'
R' D U L F2 B R'
R' D U L B R' F2
R' D U L B F2 R'
R' D U F2 L B R'
R' D U' L F2 B R'
R' D U' L B R' F2
R' D U' L B F2 R'
R' D U' F2 L B R'
R' D U2 L F2 B R'
R' D U2 L B R' F2
R' D U2 L B F2 R'
R' D U2 F2 L B R'
R' D F' L F' B R'
R' D F' L B F' R'
R' D F2 L B R' D
R' D F2 L B R' D'
R' D F2 L B R' D2
R' D F2 L B D R'
R' D F2 L B D' R'
R' D F2 L B D2 R'
R' D F2 L' B L2 R'
R' D F2 L' B R' L2
R' D F2 L2 B L' R'
R' D F2 L2 B R' L'
R' D' L D2 F2 B R'
R' D' L D2 B R' F2
R' D' L D2 B F2 R'
R' D' L B R2 F' R
L' D' L' F' R B2 U'
L' D' L' F' B2 R U'
L' D' L' B2 F' R U'
L D' U L F' R U'
L D' U F' L R U'
L D' U F' R L U'
L D' F' L R U' L'
L D' F' R L U' L'
L' D' B2 L' F' R U'
F' U' D F2 D L B'
R' D2 L B D' R2 F2
R' D2 L B D' F2 R2
F' U' D2 L D' F2 B'
F' U' D2 L D' B' F2
F' U' D2 L B' D' F2
L D2 U L F' U' B'
L D2 U F' L U' B'
L D2 F' L U' B' L'
F' U2 D2 R2 U L B'
R' F D L F2 B R'
R' F D L B R' F2
R' F D L B F2 R'
R' F D F2 L B R'
D F D R2 F L B'
D F D F L R2 B'
D F D F L B' R2
D F D F R2 L B'
F D R2 F2 D L B'
F' D U' F2 D L B'
U' F' L2 R' U' L' B
U' F' L2 R' U' B L'
L F' L R' U' L' B
L F' L R' U' B L'
U2 F' L2 R' U' L' B
U2 F' L2 R' U' B L'
D' F' R U B2 R' U2
D' F' R U' L D2 F2
D' F' R U' D2 L F2
D' F' R U' D2 F2 L
D' F' R D L2 U' L'
D' F' R D2 U' L F2
D' F' R D2 U' F2 L
U' F' R' L2 U' L' B
U F' L2 R' U' L' B
U' F' R' L2 U' B L'
U F' L2 R' U' B L'
L2 F' R U F' R U2
F' D F2 D L R2 B'
F' D F2 D L B' R2
F' D F2 D R2 L B'
U2 F' R' L2 U' L' B
U2 F' R' L2 U' B L'
F D F2 R2 D L B'
L F' R' L U' L' B
L F' R' L U' B L'
U F' R' L2 U' L' B
U F' R' L2 U' B L'
L2 F' U R F' R U2
D2 F' U' L D' F2 B'
D2 F' U' L D' B' F2
D2 F' U' L B' D' F2
L2 F' U F' R F' U2
L2 F' U' D2 L B' L
D2 F' U2 R2 U L B'
L2 F' U' D2 B' L B'
D F' U' D L F' B'
D F' U' D L B' F'
D F' U' D F' L B'
R' F' D L F2 B R'
R' F' D L B R' F2
R' F' D L B F2 R'
D F' U' F' D L B'
D' F' D L2 R U' L'
D' F' D R L2 U' L'
R' F' D F2 L B R'
L2 F' D R' B R' U'
L2 F' D B R' B U'
D F' D U' L F' B'
D F' D U' L B' F'
D F' D U' F' L B'
D' F' D2 R U' L F2
D' F' D2 R U' F2 L
L2 F' D2 U' L B' L
L2 F' D2 U' B' L B'
L2 F' D2 B' U' L B'
L F' D2 L U' B' L'
D F2 L D' R' B R'
D F2 L D' B R' B
R F2 L2 U' B' L' R'
R F2 L2 U' B' R' L'
R' F2 D L F2 B R'
R' F2 D L B R' F2
R' F2 D L B F2 R'
R' F2 D F2 L B R'
F D2 L D' R2 F2 B'
F D2 L D' R2 B' F2
F D2 L D' F2 R2 B'
F D2 L D' F2 B' R2
F D2 L D' B' R2 F2
F D2 L D' B' F2 R2
B' D2 R2 B U L B'
F' D2 U' L D' F2 B'
F' D2 U' L D' B' F2
F' D2 U' L B' D' F2
F' D2 U2 R2 U L B'
D2 B' R2 B U L B'
B2 F' L2 U R' U2 B
F' B2 L2 U R' U2 B
