U' L B' U R'
R U' L B U
F' L U L' F R
U' L U2 F U' R
U' L D B' U R'
U' L D' B' U R'
U' L D2 B' U R'
U' L B U' L U2
U' L B' U R' D
U' L B' U R' D'
U' L B' U R' D2
U' L B' U D R'
U' L B' U D' R'
U' L B' U D2 R'
U' L B' D U R'
U' L B' D' U R'
U' L B' D2 U R'
U2 L' U B' L2 U
U' L' B' L2 U R'
U' L2 B' L' U R'
R' U F' U2 L U
B2 R U R2 F' U'
D' R U' L B U
D2 R U' L B U
D R U' L B U
R' U' L U2 F' U'
R U' L D B U
R U' L D' B U
R U' L D2 B U
R U' L B U D
R U' L B U D'
R U' L B U D2
R U' L B D U
R U' L B D' U
R U' L B D2 U
R U' L' B L2 U
R U' L2 B L' U
R U' D L B U
R U' D' L B U
R2 U' D2 L B' U
R U' D2 L B U
B2 R2 U R F' U'
U' D L B' U R'
R D U' L B U
B2 U R' F U' R
R2 D B D' R' B
B2 U F R' U' R2
U' D' L B' U R'
D2 U' L B' U R'
D' U' L B' U R'
D U' L B' U R'
R D' U' L B U
U' D2 L B' U R'
B U' B' L U R'
R2 D2 U' L B' U
R D2 U' L B U
U F U2 L U R
L F' U F L' R
L F' U F R L'
U' B' U R B R2
R' B2 U F' R' U'
F' L R B U L' F
F2 L R B U L' F2
L' R U' L2 B U L'
L2 R U' L' B U L'
B2 L R' F' U' F L'
U' L R' B' R U R2
L2 R U' B L' U L'
U' L R2 B' R2 U R
F' L U L' R F R
F' L U L' R' F R
F' L U L' R2 F R
F' L U L' D F R
F' L U L' D' F R
F' L U L' D2 F R
F' L U L' F R D
F' L U L' F R D'
F' L U L' F R D2
F' L U L' F D R
F' L U L' F D' R
F' L U L' F D2 R
F' L U R L' F R
F2 L U L' F R F
U2 L U L2 B' U B
U' L U R U' B U
F' L U R' L' F R
F L U L' F R F2
U' L U R' U F' U'
F' L U R2 L' F R
U' L U' L U' F U'
U' L U' L' U B' U
U2 L U' F R2 U' B
U2 L U' F U F' U2
U' L U2 D F U' R
U' L U2 D' F U' R
U' L U2 D2 F U' R
U' L U2 F U' R D
U' L U2 F U' R D'
U' L U2 F U' R D2
U' L U2 F U' D R
U' L U2 F U' D' R
U' L U2 F U' D2 R
U' L U2 F D U' R
U' L U2 F D' U' R
U' L U2 F D2 U' R
U' L U2 F' U L' U2
U' L D U2 F U' R
U' L D B U' L U2
U' L D B' U R' D
U' L D B' U R' D'
U' L D B' U R' D2
U' L D B' U D R'
U' L D B' U D' R'
U' L D B' U D2 R'
U' L D B' D U R'
U' L D B' D' U R'
U' L D B' D2 U R'
U' L D' U2 F U' R
U' L D' B U' L U2
U' L D' B' U R' D
U' L D' B' U R' D'
U' L D' B' U R' D2
U' L D' B' U D R'
U' L D' B' U D' R'
U' L D' B' U D2 R'
U' L D' B' D U R'
U' L D' B' D' U R'
U' L D' B' D2 U R'
L R F' B U F L'
R L F' B U F L'
U' L D2 U2 F U' R
U' L D2 B U' L U2
U' L D2 B' U R' D
U' L D2 B' U R' D'
U' L D2 B' U R' D2
U' L D2 B' U D R'
U' L D2 B' U D' R'
U' L D2 B' U D2 R'
U' L D2 B' D U R'
U' L D2 B' D' U R'
U' L D2 B' D2 U R'
L R F2 B U F2 L'
R L F2 B U F2 L'
D2 L F' U F L' R
D2 L F' U F R L'
D' L F' U F L' R
D' L F' U F R L'
L R B F' U F L'
D L F' U F L' R
D L F' U F R L'
L R B F2 U F2 L'
R L B F' U F L'
R L B F2 U F2 L'
F' L B U L' F R
U' L B U B2 R' B2
U' L B U' L U2 D
U' L B U' L U2 D'
U' L B U' L U2 D2
U' L B U' L D U2
U' L B U' L D' U2
U' L B U' L D2 U2
U' L B U' D L U2
U' L B U' D' L U2
U' L B U' D2 L U2
U' L B D U' L U2
U' L B D B2 U R'
U' L B D' U' L U2
U' L B D' B2 U R'
U' L B D2 U' L U2
U' L B D2 B2 U R'
F' L B' U L' F R
U' L B' U R2 D R
U' L B' U R2 D' R
U' L B' U R2 D2 R
U' L B' U D R' D
U' L B' U D R' D'
U' L B' U D R' D2
U' L B' U D' R' D
U' L B' U D' R' D'
U' L B' U D' R' D2
U' L B' U D2 R' D
U' L B' U D2 R' D'
U' L B' U D2 R' D2
U' L B' U F' R' F
U' L B' U F2 R' F2
U' L B' U' L U2 R'
U' L B' U' L' U2 R'
U' L B' U' L2 U2 R'
U' L B' U2 F U' R'
U' L B' U2 F' U' R'
U' L B' U2 F2 U' R'
U' L B' D U R' D
U' L B' D U R' D'
U' L B' D U R' D2
U' L B' D' U R' D
U' L B' D' U R' D'
U' L B' D' U R' D2
R L' U' L2 B U L'
U' L B' D2 U R' D
U' L B' D2 U R' D'
U' L B' D2 U R' D2
F' L B2 U L' F R
U' L B2 U B R' B'
B2 L' R' F' U' F L
U2 L' U L2 U2 F U'
U2 L' U D' B' U B'
U2 L' U B L2 B2 U
U2 L' U B' L2 U D
U2 L' U B' L2 U D'
U2 L' U B' L2 U D2
U2 L' U B' L2 D U
U2 L' U B' L2 D' U
U2 L' U B' L2 D2 U
U2 L' U B' U D' B2
U2 L' U B' D' U B2
U2 L' U B2 L2 B U
U2 L' U2 B D' R2 B2
U2 L' U2 B D' B2 R2
U2 L' D F2 U B' U
U2 L' D' U B' U B'
U' L' D' B' U R' B'
U2 L' F U B' L2 U
U2 L' F' U B' L2 U
R L2 U' L' B U L'
U2 L' F2 U B' L2 U
R L2 U' B L' U L'
U' L' B L2 U' L' U2
U' L' B U D' B2 R'
U' L' B D' U B2 R'
U' L' B' L2 U R' D
U' L' B' L2 U R' D'
U' L' B' L2 U R' D2
U' L' B' L2 U D R'
U' L' B' L2 U D' R'
U' L' B' L2 U D2 R'
U' L' B' L2 D U R'
U' L' B' L2 D' U R'
U' L' B' L2 D2 U R'
U' L' B' U R' D' B2
U' L' B' U D' R' B2
U' L' B' D' U R' B2
U' L' B2 L2 B U R'
B2 L2 R' F' U' F L2
U2 L2 U L B' L2 U
U2 L2 U L' U2 F U'
U' L2 U2 F U' R B
U' L2 D L' B' U R'
U' L2 D B' L' U R'
U' L2 D' L' B' U R'
U' L2 D' B' L' U R'
U' L2 D2 L' B' U R'
U' L2 D2 B' L' U R'
L U L' U L F U'
U L2 F L2 U' R B
R2 U R F' U2 L U
U' L2 B L' U D2 R2
U' L2 B L' U' L2 U2
U' L2 B L' D' B2 U
U' L2 B L' D2 U R2
R2 U R' U2 L B U
R' U R2 U2 L B U
U' L2 B' L' U R' D
U' L2 B' L' U R' D'
U' L2 B' L' U R' D2
U' L2 B' L' U D R'
U' L2 B' L' U D' R'
U' L2 B' L' U D2 R'
U' L2 B' L' D U R'
U' L2 B' L' D' U R'
U' L2 B' L' D2 U R'
U' L2 B' D L' U R'
U' L2 B' D' L' U R'
U' L2 B' D2 L' U R'
R U R2 F' U2 L U
R' U D F' U2 L U
U' L2 B2 L' B U R'
R' U D' F' U2 L U
R' U D2 F' U2 L U
F' R L B U L' F
F2 R L B U L' F2
L2 U F U' L2 R B
L2 U F U' R L2 B
L2 U F U' R B L2
R' U F' R U2 L U
R' U F' R' U2 L U
R' U F' R2 U2 L U
R U F U2 L B U
R' U F' U2 L U D
R' U F' U2 L U D'
R' U F' U2 L U D2
R' U F' U2 L D U
R' U F' U2 L D' U
R' U F' U2 L D2 U
R' U F' U2 D L U
R' U F' U2 D' L U
R' U F' U2 D2 L U
R' U F' D U2 L U
R' U F' D' U2 L U
R' U F' D2 U2 L U
R' U F' B2 R' B2 U'
B2 R U R2 D F' U'
B2 R U R2 D' F' U'
B2 R U R2 D2 F' U'
B2 R U R2 F' U' D
B2 R U R2 F' U' D'
B2 R U R2 F' U' D2
B2 R U R2 F' D U'
B2 R U R2 F' D' U'
B2 R U R2 F' D2 U'
B2 R U F R2 F' U'
R U F' U2 L B U
B2 R U F' R2 F' U'
D2 R U' L D B U
D2 R U' L D' B U
B2 R U F2 R2 F' U'
D2 R U' L D2 B U
D2 R U' L B U D
D2 R U' L B U D'
D2 R U' L B U D2
D2 R U' L B D U
D2 R U' L B D' U
D2 R U' L B D2 U
D' R U' L D B U
D' R U' L D' B U
D' R U' L D2 B U
D2 R U' L' B L2 U
D' R U' L B U D
D' R U' L B U D'
D' R U' L B U D2
D' R U' L B D U
D' R U' L B D' U
D' R U' L B D2 U
D' R U' L' B L2 U
D2 R U' L2 B L' U
B' R U' L' B U B2
D' R U' L2 B L' U
F2 R U' L B U F2
