F2 L' F2 U' R B L
U' R D' B2 U B' L
D' R B2 U2 B' R' U'
D2 R' F' L' R2 U R
D' R' F' L' R2 B2 U
D' R' F' L' B2 R2 U
D2 R' F' R2 L' U R
D' R' F' R2 L' B2 U
D' R' F' R2 B2 L' U
D R' F' L' R2 B U
D' R' F' B2 L' R2 U
D' R' F' B2 R2 L' U
D R' F' R2 L' B U
D R' F' R2 B L' U
D' R' B2 F' L' R2 U
D' R' B2 F' R2 L' U
U2 D F2 L' B' R' U'
D' U' R B2 U B' L
U' D' R B2 U B' L
R' D' F' L' B2 U F'
R' D' F' B2 L' U F'
R' D' B2 F' L' U F'
R D' B2 U2 B' R' U'
D2 U2 R U R B L
U2 D2 R U R B L
D U2 F2 L' B' R' U'
D F R F L' B U'
D F R F B L' U'
D F R B F L' U'
F D R F2 B U' F
F D R B F2 U' F
R' F' L' R2 U' L' U2
R' F' L' U D' F2 R
R' F' L' D' U F2 R
R' F' R2 L' U' L' U2
R' F' R2 D' L' B2 U
R' F' R2 D' B2 L' U
R' F' R2 D2 L' U R2
R' F' D' L' B2 U F2
R' F' D' B2 L' U F2
D' B2 R' F' L' R2 U
D' B2 R' F' R2 L' U
