D' F2 R B U B'
U2 L R2 U' F L2 U'
R' L F D R2 F2 L'
B2 L' R' F' U' B2 L
D L' R' F' B2 U' B2
D L' R' B2 F' U' B2
B' L' U R2 F' L' U2
L R' F D R2 F2 L'
B' L' U' B' R' B2 L
R' L' F' B2 U' L B2
L' R' F' B2 U' L B2
B' L' D B2 U' B' R'
U L' D F B2 U' R
U L' D B2 F U' R
U L' D2 F U' L2 R
U L' D2 F U' R L2
R' L' B2 F' U' L B2
L' R' B2 F' U' L B2
U L' F U R2 U2 R'
U L' F U' D2 L2 R
U L' F U' D2 R L2
U L' F D B2 U' R
U L' F D2 U' L2 R
U L' F D2 U' R L2
U L' F' U L' R2 U2
U L' F' U R2 L' U2
D2 L' B U' B' L' R'
D2 L' B U' B' R' L'
D L' B2 R' F' U' B2
D L' B2 U' B' R' B'
D2 L2 R' U L F' U'
D2 L2 R' U F' L U'
D2 L2 U L F U' R
D2 L2 U F L U' R
D2 L2 U' B' U R' F'
R' U L' F' U R' U2
R' U L' F' B2 U' L
R' U L' B2 F' U' L
D' R U' F2 B R U
D' R U' B F2 R U
R' U B2 L' F' U' L2
D' R F2 B R U B'
F2 R F2 B U B' L'
F2 R B U' R U2 B'
D' R B F2 R U B'
F2 R B F2 U B' L'
B2 R' L' F' U' B2 L
D2 R' L2 U L F' U'
D2 R' L2 U F' L U'
D R' L' F' B2 U' B2
D R' L' B2 F' U' B2
D R' U L' F' B2 U'
D R' U L' B2 F' U'
D R' U B2 L' F' U'
R U' F2 B R U L'
R U' B F2 R U L'
D R' B2 L' F' U' B2
U2 R2 L U' F L2 U'
U2 R2 U' L' F U' R
L' D R' F' B2 U' B2
L' D R' B2 F' U' B2
D U L' F B2 U' R
D U L' B2 F U' R
U D L' F B2 U' R
U D L' B2 F U' R
L' D B2 R' F' U' B2
L' D B2 U' B' R' B'
D U B2 L' F U' R
U D B2 L' F U' R
D' U' F2 R B' U R'
U' D' F2 R B' U R'
D' U' F2 B' R U R2
U' D' F2 B' R U R2
U' D' B' F2 R U R2
D' U' B' F2 R U R2
L' D2 B U' B' L2 R'
L' D2 B U' B' R' L2
U F U R2 U2 R' F'
B' D L' B2 U' B' R'
F2 D' R F2 B U B'
F2 D' R B F2 U B'
D' F2 L R B U B'
D' F2 L' R B U B'
D' F2 L2 R B U B'
D' F2 R L B U B'
D' F2 R L' B U B'
D' F2 R L2 B U B'
D' F2 R D B U B'
D' F2 R D' B U B'
D' F2 R D2 B U B'
R F2 L' U' B R U
D2 F2 R B U B' L2
D' F2 R B U D B'
D' F2 R B U D' B'
D' F2 R B U D2 B'
D' F2 R B U B' D
D' F2 R B U B' D'
D' F2 R B U B' D2
D' F2 R B D U B'
D' F2 R B D' U B'
D' F2 R B D2 U B'
B D' F2 R B U B2
D' F2 D R B U B'
R F2 U' B R U L'
D' F2 D' R B U B'
D' F2 D2 R B U B'
F2 D2 R B U B' L2
D' F2 B R B U B2
D' F2 B2 R B U B
R F2 B R U B' L'
L' B U R2 U2 B' R'
L' B U' D2 B' L2 R'
L' B U' D2 B' R' L2
L' B U' B' D2 L2 R'
L' B U' B' D2 R' L2
L' B D2 U' B' L2 R'
L' B D2 U' B' R' L2
D' B F2 R B U B2
R B F2 R U B' L'
L' B' U R2 F' L' U2
L' B' U' B' R' B2 L
L' B' D B2 U' B' R'
U' B' D' F2 R U R2
R' B2 L' F' U' L2 B2
R' B2 L' F' U' B2 L2
D B2 L' R' F' U' B2
D B2 L' U' B' R' B'
L' B2 R' F' U' B2 L
D B2 R' L' F' U' B2
D' B2 F2 R B U B
