L2 F B L R U'
L2 F B R L U'
R2 F' B' L' R' U
R2 F' B' L' R' U
R2 F' B' R' L' U
L B L F R U'
L2 B F L R U'
L2 B F R L U'
R' B' R' F' L' U
R2 B' F' L' R' U
R2 B' F' R' L' U
B L U' R D' B R2
B L U' R' D' R2 B
B L U' D' R B R
B L U2 B L B U
B L D' R U' R B
B L D' U' R B R
R2 L F' L' B' R' U
B L D' F R U' R
B L D2 F R F U'
B L F R U' D' R2
B L F R U2 B2 U
B L F R D' U' R2
B L F R D2 F2 U'
B L F D' R U' R
B L F D2 R F2 U'
B L F' U2 L' B2 U
B L F' U2 B2 L' U
B L F' D2 F2 R U'
D2 L B L F R U'
D' L B L F R U'
D L B L F R U'
F L B L R F U'
F L B R L F U'
L2 R' F R B L U'
R' L2 F R B L U'
L R2 F' L' B' R' U
D2 L2 F B L R U'
D2 L2 F B R L U'
D' L2 F B L R U'
D' L2 F B R L U'
D L2 F B L R U'
D L2 F B R L U'
D2 L2 B F L R U'
D2 L2 B F R L U'
F L2 B R F L U'
D' L2 B F L R U'
D' L2 B F R L U'
D L2 B F L R U'
D L2 B F R L U'
B' R' U L D L2 B'
B' R' U L' D B' L2
B' R' U D L' B' L'
B' R' U2 B' R' B' U'
B' R' D L' U L' B'
B' R' D U L' B' L'
B' R' D F' L' U L'
B' R' D2 F' L' F' U
B' R' F U2 R B2 U'
B' R' F U2 B2 R U'
B' R' F D2 F2 L' U
B' R' F' L' U D L2
B' R' F' L' U2 B2 U'
B' R' F' L' D U L2
B' R' F' L' D2 F2 U
B' R' F' D L' U L'
B' R' F' D2 L' F2 U
F' R' B' L' R' F' U
D2 R' B' R' F' L' U
D' R' B' R' F' L' U
F' R' B' R' L' F' U
D R' B' R' F' L' U
D' R2 F' B' L' R' U
D' R2 F' B' R' L' U
D2 R2 F' B' L' R' U
D2 R2 F' B' R' L' U
D R2 F' B' L' R' U
D R2 F' B' R' L' U
F' R2 B' L' F' R' U
D' R2 B' F' L' R' U
D' R2 B' F' R' L' U
D2 R2 B' F' L' R' U
D2 R2 B' F' R' L' U
D R2 B' F' L' R' U
D R2 B' F' R' L' U
L2 D F B L R U'
L2 D F B R L U'
R2 D F' B' L' R' U
R2 D F' B' R' L' U
R' D B' R' F' L' U
L D B L F R U'
L2 D B F L R U'
L2 D B F R L U'
R2 D B' F' L' R' U
R2 D B' F' R' L' U
L2 D' F B L R U'
L2 D' F B R L U'
R2 D' F' B' L' R' U
R2 D' F' B' R' L' U
R' D' B' R' F' L' U
L2 D' B F L R U'
L2 D' B F R L U'
L D' B L F R U'
R2 D' B' F' L' R' U
R2 D' B' F' R' L' U
L2 D2 F B L R U'
L2 D2 F B R L U'
R2 D2 F' B' L' R' U
R2 D2 F' B' R' L' U
R' D2 B' R' F' L' U
L2 D2 B F L R U'
L2 D2 B F R L U'
L D2 B L F R U'
R2 D2 B' F' L' R' U
R2 D2 B' F' R' L' U
L2 F L B L R U'
L2 F L B R L U'
L2 F L' B L R U'
L2 F L' B R L U'
L2 F L2 B L R U'
L2 F L2 B R L U'
B U2 B L B R' U
B' U2 B' R' B' L U'
B' U2 B2 D L U' B'
B U2 B2 D' R' U B
B' D L' R' U L' B'
B D L U L F U2
L2 F D B L R U'
L2 F D B R L U'
B' D R' L' U L' B'
L2 F D' B L R U'
L2 F D' B R L U'
B' D R' U L' B' L'
B' D R' F' L' U L'
L2 F D2 B L R U'
L2 F D2 B R L U'
L2 F B L R U' D
L2 F B L R U' D'
L2 F B L R U' D2
L2 F B L R D U'
L2 F B L R D' U'
L2 F B L R D2 U'
L2 F B L D R U'
L2 F B L D' R U'
L2 F B L D2 R U'
L2 F B R L U' D
L2 F B R L U' D'
L2 F B R L U' D2
L2 F B R L D U'
L2 F B R L D' U'
L2 F B R L D2 U'
L2 F B R D L U'
L2 F B R D' L U'
L2 F B R D2 L U'
L2 F B D L R U'
L2 F B D R L U'
L2 F B D' L R U'
L2 F B D' R L U'
L2 F B D2 L R U'
L2 F B D2 R L U'
L F B L R F U'
L F B R L F U'
L2 F B2 R B' L U'
B' D F' L' R' U L'
B' D F' R' L' U L'
R2 F' R B' L' R' U
R2 F' R B' R' L' U
R2 F' R' B' L' R' U
R2 F' R' B' R' L' U
R2 F' R2 B' L' R' U
R2 F' R2 B' R' L' U
B D' L R U' R B
B D' L U' R B R
B D' L F R U' R
R2 F' D B' L' R' U
R2 F' D B' R' L' U
B' D' R' U' R' F' U2
B D' R L U' R B
R2 F' D' B' L' R' U
R2 F' D' B' R' L' U
R' F' B' L' R' F' U
R' F' B' R' L' F' U
R2 F' D2 B' L' R' U
R2 F' D2 B' R' L' U
R2 F' B' L' R' U D
R2 F' B' L' R' U D'
R2 F' B' L' R' U D2
R2 F' B' L' R' D U
R2 F' B' L' R' D' U
R2 F' B' L' R' D2 U
R2 F' B' L' D R' U
R2 F' B' L' D' R' U
R2 F' B' L' D2 R' U
R2 F' B' R' L' U D
R2 F' B' R' L' U D'
R2 F' B' R' L' U D2
R2 F' B' R' L' D U
R2 F' B' R' L' D' U
R2 F' B' R' L' D2 U
R2 F' B' R' D L' U
R2 F' B' R' D' L' U
R2 F' B' R' D2 L' U
R2 F' B' D L' R' U
R2 F' B' D R' L' U
R2 F' B' D' L' R' U
R2 F' B' D' R' L' U
R2 F' B' D2 L' R' U
R2 F' B' D2 R' L' U
R2 F' B2 L' B R' U
B D' F L R U' R
B D' F R L U' R
B D2 L F R F U'
B' D2 R' F' L' F' U
L2 F2 B L F' R U'
R2 F2 B' R' F L' U
L' B L' F L2 R U'
L' B L' F R L2 U'
L B L R F R U'
L B L R' F R U'
L B L R2 F R U'
L B L D F R U'
B' D2 F' L' F' R' U
L B L D' F R U'
L B L D2 F R U'
L B L F R U' D
L B L F R U' D'
L B L F R U' D2
L B L F R D U'
L B L F R D' U'
L B L F R D2 U'
L B L F D R U'
L B L F D' R U'
L B L F D2 R U'
B D2 F R F L U'
B' D2 F2 D R' U B
L2 B R F L R U'
L2 B R F R L U'
L B R L F R U'
L2 B R' F L R U'
L2 B R' F R L U'
B D2 F2 D' L U' B'
L B R' L F R U'
L2 B R2 F L R U'
L2 B R2 F R L U'
L B R2 L F R U'
F' B L U' D' R2 B2
F' B L U' D' B2 R2
F' B L U2 L2 B2 U
F' B L U2 B2 L2 U
F' B L D' U' R2 B2
F' B L D' U' B2 R2
F' B L D2 R2 F2 U'
F' B L D2 F2 R2 U'
B F L R U' D' R2
B F L R U2 B2 U
B F L R D' U' R2
B F L R D2 F2 U'
B F L D' R U' R
F B L R U' D' R2
F B L R U2 B2 U
B F L D2 R F2 U'
F B L R D' U' R2
F B L R D2 F2 U'
F B L D' R U' R
F B L D2 R F2 U'
L2 B D F L R U'
L2 B D F R L U'
L B D L F R U'
L2 B D' F L R U'
L2 B D' F R L U'
B' F R' U D L2 B2
B' F R' U D B2 L2
B' F R' U2 R2 B2 U'
B' F R' U2 B2 R2 U'
B' F R' D U L2 B2
B' F R' D U B2 L2
B' F R' D2 L2 F2 U
B F R L U' D' R2
B F R L U2 B2 U
B F R L D' U' R2
B F R L D2 F2 U'
B' F R' D2 F2 L2 U
L B D' L F R U'
B F R U2 B2 R' U
B F R D' L U' R2
F B R L U' D' R2
F B R L U2 B2 U
B F R D2 L F2 U'
F B R L D' U' R2
F B R L D2 F2 U'
L2 B D2 F L R U'
L2 B D2 F R L U'
B F R D2 F2 L U'
F B R U2 B2 R' U
L2 B F L R U' D
L2 B F L R U' D'
L2 B F L R U' D2
L2 B F L R D U'
L2 B F L R D' U'
L2 B F L R D2 U'
F B R D' L U' R2
L2 B F L D R U'
L2 B F L D' R U'
L2 B F L D2 R U'
F B R D2 L F2 U'
F B R D2 F2 L U'
L2 B F R L U' D
L2 B F R L U' D'
L2 B F R L U' D2
L2 B F R L D U'
L2 B F R L D' U'
L2 B F R L D2 U'
L2 B F R D L U'
L2 B F R D' L U'
L2 B F R D2 L U'
L B D2 L F R U'
L2 B F D L R U'
L2 B F D R L U'
L2 B F D' L R U'
L2 B F D' R L U'
L2 B F D2 L R U'
L2 B F D2 R L U'
L B F L R F U'
L B F R L F U'
R' B' L R' F' L' U
L2 B F2 L F' R U'
R' B' L' R' F' L' U
B' F U2 B2 L R U'
B' F U2 B2 R L U'
R2 B' L F' L' R' U
R2 B' L F' R' L' U
R' B' L2 R' F' L' U
F' B U2 B2 L' R' U
F' B U2 B2 R' L' U
R2 B' L' F' L' R' U
R2 B' L' F' R' L' U
F2 B D' L U' R2 B'
F2 B D' L U' B' R2
R' B' R' L F' L' U
