R' D2 B' U L2 B'
R F U R2 B' U
R F U B' R2 U
R' B' U D2 L2 B'
R' B' U' R2 F U2
R' B' U' F R2 U2
R' B' D2 U L2 B'
R U R2 B' L2 U B'
R U R2 B' U' F U2
R U B' L2 R2 U B'
R U B' R2 L2 U B'
R U B' R2 U' F U2
D2 R F U R2 B' U
D2 R F U B' R2 U
D' R F U R2 B' U
D' R F U B' R2 U
U' R F U R2 B' U
U' R F U B' R2 U
U2 R F U R2 B' U
U2 R F U B' R2 U
D R F U R2 B' U
D R F U B' R2 U
U R F U R2 B' U
U R F U B' R2 U
R' U' R2 F U B' U
R' U' F R2 U B' U
R U' D2 L2 F U' B'
F2 R' D B' L U L2
D2 R' D2 B' U L2 B'
D' R' D2 B' U L2 B'
U' R' D2 B' U L2 B'
U2 R' D2 B' U L2 B'
D R' D2 B' U L2 B'
U R' D2 B' U L2 B'
D2 R' B' U D2 L2 B'
D' R' B' U D2 L2 B'
D2 R' B' U' R2 F U2
D2 R' B' U' F R2 U2
D' R' B' U' R2 F U2
D' R' B' U' F R2 U2
U' R' B' U D2 L2 B'
U' R' B' U' R2 F U2
U' R' B' U' F R2 U2
D2 R' B' D2 U L2 B'
D' R' B' D2 U L2 B'
U' R' B' D2 U L2 B'
U2 R' B' U D2 L2 B'
U2 R' B' U' R2 F U2
U2 R' B' U' F R2 U2
D R' B' U D2 L2 B'
D R' B' U' R2 F U2
D R' B' U' F R2 U2
U2 R' B' D2 U L2 B'
D R' B' D2 U L2 B'
U R' B' U D2 L2 B'
U R' B' U' R2 F U2
U R' B' U' F R2 U2
U R' B' D2 U L2 B'
R U2 B D' F2 R2 B
F2 R2 B' R U L' B2
F2 R2 B' R U B2 L'
R D F B2 U B U
R' D B' L2 F U B'
F U R' D2 B' U L
F U R' F B' U L'
F U R' B' F U L'
R D B2 F U B U
F U D2 R' B' U L
F U F R' B' U L'
R D' F U B' U F
R' D' F2 B' U' F' U2
R' D' B' L2 F2 U B'
R' D' B' U D' L2 B'
R' D' B' D' U L2 B'
R' D' B' F2 U' F' U2
R' D2 L U L B' R'
B' U' D' R F U2 F2
R D2 U' L2 F U' B'
R D2 F U' L2 F U'
R' D2 B' L U L B'
R' D2 B' U L2 D B'
R' D2 B' U L2 D' B'
R' D2 B' U L2 D2 B'
R' D2 B' U L2 B' D
R' D2 B' U L2 B' D'
R' D2 B' U L2 B' D2
R' D2 B' U B L2 B'
R' D2 B' U B' L2 B'
R' D2 B' U B2 L2 B'
R' D2 B' U' F U2 L2
R' F R2 U R2 B' U
R' F R2 U B' R2 U
R F U R B' R U
R F U R2 D B' U
R F U R2 D' B' U
R F U R2 D2 B' U
R F U R2 B' U D
R F U R2 B' U D'
R F U R2 B' U D2
R F U R2 B' D U
R F U R2 B' D' U
R F U R2 B' D2 U
R F U D' B' U F2
R F U B R2 B2 U
R F U B' R2 U D
R F U B' R2 U D'
R F U B' R2 U D2
R F U B' R2 D U
R F U B' R2 D' U
R F U B' R2 D2 U
R F U B' U D' F2
R F U B' D' U F2
R F U' D2 L2 F U'
R F D B2 U B U
R F D' U B' U F2
R F D2 U' L2 F U'
R F B U R2 B2 U
R F B U B2 R2 U
R F B U2 D' R2 F2
R F B U2 D' F2 R2
R F B D L2 B2 U2
R F B D B2 L2 U2
R F B D' U2 R2 F2
R F B D' U2 F2 R2
R F B' U R2 U R2
R F B2 U B R2 U
R' F' D' F2 B' L2 U
R' F' D' B' L2 F2 U
R' F' D' B' F2 L2 U
R' F' D2 B' U B' L2
R' F' B' U D2 L2 B2
R' F' B' U D2 B2 L2
R' F' B' U' R2 F2 U2
R' F' B' U' F2 R2 U2
R' F' B' D' L2 F2 U
R' F' B' D' F2 L2 U
R' F' B' D2 U L2 B2
R' F' B' D2 U B2 L2
B' D' U' R F U2 F2
R F2 U R2 B' U B2
R F2 U B' R2 U B
R' F2 B' U' R2 U2 B
R' F2 B' U' F' R2 U2
F D2 U R' B' U L
R' B D' F2 U R2 B
R B U2 D' F2 R2 B
R B D L2 B2 U2 B
R B D F L2 B2 U2
R B D F B2 L2 U2
R B D B2 L2 U2 B'
R B D B2 F L2 U2
R B D' U2 F2 R2 B
R B D' F U2 R2 F
R B D' F U2 F R2
R B F U R2 B2 U
R B F U B2 R2 U
R B F U2 D' R2 F2
R B F U2 D' F2 R2
R B F D L2 B2 U2
R B F D B2 L2 U2
R B F D' U2 R2 F2
R B F D' U2 F2 R2
R' B' L2 U D2 B' L2
R' B' L2 U B' D2 L2
R' B' L2 U' R2 U2 B'
R' B' L2 D' F2 U B'
R' B' L2 D2 U B' L2
R2 B' L2 R U B' L
R2 B' R L2 U B' L
R2 B' R U L2 B' L
R' B' U L2 D2 B' L2
R' B' U L2 B' D2 L2
R' B' U D2 L2 D B'
R' B' U D2 L2 D' B'
R' B' U D2 L2 D2 B'
R' B' U D2 L2 B' D
R' B' U D2 L2 B' D'
R' B' U D2 L2 B' D2
R' B' U D2 B L2 B'
R' B' U D2 B' L2 B'
R' B' U D2 B2 L2 B'
R' B' U B D2 L2 B'
R' B' U B' D2 L2 B'
R' B' U B2 D2 L2 B'
R' B' U' R' F R' U2
R' B' U' R2 D F U2
R' B' U' R2 D' F U2
R' B' U' R2 D2 F U2
R' B' U' R2 F U2 D
R' B' U' R2 F U2 D'
R' B' U' R2 F U2 D2
R' B' U' R2 F D U2
R' B' U' R2 F D' U2
R' B' U' R2 F D2 U2
R' B' U' D2 F U2 L2
R' B' U' F R2 U2 D
R' B' U' F R2 U2 D'
R' B' U' F R2 U2 D2
R' B' U' F R2 D U2
R' B' U' F R2 D' U2
R' B' U' F R2 D2 U2
R' B' U' F U2 D2 L2
R' B' U' F D2 U2 L2
R' B' U' F' R2 F2 U2
R' B' U' F2 R2 U2 B
R B' R2 U D2 L2 B'
R B' R2 U' R2 F U2
