B' L R U' R B
B' L U' R B R
B' L F R U' R
B' R L U' R B
F R B' L U' R
B' F L R U' R
B' F R L U' R
U2 B' L R' U' R'
R B' L U' R B
U2 B' R' L U' R'
F B' L R U' R
F B' R L U' R
B' L R U' R D B
B' L R U' R D' B
B' L R U' R D2 B
B' L R U' R B D
B' L R U' R B D'
B' L R U' R B D2
B' L R U' D R B
B' L R U' D' R B
B' L R U' D2 R B
B' L R U' B R B
B' L R U' B' R B
B' L R U' B2 R B
B' L R D U' R B
B' L R D' U' R B
B' L R D2 U' R B
B' L R' U' R B R2
B' L R' F R U' R2
B' L R2 F R U' R'
B' L U L F U2 R2
B' L U L' U2 R2 B'
B' L U L' U2 B' R2
B' L U' R D B R
B' L U' R D' B R
B' L U' R D2 B R
B' L U' R B R D
B' L U' R B R D'
B' L U' R B R D2
B' L U' R B D R
B' L U' R B D' R
B' L U' R B D2 R
B' L U' R B' R B2
B' L U' R B2 R B'
B' L U' B R B R
B' L U' B' R B R
B' L U' B2 R B R
B' L U2 B L U R2
B' L D' F R F U'
B' L F R U' R D
B' L F R U' R D'
B' L F R U' R D2
B' L F R U' D R
B' L F R U' D' R
B' L F R U' D2 R
B' L F R D U' R
B' L F R D' U' R
B' L F R D2 U' R
B' L F D' R F2 U'
B' L F' U2 L' U R2
B' L F' D' F2 R U'
B' L' F L2 R U' R
B' L' F R L2 U' R
B' R L U' R D B
B' R L U' R D' B
B' R L U' R D2 B
B' R L U' R B D
B' R L U' R B D'
B' R L U' R B D2
B' R L U' D R B
B' R L U' D' R B
B' R L U' D2 R B
B' R L U' B R B
B' R L U' B' R B
B' R L U' B2 R B
B' R L D U' R B
B' R L D' U' R B
B' R L D2 U' R B
R2 U B' L U F U2
B' R D L U' R B
B' R D' L U' R B
B' R D2 L U' R B
F R D' B' U' R F'
U' R B' L U' R B2
U' R B' L U' B2 R
U2 R B' L R' U' R2
U2 R B' R' L U' R2
F R B' L U' R D
F R B' L U' R D'
F R B' L U' R D2
F R B' L U' D R
F R B' L U' D' R
F R B' L U' D2 R
F R B' L D U' R
F R B' L D' U' R
F R B' L D2 U' R
F R B' D L U' R
F R B' D' L U' R
F R B' D2 L U' R
B' R' L U' R B R2
B' R' L F R U' R2
B2 R' U R' F' L' B'
B' R' F L R U' R2
B' R' F R L U' R2
B' R2 L F R U' R'
F R2 U R' B' L U'
U R2 U B' L R' U'
U R2 U B' R' L U'
R U2 B' L R' U' R2
R U2 B' R' L U' R2
B' R2 F L R U' R'
B' R2 F R L U' R'
