U2 F2 D R' B
U' L' U' R' F2 B'
U' L' U' R' B' F2
U' L' U' F2 R' B'
R2 U R F2 L' B
R2 U R F2 B L'
R2 U R B F2 L'
U R U F2 B R2
U R U B R2 F2
U R U B F2 R2
R2 U' R F2 L' B'
R U' R2 F2 L' B'
U R' F2 D' L2 B'
L' U2 F2 D R' B
L2 U2 F2 D R' B
L U2 F2 D R' B
F U2 F R' D B2
U2 F R' D F B2
U2 F R' D B2 F
U2 F R' F D B2
U2 F2 D R' D B
U2 F2 D R' D' B
U2 F2 D R' D2 B
U2 F2 D R' B D
U2 F2 D R' B D'
U2 F2 D R' B D2
R' F2 B L' D' B2
R' B F2 L' D' B2
D2 B2 D L U2 B'
U' L R U' F2 R2 B
U L R U F2 B R2
U L R U B R2 F2
U L R U B F2 R2
R2 L U R F2 L' B
R2 L U R F2 B L'
R2 L U R B F2 L'
L' R U' R2 F2 L' B'
R2 L U' R F2 L' B'
L2 R U' R2 F2 L' B'
L R U' R2 F2 L' B'
U L R' F2 D' L2 B'
R L U' R2 F2 L' B'
U2 L U L' R' F2 B'
U2 L U L' R' B' F2
U2 L U L' F2 R' B'
U2 L U R' L' F2 B'
U2 L U R' L' B' F2
U' L U F U2 R' F
U' L U F U2 F R'
U L U F2 D R' B
U' L U' R F2 R2 B
U' L U' F2 R2 B R
U' L D' L2 U' R' B'
R' L F2 B L' D' B2
R' L B F2 L' D' B2
B2 L B U' R' U' F2
R2 L' U R F2 L' B
R2 L' U R F2 B L'
R2 L' U R B F2 L'
B2 L B' U L U F2
R2 L' U' R F2 L' B'
R L' U' R2 F2 L' B'
D2 L B2 D L U2 B'
U' L' R U' R2 F2 B'
U' L' R U' R2 B' F2
U' L' R U' F2 R2 B'
U' L' R U' F2 B' R2
U' L' R U' B' R2 F2
U' L' R U' B' F2 R2
U L' R U F2 B R2
U L' R U B R2 F2
U L' R U B F2 R2
U2 L' R' F2 D' L B'
U L' R' F2 D' L2 B'
U' L' R2 U' R F2 B'
U' L' R2 U' R B' F2
U' L' R2 U' B' R F2
U' L' U R' F2 B' L'
U' L' U R' B' F2 L'
D' L' U' L' U' R' B'
U L' U F2 D R' B
U' L' U' R F2 R2 B'
U' L' U' R F2 B' R2
U' L' U' R B' R2 F2
U' L' U' R B' F2 R2
U' L' U' R' F2 D B'
U' L' U' R' F2 D' B'
U' L' U' R' F2 D2 B'
U' L' U' R' F2 B' D
U' L' U' R' F2 B' D'
U' L' U' R' F2 B' D2
U' L' U' R' B' F2 D
U' L' U' R' B' F2 D'
U' L' U' R' B' F2 D2
U' L' U' R2 B' R F2
U' L' U' F R' F B'
U' L' U' F R' B' F
U' L' U' F2 R B' R2
U' L' U' F2 R' D B'
U' L' U' F2 R' D' B'
U' L' U' F2 R' D2 B'
U' L' U' F2 R' B' D
U' L' U' F2 R' B' D'
U' L' U' F2 R' B' D2
U' L' U' F2 R2 B' R
U' L' U' F2 D R' B'
U' L' U' F2 D' R' B'
U' L' U' F2 D2 R' B'
R' L' F2 B L' D' B2
L' R' F2 B L' D' B2
L2 R' F2 B L' D' B2
L R' F2 B L' D' B2
R' L' B F2 L' D' B2
L' R' B F2 L' D' B2
L2 R' B F2 L' D' B2
L R' B F2 L' D' B2
U' L' F U' R' F B'
U' L' F U' R' B' F
U' L' F U' F R' B'
L' R2 U R F2 L' B
L' R2 U R F2 B L'
L' R2 U R B F2 L'
R2 L2 U R F2 L' B
L2 R2 U R F2 L' B
R2 L2 U R F2 B L'
L2 R2 U R F2 B L'
R2 L2 U R B F2 L'
L2 R2 U R B F2 L'
L R2 U R F2 L' B
L R2 U R F2 B L'
L R2 U R B F2 L'
U' L' F' U' F' R' B'
L' R2 U' R F2 L' B'
U2 L' F2 L D R' B
L2 R2 U' R F2 L' B'
R2 L2 U' R F2 L' B'
U2 L' F2 R' D' L B'
L R2 U' R F2 L' B'
R L2 U' R2 F2 L' B'
U2 L' F2 D L R' B
U2 L' F2 D R' L B
U2 L' F2 D' L R' B'
U2 L' F2 D' R' L B'
D2 L' B2 D L U2 B'
U L2 R U F2 B R2
U L2 R U B R2 F2
U L2 R U B F2 R2
U L2 R' F2 D' L2 B'
R' L2 F2 B L' D' B2
U L2 U F2 D R' B
U2 L2 U' R' F2 L2 B'
U' L2 U' F2 D2 R' B
R' L2 B F2 L' D' B2
R2 U L R F2 L' B
R2 U L R F2 B L'
R2 U L R B F2 L'
R2 U L' R F2 L' B
R2 U L' R F2 B L'
R2 U L' R B F2 L'
R2 U L2 R F2 L' B
R2 U L2 R F2 B L'
R2 U L2 R B F2 L'
L' U R U F2 B R2
L' U R U B R2 F2
L' U R U B F2 R2
R2 U R L F2 L' B
R2 U R L F2 B L'
R2 U R L B F2 L'
R2 U R L' F2 L' B
R2 U R L' F2 B L'
R2 U R L' B F2 L'
L2 U R U F2 B R2
L2 U R U B R2 F2
L2 U R U B F2 R2
R2 U R L2 F2 L' B
R2 U R L2 F2 B L'
R2 U R L2 B F2 L'
L U R U F2 B R2
L U R U B R2 F2
L U R U B F2 R2
U2 L2 F2 L2 D R' B
R2 U R F2 L B L2
R2 U R F2 L' D B
R2 U R F2 L' D' B
R2 U R F2 L' D2 B
R2 U R F2 L' B D
R2 U R F2 L' B D'
R2 U R F2 L' B D2
R2 U R F2 D L' B
R2 U R F2 D B L'
R2 U R F2 D' L' B
R2 U R F2 D' B L'
R2 U R F2 D2 L' B
R2 U R F2 D2 B L'
R2 U R F2 B L' D
R2 U R F2 B L' D'
R2 U R F2 B L' D2
R2 U R F2 B D L'
R2 U R F2 B D' L'
R2 U R F2 B D2 L'
R2 U R F2 B' L' B2
R2 U R B L F2 L'
R2 U R B L' F2 L'
R2 U R B L2 F2 L'
R2 U R B F2 L' D
R2 U R B F2 L' D'
R2 U R B F2 L' D2
R2 U R B F2 D L'
R2 U R B F2 D' L'
R2 U R B F2 D2 L'
R2 U R B' F2 L' B2
R U R B R F2 L'
L' U R' F2 D' L2 B'
L2 U R' F2 D' L2 B'
L U R' F2 D' L2 B'
R U R' F' U2 F' R'
R2 U R2 U2 R' F2 B
R2 U R2 U2 R' B F2
R2 U R2 U2 F2 R' B
D2 L2 B2 D L U2 B'
U' R L U' F2 R2 B
U R L U F2 B R2
U R L U B R2 F2
U R L U B F2 R2
U' R L' U' R2 F2 B'
U' R L' U' R2 B' F2
U' R L' U' F2 R2 B'
U' R L' U' F2 B' R2
U' R L' U' B' R2 F2
U' R L' U' B' F2 R2
U R L' U F2 B R2
U R L' U B R2 F2
U R L' U B F2 R2
U R L2 U F2 B R2
U R L2 U B R2 F2
U R L2 U B F2 R2
U R U F B R2 F
U R U F2 B R2 D
U R U F2 B R2 D'
U R U F2 B R2 D2
U R U F2 B' R2 B2
U R U F2 B2 R2 B'
U R U B R' F2 R'
U R U B R2 F2 D
U R U B R2 F2 D'
U R U B R2 F2 D2
U R U B F R2 F
U R U B F2 R2 D
U R U B F2 R2 D'
U R U B F2 R2 D2
U R U B' R2 F2 B2
U R U B' R2 B2 F2
U R U B' F2 R2 B2
U R U B2 R2 F2 B'
U R U B2 R2 B' F2
U R U B2 F2 R2 B'
R2 U B R F2 L' B
R2 U B R F2 B L'
R2 U B R B F2 L'
R2 U B' R F2 L' B
R2 U B' R F2 B L'
R2 U B' R B F2 L'
R2 U B2 R F2 L' B
R2 U B2 R F2 B L'
R2 U B2 R B F2 L'
U R D B2 R2 U B'
R' U' L' U F2 B' L'
R' U' L' U B' F2 L'
L' U' L' U' R' F2 B'
L' U' L' U' R' B' F2
L' U' L' U' F2 R' B'
R2 U' L' R F2 B' L'
R2 U' L' R B' F2 L'
L2 U' L' U' R' F2 B'
L2 U' L' U' R' B' F2
L2 U' L' U' F2 R' B'
L U' L' U' R' F2 B'
L U' L' U' R' B' F2
L U' L' U' F2 R' B'
R U' L' R2 F2 B' L'
R U' L' R2 B' F2 L'
R2 U' L' B' R F2 L'
R2 U' R L' F2 B' L'
R2 U' R L' B' F2 L'
U2 R F2 R' D R' B
R2 U' R F2 L' D B'
R2 U' R F2 L' D' B'
R2 U' R F2 L' D2 B'
R2 U' R F2 L' B' D
R2 U' R F2 L' B' D'
R2 U' R F2 L' B' D2
R2 U' R F2 D L' B'
R2 U' R F2 D' L' B'
R2 U' R F2 D2 L' B'
R2 U' R F2 B L' B'
R2 U' R F2 B' L' B'
R2 U' R F2 B2 L' B'
R2 U' R B F2 L' B'
R2 U' R B' F2 L' B'
R2 U' R B2 F2 L' B'
U R F2 B R2 D' L2
U R B R2 F2 D' L2
R U' R2 L' F2 B' L'
R U' R2 L' B' F2 L'
U R B F2 R2 D' L2
R U' R2 F2 L' D B'
R U' R2 F2 L' D' B'
R U' R2 F2 L' D2 B'
R U' R2 F2 L' B' D
R U' R2 F2 L' B' D'
R U' R2 F2 L' B' D2
R U' R2 F2 D L' B'
R U' R2 F2 D' L' B'
R U' R2 F2 D2 L' B'
R U' R2 F2 B L' B'
R U' R2 F2 B' L' B'
R U' R2 F2 B2 L' B'
R U' R2 B F2 L' B'
R U' R2 B' F2 L' B'
U R B' U R2 F2 B2
U R B' U R2 B2 F2
U R B' U F2 R2 B2
R U' R2 B2 F2 L' B'
U R B' U F2 B2 R2
U R B' U B2 R2 F2
U R B' U B2 F2 R2
F2 R B2 R2 D L B'
U R B2 U R2 F2 B'
U R B2 U R2 B' F2
U R B2 U F2 R2 B'
U R B2 U F2 B' R2
U R B2 U B' R2 F2
U R B2 U B' F2 R2
U R' L F2 D' L2 B'
U2 R' L' F2 D' L B'
U R' L' F2 D' L2 B'
U2 R' U L' U' F2 B'
U2 R' U L' U' B' F2
U R' L2 F2 D' L2 B'
U2 R' U' R U F2 B
U2 R' U' R U B F2
R2 U' B R F2 L' B'
R2 U' B' R F2 L' B'
U R' D R2 U B R2
R2 U' B2 R F2 L' B'
R U' B2 L F2 R2 B
U2 R' F U R U' F
U2 R' F' U' L' U F'
U2 R' F2 L' D' L B'
U2 R' F2 R D R' B
U2 R' F2 D R' B R
U2 R' F2 D' L B' L'
U R' F2 L2 D' B' L2
U R' F2 L2 B' D' L2
B' R' B U' F2 L' R'
B' R' B U' F2 R' L'
U R' F2 D' L2 D B'
U R' F2 D' L2 D' B'
U R' F2 D' L2 D2 B'
U R' F2 D' L2 B' D
U R' F2 D' L2 B' D'
U R' F2 D' L2 B' D2
U R' F2 D' B L2 B'
U R' F2 D' B' L2 B'
U R' F2 D' B2 L2 B'
U R' F2 B D' L2 B'
U R' F2 B' D' L2 B'
U R' F2 B2 D' L2 B'
U R' B F2 D' L2 B'
U R' B' F2 D' L2 B'
U' R2 L' U' R F2 B'
U' R2 L' U' R B' F2
U' R2 L' U' B' R F2
U R' B2 F2 D' L2 B'
L' U2 F R' D F B2
L' U2 F R' D B2 F
L' U2 F R' F D B2
L2 U2 F R' D F B2
L2 U2 F R' D B2 F
L2 U2 F R' F D B2
L U2 F R' D F B2
L U2 F R' D B2 F
L U2 F R' F D B2
L' U2 F2 D R' D B
L' U2 F2 D R' D' B
L' U2 F2 D R' D2 B
L' U2 F2 D R' B D
L' U2 F2 D R' B D'
L' U2 F2 D R' B D2
D R2 U D2 L2 R B
D R2 U D2 R L2 B
D R2 U D2 R B L2
U R2 U R' F2 B R2
U R2 U R' B R2 F2
U R2 U R' B F2 R2
L2 U2 F2 D R' D B
L2 U2 F2 D R' D' B
L2 U2 F2 D R' D2 B
L2 U2 F2 D R' B D
L2 U2 F2 D R' B D'
L2 U2 F2 D R' B D2
L U2 F2 D R' D B
L U2 F2 D R' D' B
L U2 F2 D R' D2 B
L U2 F2 D R' B D
L U2 F2 D R' B D'
L U2 F2 D R' B D2
D R2 D2 U L2 R B
D R2 D2 U R L2 B
D R2 D2 U R B L2
B U L R B U F2
B U L U F R F
D2 U R U B R2 F'
B U R L B U F2
F U R U F B R2
F U R U B R2 F
F U R U B F R2
D U R2 U R' B R2
U D R2 U R' B R2
U' D' L2 U' D2 R' B
D' U' L2 U' D2 R' B
U' D' L2 D2 U' R' B
D' U' L2 D2 U' R' B
F' U' L' U' F' R' B'
U2 D' F R' D F2 B2
U2 D' F R' D B2 F2
U2 D' F2 D R' F2 B
