U2 L U F L' D2 R2
U' L U' L U2 F L'
D' L B2 R' U F' L'
U2 L B2 U R' F L'
U2 L B2 U F L' R'
U2 L B2 U F R' L'
F' L2 R B U L' U
U2 L2 U L' U F L'
F L2 U2 L D' F B2
F L2 U2 L D' B2 F
F L2 U2 L F D' B2
L2 U L' U L F L'
L2 U L' F R U L'
L2 U D' L' F R U
L2 U F R U L' B'
F' R L2 B U L' U
B2 R' U' F L' F2 R
L2 U2 L F D' L' B2
L2 U2 L F D' B2 L'
B2 R' F U' L' F2 R
L2 D' U L' F R U
R' F L U L2 F2 R
R' F L' F2 R D' B2
R' F L' F2 D' R B2
R' F L' F2 D' B2 R
B2 D R' F2 B U' F
B2 D R' B F2 U' F
B2 D F2 R' B U' F'
L2 F' D R F' B U2
L2 F' D R B F' U2
L2 F2 U' R B L U'
D F2 B2 R' B U' F'
D B2 R' F2 B U' F
D B2 R' B F2 U' F
D B2 F2 R' B U' F'
