B' R' F' L' B2 U
B' R' F' B2 L' U
B' R' B2 F' L' U
U2 B L F R U
U2 B L F R U
B' L R' F' L' B2 U
B' L R' F' B2 L' U
B' L R' B2 F' L' U
U2 L F B L R U
U2 L F B R L U
U2 L B F L R U
U2 L B F R L U
B' L' R' F' L' B2 U
B' L' R' F' B2 L' U
B' L' R' B2 F' L' U
F' L' B' R' F' B2 U
F' L' B' R' B2 F' U
B' L2 R' F' L' B2 U
B' L2 R' F' B2 L' U
B' L2 R' B2 F' L' U
B L2 U2 L' B' R' U'
U' R D B L R' F
U' R D B L F R'
U' R D B R' L F
F R D B L U' R'
B' R' L F' L' B2 U
B' R' L F' B2 L' U
B' R' L B2 F' L' U
B' R' L' F' L' B2 U
B' R' L' F' B2 L' U
B' R' L' B2 F' L' U
B' R' L2 F' L' B2 U
B' R' L2 F' B2 L' U
B' R' L2 B2 F' L' U
B' R' D' F' L' U R2
B' R' F' L B2 L2 U
B' R' F' L' U D' R2
B' R' F' L' D' U R2
B' R' F' L' B2 U D
B' R' F' L' B2 U D'
B' R' F' L' B2 U D2
B' R' F' L' B2 D U
B' R' F' L' B2 D' U
B' R' F' L' B2 D2 U
B R' F' L' U D F2
B' R' F' D' L' U R2
B R' F' L' U2 L2 U'
B R' F' L' D U F2
B R' F' L' D2 R2 U
B' R' F' B L' B U
B' R' F' B2 L' U D
B' R' F' B2 L' U D'
B' R' F' B2 L' U D2
B' R' F' B2 L' D U
B' R' F' B2 L' D' U
B' R' F' B2 L' D2 U
B' R' F' B2 D L' U
B' R' F' B2 D' L' U
B' R' F' B2 D2 L' U
B' R' B F' L' B U
B' R' B2 L F' L' U
B' R' B2 L' F' L' U
B' R' B2 L2 F' L' U
B' R' B2 D F' L' U
B' R' B2 D' F' L' U
B' R' B2 D2 F' L' U
B' R' B2 F' L' U D
B' R' B2 F' L' U D'
B' R' B2 F' L' U D2
B' R' B2 F' L' D U
B' R' B2 F' L' D' U
B' R' B2 F' L' D2 U
B' R' B2 F' D L' U
B' R' B2 F' D' L' U
B' R' B2 F' D2 L' U
L' U2 B L F R U
L2 U2 B L F R U
L U2 B L F R U
U2 R2 F' L' B' R' U'
F R2 F' R' B L U'
B' R2 B2 R F' L' U
U2 D B L F R U
B U F' L' D F2 B'
B U F' L' D B' F2
B U F' L' B' D F2
U2 D' B L F R U
F' U' B L' U L2 F
B U2 L' B' L2 R' U'
B U2 L' B' R' L2 U'
D' U2 B L F R U
D2 U2 B L F R U
U2 D2 B L F R U
D U2 B L F R U
U2 F B L R F U
U2 F B R L F U
R F B L R F' U'
R F B R L F' U'
R F B R F' L U'
B' D' R' F' L' U R'
U2 B L R F R U
U2 B L R' F R U
U2 B L R2 F R U
U2 B L D F R U
U2 B L D' F R U
U2 B L D2 F R U
U2 B L F R U D
U2 B L F R U D'
U2 B L F R U D2
U2 B L F R D U
U2 B L F R D' U
U2 B L F R D2 U
U2 B L F D R U
U2 B L F D' R U
U2 B L F D2 R U
R B L F R F' U'
U2 B R L F R U
U2 B R' L F R U
U2 B R2 L F R U
U2 B D L F R U
U2 B D' L F R U
U2 B D2 L F R U
U2 B F L R F U
U2 B F R L F U
R B F L R F' U'
R B F R L F' U'
R B F R F' L U'
D2 B' R' F' L' B2 U
D2 B' R' F' B2 L' U
D' B' R' F' L' B2 U
D' B' R' F' B2 L' U
L' B' R' F' L' B2 U
L' B' R' F' B2 L' U
D2 B' R' B2 F' L' U
D' B' R' B2 F' L' U
L' B' R' B2 F' L' U
L2 B' R' F' L' B2 U
L2 B' R' F' B2 L' U
L2 B' R' B2 F' L' U
B' F' L' R' F' B2 U
B' F' L' R' B2 F' U
D B' R' F' L' B2 U
D B' R' F' B2 L' U
F' B' L' R' F' B2 U
F' B' L' R' B2 F' U
D B' R' B2 F' L' U
L B' R' F' L' B2 U
L B' R' F' B2 L' U
L B' R' B2 F' L' U
B' F' R' L' F' B2 U
B' F' R' L' B2 F' U
F' B' R' L' F' B2 U
F' B' R' L' B2 F' U
B' F' R' B2 L' F' U
F' B' R' B2 L' F' U
