L' R' F' U' F' L'
R' L' F' U' F' L'
L2 R' F' B' U' F'
L2 R' B' F' U' F'
D' L2 R' F' B' U'
D' L2 R' B' F' U'
R' L2 F' B' U' F'
R' L2 B' F' U' F'
D' R' L2 F' B' U'
D' R' L2 B' F' U'
R' D' L2 F' B' U'
R' D' L2 B' F' U'
F U F R D B2
F U2 R' U' F R
R' F' U' D' L2 F'
R' F' U' D' F' L2
R' F' U2 F2 U F
R' F' D' U' L2 F'
R' F' D' U' F' L2
R' F' D2 B2 U' F'
B F U F R B
F B U F R B
D' L R' F' L B' U'
R' L F' L B' U' F'
R' L F' L2 U' F' L'
L2 R' D' F' B' L2 U'
L2 R' D' B' L2 F' U'
L2 R' D' B' F' L2 U'
R' L' F' L' B' U' F'
L' R' F' L' B' U' F'
L2 R' F' L U' F' L'
L R' F' L B' U' F'
R' L' F' U' L F' L'
R' L' F' U' L' F' L'
L R' F' L2 U' F' L'
R' L' F' U' L2 F' L'
R' L' F' U' D F' L'
R' L' F' U' D' F' L'
R' L' F' U' D2 F' L'
R' L' F' U' F' L' D
R' L' F' U' F' L' D'
R' L' F' U' F' L' D2
R' L' F' U' F' D L'
R' L' F' U' F' D' L'
R' L' F' U' F' D2 L'
L' R' F' U' L F' L'
L' R' F' U' L' F' L'
L' R' F' U' L2 F' L'
L' R' F' U' D F' L'
L' R' F' U' D' F' L'
L' R' F' U' D2 F' L'
L' R' F' U' F' L' D
L' R' F' U' F' L' D'
L' R' F' U' F' L' D2
L' R' F' U' F' D L'
L' R' F' U' F' D' L'
L' R' F' U' F' D2 L'
R' L' F' D U' F' L'
L' R' F' D U' F' L'
R' L' F' D' U' F' L'
L' R' F' D' U' F' L'
R' L' F' D2 U' F' L'
L' R' F' D2 U' F' L'
R' L' F' B U' F' L'
L' R' F' B U' F' L'
R' L' F' B' U' F' L'
L' R' F' B' U' F' L'
R' L' F' B2 U' F' L'
L2 R' F' D B' U' F'
L' R' F' B2 U' F' L'
L2 R' F' D' B' U' F'
L2 R' F' D2 B' U' F'
L2 R' F' B' L U' F'
L2 R' F' B' L' U' F'
L2 R' F' B' L2 U' F'
L2 R' F' B' U' D F'
L2 R' F' B' U' D' F'
L2 R' F' B' U' D2 F'
L2 R' F' B' U' F' D
L2 R' F' B' U' F' D'
L2 R' F' B' U' F' D2
L2 R' F' B' D U' F'
L2 R' F' B' D' U' F'
L2 R' F' B' D2 U' F'
R' L' B F' U' F' L'
L' R' B F' U' F' L'
L2 R' B' L F' U' F'
L2 R' B' L' F' U' F'
L2 R' B' L2 F' U' F'
R' L' B' F' U' F' L'
L' R' B' F' U' F' L'
L2 R' B' D' L2 F' U'
L2 R' B' D' F' L2 U'
L2 R' B' F' L U' F'
L2 R' B' F' L' U' F'
L2 R' B' F' L2 U' F'
L2 R' B' F' U' D F'
L2 R' B' F' U' D' F'
L2 R' B' F' U' D2 F'
L2 R' B' F' U' F' D
L2 R' B' F' U' F' D'
L2 R' B' F' U' F' D2
L2 R' B' F' D U' F'
L2 R' B' F' D' U' F'
L2 R' B' F' D2 U' F'
R' L' B2 F' U' F' L'
L' R' B2 F' U' F' L'
F L' B2 L U F R
R' L2 D' F' B' L2 U'
R' L2 D' B' L2 F' U'
R' L2 D' B' F' L2 U'
D' L2 R' D F' B' U'
D' L2 R' D B' F' U'
D' L2 R' D' F' B' U'
D' L2 R' D' B' F' U'
D' L2 R' D2 F' B' U'
D' L2 R' D2 B' F' U'
D' L2 R' F' D B' U'
D' L2 R' F' D' B' U'
D' L2 R' F' D2 B' U'
D' L2 R' F' B' U' D
D' L2 R' F' B' U' D'
D' L2 R' F' B' U' D2
D' L2 R' F' B' D U'
D' L2 R' F' B' D' U'
D' L2 R' F' B' D2 U'
D' L2 R' B' D F' U'
D' L2 R' B' D' F' U'
D' L2 R' B' D2 F' U'
D' L2 R' B' F' U' D
D' L2 R' B' F' U' D'
D' L2 R' B' F' U' D2
D' L2 R' B' F' D U'
D' L2 R' B' F' D' U'
D' L2 R' B' F' D2 U'
U' L2 R' B' U' R' F2
U' L2 R' B' U' F2 R'
R' L2 F' L U' F' L'
D' L2 R2 B' R F' U'
R' L2 F' D B' U' F'
R' L2 F' D' B' U' F'
R' L2 F' D2 B' U' F'
R' L2 F' B' L U' F'
R' L2 F' B' L' U' F'
R' L2 F' B' L2 U' F'
R' L2 F' B' U' D F'
R' L2 F' B' U' D' F'
R' L2 F' B' U' D2 F'
R' L2 F' B' U' F' D
R' L2 F' B' U' F' D'
R' L2 F' B' U' F' D2
R' L2 F' B' D U' F'
R' L2 F' B' D' U' F'
R' L2 F' B' D2 U' F'
R' L2 B' L F' U' F'
R' L2 B' L' F' U' F'
R' L2 B' L2 F' U' F'
L2 R2 B' R F' U' F'
R' L2 B' D' L2 F' U'
R' L2 B' D' F' L2 U'
R2 L2 B' R F' U' F'
R' L2 B' F' L U' F'
R' L2 B' F' L' U' F'
R' L2 B' F' L2 U' F'
R' L2 B' F' U' D F'
R' L2 B' F' U' D' F'
R' L2 B' F' U' D2 F'
R' L2 B' F' U' F' D
R' L2 B' F' U' F' D'
R' L2 B' F' U' F' D2
R' L2 B' F' D U' F'
R' L2 B' F' D' U' F'
R' L2 B' F' D2 U' F'
D' L2 D R' F' B' U'
D' L2 D R' B' F' U'
D' L2 D' R' F' B' U'
D' L2 D' R' B' F' U'
D' L2 D2 R' F' B' U'
D' L2 D2 R' B' F' U'
D' L2 F R' F' B' U'
D' L2 F R' B' F' U'
D' L2 F' R' F' B' U'
D' L2 F' R' B' F' U'
D' L2 F2 R' F' B' U'
D' L2 F2 R' B' F' U'
B L2 B' R' F' U' F'
F2 R U R2 F' U' L'
F R U2 R2 F' U' F2
F R D B U F B
F R D B U B F
L2 U' R' B' U' R' F2
L2 U' R' B' U' F2 R'
F R B U D F B2
F R B U D B2 F
F R B U F D B2
F R B U2 R2 U' F
F R B D U F B2
F R B D U B2 F
D' R' L F' L B' U'
D' R' L2 D F' B' U'
D' R' L2 D B' F' U'
D' R' L2 D' F' B' U'
D' R' L2 D' B' F' U'
D' R' L2 D2 F' B' U'
D' R' L2 D2 B' F' U'
D' R' L2 F' D B' U'
D' R' L2 F' D' B' U'
D' R' L2 F' D2 B' U'
D' R' L2 F' B' U' D
D' R' L2 F' B' U' D'
D' R' L2 F' B' U' D2
D' R' L2 F' B' D U'
D' R' L2 F' B' D' U'
D' R' L2 F' B' D2 U'
D' R' L2 B' D F' U'
D' R' L2 B' D' F' U'
D' R' L2 B' D2 F' U'
D' R' L2 B' F' U' D
D' R' L2 B' F' U' D'
