F2 L2 U' L' R B'
F2 L2 U' L' B' R
F2 L2 U' R L' B'
L' U' L' U' B' L'
L2 U' L' D2 R2 B'
L2 U' L' D2 B' R2
L2 U' L' B' D2 R2
L2 U' B' L' B' R'
L2 U' B2 L' R' B'
L2 U' B2 R' L' B'
D U F2 L R B
U D F2 L R B
D U F2 R L B
U D F2 R L B
L' R U' L' U' B' L'
L2 R U' L' D2 R2 B'
L2 R U' L' D2 B' R2
L2 R U' L' B' D2 R2
L2 R U' B' L' B' R'
L2 R U' B2 L' R' B'
L2 R U' B2 R' L' B'
L' R' U' L' U' B' L'
R' L' U' L' U' B' L'
R2 L' U' L' U' B' L'
L2 R' U' L' D2 R2 B'
L2 R' U' L' D2 B' R2
L2 R' U' L' B' D2 R2
R L' U' L' U' B' L'
L2 R' U' B' L' B' R'
L2 R' U' B2 L' R' B'
L2 R' U' B2 R' L' B'
B' L' U' L' R' B' U'
B' L' U' R' L' B' U'
U L' U' L' U' L' B'
L' R2 U' L' U' B' L'
R' L2 U' L' D2 R2 B'
R' L2 U' L' D2 B' R2
R' L2 U' L' B' D2 R2
L2 R2 U' L' D2 R2 B'
L2 R2 U' L' D2 B' R2
R2 L2 U' L' D2 R2 B'
R2 L2 U' L' D2 B' R2
L2 R2 U' L' B' D2 R2
R2 L2 U' L' B' D2 R2
R L2 U' L' D2 R2 B'
R L2 U' L' D2 B' R2
R L2 U' L' B' D2 R2
R' L2 U' B' L' B' R'
R' L2 U' B2 L' R' B'
R' L2 U' B2 R' L' B'
L2 R2 U' B' L' B' R'
R2 L2 U' B' L' B' R'
L2 R2 U' B2 L' R' B'
L2 R2 U' B2 R' L' B'
R2 L2 U' B2 L' R' B'
R2 L2 U' B2 R' L' B'
R L2 U' B' L' B' R'
R L2 U' B2 L' R' B'
R L2 U' B2 R' L' B'
F2 L2 R' U' L' R2 B'
F2 L2 R' U' L' B' R2
F2 L2 R' U' R2 L' B'
F2 L2 R2 U' L' R' B'
F2 L2 R2 U' R' L' B'
U' L2 U L U2 B' L2
U2 L2 U L U2 L2 B'
U2 L2 U L F U2 L2
F2 L2 U' L' R D B'
F2 L2 U' L' R D' B'
F2 L2 U' L' R D2 B'
F2 L2 U' L' R B' D
F2 L2 U' L' R B' D'
F2 L2 U' L' R B' D2
F2 L2 U' L' R' B' R2
F2 L2 U' L' D R B'
F2 L2 U' L' D B' R
F2 L2 U' L' D' R B'
F2 L2 U' L' D' B' R
F2 L2 U' L' D2 R B'
F2 L2 U' L' D2 B' R
F2 L2 U' L' B R B2
F2 L2 U' L' B' R D
F2 L2 U' L' B' R D'
F2 L2 U' L' B' R D2
F2 L2 U' L' B' D R
F2 L2 U' L' B' D' R
F2 L2 U' L' B' D2 R
F2 L2 U' R L' D B'
F2 L2 U' R L' D' B'
F2 L2 U' R L' D2 B'
F2 L2 U' R L' B' D
F2 L2 U' R L' B' D'
F2 L2 U' R L' B' D2
F2 L2 U' R D L' B'
F2 L2 U' R D' L' B'
F2 L2 U' R D2 L' B'
F2 L2 U' R B L' B'
F2 L2 U' R B' L' B'
F2 L2 U' R B2 L' B'
F2 L2 U' R' L' B' R2
F2 L2 U' D L' R B'
F2 L2 U' D L' B' R
F2 L2 U' D R L' B'
F2 L2 U' D' L' R B'
F2 L2 U' D' L' B' R
F2 L2 U' D' R L' B'
F2 L2 U' D2 L' R B'
F2 L2 U' D2 L' B' R
F2 L2 U' D2 R L' B'
F2 L2 U' B L' R B'
F2 L2 U' B L' B' R
F2 L2 U' B R L' B'
F2 L2 U' B' L' R B'
F2 L2 U' B' L' B' R
F2 L2 U' B' R L' B'
F2 L2 U' B2 L' R B'
F2 L2 U' B2 L' B' R
F2 L2 U' B2 R L' B'
F2 L2 D U' L' R B'
F2 L2 D U' L' B' R
F2 L2 D U' R L' B'
F2 L2 D' U' L' R B'
F2 L2 D' U' L' B' R
F2 L2 D' U' R L' B'
L2 U L R U2 L2 B
L2 U L R U2 B L2
L2 U L R' F' U2 L2
L2 U L U2 L' B' L'
F2 L2 D2 U' L' R B'
F2 L2 D2 U' L' B' R
F2 L2 D2 U' R L' B'
L2 U R L U2 L2 B
L2 U R L U2 B L2
L2 U R' L F' U2 L2
F2 L2 B' R' U' L' R2
F2 L2 B' R' U' R2 L'
R' U D F2 L R B
R' U D F2 R L B
L' U D F2 R U B
R2 U D F2 L R B
R2 U D F2 R L B
R U D F2 L R B
R U D F2 R L B
L' U F2 R U L2 B
L' U F2 R U B L2
L2 U F2 L R U2 B
L2 U F2 R L U2 B
D R U F2 L R B
D R U F2 R L B
U R D F2 L B R
L2 U' L F U2 L2 F'
L2 U' L F U2 F' L2
L' U' L' R U' B' L'
L' U' L' R' U' B' L'
L' U' L' R2 U' B' L'
L' U' L' U' D B' L'
L' U' L' U' D' B' L'
L' U' L' U' D2 B' L'
L' U' L' U' B L' B2
L' U' L' U' B' L' D
L' U' L' U' B' L' D'
L' U' L' U' B' L' D2
L' U' L' U' B' D L'
L' U' L' U' B' D' L'
L' U' L' U' B' D2 L'
L' U' L' U' B2 L' B
L2 U' L' R D2 R2 B'
L2 U' L' R D2 B' R2
L2 U' L' R B' D2 R2
L' U' L' D U' B' L'
L2 U' L' R' D2 R2 B'
L2 U' L' R' D2 B' R2
L2 U' L' R' B' D2 R2
L2 U' L' R2 D2 R2 B'
L2 U' L' R2 D2 B' R2
L' U' L' D' U' B' L'
L2 U' L' R2 B' D2 R2
L' U' L' D2 U' B' L'
L2 U' L' U2 L2 F U2
L2 U' L' D B' D R2
L' U' L' B U' L' B2
L' U' L' B U' B2 L'
L2 U' L' D2 R B' R
L2 U' L' D2 R2 D B'
L2 U' L' D2 R2 D' B'
L2 U' L' D2 R2 D2 B'
L2 U' L' D2 R2 B' D
L2 U' L' D2 R2 B' D'
L2 U' L' D2 R2 B' D2
L2 U' L' D2 B R2 B2
L2 U' L' D2 B' R2 D
L2 U' L' D2 B' R2 D'
L2 U' L' D2 B' R2 D2
L' U' L' B2 U' L' B
L' U' L' B2 U' B L'
L2 U' L' B' R D2 R2
L2 U' L' B' R' D2 R2
L2 U' L' B' R2 D2 R2
L2 U' L' B' U2 L2 U2
L2 U' L' B' D2 R2 D
L2 U' L' B' D2 R2 D'
L2 U' L' B' D2 R2 D2
L2 U' L' B2 D2 B R2
L' U' R L' U' B' L'
L2 U' R L' D2 R2 B'
L2 U' R L' D2 B' R2
L2 U' R L' B' D2 R2
L' U' R' L' U' B' L'
L2 U' R B' L' B' R'
L2 U' R B2 L' R' B'
L2 U' R B2 R' L' B'
L2 U' R' L' D2 R2 B'
L2 U' R' L' D2 B' R2
L2 U' R' L' B' D2 R2
L' U' R2 L' U' B' L'
L2 U' R' B' L' B' R'
L2 U' R' B2 L' R' B'
L2 U' R' B2 R' L' B'
L2 U' R2 L' D2 R2 B'
L2 U' R2 L' D2 B' R2
L2 U' R2 L' B' D2 R2
L2 U' R2 B' L' B' R'
L2 U' R2 B2 L' R' B'
L2 U' R2 B2 R' L' B'
L2 U' D L' D2 R2 B'
L2 U' D L' D2 B' R2
L2 U' D L' B' D2 R2
L' U' D' L' B2 U' B
L2 U' D B' L' B' R'
L2 U' D B2 L' R' B'
L2 U' D B2 R' L' B'
L2 U' D' L' D2 R2 B'
L2 U' D' L' D2 B' R2
L2 U' D' L' B' D2 R2
L' U' D' B2 L' U' B'
L2 U' D' B' L' B' R'
L2 U' D' B2 L' R' B'
L2 U' D' B2 R' L' B'
L2 U' D2 L' D2 R2 B'
L2 U' D2 L' D2 B' R2
L2 U' D2 L' B' D2 R2
L2 U' D2 B' L' B' R'
L2 U' D2 B2 L' R' B'
L2 U' D2 B2 R' L' B'
F2 R' L2 U' L' R2 B'
F2 R' L2 U' L' B' R2
F2 R' L2 U' R2 L' B'
D R' U F2 L R B
D R' U F2 R L B
L' U' B L' U' B' L'
L2 U' B L' B R' B2
L' U' B' L' U' B' L'
L2 U' B' L' R B' R'
L2 U' B' L' R' B' R'
L2 U' B' L' R2 B' R'
L2 U' B' L' D B' R'
L2 U' B' L' D' B' R'
L2 U' B' L' D2 B' R'
L2 U' B' L' B' R' D
L2 U' B' L' B' R' D'
L2 U' B' L' B' R' D2
L2 U' B' L' B' D R'
L2 U' B' L' B' D' R'
L2 U' B' L' B' D2 R'
L2 U' B' R L' B' R'
L2 U' B' R' L' B' R'
L2 U' B' R2 L' B' R'
B2 R' D L' F U2 F
L2 U' B' D L' B' R'
L2 U' B' D' L' B' R'
L' U' B2 L' U' B' L'
L2 U' B' D2 L' B' R'
L2 U' B2 L' R B' R2
L2 U' B2 L' R' D B'
L2 U' B2 L' R' D' B'
L2 U' B2 L' R' D2 B'
L2 U' B2 L' R' B' D
L2 U' B2 L' R' B' D'
L2 U' B2 L' R' B' D2
L2 U' B2 L' R2 B' R
L2 U' B2 L' D R' B'
L2 U' B2 L' D' R' B'
L2 U' B2 L' D2 R' B'
L2 U' B2 R L' B' R2
L2 U' B2 R' L' D B'
L2 U' B2 R' L' D' B'
L2 U' B2 R' L' D2 B'
L2 U' B2 R' L' B' D
L2 U' B2 R' L' B' D'
L2 U' B2 R' L' B' D2
L2 U' B2 R' D L' B'
L2 U' B2 R' D' L' B'
L2 U' B2 R' D2 L' B'
L2 U' B2 R' B L' B'
L2 U' B2 R' B' L' B'
L2 U' B2 R' B2 L' B'
L2 U' B2 R2 L' B' R
L2 U' B2 D L' R' B'
L2 U' B2 D R' L' B'
L2 U' B2 D' L' R' B'
L2 U' B2 D' R' L' B'
L2 U' B2 D2 L' R' B'
L2 U' B2 D2 R' L' B'
F2 R2 L2 U' L' R' B'
F2 R2 L2 U' R' L' B'
D2 R2 U' L' U2 B' L2
D R2 U F2 L R B
D R2 U F2 R L B
L2 U2 B2 U L' R' B'
L2 U2 B2 U R' L' B'
D2 R2 F2 U L R B
D2 R2 F2 U R L B
R' D U F2 L R B
R' D U F2 R L B
L' D U F2 R U B
R2 D U F2 L R B
R2 D U F2 R L B
L2 D U' L' D2 R2 B'
L2 D U' L' D2 B' R2
L2 D U' L' B' D2 R2
R D U F2 L R B
R D U F2 R L B
L2 D U' B' L' B' R'
L2 D U' B2 L' R' B'
L2 D U' B2 R' L' B'
U' D L F2 D2 R2 B
U' D L' U2 F2 B' L2
U' D L' U2 B' L2 F2
U' D L' U2 B' F2 L2
F2 U R D L F2 B
F2 U R D L B F2
F2 U R D F2 L B
L D F2 L U' L' B'
D U R F2 L B R
U D R F2 L B R
F2 U D L R F2 B
F2 U D L R B F2
F2 U D R L F2 B
F2 U D R L B F2
F2 U D R F2 L B
D U F' L F' R B
U' D F2 L' R B' L2
U' D F2 L' B' L2 R
U' D F2 L' B' R L2
U' D F2 R L' B' L2
U D F' L F' R B
U2 D F2 R D' L B'
D U F2 L R D B
D U F2 L R D' B
D U F2 L R D2 B
D U F2 L R B D
D U F2 L R B D'
D U F2 L R B D2
D U F2 L D R B
D U F2 L D' R B
D U F2 L D2 R B
D U F2 L B R B
D U F2 L B' R B
D U F2 L B2 R B
D U F2 L' R B L2
D U F2 L2 R B L'
D U F2 R L D B
D U F2 R L D' B
D U F2 R L D2 B
D U F2 R L B D
D U F2 R L B D'
D U F2 R L B D2
D U F2 R L' B L2
D U F2 R L2 B L'
D U F2 R D L B
D U F2 R D' L B
D U F2 R D2 L B
U2 D F2 D' L R B'
U2 D F2 D' L B' R
U2 D F2 D' R L B'
U D F2 L R D B
U D F2 L R D' B
U D F2 L R D2 B
U D F2 L R B D
U D F2 L R B D'
U D F2 L R B D2
U D F2 L D R B
U D F2 L D' R B
U D F2 L D2 R B
U D F2 L B R B
U D F2 L B' R B
U D F2 L B2 R B
U D F2 L' R B L2
U D F2 L2 R B L'
D U F2 D L R B
D U F2 D R L B
U D F2 R L D B
U D F2 R L D' B
U D F2 R L D2 B
U D F2 R L B D
U D F2 R L B D'
U D F2 R L B D2
U D F2 R L' B L2
U D F2 R L2 B L'
U D F2 R D L B
U D F2 R D' L B
U D F2 R D2 L B
D U F2 D' L R B
D U F2 D' R L B
D U F2 D2 L R B
D U F2 D2 R L B
D U F2 B' R B L
U D F2 D L R B
U D F2 D R L B
U D F2 D' L R B
U D F2 D' R L B
U D F2 D2 L R B
U D F2 D2 R L B
U D F2 B' R B L
D' U B2 L' R' F' U2
D' U B2 R' L' F' U2
D U B' F2 R B L
U D B' F2 R B L
D' U' L D2 F2 R2 B
U' D' L D2 F2 R2 B
U' D' L' U2 B' L2 F
D' U' L' U2 B' L2 F
D U' L F2 D2 R2 B
D' U' L' B2 U2 L2 B
U' D' L' B2 U2 L2 B
U' D' L' B2 U2 B L2
D' U' L' B2 U2 B L2
L' D' U' L' B2 U' B
D U' L' U2 F2 B' L2
D U' L' U2 B' L2 F2
D U' L' U2 B' F2 L2
L2 D' U' L' D2 R2 B'
L2 D' U' L' D2 B' R2
L2 D' U' L' B' D2 R2
L' D' U' B2 L' U' B'
L2 D' U' B' L' B' R'
L2 D' U' B2 L' R' B'
L2 D' U' B2 R' L' B'
D U' F2 L' R B' L2
D U' F2 L' B' L2 R
D U' F2 L' B' R L2
D U' F2 R L' B' L2
D' U' B2 L' R' U2 B'
U' D' B2 L' R' U2 B'
D' U' B2 R' L' U2 B'
U' D' B2 R' L' U2 B'
L D2 L U' L' R2 B'
L D2 L U' L' B' R2
L D2 L U' R2 L' B'
U D' B2 L' R' F' U2
U D' B2 R' L' F' U2
L' D2 R2 U' L' U' B'
L2 D2 U' L' D2 R2 B'
L2 D2 U' L' D2 B' R2
L2 D2 U' L' B' D2 R2
L2 D2 U' B' L' B' R'
L2 D2 U' B2 L' R' B'
L2 D2 U' B2 R' L' B'
F2 U2 L2 U' L' R B
F2 U2 L2 U' R L' B
F2 U2 L2 U' R B L'
D U2 F2 R D' L B'
D U2 F2 D' L R B'
D U2 F2 D' L B' R
D U2 F2 D' R L B'
B2 D L' R' F U2 F
B2 D L' F R' U2 F
B2 D R' L' F U2 F
F2 D U L R F2 B
F2 D U L R B F2
F2 D U R L F2 B
F2 D U R L B F2
F2 D U R F2 L B
B2 D F2 B2 L R B'
B2 D F2 B2 L B' R
B2 D F2 B2 R L B'
D F' U L F' R B
B2 D B2 F2 L R B'
B2 D B2 F2 L B' R
B2 D B2 F2 R L B'
D F' U F' L R B
D F' U F' R L B
B2 D' L' R' B2 U2 B'
B2 D' R' L' B2 U2 B'
R' F2 L2 U' L' R B'
R' F2 L2 U' L' B' R
R' F2 L2 U' R L' B'
D F2 L B' R D B2
R2 F2 L2 U' L' R B'
R2 F2 L2 U' L' B' R
R2 F2 L2 U' R L' B'
R F2 L2 U' L' R B'
R F2 L2 U' L' B' R
R F2 L2 U' R L' B'
U F2 R D L F2 B
U F2 R D L B F2
U F2 R D F2 L B
L' F2 U R U L2 B
L' F2 U R U B L2
L2 F2 U L R U2 B
L2 F2 U R L U2 B
U F2 D L R F2 B
U F2 D L R B F2
U F2 D R L F2 B
U F2 D R L B F2
U F2 D R F2 L B
L2 B' R' B' U' L' R'
L2 B' R' B' U' R' L'
L' B' U' L' R' U' L'
L' B' U' R' L' U' L'
U B' D F2 R B L
D' B2 L' D' R' U2 B
D' B2 R' D L' F U2
L2 B2 U' L' D' R' B
L2 B2 U' D' L' R' B
L2 B2 U' D' R' L' B
L2 B2 U' D' R' B L'
D' B2 D L' R' F U2
D' B2 D L' F R' U2
D' B2 D R' L' F U2
D' B2 D' L' R' U2 B
D' B2 D' R' L' U2 B
L2 B2 D' U' L' R' B
L2 B2 D' U' R' L' B
L2 B2 D' U' R' B L'
