R2 B2 R U L B'
L R U R2 B2 U B
R L U R2 B2 U B
F2 L R' B2 U L2 B
F2 L R' B2 U B L2
L' R U2 D' F2 R2 B
L R U2 D' R2 F2 B'
L R U2 D' R2 B' F2
L R U2 D' F2 R2 B'
L R U2 D' F2 B' R2
L R U2 D' B' R2 F2
L R U2 D' B' F2 R2
B2 L U R U2 R' B'
R L U2 D' R2 F2 B'
R L U2 D' R2 B' F2
R L U2 D' F2 R2 B'
R L U2 D' F2 B' R2
R L U2 D' B' R2 F2
R L U2 D' B' F2 R2
L' R D L2 B2 U2 B
L R D L2 F B2 U2
L R D L2 B2 F U2
L' R D F L2 B2 U2
R L D L2 F B2 U2
R L D L2 B2 F U2
L' R D F B2 L2 U2
L' R D B2 L2 U2 B'
L' R D B2 F L2 U2
L R D B2 L2 U2 B
R L D B2 L2 U2 B
L' R D' U2 F2 R2 B
L' R D' F U2 R2 F
L' R D' F U2 F R2
L R D' U2 R2 F2 B'
L R D' U2 R2 B' F2
L R D' U2 F2 R2 B'
L R D' U2 F2 B' R2
R' L D' F2 U R2 B'
L R D' U2 B' R2 F2
R' L D' F2 U B' R2
L R D' U2 B' F2 R2
R L D' U2 R2 F2 B'
R L D' U2 R2 B' F2
R L D' U2 F2 R2 B'
R L D' U2 F2 B' R2
R L D' U2 B' R2 F2
R L D' U2 B' F2 R2
L' R F U R2 B2 U
L' R F U B2 R2 U
L' R F U2 D' R2 F2
L' R F U2 D' F2 R2
L' R F D L2 B2 U2
L' R F D B2 L2 U2
L' R F D' U2 R2 F2
L' R F D' U2 F2 R2
R' L B2 U D2 L2 B
R' L B2 U D2 B L2
R' L B2 U B D2 L2
R' L B2 U' R2 F' U2
R' L B2 D' F2 U B
R' L B2 D2 U L2 B
R' L B2 D2 U B L2
R L' U2 D' F2 R2 B
F2 L' R D' F2 R2 B
R L' D L2 B2 U2 B
R L' D F L2 B2 U2
R L' D F B2 L2 U2
R L' D B2 L2 U2 B'
R L' D B2 F L2 U2
R' L' D' F2 U R2 B
L' R' D' F2 U R2 B
R L' D' U2 F2 R2 B
R L' D' F U2 R2 F
R L' D' F U2 F R2
L R' D' F2 U R2 B'
L R' D' F2 U B' R2
R L' F U R2 B2 U
R L' F U B2 R2 U
R L' F U2 D' R2 F2
R L' F U2 D' F2 R2
R L' F D L2 B2 U2
R L' F D B2 L2 U2
R L' F D' U2 R2 F2
R L' F D' U2 F2 R2
R' L' B2 U D2 L2 B'
L' R' B2 U D2 L2 B'
R' L' B2 U' R2 F U2
R' L' B2 U' F R2 U2
L' R' B2 U' R2 F U2
L' R' B2 U' F R2 U2
R' L' B2 D2 U L2 B'
L R' B2 U D2 L2 B
L R' B2 U D2 B L2
L' R' B2 D2 U L2 B'
L R' B2 U B D2 L2
L R' B2 U' R2 F' U2
L R' B2 D' F2 U B
L R' B2 D2 U L2 B
L R' B2 D2 U B L2
R U L R2 B2 U B
R U R2 L B2 U B
R U R2 B2 L U B'
F2 R L' D' F2 R2 B
B2 R U2 L U' B' L'
D2 R D F' B2 U2 R2
D2 R D B2 U2 R2 B
D2 R D B2 F' U2 R2
D2 R D' L2 F' U2 F'
R2 U B2 R U L B'
R U B2 L R2 U B'
D2 R D' F' L2 U2 F'
R U B2 R2 L U B'
D2 R F' U R2 B U
F2 R' L B2 U L2 B
F2 R' L B2 U B L2
R2 U' B2 R U L B'
D' R' D' F2 U R' B
D2 R' D2 B2 U B' L2
F2 R' B2 L U B' L2
F2 R' B2 U L B' L2
R2 U2 B2 R U L B'
U' R2 B2 R U L B'
U2 R2 B2 R U L B'
U R2 B2 R U L B'
B2 U' R U' L U' B'
R' D' F2 B' L U R2
R' D' B' L F2 U R2
R' D' B' F2 L U R2
B2 U2 L U R U2 B'
R2 F' B2 U L F B'
R2 F' B2 U L B' F
L F2 R' B2 U L' B
L F2 R' B2 U B L'
D2 F2 U2 R' U L' B
D2 F2 U2 R' U B L'
R2 B' R B' U L B'
R' B' D' F2 B' L U
R' B' D' B' L F2 U
R' B' D' B' F2 L U
R' B2 L U D2 B' L2
R' B2 L U B' D2 L2
R' B2 L U' R2 U2 B'
R' B2 L D' F2 U B'
R' B2 L D2 U B' L2
R' B2 L' U D2 L2 B'
R' B2 L' U' R2 F U2
R' B2 L' U' F R2 U2
R' B2 L' D2 U L2 B'
R2 B2 L' R U L2 B'
R2 B2 R L' U L2 B'
R2 B2 R U L D B'
R2 B2 R U L D' B'
R2 B2 R U L D2 B'
R2 B2 R U L B' D
R2 B2 R U L B' D'
R2 B2 R U L B' D2
R2 B2 R F U L B'
R2 B2 R F' U L B'
R2 B2 R F2 U L B'
R' B2 U L D2 B' L2
R' B2 U L B' D2 L2
R' B2 U L' D2 L2 B'
B2 F2 U2 L U' B' L2
F2 B2 U2 L U' B' L2
R2 B2 F' U L F B'
R2 B2 F' U L B' F
