R' U' R' F' B L
R' U' R' B L F'
R' U' R' B F' L
B R' U' R' F' B
B R' U' R' B F'
F' U' L' B U' R2
B U' R' F' R' B
F' U' B L' U' R2
U2 B L U' R2 B
B L R' U' R' F' B
B L R' U' R' B F'
R' L U' R' F' B L
R' L U' R' B L F'
R' L U' R' B F' L
U L R2 F D' L2 B
U L R2 F D' B L2
U L R2 F B D' L2
U L R2 B F D' L2
B2 L U R2 B L F
F' L U' L2 B U' R2
B L U' R' F' R' B
F' L U' B L2 U' R2
U2 L B L U' R2 B
U L B U' R2 F B
U L B U' R2 B F
R' L' U' R' F' B L
R' L' U' R' B L F'
L' R' U' R' F' B L
R' L' U' R' B F' L
L' R' U' R' B L F'
L' R' U' R' B F' L
L R' U' R' F' B L
L R' U' R' B L F'
L R' U' R' B F' L
L2 R' U' R' F' B L
L2 R' U' R' B L F'
L2 R' U' R' B F' L
B L' R' U' R' F' B
B L' R' U' R' B F'
B L' U' R' F' R' B
F' L' F B U' R2 B
R' L2 U' R' F' B L
R' L2 U' R' B L F'
R' L2 U' R' B F' L
U2 L' B L U' R2 B
F' L' B U' R2 D B2
F' L' B F U' R2 B
B L2 R' U' R' F' B
B L2 R' U' R' B F'
F' L2 U' L B U' R2
B L2 U' R' F' R' B
D2 L2 F' U' L' B U'
D2 L2 F' U' B L' U'
U2 L2 B L U' R2 B
R' U' L R' F' B L
R' U' L R' B L F'
R' U' L R' B F' L
R' U' L' R' F' B L
R' U' L' R' B L F'
R' U' L' R' B F' L
R' U' L2 R' F' B L
R' U' L2 R' B L F'
R' U' L2 R' B F' L
R' U' R' L F' B L
R' U' R' L B L F'
R' U' R' L B F' L
R' U' R' L' F' B L
R' U' R' L' B L F'
R' U' R' L' B F' L
R' U' R' L2 F' B L
R' U' R' L2 B L F'
R' U' R' L2 B F' L
R' U' R' D F' B L
R' U' R' D B L F'
R' U' R' D B F' L
R' U' R' D' F' B L
R' U' R' D' B L F'
R' U' R' D' B F' L
R' U' R' D2 F' B L
R' U' R' D2 B L F'
R' U' R' D2 B F' L
R' U' R' F B L F2
R' U' R' F' L B L
R' U' R' F' L' B L
R' U' R' F' L2 B L
R' U' R' F' D B L
R' U' R' F' D' B L
R' U' R' F' D2 B L
R' U' R' F' B L D
R' U' R' F' B L D'
R' U' R' F' B L D2
R' U' R' F' B D L
R' U' R' F' B D' L
R' U' R' F' B D2 L
R' U' R' B L D F'
R' U' R' B L D' F'
R' U' R' B L D2 F'
R' U' R' B L F' D
R' U' R' B L F' D'
R' U' R' B L F' D2
R' U' R' B L' F' L2
R' U' R' B D L F'
R' U' R' B D F' L
R' U' R' B D' L F'
R' U' R' B D' F' L
R' U' R' B D2 L F'
R' U' R' B D2 F' L
R' U' R' B F L F2
R' U' R' B F' L D
R' U' R' B F' L D'
R' U' R' B F' L D2
R' U' R' B F' D L
R' U' R' B F' D' L
R' U' R' B F' D2 L
B R' L U' R' F' B
B R' L U' R' B F'
R' U' F R' F' B L
R' U' F R' B L F'
R' U' F R' B F' L
B R' L' U' R' F' B
B R' L' U' R' B F'
R' U' F' R' F' B L
R' U' F' R' B L F'
R' U' F' R' B F' L
B R' L2 U' R' F' B
B R' L2 U' R' B F'
R' U' F2 R' F' B L
R' U' F2 R' B L F'
R' U' F2 R' B F' L
U2 R' U R' F' L' B
U2 R' U R' F' B L'
U2 R' U R' B F' L'
U' R' U F' L' R' B
U' R' U F' R' L' B
U' R' U F' R' B L'
U2 R' U' R' B L F
U' R' U' F' R' B L
B R' U' R' D F' B
B R' U' R' D B F'
B R' U' R' D' F' B
B R' U' R' D' B F'
B R' U' R' D2 F' B
B R' U' R' D2 B F'
B R' U' R' F' D B
B R' U' R' F' D' B
B R' U' R' F' D2 B
B R' U' R' F' B D
B R' U' R' F' B D'
B R' U' R' F' B D2
B R' U' R' B D F'
B R' U' R' B D' F'
B R' U' R' B D2 F'
B R' U' R' B F' D
B R' U' R' B F' D'
B R' U' R' B F' D2
B R' U' F R' F' B
B R' U' F R' B F'
B R' U' F' R' F' B
B R' U' F' R' B F'
B R' U' F2 R' F' B
B R' U' F2 R' B F'
B R' F' L' U' R' B
U R2 L F D' L2 B
U R2 L F D' B L2
U R2 L F B D' L2
U R2 L B F D' L2
L' U2 B L U' R2 B
L2 U2 B L U' R2 B
L U2 B L U' R2 B
U R2 B L F D' L2
B U L U2 R2 F B
B U L U2 R2 B F
B U L F' U2 R2 F2
B U L F' U2 F2 R2
B U L' F' B' U2 R2
B U L' B' U2 R2 B
B U L' B' F' U2 R2
B U F' L U2 R2 F
B U F' L U2 F R2
B U F' L' B' U2 R2
B U F' U2 R' F' R'
F' U' L B L2 U' R2
F' U' L' D' F2 B U'
F' U' L' D' B F2 U'
F' U' L' F B U' R2
F' U' L' F' B U' R2
F' U' L' F2 B U' R2
F' U' L' B U' R2 D
F' U' L' B U' R2 D'
F' U' L' B U' R2 D2
F' U' L' B D' F2 U'
F' U' L' B F U' R2
F' U' L' B F' U' R2
F' U' L' B F2 U' R2
B U' R' F R' F2 B
B U' R' F R' B F2
B U' R' F' R' D B
B U' R' F' R' D' B
B U' R' F' R' D2 B
B U' R' F' R' B D
B U' R' F' R' B D'
B U' R' F' R' B D2
B U' R' F2 R' F B
B U' R' F2 R' B F
B U' R2 B R F' R'
F' U' D' L' F2 B U'
F' U' D' L' B F2 U'
F' U' D' B L' F2 U'
F' U' B L' U' R2 D
F' U' B L' U' R2 D'
F' U' B L' U' R2 D2
F' U' B L' D' F2 U'
F' U' B L' F U' R2
F' U' B L' F' U' R2
F' U' B L' F2 U' R2
F' U' B D' L' F2 U'
F' U' B' L' B2 U' R2
B U' B R' F' R' B
B U' B' R' F' R' B
B U' B2 R' F' R' B
F' U2 L' B U' R2 B'
F' U2 L' B U' B' R2
B U2 R' U R' F' B
B U2 R' U R' B F'
R2 F R F2 U R' B
R F R F' U B R
B U2 B' R' U R' B
R2 F B U' R F2 U
R' F' L' U' R' B L
D2 F' L2 U' L B U'
D' F' U' L' F' B U'
D' F' U' L' B F' U'
R2 F' U L' U' L B
L' F' U' L' B U' R2
U' F' U' B L U' R2
D' F' U' B L' F' U'
L2 F' U' L' B U' R2
L' F' U' B L' U' R2
L2 F' U' B L' U' R2
L F' U' L' B U' R2
L F' U' B L' U' R2
R2 F' B U L' U' L
F' D' U' L' F2 B U'
F' D' U' L' B F2 U'
F' D' U' B L' F2 U'
F' D2 L2 U' L B U'
U2 B L R' U' R' B
U2 B L U F' U2 R2
U2 B L U' R2 D B
U2 B L U' R2 D' B
U2 B L U' R2 D2 B
U2 B L U' R2 B D
U2 B L U' R2 B D'
U2 B L U' R2 B D2
U2 B L U' B R2 B
U2 B L U' B' R2 B
U2 B L U' B2 R2 B
U B L U' R2 F B
U B L U' R2 B F
U' B R' U' F' R' B
L' B R' U' R' F' B
L' B R' U' R' B F'
U2 B R' L U' R' B
L2 B R' U' R' F' B
L2 B R' U' R' B F'
L B R' U' R' F' B
L B R' U' R' B F'
D B R2 F' L' U' B
L' B U' R' F' R' B
L2 B U' R' F' R' B
R2 B U' F' R' U F'
F' B L' U' R2 D B2
F' B L' F U' R2 B
L B U' R' F' R' B
R2 B F U' R F2 U
R2 B F' U L' U' L
F' B U' L' U' L R2
F' B U' L' U' R2 L
B F' L' U' R2 D B2
B F' L' F U' R2 B
B' F' U' L' B2 U' R2
F' B' U' L' B2 U' R2
B' F' U' B2 L' U' R2
F' B' U' B2 L' U' R2
B2 F' U' B' L' U' R2
B F' U' L' U' L R2
B F' U' L' U' R2 L
F' B2 U' B' L' U' R2
