U L R2 F B'
U L R2 B' F
U L F R2 B'
U L F B' R2
U L B' R2 F
U L B' F R2
U R2 L F B'
U R2 L B' F
U L R B' R F
U L R' F R' B'
U' L R' F' R' B'
U L R2 D F B'
U L R2 D B' F
U L R2 D' F B'
F' L R2 D F2 B'
U L R2 D' B' F
F' L R2 D B' F2
U L R2 D2 F B'
U L R2 D2 B' F
U L R2 F D B'
U L R2 F D' B'
U L R2 F D2 B'
U L R2 F B' D
U L R2 F B' D'
U L R2 F B' D2
U L R2 B' D F
U L R2 B' D' F
U L R2 B' D2 F
U L R2 B' F D
U L R2 B' F D'
U L R2 B' F D2
F' L R2 B' D F2
U L F R B' R
U L F R2 D B'
U L F R2 D' B'
U L F R2 D2 B'
U L F R2 B' D
U L F R2 B' D'
U L F R2 B' D2
U L F B R2 B2
U L F B' R2 D
U L F B' R2 D'
U L F B' R2 D2
U L F' R2 F2 B'
U L F' R2 B' F2
U L F' B' R2 F2
U L B R2 F B2
U L B R2 B2 F
U L B F R2 B2
F' L B' R2 D F2
U' L B' R' F' R'
U L B' R' F R'
U L B' R2 D F
U L B' R2 D' F
U L B' R2 D2 F
U L B' R2 F D
U L B' R2 F D'
U L B' R2 F D2
U L B' F R2 D
U L B' F R2 D'
U L B' F R2 D2
U L B' F' R2 F2
F' L' U' L2 R2 B'
F' L' U' L2 B' R2
F' L' U' R2 L2 B'
R' U L R' F B'
R' U L R' B' F
R' U L F R' B'
R U L R F B'
R U L R B' F
R U L B' R F
R' U R' L F B'
R' U R' L B' F
R U R L F B'
R U R L B' F
U R L B' R F
F R U L R B'
F R U L B' R
F R U R L B'
R' U' L R' F' B'
R' U' L R' B' F'
R' U' R' L F' B'
R' U' R' L B' F'
R' U' R' F' L B'
U' R' L F' R' B'
U R' L F R' B'
U' R' F' L R' B'
U' R' F' R' L B'
F' R2 L D F2 B'
F' R2 L D B' F2
F' R2 L B' D F2
U R2 L D F B'
U R2 L D B' F
U R2 L D' F B'
U R2 L D' B' F
U R2 L D2 F B'
U R2 L D2 B' F
U R2 L F D B'
U R2 L F D' B'
U R2 L F D2 B'
U R2 L F B' D
U R2 L F B' D'
U R2 L F B' D2
U R2 L B' D F
U R2 L B' D' F
U R2 L B' D2 F
U R2 L B' F D
U R2 L B' F D'
U R2 L B' F D2
U R2 F L F B'
U R2 F L B' F
U R2 F' L F B'
U R2 F' L B' F
U R2 F2 L F B'
U R2 F2 L B' F
U F L R2 F B'
U F L R2 B' F
U F L F R2 B'
U F L F B' R2
U F L B' R2 F
U F L B' F R2
U F R2 L F B'
U F R2 L B' F
R2 F' L D F2 B'
R2 F' L D B' F2
R2 F' L B' D F2
U F' L R2 F B'
U F' L R2 B' F
U F' L F R2 B'
U F' L F B' R2
U F' L B' R2 F
U F' L B' F R2
U F' R2 L F B'
U F' R2 L B' F
U F2 L R2 F B'
U F2 L R2 B' F
U F2 L F R2 B'
U F2 L F B' R2
U F2 L B' R2 F
U F2 L B' F R2
U F2 R2 L F B'
U F2 R2 L B' F
F' L R D R F2 B'
F' L R D R B' F2
F' L R D B' R F2
F2 L R D R F' B'
F2 L R D R B' F'
F2 L R D B' R F'
U L R D R F B'
U L R D R B' F
U L R D B' R F
U L R D' R F B'
U L R D' R B' F
U L R D' B' R F
U L R D2 R F B'
U L R D2 R B' F
U L R D2 B' R F
F' L R B' R D F2
U' L R B' R D2 F2
F' L R B' D R F2
U2 L R B' R D' F2
U' L R B' D2 R F2
F2 L R B' D R F'
U L R B R F B2
U L R B R B2 F
U L R B' R D F
U L R B' R D' F
U L R B' R D2 F
U L R B' R F D
U L R B' R F D'
U L R B' R F D2
U L R B' R' F R2
U L R B' R2 F R'
U L R B' D R F
U L R B' D' R F
U L R B' D2 R F
F' L R' D R' F2 B'
F' L R' D R' B' F2
F' L R' D F2 R' B'
U' L R' D F' R' B'
U' L R' D' F' R' B'
U' L R' D2 F' R' B'
U' L R' F R' F2 B'
U' L R' F R' B' F2
F L R' D' R' F2 B'
F L R' D' R' B' F2
U L R' D R' F B'
U L R' D R' B' F
F L R' D' F2 R' B'
U L R' D F R' B'
U' L R' F' R B' R2
U' L R' F' R' D B'
U' L R' F' R' D' B'
U' L R' F' R' D2 B'
U' L R' F' R' B' D
U' L R' F' R' B' D'
U' L R' F' R' B' D2
U' L R' F' R2 B' R
U' L R' F' D R' B'
R2 L U' R' U F' B'
U' L R' F' D' R' B'
R2 L U' R' U B' F'
U' L R' F' D2 R' B'
U L R' D' R' F B'
U L R' D' R' B' F
U L R' D' F R' B'
U' L R' F2 R' F B'
U' L R' F2 R' B' F
U L R' D2 R' F B'
U L R' D2 R' B' F
U L R' D2 F R' B'
U L R' F R B' R2
U L R' F R' D B'
U L R' F R' D' B'
U L R' F R' D2 B'
U L R' F R' B' D
U L R' F R' B' D'
U L R' F R' B' D2
U L R' F R2 B' R
U L R' F D R' B'
U L R' F D' R' B'
U L R' F D2 R' B'
U L R' F' R' F2 B'
U L R' F' R' B' F2
U' L R' B' D2 F' R
F' L R2 D F2 D B'
F' L R2 D F2 D' B'
F' L R2 D F2 D2 B'
F' L R2 D F2 B' D
F' L R2 D F2 B' D'
F' L R2 D F2 B' D2
F' L R2 D B' F2 D
F' L R2 D B' F2 D'
F' L R2 D B' F2 D2
F L R2 U' R' U B'
F' L R2 D2 B' D' F2
F' L R2 F D F2 B'
F' L R2 F D B' F2
F' L R2 F B' D F2
U L R2 D F D B'
U L R2 D F D' B'
U L R2 D F D2 B'
U L R2 D F B' D
U L R2 D F B' D'
U L R2 D F B' D2
U L R2 D B' D F
U L R2 D B' D' F
U L R2 D B' D2 F
U L R2 D B' F D
U L R2 D B' F D'
U L R2 D B' F D2
F' L R2 F' D F2 B'
F' L R2 F' D B' F2
F' L R2 F' B' D F2
U L R2 D' F D B'
U L R2 D' F D' B'
U L R2 D' F D2 B'
U L R2 D' F B' D
U L R2 D' F B' D'
U L R2 D' F B' D2
U L R2 D' B' D F
U L R2 D' B' D' F
U L R2 D' B' D2 F
F' L R2 F2 D F2 B'
U L R2 D' B' F D
U L R2 D' B' F D'
U L R2 D' B' F D2
F' L R2 F2 D B' F2
F' L R2 F2 B' D F2
U L R2 D2 F D B'
U L R2 D2 F D' B'
U L R2 D2 F D2 B'
U L R2 D2 F B' D
U L R2 D2 F B' D'
U L R2 D2 F B' D2
U L R2 D2 B' D F
U L R2 D2 B' D' F
U L R2 D2 B' D2 F
U L R2 D2 B' F D
U L R2 D2 B' F D'
U L R2 D2 B' F D2
U L R2 F R' B' R
U L R2 F R2 B' R2
U L R2 F D B' D
U L R2 F D B' D'
U L R2 F D B' D2
F' L R2 B' U L2 U'
U L R2 F D' B' D
U L R2 F D' B' D'
U L R2 F D' B' D2
U L R2 F D2 B' D
U L R2 F D2 B' D'
U L R2 F D2 B' D2
F' L R2 B' D F2 D
F' L R2 B' D F2 D'
F' L R2 B' D F2 D2
U L R2 F B2 D B
U L R2 F B2 D' B
U L R2 F B2 D2 B
F' L R2 B' F D F2
F' L R2 B' F' D F2
U' L R2 B' R F' R'
F' L R2 B' F2 D F2
F' L R2 B2 D F2 B
F' L R2 B2 D B F2
U2 L R2 B' U' R' U
U L R2 F2 D F' B'
U L R2 F2 D B' F'
U L R2 F2 D' F' B'
U L R2 F2 D' B' F'
U L R2 F2 D2 F' B'
U L R2 F2 D2 B' F'
U L R2 F2 B' D F'
U L R2 F2 B' D' F'
U L R2 F2 B' D2 F'
U L R2 B' R F R'
U L R2 B' R2 F R2
U L R2 B' D F D
U L R2 B' D F D'
U L R2 B' D F D2
U L R2 B' D' F D
U L R2 B' D' F D'
U L R2 B' D' F D2
U L R2 B' D2 F D
U L R2 B' D2 F D'
U L R2 B' D2 F D2
U L R2 B' F2 D F'
U L R2 B' F2 D' F'
U L R2 B' F2 D2 F'
U L R2 B2 D F B
U L R2 B2 D B F
U L R2 B2 D' F B
U L R2 B2 D' B F
U L R2 B2 D2 F B
U L R2 B2 D2 B F
U L R2 B2 F D B
U L R2 B2 F D' B
U L R2 B2 F D2 B
B L U R2 B' L F
B L U B' L R2 F
B L U B' L F R2
B L U B' R2 L F
F L U' R U R B'
F L U' R U B' R
R' L F R' D' F2 B'
R' L F R' D' B' F2
R' L F R' B' D' F2
F' L D F2 D' R2 B'
F' L D F2 D' B' R2
U L D F D' R2 B'
U L D F D' B' R2
R2 L F U' R U B'
R2 L F B' U' R U
U L D' B' D R2 F
U L D' B' D F R2
R2 L F' B' U L' U'
U L D2 F D2 R2 B'
U L D2 F D2 B' R2
U L D2 F B' D2 R2
U L D2 B' D2 R2 F
U L D2 B' D2 F R2
U L D2 B' F D2 R2
F' L F R2 D F2 B'
F' L F R2 D B' F2
U' L F R' F' R' B'
F' L F R2 B' D F2
U L F R D R B'
U L F R D B' R
U L F R D' R B'
U L F R D' B' R
U L F R D2 R B'
U L F R D2 B' R
U L F R B R B2
U L F R B' R D
U L F R B' R D'
U L F R B' R D2
U L F R B' D R
U L F R B' D' R
U L F R B' D2 R
U L F R' D R' B'
U L F R' D' R' B'
U L F R' D2 R' B'
U L F R2 D B' D
U L F R2 D B' D'
U L F R2 D B' D2
U L F R2 D' B' D
U L F R2 D' B' D'
U L F R2 D' B' D2
U L F R2 D2 B' D
U L F R2 D2 B' D'
U L F R2 D2 B' D2
U L F R2 B2 D B
U L F R2 B2 D' B
U L F R2 B2 D2 B
F' L F B' R2 D F2
U' L F B' R' F' R'
U L F D' B' D R2
U L F D2 B' D2 R2
U L F B R B2 R
U L F B R2 B2 D
U L F B R2 B2 D'
U L F B R2 B2 D2
U L F B' R D R
U L F B' R D' R
U L F B' R D2 R
U L F B' R' D R'
U L F B' R' D' R'
U L F B' R' D2 R'
F' L F' R2 D F2 B'
F' L F' R2 D B' F2
F' L F' R2 B' D F2
U' L F' R' F' R' B'
U L F' R B' R F2
U L F' R' F2 R' B'
U L F' R2 F2 D B'
U L F' R2 F2 D' B'
U L F' R2 F2 D2 B'
U L F' R2 F2 B' D
U L F' R2 F2 B' D'
U L F' R2 F2 B' D2
U L F' R2 B' F2 D
U L F' R2 B' F2 D'
U L F' R2 B' F2 D2
F' L F' B' R2 D F2
R2 L B' U L U' F
U' L F' B' R' F' R'
R2 L B' U' R' U F'
U L F' B R2 F2 B2
U L F' B R2 B2 F2
U L F' B' R' F2 R'
U L F' B' R2 F2 D
U L F' B' R2 F2 D'
U L F' B' R2 F2 D2
F' L F2 R2 D F2 B'
F' L F2 R2 D B' F2
F' L F2 R2 B' D F2
U' L F2 R' F' R' B'
R2 L B' F U' R U
R2 L B' F' U L' U'
U L F2 R2 B' D2 F2
F' L F2 B' R2 D F2
U' L F2 B' R' F' R'
F' L B R2 B2 D F2
U' L B R' F' R' B2
U L B R B2 R F
U L B R' F R' B2
U L B R2 F B2 D
U L B R2 F B2 D'
U L B R2 F B2 D2
U L B R2 B2 D F
U L B R2 B2 D' F
U L B R2 B2 D2 F
U L B R2 B2 F D
U L B R2 B2 F D'
U L B R2 B2 F D2
U L B F R B2 R
U L B F R2 B2 D
U L B F R2 B2 D'
U L B F R2 B2 D2
F' L B' R D R F2
U L B F' R2 F2 B2
U L B F' R2 B2 F2
F' L B' R' D R' F2
F' L B' R' D F2 R'
F2 L B' R D R F'
F' L B' R2 U L2 U'
U2 L B' R D' R F2
F' L B' R2 D F2 D
F' L B' R2 D F2 D'
F' L B' R2 D F2 D2
F' L B' R2 F D F2
F' L B' R2 F' D F2
F' L B' R2 F2 D F2
U' L B' R' D F' R'
U' L B' R' D' F' R'
U' L B' R' D2 F' R'
U' L B' R' F R' F2
F' L B' U L2 U' R2
U' L B' R' F' R' D
U' L B' R' F' R' D'
U' L B' R' F' R' D2
U' L B' R' F' D R'
U' L B' R' F' D' R'
U' L B' R' F' D2 R'
U' L B' R' F2 R' F
U2 L B' R2 U' R U
F L B' R' D' R' F2
F L B' R' D' F2 R'
L' R' U' L2 R' F' B'
R' L' U' L2 R' F' B'
L' R' U' L2 R' B' F'
R' L' U' L2 R' B' F'
F L B' R2 U' R' U
U L B' R D R F
U L B' R D' R F
U L B' R D2 R F
U2 L B' U' R' U R'
R' L' U' R' L2 F' B'
R' L' U' R' L2 B' F'
L' R' U' R' L2 F' B'
L' R' U' R' L2 B' F'
U L B' R' D R' F
U L B' R' D F R'
U L B' R' D' R' F
U L B' R' D' F R'
F' L B' D F2 D' R2
U L B' R' D2 R' F
U L B' R' D2 F R'
U L B' R' F R' D
U L B' R' F R' D'
U L B' R' F R' D2
U L B' R' F D R'
U L B' R' F D' R'
U L B' R' F D2 R'
U L B' R' F' R' F2
F L B' U' R U R
U L B' R2 D F D
U L B' R2 D F D'
U L B' R2 D F D2
U L B' R2 D' F D
U L B' R2 D' F D'
U L B' R2 D' F D2
U L B' R2 D2 F D
U L B' R2 D2 F D'
U L B' R2 D2 F D2
U L B' R2 F2 D F'
U L B' R2 F2 D' F'
U L B' R2 F2 D2 F'
F' L B' F R2 D F2
F' L B' F' R2 D F2
U' L B' F R' F' R'
F' L B' F2 R2 D F2
U' L B' F' R' F' R'
U L B' D F D' R2
U' L B' F2 R' F' R'
U L B' D2 F D2 R2
U L B' F R D R
U L B' F R D' R
U L B' F R D2 R
U L B' F R' D R'
U L B' F R' D' R'
U L B' F R' D2 R'
U L B' F' R' F2 R'
U L B' F' R2 F2 D
U L B' F' R2 F2 D'
U L B' F' R2 F2 D2
U L B2 R2 F D2 B2
F' L' R U' L2 R B'
F' L' R U' L2 B' R
F' L' R U' R L2 B'
F L' R U L2 R B'
F L' R U L2 B' R
F L' R U R L2 B'
F' L' R' U' L2 R' B'
F' L' R' U' R' L2 B'
F' L' U L2 B' R2 F'
U L' U L2 R2 F B'
U L' U L2 R2 B' F
U L' U L2 F R2 B'
U L' U L2 F B' R2
U L' U L2 B' R2 F
U L' U L2 B' F R2
F' L' U F U2 L2 R2
F' L' U F U2 R2 L2
U L' U R2 L2 F B'
U L' U R2 L2 B' F
F' L' U' L2 R B' R
F' L' U' L2 R2 D B'
F' L' U' L2 R2 D' B'
F' L' U' L2 R2 D2 B'
F' L' U' L2 R2 B' D
F' L' U' L2 R2 B' D'
F' L' U' L2 R2 B' D2
F' L' U' L2 B R2 B2
F' L' U' L2 B' R2 D
F' L' U' L2 B' R2 D'
F' L' U' L2 B' R2 D2
F' L' U' R L2 B' R
F' L' U' R2 L2 D B'
F' L' U' R2 L2 D' B'
F' L' U' R2 L2 D2 B'
F' L' U' R2 L2 B' D
F' L' U' R2 L2 B' D'
F' L' U' R2 L2 B' D2
F' L' U' R2 B L2 B'
F' L' U' R2 B' L2 B'
F' L' U' R2 B2 L2 B'
L R' F R' D' F2 B'
L R' F R' D' B' F2
L R' F R' B' D' F2
U L' U' L2 R2 F B'
U L' U' L2 R2 B' F
U L' U' L2 F R2 B'
U L' U' L2 F B' R2
U L' U' L2 B' R2 F
U L' U' L2 B' F R2
U L' U' R2 L2 F B'
U L' U' R2 L2 B' F
F' L' U' B L2 R2 B'
F' L' U' B L2 B' R2
F' L' U' B R2 L2 B'
F' L' U' B' L2 R2 B'
F' L' U' B' L2 B' R2
F' L' U' B' R2 L2 B'
F' L' U' B2 L2 R2 B'
F' L' U' B2 L2 B' R2
F' L' U' B2 R2 L2 B'
U L' U2 L2 R2 F B'
U L' U2 L2 R2 B' F
U L' U2 L2 F R2 B'
U L' U2 L2 F B' R2
U L' U2 L2 B' R2 F
U L' U2 L2 B' F R2
U L' U2 R2 L2 F B'
U L' U2 R2 L2 B' F
U L' F L2 F R2 B
U L' F U2 L2 R2 F
U L' F U2 L2 F R2
U L' F U2 R2 L2 F
U L' F B' U2 L2 R2
U L' F B' U2 R2 L2
F' L' F2 U' L2 R2 B
F' L' F2 U' R2 L2 B
F' L' F2 U' R2 B L2
L R2 U' R' U F' B'
L R2 U' R' U B' F'
U L' F2 L2 R2 F B
U L' F2 L2 R2 B F
U L' F2 R2 L2 F B
U L' F2 R2 L2 B F
F' L' B U' L2 R2 B'
F' L' B U' L2 B' R2
F' L' B U' R2 L2 B'
F' L' B' U' L2 R2 B'
F' L' B' U' L2 B' R2
F' L' B' U' R2 L2 B'
U L' B' L2 B' R2 F'
U L' B' U2 L2 R2 B'
U L' B' U2 L2 B' R2
U L' B' U2 R2 L2 B'
U L' B' F U2 L2 R2
U L' B' F U2 R2 L2
F' L' B2 U' L2 R2 B'
F' L' B2 U' L2 B' R2
F' L' B2 U' R2 L2 B'
U L' B2 L2 R2 F' B'
U L' B2 L2 R2 B' F'
U L' B2 R2 L2 F' B'
U L' B2 R2 L2 B' F'
L R2 F U' R U B'
U' L2 R2 D2 L' F B'
U' L2 R2 D2 L' B' F
F2 L2 R2 D' L' F B'
F2 L2 R2 D' L' B' F
L R2 F B' U' R U
U L2 R2 B L' F B'
U L2 R2 B L' B' F
U L2 R2 B' L' F B'
U L2 R2 B' L' B' F
U L2 R2 B2 L' F B'
U L2 R2 B2 L' B' F
L R2 F' B' U L' U'
L R2 B' U L U' F
L R2 B' U' R' U F'
L R2 B' F U' R U
L R2 B' F' U L' U'
R' U L R F R2 B'
R' U L R F B' R2
R' U L R B' R2 F
R' U L R B' F R2
R' U L R' D F B'
R' U L R' D B' F
R' U L R' D' F B'
R' U L R' D' B' F
R' U L R' D2 F B'
R' U L R' D2 B' F
R' U L R' F D B'
R' U L R' F D' B'
R' U L R' F D2 B'
R' U L R' F B' D
R' U L R' F B' D'
R' U L R' F B' D2
R' U L R' B' D F
R' U L R' B' D' F
R' U L R' B' D2 F
R' U L R' B' F D
R' U L R' B' F D'
R' U L R' B' F D2
R' U L R2 B' R F
L' U L R2 F L B'
R' U L D R' F B'
R' U L D R' B' F
R' U L D F R' B'
R' U L D' R' F B'
R' U L D' R' B' F
R' U L D' F R' B'
R' U L D2 R' F B'
R' U L D2 R' B' F
R' U L D2 F R' B'
R' U L F R B' R2
R' U L F R' D B'
R' U L F R' D' B'
R' U L F R' D2 B'
R' U L F R' B' D
R' U L F R' B' D'
R' U L F R' B' D2
R' U L F R2 B' R
R' U L F D R' B'
R' U L F D' R' B'
R' U L F D2 R' B'
L' U L F L R2 B'
L' U L F L B' R2
R' U L F' R' F2 B'
R' U L F' R' B' F2
L' U L F R2 L B'
R U L R D F B'
R U L R D B' F
R U L R D' F B'
R U L R D' B' F
R U L R D2 F B'
R U L R D2 B' F
R U L R F D B'
R U L R F D' B'
R U L R F D2 B'
R U L R F B' D
R U L R F B' D'
R U L R F B' D2
R U L R B' D F
R U L R B' D' F
R U L R B' D2 F
R U L R B' F D
R U L R B' F D'
R U L R B' F D2
R U L R' F R2 B'
