U' L R U' F B
U' L R U' B F
U L' R' U F' B'
U L' R' U B' F'
U' R L U' F B
U' R L U' B F
U R' L' U F' B'
U R' L' U B' F'
F' U L' R' U F'
B' U L' R' U B'
F' U R' L' U F'
B' U R' L' U B'
B U' L R U' B
F U' L R U' F
B U' R L U' B
F U' R L U' F
B F U' L R U'
B F U' R L U'
F B U' L R U'
F B U' R L U'
F' B' U L' R' U
F' B' U R' L' U
B' F' U L' R' U
B' F' U R' L' U
U' L R U' D F B
U' L R U' D B F
U' L R U' D' F B
U' L R U' D' B F
U' L R U' D2 F B
U' L R U' D2 B F
U' L R U' F D B
U' L R U' F D' B
U' L R U' F D2 B
U' L R U' F B D
U' L R U' F B D'
U' L R U' F B D2
U' L R U' B D F
U' L R U' B D' F
U' L R U' B D2 F
U' L R U' B F D
U' L R U' B F D'
U' L R U' B F D2
U' L R D U' F B
U' L R D U' B F
U' L R D' U' F B
U' L R D' U' B F
U L R U' F B U2
U L R U' B F U2
U' L R D2 U' F B
U' L R D2 U' B F
U' L R' U F' U2 F2
U' L R' U' F D2 B2
U L R' U F' D2 B2
U L R' U' F U2 F2
U' L D R U' F B
U' L D R U' B F
U' L D' R U' F B
U' L D' R U' B F
U' L D2 R U' F B
U' L D2 R U' B F
U' L' R U B' U2 B2
U' L' R U' B D2 F2
U L' R U B' D2 F2
U L' R U' B U2 B2
U' L' R' U F' B' U2
U' L' R' U B' F' U2
U L' R' U D F' B'
U L' R' U D B' F'
U L' R' U D' F' B'
U L' R' U D' B' F'
U L' R' U D2 F' B'
U L' R' U D2 B' F'
U L' R' U F' D B'
U L' R' U F' D' B'
U L' R' U F' D2 B'
U L' R' U F' B' D
U L' R' U F' B' D'
U L' R' U F' B' D2
U L' R' U B' D F'
U L' R' U B' D' F'
U L' R' U B' D2 F'
U L' R' U B' F' D
U L' R' U B' F' D'
U L' R' U B' F' D2
U L' R' D U F' B'
U L' R' D U B' F'
U L' R' D' U F' B'
U L' R' D' U B' F'
U L' R' D2 U F' B'
U L' R' D2 U B' F'
U L' D R' U F' B'
U L' D R' U B' F'
U L' D' R' U F' B'
U L' D' R' U B' F'
U L' D2 R' U F' B'
U L' D2 R' U B' F'
U' L2 U2 L' U F B'
U' L2 U2 L' U B' F
U L2 U2 L U' F B'
U L2 U2 L U' B' F
U' L2 D2 R U' F' B
U' L2 D2 R U' B F'
U L2 D2 R' U F' B
U L2 D2 R' U B F'
U' R L U' D F B
U' R L U' D B F
U' R L U' D' F B
U' R L U' D' B F
U' R L U' D2 F B
U' R L U' D2 B F
U' R L U' F D B
U' R L U' F D' B
U' R L U' F D2 B
U' R L U' F B D
U' R L U' F B D'
U' R L U' F B D2
U' R L U' B D F
U' R L U' B D' F
U' R L U' B D2 F
U' R L U' B F D
U' R L U' B F D'
U' R L U' B F D2
U' R L D U' F B
U' R L D U' B F
U' R L D' U' F B
U' R L D' U' B F
U' R L D2 U' F B
U' R L D2 U' B F
U R L U' F B U2
U R L U' B F U2
U' R L' U B' U2 B2
U' R L' U' B D2 F2
U R L' U B' D2 F2
U R L' U' B U2 B2
U' R D L U' F B
U' R D L U' B F
U' R D' L U' F B
U' R D' L U' B F
U' R D2 L U' F B
U' R D2 L U' B F
U' R' L U F' U2 F2
U' R' L U' F D2 B2
U' R' L' U F' B' U2
U' R' L' U B' F' U2
U R' L U F' D2 B2
U R' L U' F U2 F2
U R' L' U D F' B'
U R' L' U D B' F'
U R' L' U D' F' B'
U R' L' U D' B' F'
U R' L' U D2 F' B'
U R' L' U D2 B' F'
U R' L' U F' D B'
U R' L' U F' D' B'
U R' L' U F' D2 B'
U R' L' U F' B' D
U R' L' U F' B' D'
U R' L' U F' B' D2
U R' L' U B' D F'
U R' L' U B' D' F'
U R' L' U B' D2 F'
U R' L' U B' F' D
U R' L' U B' F' D'
U R' L' U B' F' D2
U R' L' D U F' B'
U R' L' D U B' F'
U R' L' D' U F' B'
U R' L' D' U B' F'
U R' L' D2 U F' B'
U R' L' D2 U B' F'
U R' D L' U F' B'
U R' D L' U B' F'
U R' D' L' U F' B'
U R' D' L' U B' F'
U R' D2 L' U F' B'
U R' D2 L' U B' F'
U' R2 U2 R' U F' B
U' R2 U2 R' U B F'
U R2 U2 R U' F' B
U R2 U2 R U' B F'
U' R2 D2 L U' F B'
U' R2 D2 L U' B' F
U R2 D2 L' U F B'
U R2 D2 L' U B' F
U' D L R U' F B
U' D L R U' B F
B' U L R' U' F U2
D' U L' R' U F' B'
D' U L' R' U B' F'
D2 U L' R' U F' B'
D2 U L' R' U B' F'
F' U L' R U' B U2
B' U L' R' U D B'
B' U L' R' U D' B'
B' U L' R' U D2 B'
B' U L' R' U B' D
B' U L' R' U B' D'
B' U L' R' U B' D2
F' U L' R' U D F'
F' U L' R' U D' F'
F' U L' R' U D2 F'
F' U L' R' U F' D
F' U L' R' U F' D'
F' U L' R' U F' D2
B' U L' R' D U B'
B' U L' R' D' U B'
B U L U' F U2 F'
B' U L' R' D2 U B'
F' U L' R' D U F'
F' U L' R' D' U F'
F' U L' R' D2 U F'
F' U L' U2 L U' F
B' U L' D R' U B'
F' U L' D R' U F'
B' U L' D' R' U B'
F' U L' D' R' U F'
B' U L' D2 R' U B'
F' U L' D2 R' U F'
D U L' R' U F' B'
D U L' R' U B' F'
B U L' U D F2 B'
B U L' U D B' F2
B U L' U B' D F2
B U L' D U F2 B'
B U L' D U B' F2
U D L' R' U F' B'
U D L' R' U B' F'
B U L' D2 R2 U B'
B' U L2 D2 R' U B
U' D R L U' F B
U' D R L U' B F
F' U R L' U' B U2
D' U R' L' U F' B'
D' U R' L' U B' F'
D2 U R' L' U F' B'
D2 U R' L' U B' F'
B' U R' L U' F U2
B' U R' L' U D B'
B' U R' L' U D' B'
B' U R' L' U D2 B'
B' U R' L' U B' D
B' U R' L' U B' D'
B' U R' L' U B' D2
B' U R' L' D U B'
B' U R' L' D' U B'
F' U R' L' U D F'
F' U R' L' U D' F'
F' U R' L' U D2 F'
F' U R' L' U F' D
F' U R' L' U F' D'
F' U R' L' U F' D2
B' U R' L' D2 U B'
F' U R' L' D U F'
F' U R' L' D' U F'
F' U R' L' D2 U F'
B' U R' U2 R U' B
B' U R' D L' U B'
F' U R' D L' U F'
B' U R' D' L' U B'
F' U R' D' L' U F'
F U R U' B U2 B'
B' U R' D2 L' U B'
F' U R' D2 L' U F'
D U R' L' U F' B'
D U R' L' U B' F'
U D R' L' U F' B'
U D R' L' U B' F'
F U R' U D F' B2
F U R' U D B2 F'
F U R' U F' D B2
F' U R2 D2 L' U F
F U R' D U F' B2
F U R' D U B2 F'
F U R' D2 L2 U F'
B' U D L' R' U B'
F' U D L' R' U F'
B' U D R' L' U B'
F' U D R' L' U F'
B2 U D L' U F B'
B2 U D L' U B' F
F2 U D R' U F' B
F2 U D R' U B F'
B' U D' L' R' U B'
F' U D' L' R' U F'
B' U D' R' L' U B'
F' U D' R' L' U F'
B' U D2 L' R' U B'
F' U D2 L' R' U F'
B' U D2 R' L' U B'
F' U D2 R' L' U F'
D' U' L R U' F B
D' U' L R U' B F
U' D' L R U' F B
U' D' L R U' B F
D2 U' L R U' F B
D2 U' L R U' B F
D U' L R U' F B
D U' L R U' B F
U D' L' R' U F' B'
U D' L' R' U B' F'
U' D' R L U' F B
U' D' R L U' B F
D' U' R L U' F B
D' U' R L U' B F
F' U' L U' D' F B2
F' U' L U' D' B2 F
F' U' L U' F D' B2
D2 U' R L U' F B
D2 U' R L U' B F
F' U' L D' U' F B2
F' U' L D' U' B2 F
F' U' L D2 R2 U' F
B U' L R U' D B
B U' L R U' D' B
B U' L R U' D2 B
B U' L R U' B D
B U' L R U' B D'
B U' L R U' B D2
B U' L R D U' B
B U' L R D' U' B
B U' L R D2 U' B
B U' L R' U F' U2
F' U' L' U B' U2 B
B U' L U2 L' U B'
F U' L R U' D F
F U' L R U' D' F
F U' L R U' D2 F
F U' L R U' F D
F U' L R U' F D'
F U' L R U' F D2
F U' L R D U' F
F U' L R D' U' F
B U' L D R U' B
F U' L R D2 U' F
D U' R L U' F B
B U' L D' R U' B
D U' R L U' B F
B U' L D2 R U' B
F U' L D R U' F
F U' L D' R U' F
F U' L D2 R U' F
F U' L' R U B' U2
U D' R' L' U F' B'
U D' R' L' U B' F'
B' U' R U' D' F2 B
B' U' R U' D' B F2
B' U' R U' B D' F2
B' U' R D' U' F2 B
B' U' R D' U' B F2
B' U' R D2 L2 U' B
F U' L2 D2 R U' F'
B U' R L U' D B
B U' R L U' D' B
B U' R L U' D2 B
B U' R L U' B D
B U' R L U' B D'
B U' R L U' B D2
B U' R L D U' B
B U' R L D' U' B
B U' R L D2 U' B
B' U' R' U F' U2 F
B U' R D L U' B
F U' R L U' D F
F U' R L U' D' F
F U' R L U' D2 F
F U' R L U' F D
F U' R L U' F D'
F U' R L U' F D2
F U' R L D U' F
F U' R L D' U' F
F U' R L D2 U' F
B U' R D' L U' B
F U' R L' U B' U2
B U' R D2 L U' B
F U' R U2 R' U F'
F U' R D L U' F
F U' R D' L U' F
F U' R D2 L U' F
B U' R' L U F' U2
B U' R2 D2 L U' B'
B U' D L R U' B
F2 U' D' L U' F B'
F2 U' D' L U' B' F
B2 U' D' R U' F' B
B2 U' D' R U' B F'
B U' D R L U' B
F U' D L R U' F
F U' D R L U' F
B U' D' L R U' B
B U' D' R L U' B
F U' D' L R U' F
F U' D' R L U' F
B U' D2 L R U' B
B U' D2 R L U' B
F U' D2 L R U' F
U' D2 L R U' F B
U' D2 L R U' B F
F U' D2 R L U' F
U D2 L' R' U F' B'
U D2 L' R' U B' F'
U' D2 R L U' F B
U' D2 R L U' B F
U D2 R' L' U F' B'
U D2 R' L' U B' F'
F' U2 F U' R U B
F2 U2 F U' L' R U
F2 U2 F U' R L' U
F2 U2 F' U L' R U'
F2 U2 F' U R L' U'
F U2 F' U L' U' B'
B' U2 B U' L U F
B2 U2 B U' L R' U
B2 U2 B U' R' L U
B2 U2 B' U L R' U'
B2 U2 B' U R' L U'
D' F U' L R U' F
D2 F U' L R U' F
D' F U' R L U' F
B U2 B' U R' U' F'
D2 F U' R L U' F
U2 F U' L' R U B'
U2 F U' R L' U B'
D F U' L R U' F
D F U' R L U' F
D' F B U' L R U'
D' F B U' R L U'
D2 F B U' L R U'
D2 F B U' R L U'
U2 F B U' L R U
U2 F B U' R L U
B' D U L' R' U B'
B' D U R' L' U B'
F' D U L' R' U F'
D F B U' L R U'
D F B U' R L U'
B2 D U L' U F B'
B2 D U L' U B' F
F' D U R' L' U F'
F2 D U R' U F' B
F2 D U R' U B F'
B D U' L R U' B
B D U' R L U' B
F D U' L R U' F
F D U' R L U' F
B' D F' U L' R' U
B' D F' U R' L' U
B D F U' L R U'
B D F U' R L U'
B2 D F' U L' U F
D2 F' U L' R' U F'
D' F' U L' R' U F'
F' D B' U L' R' U
F' D B' U R' L' U
D2 F' U R' L' U F'
D' F' U R' L' U F'
F2 D B' U R' U B
F D B U' L R U'
F D B U' R L U'
U2 F' U L' R U' B
U2 F' U R L' U' B
D F' U L' R' U F'
D F' U R' L' U F'
D2 F' B' U L' R' U
D2 F' B' U R' L' U
D' F' B' U L' R' U
D' F' B' U R' L' U
B' D' U L' R' U B'
B' D' U R' L' U B'
F' D' U L' R' U F'
F' D' U R' L' U F'
U2 F' B' U L' R' U'
U2 F' B' U R' L' U'
D F' B' U L' R' U
D F' B' U R' L' U
F2 D' U' L U' F B'
F2 D' U' L U' B' F
B2 D' U' R U' F' B
B2 D' U' R U' B F'
B D' U' L R U' B
B D' U' R L U' B
F D' U' L R U' F
F D' U' R L U' F
B2 D' F U' R U' F'
B' D' F' U L' R' U
B' D' F' U R' L' U
B D' F U' L R U'
B D' F U' R L U'
F2 D' B U' L U' B'
F' D' B' U L' R' U
F' D' B' U R' L' U
F D' B U' L R U'
F D' B U' L R U'
F D' B U' R L U'
B' D2 U L' R' U B'
B' D2 U R' L' U B'
F' D2 U L' R' U F'
F' D2 U R' L' U F'
B D2 U' L R U' B
B D2 U' R L U' B
F D2 U' L R U' F
F D2 U' R L U' F
B2 D2 F U' L' R U'
B2 D2 F U' R L' U'
B' D2 F' U L' R' U
B' D2 F' U R' L' U
B2 D2 F' U L' R U
B2 D2 F' U R L' U
B D2 F U' L R U'
B D2 F U' R L U'
F2 D2 B U' L R' U'
F2 D2 B U' R' L U'
F' D2 B' U L' R' U
F' D2 B' U R' L' U
F2 D2 B' U L R' U
F2 D2 B' U R' L U
F D2 B U' L R U'
F D2 B U' R L U'
D2 B U' L R U' B
D' B U' L R U' B
D2 B U' R L U' B
D' B U' R L U' B
U2 B U' L R' U F'
U2 B U' R' L U F'
D B U' L R U' B
D B U' R L U' B
D2 B F U' L R U'
D2 B F U' R L U'
D' B F U' L R U'
D' B F U' R L U'
U2 B F U' L R U
U2 B F U' R L U
B' F U R' U D B2
B' F U R' U2 R2 U'
B' F U R' D U B2
B' F U R' D2 L2 U
F' B U L' U D F2
F' B U L' U2 L2 U'
F' B U L' D U F2
F' B U L' D2 R2 U
D B F U' L R U'
D B F U' R L U'
B' F U' R U' D' F2
B' F U' R U2 R2 U
B' F U' R D' U' F2
B' F U' R D2 L2 U'
F' B U' L U' D' B2
F' B U' L U2 L2 U
F' B U' L D' U' B2
F' B U' L D2 R2 U'
B2 F U' D' R U' F'
F2 B U' D' L U' B'
B F U' L R U' D
B F U' L R U' D'
B F U' L R U' D2
B F U' L R D U'
B F U' L R D' U'
B F U' L R D2 U'
B F U' L D R U'
B F U' L D' R U'
B F U' L D2 R U'
B F U' R L U' D
B F U' R L U' D'
B F U' R L U' D2
B F U' R L D U'
B F U' R L D' U'
B F U' R L D2 U'
B F U' R D L U'
B F U' R D' L U'
B F U' R D2 L U'
B F U' D L R U'
B F U' D R L U'
B F U' D' L R U'
B F U' D' R L U'
F B U' L R U' D
F B U' L R U' D'
F B U' L R U' D2
F B U' L R D U'
F B U' L R D' U'
F B U' L R D2 U'
B F U' D2 L R U'
F B U' L D R U'
F B U' L D' R U'
F B U' L D2 R U'
B F U' D2 R L U'
F B U' R L U' D
F B U' R L U' D'
F B U' R L U' D2
F B U' R L D U'
F B U' R L D' U'
F B U' R L D2 U'
F B U' R D L U'
F B U' R D' L U'
F B U' R D2 L U'
F B U' D L R U'
F B U' D R L U'
F B U' D' L R U'
F B U' D' R L U'
F B U' D2 L R U'
F B U' D2 R L U'
B F D U' L R U'
B F D U' R L U'
B2 F D' U' R U' F'
F2 B D' U' L U' B'
F B D U' L R U'
F B D U' R L U'
B F D' U' L R U'
B F D' U' R L U'
F B D' U' L R U'
F B D' U' R L U'
B F D2 U' L R U'
B F D2 U' R L U'
D2 B' U L' R' U B'
D' B' U L' R' U B'
D2 B' U R' L' U B'
D' B' U R' L' U B'
F B D2 U' L R U'
F B D2 U' R L U'
U2 B' U L R' U' F
U2 B' U R' L U' F
D B' U L' R' U B'
D B' U R' L' U B'
B' F' U L' R' U D
B' F' U L' R' U D'
B' F' U L' R' U D2
B' F' U L' R' D U
B' F' U L' R' D' U
B' F' U L' R' D2 U
B' F' U L' D R' U
B' F' U L' D' R' U
B' F' U L' D2 R' U
B' F' U R' L' U D
B' F' U R' L' U D'
B' F' U R' L' U D2
B' F' U R' L' D U
B' F' U R' L' D' U
B' F' U R' L' D2 U
B' F' U R' D L' U
B' F' U R' D' L' U
B' F' U R' D2 L' U
B' F' U D L' R' U
B' F' U D R' L' U
B' F' U D' L' R' U
B' F' U D' R' L' U
F' B' U L' R' U D
F' B' U L' R' U D'
F' B' U L' R' U D2
F' B' U L' R' D U
F' B' U L' R' D' U
F' B' U L' R' D2 U
F' B' U L' D R' U
F' B' U L' D' R' U
B' F' U D2 L' R' U
F' B' U L' D2 R' U
B' F' U D2 R' L' U
F' B' U R' L' U D
F' B' U R' L' U D'
F' B' U R' L' U D2
F' B' U R' L' D U
F' B' U R' L' D' U
F' B' U R' L' D2 U
F' B' U R' D L' U
F' B' U R' D' L' U
F' B' U R' D2 L' U
F' B' U D L' R' U
F' B' U D R' L' U
F' B' U D' L' R' U
F' B' U D' R' L' U
F' B' U D2 L' R' U
F' B' U D2 R' L' U
B2 F' U D L' U F
F2 B' U D R' U B
B F' U L' U D F2
B F' U L' U2 L2 U'
B F' U L' D U F2
B F' U L' D2 R2 U
D2 B' F' U L' R' U
D2 B' F' U R' L' U
F B' U R' U D B2
D' B' F' U L' R' U
F B' U R' U2 R2 U'
F B' U R' D U B2
D' B' F' U R' L' U
F B' U R' D2 L2 U
B F' U' L U' D' B2
B F' U' L U2 L2 U
B F' U' L D' U' B2
B F' U' L D2 R2 U'
U2 B' F' U L' R' U'
U2 B' F' U R' L' U'
B' F' D U L' R' U
B' F' D U R' L' U
F B' U' R U' D' F2
F B' U' R U2 R2 U
F B' U' R D' U' F2
F B' U' R D2 L2 U'
F' B' D U L' R' U
F' B' D U R' L' U
D B' F' U L' R' U
D B' F' U R' L' U
B2 F' D U L' U F
F2 B' D U R' U B
B' F' D' U L' R' U
B' F' D' U R' L' U
F' B' D' U L' R' U
F' B' D' U R' L' U
B' F' D2 U L' R' U
B' F' D2 U R' L' U
F' B' D2 U L' R' U
F' B' D2 U R' L' U
B' F2 U D R' U B
F' B2 U D L' U F
B F2 U' D' L U' B'
B' F2 D U R' U B
F B2 U' D' R U' F'
F' B2 D U L' U F
B F2 D' U' L U' B'
F B2 D' U' R U' F'
