R2 L F' B' U B'
R2 L B' F' U B'
L R2 F' B' U B'
L R2 B' F' U B'
R2 D L2 F' U R
R2 D F' L2 U R
B U' D' F2 B R'
B U' D' B R' F2
B U' D' B F2 R'
R2 F' L B' U B'
B D' U' F2 B R'
B D' U' B R' F2
B D' U' B F2 R'
D' B R2 U' R F2
F' L R2 F' B' U B'
U' L R2 F' B' U B'
U2 L R2 F' B' U B'
F2 L R2 F' B' U B'
F L R2 F' B' U B'
F' L R2 B' F' U B'
U' L R2 B' F' U B'
U L R2 F' B' U B'
B2 L R2 B' U B L
U2 L R2 B' F' U B'
F2 L R2 B' F' U B'
F L R2 B' F' U B'
U L R2 B' F' U B'
R2 L D F' B' L2 U
R2 L D B' L2 F' U
R2 L D B' F' L2 U
B L U' B D' R2 F2
B L U' B D' F2 R2
B L U2 B' R2 U B2
R2 L F' D B' L2 U
B L D2 L2 F U' B
R2 L F' B' U D B'
R2 L F' B' U D' B'
R2 L F' B' U D2 B'
R2 L F' B' U B' D
R2 L F' B' U B' D'
R2 L F' B' U B' D2
R2 L F' B' D U B'
R2 L F' B' D' U B'
R2 L F' B' D2 U B'
L R B' R F' U B'
R L B' R F' U B'
R2 L B' D F' U B'
R2 L B' D' F' U B'
R2 L B' D2 F' U B'
R2 L B' F' U D B'
R2 L B' F' U D' B'
R2 L B' F' U D2 B'
R2 L B' F' U B' D
R2 L B' F' U B' D'
R2 L B' F' U B' D2
R2 L B' F' D U B'
R2 L B' F' D' U B'
R2 L B' F' D2 U B'
D' L B R2 U' R F2
B L B' R2 F' U B2
R2 L' D L2 F' B' U
R2 L' D L2 B' F' U
R2 L' F' U B2 D R2
R2 L' F' U2 F2 U' B2
R2 L' F' D L2 U R2
B L' D' F U' F B
B L' D' F U' B F
B L' D2 F L2 U' B
B L' F U' D' F2 B
B L' F U' D' B F2
B L' F U' B D' F2
B L' F D' U' F2 B
B L' F D' U' B F2
B L' F D2 L2 U' B
D' L' B R2 U' R F2
L' R2 D L2 F' B' U
L' R2 D L2 B' F' U
L R2 D F' B' L2 U
L R2 D B' L2 F' U
L R2 D B' F' L2 U
L2 R2 F' L' B' U B'
L' R2 F' U B2 D R2
R2 L2 F' L' B' U B'
L' R2 F' U2 F2 U' B2
L' R2 F' D L2 U R2
L2 R2 F' U B' R' B'
R2 L2 F' U B' R' B'
L R2 F' D B' L2 U
