U' R B U2 R U
D2 U' L2 R B U'
D2 U' R L2 B U'
U' D' R B U' F2
D2 U' R B L2 U'
D' U' R B U' F2
U' D2 L2 R B U'
U' D2 R L2 B U'
U' D2 R B L2 U'
F D R F' B2 U2
F D R B2 F' U2
F D B2 R F' U2
D B2 U' R B U'
U' L R B U2 R U
U L R2 F U2 R' U'
U' L D' R B U' F2
U' L D2 L2 R B U'
U' L D2 R L2 B U'
U' L D2 R B L2 U'
U L F2 L' F' R2 U
U' L' R B U2 R U
U L' R2 U2 R' B' U'
U' L' D' R B U' F2
U' L' D2 L2 R B U'
U' L' D2 R L2 B U'
U' L' D2 R B L2 U'
U' L2 R B U2 R U
U' L2 D' R B U' F2
U' L2 D2 L2 R B U'
U' L2 D2 R L2 B U'
U' L2 D2 R B L2 U'
U L2 F2 L' R2 F U
U L2 F2 L' F R2 U
U L2 F2 R2 L' F U
U' R L B U2 R U
U' R L' B U2 R U
U' R L2 B U2 R U
U' R U2 R2 F' R' U
U' R D B U2 R U
U' R D' B U2 R U
U' R D2 B U2 R U
U' R F2 L' F2 B U'
U' R F2 L' B F2 U'
U' R F2 B L' F2 U'
U' R B L U2 R U
U' R B L' U2 R U
U' R B L2 U2 R U
R2 U' R' U2 F' U F
U' R B U2 R U D
U' R B U2 R U D'
U' R B U2 R U D2
U' R B U2 R D U
U' R B U2 R D' U
U' R B U2 R D2 U
U' R B U2 D R U
U' R B U2 D' R U
U' R B U2 D2 R U
R' U' R2 U2 R F' U
U' R B D U2 R U
U' R B D' U2 R U
U' R B D2 U2 R U
U' R B F2 L' F2 U'
U' R' B R2 B L U'
R2 U2 R' B U' L R
R2 U2 R' B U' R L
U' R' B2 L R2 B U'
U' R' B2 R2 L B U'
U R2 L F U2 R' U'
U R2 L' U2 R' B' U'
R U2 B R U L R'
R U2 B R U R' L
U R2 U2 R B R2 U'
U R2 U2 R' U2 F' U
F' U L R2 U L2 B'
D R2 B2 U L F U
U R2 B2 L F B2 U
U R2 B2 L B2 F U
F2 U L' R2 F U L'
F2 U L' F R2 U L'
F' U L2 R2 U L B'
U' D R D L2 B U'
U' D R D B L2 U'
U' D R D2 B U' F2
U' D R B U B U2
F' U R2 L U L2 B'
F' U R2 L2 U L B'
F2 U R2 L' F U L'
F2 U R2 D' L' F U
F2 U R2 F U L' B'
F2 U D' L' F U F
F2 U F R2 U L' B'
D' U' L R B U' F2
U' D' L R B U' F2
F U F2 R2 U L' B'
U' D' L' R B U' F2
D' U' L' R B U' F2
D2 U' L' R B L' U'
U' D' L2 R B U' F2
D' U' L2 R B U' F2
D2 U' L2 R D B U'
D2 U' L2 R D' B U'
D2 U' L2 R D2 B U'
D2 U' L2 R B U' D
D2 U' L2 R B U' D'
D2 U' L2 R B U' D2
D2 U' L2 R B D U'
D2 U' L2 R B D' U'
D2 U' L2 R B D2 U'
D2 U' L2 D R B U'
D2 U' L2 D' R B U'
D2 U' L2 D2 R B U'
D2 U' L2 B R B U'
D2 U' L2 B' R B U'
U' D' R L B U' F2
D' U' R L B U' F2
D2 U' L2 B2 R B U'
U' D' R L' B U' F2
D' U' R L' B U' F2
U' D' R L2 B U' F2
D' U' R L2 B U' F2
D2 U' R L' B L' U'
D2 U' R L2 D B U'
D2 U' R L2 D' B U'
D2 U' R L2 D2 B U'
D2 U' R L2 B U' D
D2 U' R L2 B U' D'
D2 U' R L2 B U' D2
D2 U' R L2 B D U'
D2 U' R L2 B D' U'
D2 U' R L2 B D2 U'
D' U' R D' L2 B U'
U' D' R D' L2 B U'
D' U' R D' B L2 U'
U' D' R D' B L2 U'
D2 U' R D B U' F2
U' D' R B L U' F2
D' U' R B L U' F2
U' D' R B L' U' F2
D' U' R B L' U' F2
U' D' R B L2 U' F2
D' U' R B L2 U' F2
U' D' R B U' F2 D
U' D' R B U' F2 D'
U' D' R B U' F2 D2
D' U' R B U' F2 D
D' U' R B U' F2 D'
D' U' R B U' F2 D2
U' D' R B D' L2 U'
D' U' R B D' L2 U'
D2 U' R B L2 U' D
D2 U' R B L2 U' D'
D2 U' R B L2 U' D2
D2 U' R B L2 D U'
D2 U' R B L2 D' U'
D2 U' R B L2 D2 U'
D2 U' R B U' D F2
D2 U' R B D U' F2
D2 U' R B' L2 B2 U'
D U' R D L2 B U'
D U' R D B L2 U'
D U' R D2 B U' F2
D U' R B U B U2
B' U' R B U2 R U
B2 U' R B U2 R U
B U' R B U2 R U
D' U' B R B U' F2
U' D' B R B U' F2
D2 U' B L2 R B U'
D2 U' B R L2 B U'
D2 U' B R B L2 U'
U2 D' F2 B L D' B2
B' U' D' R B U' F2
B2 U' D' R B U' F2
U' D' B' R B U' F2
D' U' B' R B U' F2
D2 U' B' L2 R B U'
D2 U' B' R L2 B U'
D2 U' B' R B L2 U'
B' U' D2 L2 R B U'
B' U' D2 R L2 B U'
B' U' D2 R B L2 U'
U2 D' B F2 L D' B2
B2 U' D2 L2 R B U'
B2 U' D2 R L2 B U'
B2 U' D2 R B L2 U'
B U' D' R B U' F2
D' U' B2 R B U' F2
U' D' B2 R B U' F2
D2 U' B2 L2 R B U'
D2 U' B2 R L2 B U'
D2 U' B2 R B L2 U'
B U' D2 L2 R B U'
B U' D2 R L2 B U'
B U' D2 R B L2 U'
U' D2 L' R B L' U'
U' D2 L2 R D B U'
U' D2 L2 R D' B U'
U' D2 L2 R D2 B U'
U' D2 L2 R B U' D
U' D2 L2 R B U' D'
U' D2 L2 R B U' D2
U' D2 L2 R B D U'
U' D2 L2 R B D' U'
U' D2 L2 R B D2 U'
U' D2 L2 D R B U'
U' D2 L2 D' R B U'
U' D2 L2 D2 R B U'
U' D2 L2 B R B U'
U' D2 L2 B' R B U'
U' D2 L2 B2 R B U'
U' D2 R L' B L' U'
U' D2 R L2 D B U'
U' D2 R L2 D' B U'
U' D2 R L2 D2 B U'
U' D2 R L2 B U' D
U' D2 R L2 B U' D'
U' D2 R L2 B U' D2
U' D2 R L2 B D U'
U' D2 R L2 B D' U'
U' D2 R L2 B D2 U'
U' D2 R D B U' F2
U' D2 R B L2 U' D
U' D2 R B L2 U' D'
U' D2 R B L2 U' D2
U' D2 R B L2 D U'
U' D2 R B L2 D' U'
U' D2 R B L2 D2 U'
U' D2 R B U' D F2
U' D2 R B D U' F2
U' D2 R B' L2 B2 U'
D' U2 F2 B L D' B2
U' D2 B L2 R B U'
U' D2 B R L2 B U'
U' D2 B R B L2 U'
D' U2 B F2 L D' B2
U' D2 B' L2 R B U'
U' D2 B' R L2 B U'
U' D2 B' R B L2 U'
U' D2 B2 L2 R B U'
U' D2 B2 R L2 B U'
U' D2 B2 R B L2 U'
F U2 D' L F2 B' L'
F U2 D' L B' F2 L'
F U2 D' L2 F2 L' B'
U F L R2 F L' U
F U2 D' F2 L B' L2
U F L F L' R2 U
U F L F R2 L' U
F' U2 B L' D' F2 B2
F' U2 B L' D' B2 F2
U F R2 L F L' U
D' F D R F' U2 F2
D2 F D R F' U2 F'
U2 F D' F2 B L B'
U2 F D' B L F2 B'
U2 F D' B L B' F2
U2 F D' B F2 L B'
F D R D2 F' U2 F'
F D R F' U2 D2 F2
F D R F' D2 U2 F2
F D R F' B2 U2 D
F D R F' B2 U2 D'
F D R F' B2 U2 D2
F D R F' B2 D U2
F D R F' B2 D' U2
F D R F' B2 D2 U2
F D R B2 D F' U2
F D R B2 D' F' U2
F D R B2 D2 F' U2
F D R B2 F' U2 D
F D R B2 F' U2 D'
F D R B2 F' U2 D2
F D R B2 F' D U2
F D R B2 F' D' U2
F D R B2 F' D2 U2
U2 F B D' L F2 B'
U2 F B D' L B' F2
U2 F B D' F2 L B'
F D R' B2 R2 U2 B'
D F B2 D R F' U2
B' D B2 U' R B U'
B2 D B2 U' R B U'
F D B' R F' B' U2
F D B' R B' F' U2
B D B2 U' R B U'
F D B2 R D F' U2
F D B2 R D' F' U2
F D B2 R D2 F' U2
F D B2 R F' U2 D
F D B2 R F' U2 D'
F D B2 R F' U2 D2
F D B2 R F' D U2
F D B2 R F' D' U2
F D B2 R F' D2 U2
R2 F' U2 R' U' L' R
R2 F' U2 R' U' R L'
F D' L F2 R B' L'
F D' L F2 B' L' R
F D' L F2 B' R L'
F D' L B' F2 L' R
F D' L B' F2 R L'
F2 D' U L' F U F
B' D' U' R B U' F2
B2 D' U' R B U' F2
B D' U' R B U' F2
U F2 L R2 F L2 U
U F2 L F L2 R2 U
U F2 L F R2 L2 U
F D' U2 L F2 B' L'
F D' U2 L B' F2 L'
F D' U2 L2 F2 L' B'
