U2 L R U' L' F'
U2 L' R U' L F'
U2 L' R U' F' L
U2 L2 R U' L2 F'
U2 L2 R U' L2 F'
U2 L2 R U' F' L2
R U R' U2 R F'
U2 R L U' L' F'
U2 R L' U' L F'
U2 R L' U' F' L
U2 R L2 U' L2 F'
U2 R L2 U' F' L2
U' L R U L' U2 F'
U2 L R U' L F' L2
U2 L R U' L' D F'
U2 L R U' L' D' F'
U2 L R U' L' D2 F'
U2 L R U' L' F' D
U2 L R U' L' F' D'
U2 L R U' L' F' D2
U2 L R U' L2 F' L
U' L R U' F2 R F
U2 L R U' D L' F'
U2 L R U' D' L' F'
U2 L R U' D2 L' F'
L' R U R' U2 R F'
U2 L R D U' L' F'
U2 L R D' U' L' F'
L2 R U R' U2 R F'
L R U R' U2 R F'
U2 L R D2 U' L' F'
R L U R' U2 R F'
U' L R F2 U' R F
U2 L R B U' L' F'
U2 L R B' U' L' F'
U2 L R B2 U' L' F'
U2 L D2 R U' L' F
U2 L B R U' L' F'
R L' U R' U2 R F'
U2 L B' R U' L' F'
U2 L B2 R U' L' F'
U' L' R U L U2 F'
U2 L' R U' L D F'
U2 L' R U' L D' F'
U2 L' R U' L D2 F'
U2 L' R U' L F' D
U2 L' R U' L F' D'
U2 L' R U' L F' D2
U2 L' R U' L' F' L2
U2 L' R U' D L F'
U2 L' R U' D F' L
U2 L' R U' D' L F'
U2 L' R U' D' F' L
U2 L' R U' D2 L F'
U2 L' R U' D2 F' L
U2 L' R U' F L F2
U2 L' R U' F' L D
U2 L' R U' F' L D'
U2 L' R U' F' L D2
U2 L' R U' F' D L
U2 L' R U' F' D' L
U2 L' R U' F' D2 L
U2 L' R D U' L F'
U2 L' R D U' F' L
U2 L' R D' U' L F'
U2 L' R D' U' F' L
U2 L' R D2 U' L F'
U2 L' R D2 U' F' L
F2 L' R' U' B R U2
R L2 U R' U2 R F'
U' L2 R U L2 U2 F'
U' L2 R U' D2 F' R2
U' L2 R U' F' D2 R2
U2 L2 R U' L F' L
U2 L2 R U' L2 D F'
U2 L2 R U' L2 D' F'
U2 L2 R U' L2 D2 F'
U2 L2 R U' L2 F' D
U2 L2 R U' L2 F' D'
U2 L2 R U' L2 F' D2
U2 L2 R U' F L2 F2
U' L2 R D F2 U' F
U2 L2 R U' F' L2 D
U2 L2 R U' F' L2 D'
U2 L2 R U' F' L2 D2
U' L2 R D2 U' F' R2
U2 L2 R D' B2 U' F'
U2 L2 R B U' L2 F'
U2 L2 R B U' F' L2
U2 L2 R B' U' L2 F'
U2 L2 R B' U' F' L2
U2 L2 R B2 U' L2 F'
U2 L2 R B2 U' F' L2
B L2 U' R F U' F2
R U L R' U2 R F'
R U L' R' U2 R F'
R U L2 R' U2 R F'
R U R' L U2 R F'
R U R' L' U2 R F'
R U R' L2 U2 R F'
U2 L2 B R U' L2 F'
U2 L2 B R U' F' L2
R U R' U2 R D F'
R U R' U2 R D' F'
R U R' U2 R D2 F'
R U R' U2 R F' D
R U R' U2 R F' D'
R U R' U2 R F' D2
R U R' B U2 R F'
R U R' B' U2 R F'
R U R' B2 U2 R F'
U2 L2 B' R U' L2 F'
U2 L2 B' R U' F' L2
R U R2 B R U2 R
U2 L2 B2 R U' L2 F'
U2 L2 B2 R U' F' L2
R U D R' U2 R F'
U' R L U L' U2 F'
U' R L U' F2 R F
U2 R L U' L F' L2
U2 R L U' L' D F'
U2 R L U' L' D' F'
U2 R L U' L' D2 F'
U2 R L U' L' F' D
U2 R L U' L' F' D'
U2 R L U' L' F' D2
U2 R L U' L2 F' L
U2 R L U' D L' F'
U2 R L U' D' L' F'
U2 R L U' D2 L' F'
R U D' R' U2 R F'
U2 R L D U' L' F'
U2 R L D' U' L' F'
U' R L F2 U' R F
U2 R L D2 U' L' F'
U' R L' U L U2 F'
U2 R L B U' L' F'
U2 R L B' U' L' F'
U2 R L B2 U' L' F'
U2 R L' U' L D F'
U2 R L' U' L D' F'
U2 R L' U' L D2 F'
U2 R L' U' L F' D
U2 R L' U' L F' D'
U2 R L' U' L F' D2
U2 R L' U' L' F' L2
U2 R L' U' D L F'
U2 R L' U' D F' L
U2 R L' U' D' L F'
U2 R L' U' D' F' L
U2 R L' U' D2 L F'
U2 R L' U' D2 F' L
U2 R L' U' F L F2
U2 R L' U' F' L D
U2 R L' U' F' L D'
U2 R L' U' F' L D2
U2 R L' U' F' D L
U2 R L' U' F' D' L
U2 R L' U' F' D2 L
R U D2 R' U2 R F'
U2 R L' D U' L F'
U2 R L' D U' F' L
U2 R L' D' U' L F'
U2 R L' D' U' F' L
U2 R L' D2 U' L F'
U2 R L' D2 U' F' L
U' R L2 U L2 U2 F'
U' R L2 U' D2 F' R2
U' R L2 U' F' D2 R2
U' R L2 D F2 U' F
U2 R L2 U' L F' L
U2 R L2 U' L2 D F'
U2 R L2 U' L2 D' F'
U2 R L2 U' L2 D2 F'
U2 R L2 U' L2 F' D
U2 R L2 U' L2 F' D'
U2 R L2 U' L2 F' D2
U2 R L2 U' F L2 F2
U2 R L2 U' F' L2 D
U2 R L2 U' F' L2 D'
U2 R L2 U' F' L2 D2
U' R L2 D2 U' F' R2
U2 R L2 D' B2 U' F'
U2 R L2 B U' L2 F'
U2 R L2 B U' F' L2
U2 R L2 B' U' L2 F'
U2 R L2 B' U' F' L2
U2 R L2 B2 U' L2 F'
U2 R L2 B2 U' F' L2
R U F' L B2 L B'
R U F' L2 B2 L B
R U F' U2 R' F U2
R U F' U2 F R' U2
R U F' B' L2 B' L
R U F' B2 L2 B' L'
U' R U' F' U F U'
U' R U' F2 D R2 F
U' R U' F2 D F R2
U2 R U' F' U' F U
U2 R U' F2 D' F L2
R U F2 D2 F B2 L
R U F2 D2 B2 F L
U' R U2 R' U R F'
