D R2 U2 R B U
D L R2 F2 L' F' U'
L' R D2 L2 F U' B2
L R D2 F L2 U' B2
R L D2 F L2 U' B2
B2 L D R2 F U' L2
B2 L D F R2 U' L2
R' L F U F U2 F'
L R F D2 L2 U' B'
R L F D2 L2 U' B'
D L F R2 U2 R U
D' L F U2 L R' U
D2 L F U2 R' U B2
D' L F U2 R' L U
B2 L F U' D L2 B'
B2 L F D U' L2 B'
B2 L F B2 U F U2
D L F' R2 F2 L' U'
B2 L B2 D R2 F U'
B2 L B2 D F R2 U'
B2 L B2 D2 F U' B2
B2 L B2 F U F U2
D L' R2 U2 R B' U
D L' R2 U2 B' R U
R L' D2 L2 F U' B2
L R' F U F U2 F'
D2 L' U2 R' B' U B'
D' L' U2 R' B' L' U
F2 L' U2 R' B' U B
D L2 R2 F2 L' F U'
L' U F2 U R' B' U
R' U F2 U2 F R F
R' U F2 B L U2 F2
R' U F2 B' U2 R' F2
R' U F2 B' U2 F2 R'
R' U B L F2 U2 F2
R' U B F2 L U2 F2
R' U B' F2 U2 R' F2
R' U B' F2 U2 F2 R'
U2 R D' L2 B U F2
U2 R D' B L2 U F2
U2 R B R2 U D2 B2
U2 R B R2 U' F2 U2
U2 R B R2 D' L2 U
U2 R B R2 D2 U B2
U2 R B D' L2 U F2
R' U' F' L' F' U2 L
U2 R' U' F2 U' F U'
U2 R' U2 D F' R2 U'
U2 R' U2 D2 F' U' B2
U2 R' U2 F' R2 U' B
U2 R' U2 F' U F' U2
U2 R' D U2 F' R2 U'
U2 R' D' L2 U2 F' U'
U2 R' D2 U2 F' U' B2
R2 U2 R D' L2 B U
R2 U2 R D' B L2 U
R2 U2 R D2 B U B
R2 U2 R B U D2 B2
R2 U2 R B U' F2 U2
R2 U2 R B D' L2 U
R2 U2 R B D2 U B2
L' U2 R' D' B' L2 U
L' U2 R' D2 B' U B'
L' U2 R' B' U D2 B2
L' U2 R' B' U' F2 U2
L' U2 R' B' D' L2 U
L' U2 R' B' D2 U B2
L U2 R' D' L2 B' U
L' U2 D' R' B' L2 U
R2 U2 D' L2 R B U
R2 U2 D' R L2 B U
R2 U2 D' R B L2 U
L U2 D' L2 R' B' U
L' U2 D2 R' B' U B'
L U2 D' R' L2 B' U
L2 U2 D2 R' B U B
R2 U2 D2 R B U B
D R2 L F2 L' F' U'
D R2 L' U2 R B' U
D R2 L' U2 B' R U
D R2 L2 F2 L' F U'
D' R2 U2 L2 R B U
D' R2 U2 R L2 B U
D2 R2 U2 R B U B
D' R2 U2 R B L2 U
D R2 U' F D R F'
F2 R2 U2 R B U B'
D R2 U2 R D B U
D R2 U2 R D' B U
D R2 U2 R D2 B U
D R2 U2 R B U D
D R2 U2 R B U D'
D R2 U2 R B U D2
D R2 U2 R B D U
D R2 U2 R B D' U
D R2 U2 R B D2 U
D R2 U2 D R B U
D R2 U2 D' R B U
D R2 U2 D2 R B U
D R2 U2 B R B U
D R2 U2 B' R B U
D R2 U2 B2 R B U
D R2 D U2 R B U
D R2 D' U2 R B U
D R2 D2 U2 R B U
D R2 F L F L' U'
D R2 F2 L F L2 U'
D R2 F2 L' U2 B' U
L' D R2 U2 R B' U
L' D R2 U2 B' R U
L D R2 F2 L' F' U'
L D F R2 U2 R U
L D F' R2 F2 L' U'
U2 D R' U2 F' R' U'
U2 D' L2 R B R2 U
U2 D' L2 R' U2 F' U'
L' D' U2 R' B' L2 U
R2 D' U2 L2 R B U
R2 D' U2 R L2 B U
R2 D' U2 R B L2 U
U2 D' R L2 B R2 U
L D' U2 L2 R' B' U
U2 D' R B L2 R2 U
U2 D' R B R2 L2 U
L D' U2 R' L2 B' U
U2 D' R' L2 U2 F' U'
L D' F U2 L2 R' U
L D' F U2 R' L2 U
D' U' F R D' F2 B2
D' U' F R D' B2 F2
U' D' F R D' F2 B2
U' D' F R D' B2 F2
D2 U' F R B2 D' F2
D2 U' B2 U L F U'
R D2 L F L U' B2
D' U2 L2 R B R2 U
D' U2 L2 R' U2 F' U'
D' U2 R L2 B R2 U
D' U2 R B L2 R2 U
D' U2 R B R2 L2 U
D' U2 R' L2 U2 F' U'
D2 U2 R' U2 F' U' B2
U2 D2 R' U2 F' U' B2
D U2 R' U2 F' R' U'
L' D2 U2 R' B' U B'
U' D2 F R B2 D' F2
L2 D2 U2 R' B U B
R2 D2 U2 R B U B
L D2 F U2 R' U B2
F2 U2 R B R2 U B'
U' D2 B2 U L F U'
L F L2 U2 R' U B'
L F R D2 L2 U' B'
L F R' U F U2 F'
D F R2 U2 R B U
B2 D L R2 F U' L
B2 D L F R2 U' L
L F U F U R' U
L F U2 L2 R' U B'
L F U2 R' L2 U B'
L F U2 R' U' F U2
B2 D R2 L F U' L
U' F' R D' F2 R B
R' F' U F' U2 F R
D F' R2 U2 R B U
R' F' U' F' L' U2 L
L F' R2 F2 L' U' B
R2 F2 L' U2 B' U B
D F2 R2 U2 R B U
U F2 U R B R2 U
U F2 U R' U2 F' U'
L' F2 U2 R' B' U B
U F2 U2 F R D' F2
D2 B2 L F B2 U' B2
D' B2 L F B2 R' U'
D2 B2 L B2 F U' B2
D' B2 L B2 R' F U'
D' B2 L B2 F R' U'
D B2 L R2 F B2 U'
D B2 L R2 B2 F U'
D B2 L F R2 B2 U'
D B2 L F B2 R2 U'
D B2 L B2 R2 F U'
D B2 L B2 F R2 U'
D B2 R2 L F B2 U'
D B2 R2 L B2 F U'
