R' B U L F U'
U L R' F U' F2 B
U L R' F U' B F2
U' L U R' F B R
U' L U R' B F R
U' L U R2 F R B
U' L U F R' B R2
U L F R' U' F' B
U L F R' U' B F'
U' L' U' B' U2 R' B
U R U F' B L U2
U R U B L F' U2
U R U B F' L U2
F R U2 F' U' L' U'
R' U' L U F B R
R' U' L U B F R
R2 U' L U F R B
R2 U' R B L U F
U R' L F U' F2 B
U R' L F U' B F2
B R' U L F U' B
R2 U' B L U F R
U R' U' F B R F2
U R' U' B F R F2
B2 R' D' F B R F'
B2 R' D' B F R F'
B2 R' F D' B R F'
B2 R' F B R D' F2
B R' F B D' R F'
U R' F2 U' F B R
U R' F2 U' B F R
B2 R' B F R D' F2
F R' B R2 U L U'
F R' B U L U' R2
B R' B D' F R F'
B R' B F D' R F'
B R2 U L F R U'
B' R2 U' R B L U
B2 R2 D' F R F' B
B2 R2 D' F R B F'
B' R2 F D R F' B
B' R2 F D R B F'
B2 R2 F D' R F' B
B2 R2 F D' R B F'
B U L R' F U' B
B U L F R' U' B
R' D B U L F U'
F2 U R' U' F' B R
F2 U R' U' B F' R
B U R' L F U' B
F U R' U' F' B R2
F U R' U' B F' R2
B U D2 L F U' B'
U' D B' L U F R
D2 U' L U F R B'
D2 U' L U F B' R
D2 U' L U B' F R
B' U' R B R2 U B
R' D' B U L F U'
B' U' R' U2 F' U' B
D U' B' L U F R
U' D2 L U F R B'
U' D2 L U F B' R
U' D2 L U B' F R
R' D2 B U L F U'
R2 F R B U L U'
R' F B R U L U'
R' F B U L U' R
R' F B' R B2 D' F2
R F D2 B2 D' R F'
R2 F B' R D' F2 B
R2 F B' R D' B F2
R2 F B' R B D' F2
R' F B2 D' R F' B'
R' F B2 D' R B' F'
R' F B2 D' B' R F'
R2 F B2 D' R F' B
R2 F B2 D' R B F'
B D2 U L F U' B'
R' B R U L F U'
R' B R' U L F U'
R' B R2 U L F U'
R' B U L D F U'
R' B U L D' F U'
R' B U L D2 F U'
R' B U L F U' D
R' B U L F U' D'
R' B U L F U' D2
R' B U L F D U'
R' B U L F D' U'
R' B U L F D2 U'
D2 B U L F U' B'
R' B U D L F U'
R' B U D' L F U'
R' B U D2 L F U'
R' B U F L F U'
R' B U F' L F U'
R' B U F2 L F U'
R2 B U L F R U'
D B U L R' F U'
D B U L F R' U'
D B U R' L F U'
R' B D U L F U'
R' B D' U L F U'
B' F R U' R2 U B
R' B D2 U L F U'
R' B F R U L U'
B' F R' B R2 D' F2
R' B F U L U' R
B' F U' R' U B R2
F B' R U' R2 U B
F B' R' B R2 D' F2
R' B' F R B2 D' F2
R2 B' F R D' F2 B
R2 B' F R D' B F2
R2 B' F R B D' F2
F B' U' R' U B R2
R' B2 D' F R F' B'
R' B2 D' F R B' F'
R' B2 D' F B' R F'
R' B2 D' B' F R F'
R2 B2 D' F R F' B
R2 B2 D' F R B F'
R' B2 F D' R F' B'
R' B2 F D' R B' F'
R' B2 F D' B' R F'
R2 B2 F D' R F' B
R2 B2 F D' R B F'
