B L F2 R B' U' R2
U2 L B' U L U2 F
U2 L2 B U' R' F' L'
B R U2 L B' U' R2
D2 R F' R2 U R' F'
D2 R F' U R' F' R2
D2 R F' B' R' U R2
D2 R B' F' R' U R2
B R' U L B' U' B
B' R' U' L U' B' U'
D2 R2 U R' F' L' R
D2 R2 U R' F' R L'
B R2 U2 L B' U' R
D2 R2 B' R' F' U R
L' D F L B' R' U
B U L B' U' B R'
B U R' U L B' U'
L' F D L B' R' U
D2 F' R2 U R' F' L'
U2 F' D L' F U' L'
U2 B L2 U' R' F' L'
U B R' D' F' B' L
U B R' D' B' L F'
U B R' D' B' F' L
U B R' F' D' B' L
U B D' R' F' B' L
U B D' R' B' L F'
U B D' R' B' F' L
U' B' L U' B' U' F
D2 B' R F' R2 U R'
U' B' D L U2 F L'
U2 B2 L B' U' R' F'
D' B2 R' B R' U L
