D' L' R' F B R'
D' L' R' B R' F
D' L' R' B F R'
D' L' F R' B R'
D' L' F B R' B
D' L' B R' F B
D' L' B R' B F
D' L' B F R' B
D' R' L' F B R'
D' R' L' B R' F
D' R' L' B F R'
D' R' B L' R' F
D' R' B L' F R'
D' R' B R' L' F
D' B L' R' F B
D' B L' R' B F
D' B L' F R' B
D' B R' L' F B
D' B R' L' B F
D' B R' B L' F
D L R F' R B' L2
D L R F' B' L2 R
D L R F' B' R L2
D L R B' L2 F' R
D L R B' F' L2 R
D L R B' F' R L2
B' L F' R B' U L2
D L F' R F' B' L2
D L F' R B' L2 F'
D L F' R B' F' L2
B' L F' B' R U L2
D L F' B' L2 R F'
D L F' B' R L2 F'
D L F' B' R F' L2
D L B' L2 R F' R
D L B' L2 F' R F'
D L B' R L2 F' R
D L B' R F' L2 R
D L B' R F' R L2
B' L B' F' R U L2
D L B' F' L2 R F'
D L B' F' R L2 F'
D L B' F' R F' L2
D L' R F' R D2 B2
D L' R F' D2 R B2
D L' R F' D2 B2 R
D' L' R' F B R' D
D' L' R' F B R' D'
D' L' R' F B R' D2
D' L' R' F B D R'
D' L' R' F B D' R'
D' L' R' F B D2 R'
D' L' R' F' B R' F2
D' L' R' B R F R2
D' L' R' B R' D F
D' L' R' B R' D' F
D' L' R' B R' D2 F
D' L' R' B R' F D
D' L' R' B R' F D'
D' L' R' B R' F D2
D' L' R' B D R' F
D' L' R' B D F R'
D' L' R' B D' R' F
D' L' R' B D' F R'
D' L' R' B D2 R' F
D' L' R' B D2 F R'
D' L' R' B F R' D
D' L' R' B F R' D'
D' L' R' B F R' D2
D' L' R' B F D R'
D' L' R' B F D' R'
D' L' R' B F D2 R'
D' L' R' B F' R' F2
B L' R' F L' U' L
D' L' R2 F R B R'
B L' U R' F L' U'
B L' U F L' R' U'
B L' U F R' L' U'
D' L' F R' B R' D
D' L' F R' B R' D'
D' L' F R' B R' D2
D' L' F R' B D R'
D' L' F R' B D' R'
D' L' F R' B D2 R'
B L' F L' R' U' L
B L' F R' L' U' L
D' L' F B R' D B
D' L' F B R' D' B
D' L' F B R' D2 B
D' L' F B R' B D
D' L' F B R' B D'
D' L' F B R' B D2
D' L' F' R' F2 B R'
D' L' F' R' B R' F2
D' L' F' R' B F2 R'
D L' F' R D2 F' B2
D L' F' R D2 B2 F'
D' L' F' B R' F2 B
D' L' F' B R' B F2
D' L' B R' D F B
D' L' B R' D B F
D' L' B R' D' F B
D' L' B R' D' B F
D' L' B R' D2 F B
D' L' B R' D2 B F
D' L' B R' F D B
D' L' B R' F D' B
D' L' B R' F D2 B
D' L' B R' F B D
D' L' B R' F B D'
D' L' B R' F B D2
D' L' B R' B D F
D' L' B R' B D' F
D' L' B R' B D2 F
D' L' B R' B F D
D' L' B R' B F D'
D' L' B R' B F D2
D' L' B F R' D B
D' L' B F R' D' B
D' L' B F R' D2 B
D' L' B F R' B D
D' L' B F R' B D'
D' L' B F R' B D2
D' L' B F' R' F2 B
D' L' B F' R' B F2
D R L F' R B' L2
D R L F' B' L2 R
D R L F' B' R L2
D R L B' L2 F' R
D R L B' F' L2 R
D R L B' F' R L2
D R L' F' R D2 B2
D R L' F' D2 R B2
D R L' F' D2 B2 R
D' R' L' F B R' D
D' R' L' F B R' D'
D' R' L' F B R' D2
D' R' L' F B D R'
D' R' L' F B D' R'
D' R' L' F B D2 R'
D' R' L' F' B R' F2
D' R' L' B R F R2
D' R' L' B R' D F
D' R' L' B R' D' F
D' R' L' B R' D2 F
D' R' L' B R' F D
D' R' L' B R' F D'
D' R' L' B R' F D2
D' R' L' B D R' F
D' R' L' B D F R'
D' R' L' B D' R' F
D' R' L' B D' F R'
D' R' L' B D2 R' F
D' R' L' B D2 F R'
D' R' L' B F R' D
D' R' L' B F R' D'
D' R' L' B F R' D2
D' R' L' B F D R'
D' R' L' B F D' R'
D' R' L' B F D2 R'
D' R' L' B F' R' F2
B R' L' F L' U' L
D' R' U L' F B R'
D' R' U L' B R' F
D' R' U L' B F R'
D' R' U B L' R' F
D' R' U B L' F R'
D' R' U B R' L' F
D' R' U' L' F B R'
D' R' U' L' B R' F
D' R' U' L' B F R'
D' R' U' B L' R' F
D' R' U' B L' F R'
D' R' U' B R' L' F
D' R' U2 L' F B R'
D' R' U2 L' B R' F
D' R' U2 L' B F R'
D' R' U2 B L' R' F
D' R' U2 B L' F R'
D' R' U2 B R' L' F
D' R' B L' R F R2
D' R' B L' R' D F
D' R' B L' R' D' F
D' R' B L' R' D2 F
D' R' B L' R' F D
D' R' B L' R' F D'
D' R' B L' R' F D2
D' R' B L' D R' F
D' R' B L' D F R'
D' R' B L' D' R' F
D' R' B L' D' F R'
D' R' B L' D2 R' F
D' R' B L' D2 F R'
D' R' B L' F R' D
D' R' B L' F R' D'
D' R' B L' F R' D2
D' R' B L' F D R'
D' R' B L' F D' R'
D' R' B L' F D2 R'
D' R' B L' F' R' F2
D' R' B R L' F R2
D' R' B R' L' D F
D' R' B R' L' D' F
D' R' B R' L' D2 F
D' R' B R' L' F D
D' R' B R' L' F D'
D' R' B R' L' F D2
D' R2 L' F R B R'
D' U L' R' F B R'
D' U L' R' B R' F
D' U L' R' B F R'
D' U L' F R' B R'
D' U L' F B R' B
D' U L' B R' F B
D' U L' B R' B F
D' U L' B F R' B
D' U R' L' F B R'
D' U R' L' B R' F
D' U R' L' B F R'
D' U R' B L' R' F
D' U R' B L' F R'
D' U R' B R' L' F
R' D' L' R' F B R'
R' D' L' R' B R' F
R' D' L' R' B F R'
R' D' L' F R' B R'
R' D' L' F B R' B
R' D' L' B R' F B
R' D' L' B R' B F
R' D' L' B F R' B
R2 D' L' R' F B R'
R2 D' L' R' B R' F
R2 D' L' R' B F R'
D' U B L' R' F B
D' U B L' R' B F
D' U B L' F R' B
D' U B R' L' F B
D' U B R' L' B F
D' U B R' B L' F
R2 D' L' F R' B R'
R2 D' L' F B R' B
R2 D' L' B R' F B
R2 D' L' B R' B F
R D' L' R' F B R'
R2 D' L' B F R' B
R D' L' R' B R' F
R D' L' R' B F R'
R D' L' F R' B R'
R D' L' F B R' B
R D' L' B R' F B
R D' L' B R' B F
R D' L' B F R' B
R' D' R' L' F B R'
R' D' R' L' B R' F
R' D' R' L' B F R'
R' D' R' B L' R' F
R' D' R' B L' F R'
R' D' R' B R' L' F
R2 D' R' L' F B R'
R2 D' R' L' B R' F
R2 D' R' L' B F R'
R2 D' R' B L' R' F
R2 D' R' B L' F R'
R2 D' R' B R' L' F
R D' R' L' F B R'
R D' R' L' B R' F
R D' R' L' B F R'
U' D' L' R' F B R'
D' U' L' R' F B R'
U' D' L' R' B R' F
D' U' L' R' B R' F
U' D' L' R' B F R'
D' U' L' R' B F R'
R D' R' B L' R' F
R D' R' B L' F R'
R D' R' B R' L' F
U' D' L' F R' B R'
D' U' L' F R' B R'
U' D' L' F B R' B
D' U' L' F B R' B
U2 D' L' R' F B R'
U2 D' L' R' B R' F
U2 D' L' R' B F R'
D' U' L' B R' F B
U' D' L' B R' F B
D' U' L' B R' B F
U' D' L' B R' B F
D' U' L' B F R' B
U' D' L' B F R' B
U2 D' L' F R' B R'
U2 D' L' F B R' B
U2 D' L' B R' F B
U2 D' L' B R' B F
U2 D' L' B F R' B
U D' L' R' F B R'
U D' L' R' B R' F
U D' L' R' B F R'
U D' L' F R' B R'
U D' L' F B R' B
U D' L' B R' F B
U D' L' B R' B F
U D' L' B F R' B
U' D' R' L' F B R'
D' U' R' L' F B R'
U' D' R' L' B R' F
U' D' R' L' B F R'
D' U' R' L' B R' F
D' U' R' L' B F R'
U' D' R' B L' R' F
U' D' R' B L' F R'
D' U' R' B L' R' F
U' D' R' B R' L' F
D' U' R' B L' F R'
D' U' R' B R' L' F
U2 D' R' L' F B R'
U2 D' R' L' B R' F
U2 D' R' L' B F R'
U2 D' R' B L' R' F
U2 D' R' B L' F R'
U2 D' R' B R' L' F
U D' R' L' F B R'
U D' R' L' B R' F
U D' R' L' B F R'
U D' R' B L' R' F
U D' R' B L' F R'
U D' R' B R' L' F
R' D' B L' R' F B
R' D' B L' R' B F
R' D' B L' F R' B
R' D' B R' L' F B
R' D' B R' L' B F
R' D' B R' B L' F
R2 D' B L' R' F B
R2 D' B L' R' B F
R2 D' B L' F R' B
R2 D' B R' L' F B
R2 D' B R' L' B F
R2 D' B R' B L' F
R D' B L' R' F B
R D' B L' R' B F
R D' B L' F R' B
R D' B R' L' F B
R D' B R' L' B F
R D' B R' B L' F
D' U' B L' R' F B
U' D' B L' R' F B
D' U' B L' R' B F
U' D' B L' R' B F
D' U' B L' F R' B
U' D' B L' F R' B
D' U' B R' L' F B
D' U' B R' L' B F
U' D' B R' L' F B
U' D' B R' L' B F
U' D' B R' B L' F
D' U' B R' B L' F
U2 D' B L' R' F B
U2 D' B L' R' B F
U2 D' B L' F R' B
U2 D' B R' L' F B
U2 D' B R' L' B F
U2 D' B R' B L' F
U D' B L' R' F B
U D' B L' R' B F
U D' B L' F R' B
U D' B R' L' F B
U D' B R' L' B F
U D' B R' B L' F
D' U2 L' R' F B R'
D' U2 L' R' B R' F
D' U2 L' R' B F R'
D' U2 L' F R' B R'
D' U2 L' F B R' B
D' U2 L' B R' F B
D' U2 L' B R' B F
D' U2 L' B F R' B
D' U2 R' L' F B R'
D' U2 R' L' B R' F
D' U2 R' L' B F R'
D' U2 R' B L' R' F
D' U2 R' B L' F R'
D' U2 R' B R' L' F
D' U2 B L' R' F B
D' U2 B L' R' B F
D' U2 B L' F R' B
D' U2 B R' L' F B
D' U2 B R' L' B F
D' U2 B R' B L' F
L' F L' U' D L B'
L' F L' D U' L B'
D F L' F R U2 F'
L' F B L' R' U' L
L' F B R' L' U' L
L F' R B' L U L
L F' B' L R U L
L F' B' R L U L
L F2 B' L U L F
D' B L' R' D F B
D' B L' R' D B F
D' B L' R' D' F B
D' B L' R' D' B F
D' B L' R' D2 F B
D' B L' R' D2 B F
D' B L' R' F D B
D' B L' R' F D' B
D' B L' R' F D2 B
D' B L' R' F B D
D' B L' R' F B D'
D' B L' R' F B D2
D' B L' R' B D F
D' B L' R' B D' F
D' B L' R' B D2 F
D' B L' R' B F D
D' B L' R' B F D'
D' B L' R' B F D2
D' B L' F R' D B
D' B L' F R' D' B
D' B L' F R' D2 B
D' B L' F R' B D
D' B L' F R' B D'
D' B L' F R' B D2
D' B L' F' R' F2 B
D' B L' F' R' B F2
D' B R' L' D F B
D' B R' L' D B F
D' B R' L' D' F B
D' B R' L' D' B F
D' B R' L' D2 F B
D' B R' L' D2 B F
D' B R' L' F D B
D' B R' L' F D' B
D' B R' L' F D2 B
D' B R' L' F B D
D' B R' L' F B D'
D' B R' L' F B D2
D' B R' L' B D F
D' B R' L' B D' F
D' B R' L' B D2 F
D' B R' L' B F D
D' B R' L' B F D'
D' B R' L' B F D2
L' B R' F L' U' L
D' B R' B L' D F
D' B R' B L' D' F
D' B R' B L' D2 F
D' B R' B L' F D
D' B R' B L' F D'
D' B R' B L' F D2
D' B R' B' L' F B2
D' B R' B' L' B2 F
D' B U L' R' F B
D' B U L' R' B F
D' B U L' F R' B
D' B U R' L' F B
D' B U R' L' B F
D' B U R' B L' F
L' B U R' F L' U'
L' B U F L' R' U'
L' B U F R' L' U'
D' B U' L' R' F B
D' B U' L' R' B F
D' B U' L' F R' B
D' B U' R' L' F B
D' B U' R' L' B F
D' B U' R' B L' F
D' B U2 L' R' F B
D' B U2 L' R' B F
D' B U2 L' F R' B
D' B U2 R' L' F B
D' B U2 R' L' B F
D' B U2 R' B L' F
L' B F L' R' U' L
L' B F R' L' U' L
L B' L F' R U L
L B' L F2 U L F
L B' F' L R U L
L B' F' R L U L
L B' F2 L U L F
D' B2 L' F B' R' B
D' B2 L' B' R' F B
D' B2 L' B' R' B F
D' B2 L' B' F R' B
