B U L R' B2 U2
B U L B2 U2 L
B U R' L B2 U2
B U R' B2 U2 R'
B U B2 U2 L R'
B U B2 U2 R' L
B U B2 U2 R' L
L2 B' U' R' F L
L2 B' U' F L R'
L2 B' U' F R' L
B L R' B2 U' R U'
D L B' L U' R' F
D L B' L U' F R'
B L' U L2 R' B2 U2
B L' U L2 B2 U2 L
B L' U R' L2 B2 U2
B L' U R' B2 L2 U2
B' L' U' L2 R' D F2
B' L' U' L2 D R' F2
B' L' U' L2 D F2 R'
B L' U B2 L2 U2 L'
B' L' U' R' L2 D F2
B L' U' D2 R2 F2 L'
B' L' U2 L2 R' D' B2
B' L' U2 L2 D' R' B2
B' L' U2 R' L2 D' B2
B L' D2 U' R2 F2 L'
B L2 U L' R' B2 U2
B L2 U L' B2 U2 L
B L2 U R' L' B2 U2
B L2 U R' B2 L' U2
B L2 U B2 L' U2 L2
D2 L2 B' U' R' F L'
D2 L2 B' U' F L' R'
D2 L2 B' U' F R' L'
F' L2 B' U' R' F L
F' L2 B' U' F L R'
F' L2 B' U' F R' L
F2 L2 B' U' R' F L
F2 L2 B' U' F L R'
F2 L2 B' U' F R' L
F L2 B' U' R' F L
F L2 B' U' F L R'
F L2 B' U' F R' L
B' R U' R' U' L R'
B' R U' R' U' R' L
U R B' U2 L D' R2
U R B' U2 D' L R2
U R B' U2 D' R2 L
U R B' D L2 U2 L'
U R B' D' U2 L R2
U R B' D' U2 R2 L
B R' L B2 U' R U'
U R' B' U' F' U' L
B R' B2 U' R U' R2
B R' B2 U2 R' D B2
B' R2 U' R2 U' L R'
B' R2 U' R2 U' R' L
B' R2 U2 L D R B2
B' R2 U2 L D B2 R
B' R2 U2 D L R B2
B' R2 U2 D L B2 R
B' R2 U2 D R L B2
B' R2 D U2 L R B2
B' R2 D U2 L B2 R
B' R2 D U2 R L B2
B' R2 D' F2 L' U2 L2
L D L B' U' R' F
L D L B' U' F R'
B U L R B2 R2 U2
B U L R' U2 D2 F2
B U L R' D2 U2 F2
B U L R' B2 U2 D
B U L R' B2 U2 D'
B U L R' B2 U2 D2
B U L R' B2 D U2
B U L R' B2 D' U2
B U L R' B2 D2 U2
B U L R2 B2 R U2
B U L D2 R' U2 F2
B U L B2 R U2 L
B U L B2 R' U2 L
B U L B2 R2 U2 L
B U L B2 U2 L D
B U L B2 U2 L D'
B U L B2 U2 L D2
B U L B2 U2 D L
B U L B2 U2 D' L
B U L B2 U2 D2 L
B U L B2 D U2 L
B U L B2 D' U2 L
B U L B2 D2 U2 L
B U L' R' B2 L2 U2
B U L' B2 L2 U2 L'
B U L2 R' B2 L' U2
B U L2 B2 L' U2 L2
B U R L B2 R2 U2
B U R B2 R2 U2 R
B U R' L U2 D2 F2
B U R' L D2 U2 F2
B U R' L B2 U2 D
B U R' L B2 U2 D'
B U R' L B2 U2 D2
B U R' L B2 D U2
B U R' L B2 D' U2
B U R' L B2 D2 U2
B U R' L' B2 L2 U2
B U R' L2 B2 L' U2
B U R' D2 L U2 F2
B U R' B2 L U2 R'
B U R' B2 L' U2 R'
B U R' B2 L2 U2 R'
B U R' B2 U2 R' D
B U R' B2 U2 R' D'
B U R' B2 U2 R' D2
B U R' B2 U2 D R'
B U R' B2 U2 D' R'
B U R' B2 U2 D2 R'
B U R' B2 D U2 R'
B U R' B2 D' U2 R'
B U R' B2 D2 U2 R'
B U R2 L B2 R U2
B U R2 B2 R U2 R2
B U D2 L R' U2 F2
B U D2 R' L U2 F2
B' U' L R' U L' U'
B U B2 L' U2 L2 R'
B U B2 L' U2 R' L2
B' U' L U L' U' R'
B U B2 L2 U2 L' R'
B U B2 L2 U2 R' L'
B U B2 R U2 L R2
B U B2 R U2 R2 L
B U B2 R2 U2 L R
B U B2 R2 U2 R L
B U B2 U2 L R' D
B U B2 U2 L R' D'
B U B2 U2 L R' D2
B U B2 U2 L D R'
