F' R' B2 U L' B'
F2 L' R' F B2 U L'
F2 L' R' B2 F U L'
F2 L' F R' B2 U L'
U' R U2 R2 F' B2 U
U' R U2 R2 B2 F' U
R2 U B2 L R F U
R2 U B2 R L F U
U' R D' B U' R2 F2
U' R D' B U' F2 R2
U' R D2 L2 F2 B U'
U' R D2 L2 B F2 U'
U' R D2 F2 L2 B U'
U' R D2 F2 B L2 U'
U' R D2 B L2 F2 U'
U' R D2 B F2 L2 U'
U' R B U2 B R2 U
F' R B2 R2 U L' B'
F2 R' L' F B2 U L'
F2 R' L' B2 F U L'
F' R' U L' D' R2 B'
F' R' U L' D' B' R2
F' R' U D' L' R2 B'
F' R' U D' L' B' R2
F' R' U D' R2 L' B'
F2 R' D' L' F U R2
F' R' D' U L' R2 B'
F' R' D' U L' B' R2
F' R' D' U R2 L' B'
U' R' D' F' U R2 B
F2 R' F B2 U L' B'
U' R' F' B2 U D B2
U' R' F' B2 U2 R2 U'
U' R' F' B2 D U B2
U' R' F' B2 D2 L2 U
F2 R' B2 L' F U L'
F' R' B2 U L' D B'
F' R' B2 U L' D' B'
F' R' B2 U L' D2 B'
F' R' B2 U L' B' D
F' R' B2 U L' B' D'
F' R' B2 U L' B' D2
F' R' B2 U D L' B'
F' R' B2 U D' L' B'
F' R' B2 U D2 L' B'
F' R' B2 U B L' B'
F' R' B2 U B' L' B'
F' R' B2 U B2 L' B'
U' R' B2 U2 R2 B U'
F' R' B2 D U L' B'
U' R' B2 D F' U B2
F' R' B2 D' U L' B'
U' R' B2 D2 L2 F' U
F' R' B2 D2 U L' B'
U' R' B2 D2 F' L2 U
U' R' B2 F' U D B2
U' R' B2 F' U2 R2 U'
U' R' B2 F' D U B2
U' R' B2 F' D2 L2 U
F2 R' B2 D' L' F U
F2 R' B2 F U L' B'
R' U2 B R2 F' U' L
U' R2 B2 L R F' U
U' R2 B2 R L F' U
F' R2 B2 R U L' B'
U' R2 B2 R F' L U
U R2 B2 L R F U
U R2 B2 R L F U
R' D' F' U L' R2 B
R' D' F' U R2 L' B
R' D' F' U R2 B L'
R D' F' U' L' F' R2
B2 U2 L R B U' L
B2 U2 L B R U' L
B2 U2 R L B U' L
R D2 F' L2 F' U' L
R F U' D' F2 L' R2
R F U' D' F2 R2 L'
R F U2 R2 B2 U L
R F D' U' F2 L' R2
R F D' U' F2 R2 L'
R F D2 L2 F2 U' L'
R F D2 F2 L2 U' L
D' F' R' U L' R' B'
D' F' R' U R' L' B'
U' F' R' F' L' B2 U
U' F' R' F' B2 L' U
U' F' R' B2 F' L' U
L' F' R' B2 U L' B'
L2 F' R' B2 U L' B'
L F' R' B2 U L' B'
F2 D' L' R' F U R'
R F' U' L' D' R2 F2
R F' U' L' D' F2 R2
F2 D' L' F R' U R'
R F' U' D' L' R2 F2
R F' U' D' L' F2 R2
R F' U' D' R2 L' F2
R F' U2 R2 B2 U L'
R F' U2 B2 R2 U L'
F' D' R' U L' R' B'
F' D' R' U R' L' B'
F2 D' R' L' F U R'
R F' D' U' L' R2 F2
R F' D' U' L' F2 R2
R F' D' U' R2 L' F2
R F' D2 L2 F2 U' L
R' F' B2 U L' D B2
R' F' B2 U D L' B2
R' F' B2 U D B2 L'
R' F' B2 U2 R2 U' L'
R' F' B2 D U L' B2
R' F' B2 D U B2 L'
R' F' B2 D2 L2 U L
U' F2 L' R' F' B2 U
U' F2 L' R' B2 F' U
U' F2 R' L' F' B2 U
U' F2 R' L' B2 F' U
U' F2 R' B2 L' F' U
R B U2 B R2 U L
B2 F' U L' D F2 B'
B2 F' U L' D B' F2
B2 F' U L' B' D F2
R2 B2 L R F' U L'
R2 B2 R L F' U L'
R2 B2 R F' L U L2
R' B2 U2 R2 B U' L
R' B2 U2 B R2 U' L
F' B2 U L' D F2 B'
F' B2 U L' D B' F2
F' B2 U L' B' D F2
R' B2 D F' U L' B2
R' B2 D F' U B2 L'
U B2 U2 L R B U'
U B2 U2 R L B U'
R' B2 D2 L2 F' U L'
R' B2 D2 F' L2 U L
R' B2 F' U L' D B2
R' B2 F' U D L' B2
R' B2 F' U D B2 L'
R' B2 F' U2 R2 U' L'
R' B2 F' D U L' B2
R' B2 F' D U B2 L'
R' B2 F' D2 L2 U L
