L2 R' F B' U B
L2 R' B' F U B
R' L2 F B' U B
R' L2 B' F U B
R' U F B' U' F'
R' U B' F U' F'
L2 U' R' F B' U
L2 U' R' B' F U
L2 U' F R' B' U
U' R' U2 F B' U'
U' R' U2 B' F U'
L2 F R' B' U B
U F B2 L B U'
B' D2 F L' U' B
B2 F L B U' B
U B' D2 F L' U'
F B2 L B U' B
U B2 F L B U'
L2 R U' R2 F B' U
L2 R U' R2 B' F U
L2 R U' F R2 B' U
L2 R U' F B' R2 U
L2 R U' B' R2 F U
L2 R U' B' F R2 U
L2 R F R2 B' U B
B2 L D' B R2 U' R
B2 L B U' D' B R'
B2 L B D' U' B R'
L2 R' D F B' U B
L2 R' D B' F U B
L2 R' D' F B' U B
L2 R' D' B' F U B
L2 R' D2 F B' U B
L2 R' D2 B' F U B
L2 R' F D B' U B
L2 R' F D' B' U B
L2 R' F D2 B' U B
L2 R' F B' L U B
L2 R' F B' L' U B
L2 R' F B' L2 U B
L2 R' F B' U D B
L2 R' F B' U D' B
L2 R' F B' U D2 B
L2 R' F B' U B D
L2 R' F B' U B D'
L2 R' F B' U B D2
L2 R' F B' D U B
L2 R' F B' D' U B
L2 R' F B' D2 U B
L2 R' B' L' U B L
L2 R' B' D F U B
L2 R' B' D' F U B
L2 R' B' D2 F U B
L2 R' B' F L U B
L2 R' B' F L' U B
L2 R' B' F L2 U B
L2 R' B' F U D B
L2 R' B' F U D' B
L2 R' B' F U D2 B
L2 R' B' F U B D
L2 R' B' F U B D'
L2 R' B' F U B D2
L2 R' B' F D U B
L2 R' B' F D' U B
L2 R' B' F D2 U B
L2 R2 U' R F B' U
R2 L2 U' R F B' U
L2 R2 U' R B' F U
R2 L2 U' R B' F U
R L2 U' R2 F B' U
R L2 U' R2 B' F U
R L2 U' F R2 B' U
R L2 U' F B' R2 U
L2 R2 U' B' R F U
R2 L2 U' B' R F U
R L2 U' B' R2 F U
R L2 U' B' F R2 U
R' L2 D F B' U B
R' L2 D B' F U B
R' L2 D' F B' U B
F L' B2 L B' U' B'
U L' B2 L F B' U'
U L' B2 L B' F U'
R' L2 D' B' F U B
R' L2 D2 F B' U B
R' L2 D2 B' F U B
D2 L2 R' F B' U B
D' L2 R' F B' U B
U' L2 R' F B' L2 U
R' L2 F D B' U B
D2 L2 R' B' F U B
D' L2 R' B' F U B
R' L2 F D' B' U B
R' L2 F D2 B' U B
D L2 R' F B' U B
U' L2 R' B' F L2 U
R' L2 F B' L U B
R' L2 F B' L' U B
R' L2 F B' L2 U B
R' L2 F B' U D B
R' L2 F B' U D' B
R' L2 F B' U D2 B
R' L2 F B' U B D
R' L2 F B' U B D'
R' L2 F B' U B D2
R' L2 F B' D U B
R' L2 F B' D' U B
R' L2 F B' D2 U B
R L2 F R2 B' U B
D L2 R' B' F U B
U2 L2 U R' F B' U
U2 L2 U R' B' F U
U2 L2 U F R' B' U
D2 L2 U' R' F B' U
D2 L2 U' R' B' F U
D' L2 U' R' F B' U
D' L2 U' R' B' F U
D2 L2 U' F R' B' U
D' L2 U' F R' B' U
D L2 U' R' F B' U
D L2 U' R' B' F U
D L2 U' F R' B' U
F L2 U' F R' U R
R' L2 B' L' U B L
U L2 U2 R' F B' U
U L2 U2 R' B' F U
R' L2 B' D F U B
R' L2 B' D' F U B
R' L2 B' D2 F U B
R' L2 B' F L U B
R' L2 B' F L' U B
R' L2 B' F L2 U B
R' L2 B' F U D B
R' L2 B' F U D' B
R' L2 B' F U D2 B
R' L2 B' F U B D
R' L2 B' F U B D'
R' L2 B' F U B D2
R' L2 B' F D U B
R' L2 B' F D' U B
R' L2 B' F D2 U B
U L2 U2 F R' B' U
D2 L2 F R' B' U B
D' L2 F R' B' U B
U' L2 F R' B' L2 U
D L2 F R' B' U B
R' U D F B' U' F'
R' U D B' F U' F'
R' U D' F B' U' F'
R' U D' B' F U' F'
R' U D2 F B' U' F'
R U D' F B' U' F
R' U D2 B' F U' F'
R U D' B' F U' F
R' U F L U' F' L'
R U D2 F B' L2 U'
R' U F D B' U' F'
R' U F D' B' U' F'
R U D2 B' F L2 U'
R' U F D2 B' U' F'
R' U F B' L U' F'
R' U F B' L' U' F'
R' U F B' L2 U' F'
R' U F B' U' D F'
R' U F B' U' D' F'
R' U F B' U' D2 F'
R' U F B' U' F' D
R' U F B' U' F' D'
R' U F B' U' F' D2
R' U F B' D U' F'
R' U F B' D' U' F'
R' U F B' D2 U' F'
R2 U F D2 B' L U'
R U F D' B' U' F2
R U F D2 B' L2 U'
R U F B' U' D' F2
R U F B' U2 R2 U
R U F B' D' U' F2
R U F B' D2 L2 U'
R2 U F2 B' L' F' U'
R' U B' D F U' F'
R' U B' D' F U' F'
R' U B' D2 F U' F'
R' U B' F L U' F'
R' U B' F L' U' F'
R' U B' F L2 U' F'
R' U B' F U' D F'
R' U B' F U' D' F'
R' U B' F U' D2 F'
R' U B' F U' F' D
R' U B' F U' F' D'
R' U B' F U' F' D2
R' U B' F D U' F'
R' U B' F D' U' F'
R' U B' F D2 U' F'
R2 U B' F2 L' F' U'
R U B' D' F U' F
R U B' D2 F L2 U'
R U B' F U' D' F2
R U B' F U2 R2 U
R U B' F D' U' F2
R U B' F D2 L2 U'
F R D' B' U' F2 B
F R D' B' U' B F2
F R D2 B' L2 U' B
