R' U L' U F R
R' L U L2 U F R
R' L D F2 B' U2 R'
R' L D B' F2 U2 R'
R' L D' B' U2 R' B'
B L D F2 B' R' U2
B L D B' R' F2 U2
B L D B' F2 R' U2
B L D' B' R' U2 B'
R' L B' U L2 U R'
R' L B' U2 R' D' B2
R' L B' U2 D' R' B2
R' L B' D F2 U2 R'
R' L B' D' U2 R' B2
L R' U L2 U F R
B L B' R' U L2 U
B L B' R' U2 D' B2
B L B' R' D F2 U2
B L B' R' D' U2 B2
B L B' U2 D' B2 L
B L B' D R' F2 U2
B L B' D F2 R' U2
B L B' D' R' U2 B2
B L B' D' U2 B2 L
L R' D F2 B' U2 R'
L R' D B' F2 U2 R'
L R' D' B' U2 R' B'
B' L' U R' D2 F L'
B' L' U D2 R' F L'
B' L' U D2 F L' R'
B' L' U D2 F R' L'
U L' U F R D2 L2
U L' U' R' U2 F R
B' L' D2 U R' F L'
B' L' D2 U F L' R'
B' L' D2 U F R' L'
L R' B' U L2 U R'
L R' B' U2 R' D' B2
L R' B' U2 D' R' B2
L R' B' D F2 U2 R'
L R' B' D' U2 R' B2
B2 L' B U R' F L2
B2 L' B U F L2 R'
B2 L' B U F R' L2
U' L' B' U D2 F L'
U' L' B' D2 U F L'
U L' B2 U F L R
U L' B2 U F R L
R' U L' R B U F
R' U L' U R F R
R' U L' U R' F R
R' U L' U R2 F R
R' U L' U D F R
R' U L' U D' F R
R' U L' U D2 F R
R' U L' U F R D
R' U L' U F R D'
R' U L' U F R D2
R' U L' U F D R
R' U L' U F D' R
R' U L' U F D2 R
R' U L' D U F R
R' U L' D' U F R
R' U L' D2 U F R
R' U L' B U F R
R' U L' B' U F R
R' U L' B2 U F R
R' U R L' B U F
R' U R B L' U F
R' U B L' U F R
R' U B' L' U F R
R' U B2 L' U F R
U2 R' U L' B' U F
D2 R' B L U L2 U
D2 R' B L U2 D' B2
D2 R' B L D F2 U2
D2 R' B L D' U2 B2
L D R' F2 B' U2 R'
L D R' B' F2 U2 R'
L D F2 R' B' U2 R'
L D' R' B' U2 R' B'
L D' B' U2 R' B' L
R' B L U L2 U F
R' B L D F2 B' U2
R' B L D B' F2 U2
R' B L D' B' U2 B'
R' B L B' U L2 U
R' B L B' U2 D' B2
R' B L B' D F2 U2
R' B L B' D' U2 B2
U' B' L' B' U F L
R' B' U L' U R' F
R' B' U L' U F R'
L' B' U R' D2 F L'
L' B' U D2 R' F L'
L' B' U D2 F L' R'
L' B' U D2 F R' L'
L' B' D2 U R' F L'
L' B' D2 U F L' R'
L' B' D2 U F R' L'
U' B2 L' B' U F L2
U B2 L' U F L2 R
U B2 L' U F R L2
