F' R U' F' R'
F' L R U' F' R'
F' L' R U' F' R'
F' L2 R U' F' R'
F' R L U' F' R'
F' R L' U' F' R'
F' R L2 U' F' R'
F' R U' D F' R'
F' R U' D' F' R'
F' R U' D2 F' R'
F' R U' F R' F2
F' R U' F' R' D
F' R U' F' R' D'
F' R U' F' R' D2
F' R U' F' D R'
F' R U' F' D' R'
F' R U' F' D2 R'
F' R U' F2 R' F
F' R D U' F' R'
F' R D' U' F' R'
F' R D2 U' F' R'
F' R F U' R' F2
F' R F U' F2 R'
F' R F2 U' R' F
F' R F2 U' F R'
R U' D F' R' B
R U' F' R' D B2
R D U' F' R' B
L' F' R U' F' R'
L2 F' R U' F' R'
L F' R U' F' R'
F' L R U' D F' R'
F' L R U' D' F' R'
F' L R U' D2 F' R'
F' L R U' F R' F2
F' L R U' F' R' D
F' L R U' F' R' D'
F' L R U' F' R' D2
F' L R U' F' D R'
F' L R U' F' D' R'
F' L R U' F' D2 R'
F' L R U' F2 R' F
F' L R D U' F' R'
F' L R D' U' F' R'
F' L R D2 U' F' R'
F' L R F U' R' F2
F' L R F U' F2 R'
F' L R F2 U' R' F
F' L R F2 U' F R'
L' R U' D F' R' B
L' R U' F' R' D B2
L2 R U' D F' R' B
L R U' D F' R' B
R L U' D F' R' B
L R U' F' R' D B2
L2 R U' F' R' D B2
R L U' F' R' D B2
L' R D U' F' R' B
L2 R D U' F' R' B
L R D U' F' R' B
R L D U' F' R' B
F2 L F R U' F' R'
R L' U' D F' R' B
R L' U' F' R' D B2
F' L' R U' D F' R'
F' L' R U' D' F' R'
F' L' R U' D2 F' R'
F' L' R U' F R' F2
F' L' R U' F' R' D
F' L' R U' F' R' D'
F' L' R U' F' R' D2
F' L' R U' F' D R'
F' L' R U' F' D' R'
F' L' R U' F' D2 R'
F' L' R U' F2 R' F
F' L' R D U' F' R'
F' L' R D' U' F' R'
F' L' R D2 U' F' R'
F' L' R F U' R' F2
F' L' R F U' F2 R'
F' L' R F2 U' R' F
F' L' R F2 U' F R'
R L' D U' F' R' B
F2 L' F R U' F' R'
R L2 U' D F' R' B
R L2 U' F' R' D B2
R L2 D U' F' R' B
F' L2 R U' D F' R'
F' L2 R U' D' F' R'
F' L2 R U' D2 F' R'
F' L2 R U' F R' F2
F' L2 R U' F' R' D
F' L2 R U' F' R' D'
F' L2 R U' F' R' D2
F' L2 R U' F' D R'
F' L2 R U' F' D' R'
F' L2 R U' F' D2 R'
F' L2 R U' F2 R' F
F' L2 R D U' F' R'
F' L2 R D' U' F' R'
F' L2 R D2 U' F' R'
F' L2 R F U' R' F2
F' L2 R F U' F2 R'
F' L2 R F2 U' R' F
F' L2 R F2 U' F R'
F2 L2 F R U' F' R'
F' R L U' D F' R'
F' R L U' D' F' R'
F' R L U' D2 F' R'
F' R L U' F R' F2
F' R L U' F' R' D
F' R L U' F' R' D'
F' R L U' F' R' D2
F' R L U' F' D R'
F' R L U' F' D' R'
F' R L U' F' D2 R'
F' R L U' F2 R' F
F' R L D U' F' R'
F' R L D' U' F' R'
F' R L D2 U' F' R'
F' R L F U' R' F2
F' R L F U' F2 R'
F' R L F2 U' R' F
F' R L F2 U' F R'
F' R L' U' D F' R'
F' R L' U' D' F' R'
F' R L' U' D2 F' R'
F' R L' U' F R' F2
F' R L' U' F' R' D
F' R L' U' F' R' D'
F' R L' U' F' R' D2
F' R L' U' F' D R'
F' R L' U' F' D' R'
F' R L' U' F' D2 R'
F' R L' U' F2 R' F
F' R L' D U' F' R'
F' R L' D' U' F' R'
F' R L' D2 U' F' R'
F' R L' F U' R' F2
F' R L' F U' F2 R'
F' R L' F2 U' R' F
F' R L' F2 U' F R'
F' R L2 U' D F' R'
F' R L2 U' D' F' R'
F' R L2 U' D2 F' R'
F' R L2 U' F R' F2
F' R L2 U' F' R' D
F' R L2 U' F' R' D'
F' R L2 U' F' R' D2
F' R L2 U' F' D R'
F' R L2 U' F' D' R'
F' R L2 U' F' D2 R'
F' R L2 U' F2 R' F
F' R L2 D U' F' R'
F' R L2 D' U' F' R'
F' R L2 D2 U' F' R'
F' R L2 F U' R' F2
F' R L2 F U' F2 R'
F' R L2 F2 U' R' F
F' R L2 F2 U' F R'
F' R U L U2 F' R'
F' R U L' U2 F' R'
F' R U L2 U2 F' R'
F' R U B2 L U2 F'
F' R U' L' F' L R'
F' R U' L' F' R' L
F' R U' L2 F' L2 R'
F' R U' L2 F' R' L2
F' R U' D F R' F2
F' R U' D F' R' D
F' R U' D F' R' D'
F' R U' D F' R' D2
F' R U' D F' D R'
F' R U' D F' D' R'
F' R U' D F' D2 R'
F' R U' D F2 R' F
F' R U' D' F R' F2
F' R U' D' F' R' D
F' R U' D' F' R' D'
F' R U' D' F' R' D2
F' R U' D' F' D R'
F' R U' D' F' D' R'
F' R U' D' F' D2 R'
F' R U' D' F2 R' F
F' R U' D2 F R' F2
F' R U' D2 F' R' D
F' R U' D2 F' R' D'
F' R U' D2 F' R' D2
F' R U' D2 F' D R'
F' R U' D2 F' D' R'
F' R U' D2 F' D2 R'
F' R U' D2 F2 R' F
F' R U' F R F2 R2
F' R U' F R' F2 D
F' R U' F R' F2 D'
F' R U' F R' F2 D2
F' R U' F' R2 D R
F' R U' F' R2 D' R
F' R U' F' R2 D2 R
F' R U' F' D R' D
F' R U' F' D R' D'
F' R U' F' D R' D2
F' R U' F' D' R' D
F' R U' F' D' R' D'
F' R U' F' D' R' D2
F' R U' F' D2 R' D
F' R U' F' D2 R' D'
F' R U' F' D2 R' D2
F' R U' F2 R F R2
F' R U' F2 R' D F
F' R U' F2 R' D' F
F' R U' F2 R' D2 F
F' R U' F2 R' F D
F' R U' F2 R' F D'
F' R U' F2 R' F D2
F' R U' F2 D R' F
F' R U' F2 D F R'
F' R U' F2 D' R' F
F' R U' F2 D' F R'
F' R U' F2 D2 R' F
F' R U' F2 D2 F R'
F2 R U' F' R B R2
F R U' F' D R' B
F R U2 L' U F' R'
F' R D L U' F' R'
F' R D L' U' F' R'
F' R D L2 U' F' R'
B2 R D L2 F' R' B
F' R D U' F R' F2
F' R D U' F' R' D
F' R D U' F' R' D'
F' R D U' F' R' D2
F' R D U' F' D R'
F' R D U' F' D' R'
F' R D U' F' D2 R'
F' R D U' F2 R' F
F' R D F U' R' F2
F' R D F U' F2 R'
F' R D F2 U' R' F
F' R D F2 U' F R'
B2 R D F' L2 R' B
B2 R D F' R' L2 B
B2 R D F' R' B L2
F' R D' L U' F' R'
F' R D' L' U' F' R'
F' R D' L2 U' F' R'
F' R D' U' F R' F2
F' R D' U' F' R' D
F' R D' U' F' R' D'
F' R D' U' F' R' D2
F' R D' U' F' D R'
F' R D' U' F' D' R'
F' R D' U' F' D2 R'
F' R D' U' F2 R' F
F' R D' F U' R' F2
F' R D' F U' F2 R'
F' R D' F2 U' R' F
F' R D' F2 U' F R'
F' R D2 L U' F' R'
F' R D2 L' U' F' R'
F' R D2 L2 U' F' R'
F' R D2 U' F R' F2
F' R D2 U' F' R' D
F' R D2 U' F' R' D'
F' R D2 U' F' R' D2
F' R D2 U' F' D R'
F' R D2 U' F' D' R'
F' R D2 U' F' D2 R'
F' R D2 U' F2 R' F
F' R D2 F U' R' F2
F' R D2 F U' F2 R'
F' R D2 F2 U' R' F
F' R D2 F2 U' F R'
F' R F L U' R' F2
F' R F L U' F2 R'
U' R F L' U L F2
U' R F L' U F2 L
F' R F L' U' R' F2
F' R F L' U' F2 R'
F' R F L2 U' R' F2
F' R F L2 U' F2 R'
F2 R F R U' R2 F2
F2 R F R U' F2 R2
F' R F U' R F2 R2
F' R F U' R' F2 D
F' R F U' R' F2 D'
F' R F U' R' F2 D2
F' R F U' F R' F
F' R F U' F2 R' D
F' R F U' F2 R' D'
F' R F U' F2 R' D2
F' R F U' F2 D R'
F' R F U' F2 D' R'
F' R F U' F2 D2 R'
F' R F D' L2 U' R'
U' R F' U R U' R'
B2 R F' R' D L2 B2
B2 R F' R' D B2 L2
F' R F2 U' R F R2
F' R F2 U' R' D F
F' R F2 U' R' D' F
F' R F2 U' R' D2 F
F' R F2 U' R' F D
F' R F2 U' R' F D'
F' R F2 U' R' F D2
F' R F2 U' D R' F
F' R F2 U' D F R'
F' R F2 U' D' R' F
F' R F2 U' D' F R'
F' R F2 U' D2 R' F
F' R F2 U' D2 F R'
F' R F2 U' F R' D
F' R F2 U' F R' D'
F' R F2 U' F R' D2
F' R F2 U' F D R'
F' R F2 U' F D' R'
F' R F2 U' F D2 R'
F' R F2 U' F' R' F2
F' R F2 D U' R' F
F' R F2 D U' F R'
F' R F2 D' U' R' F
F' R F2 D' U' F R'
F' R F2 D2 U' R' F
F' R F2 D2 U' F R'
F R F2 R U' R2 F
F R F2 R U' F R2
R' U' R2 D F' R' B
R' U' R2 F' R' D B2
R U' D F R' F2 B
R U' D F R' B F2
R U' D F' R' D B
R U' D F' R' D' B
R U' D F' R' D2 B
R U' D F' R' B D
R U' D F' R' B D'
R U' D F' R' B D2
R U' D F2 R' F B
R U' D F2 R' B F
R U' D' F' D2 R' B
R U' D2 F' D' R' B
R U' F' R' U R2 U'
R U' F' R' D B2 D
R U' F' R' D B2 D'
R U' F' R' D B2 D2
R U' F' R' B D B2
R U' F' R' B' D B2
R U' F' R' B2 D B2
R U' F' U R U' R2
R U' F' D R' D B2
R U' F' D' R' D B2
F2 R' U B U2 R B
R U' F' D2 R' D B2
F2 R' U' R2 F' R' B
D R' U' D' B R F'
D R' U' B R D' F2
D R' D' U' B R F'
F' R' F R2 U' F' R
F' R2 D' R' F2 U' F
F' R2 D' F2 R' U' F'
R D L U' F' R' B
F' R2 F R' U' F' R'
R D L' U' F' R' B
F' R2 F' R' U' F' R'
R D L2 U' F' R' B
F' R2 F2 R' U' F' R'
R D U' F R' F2 B
R D U' F R' B F2
R D U' F' R' D B
R D U' F' R' D' B
R D U' F' R' D2 B
R D U' F' R' B D
R D U' F' R' B D'
R D U' F' R' B D2
R D U' F2 R' F B
R D U' F2 R' B F
R D F U' R' F2 B
R D F U' R' B F2
R D F U' F2 R' B
F' U R B2 U' L F'
F' U R B2 U' F' L
R D F2 U' R' F B
R D F2 U' R' B F
R D F2 U' F R' B
R D' L U' F' R' B'
R D' U' F' D2 R' B
F U' L' R U L F'
F U' L' R U F' L
F U' R L' U L F'
F U' R L' U F' L
F U' D2 L' U F L
R D2 U' F' D' R' B
U' F L' R U L F'
U' F L' R U F' L
U' F R L' U L F'
U' F R L' U F' L
R F L' U R' F2 L'
R F U' F2 R' D B2
R F U2 L' U R' F2
R F U2 L' U F2 R'
U' F D2 L' U F L
L' F' L R U' F' R'
L2 F' L R U' F' R'
L' F' L' R U' F' R'
L2 F' L' R U' F' R'
L F' L R U' F' R'
L' F' L2 R U' F' R'
L2 F' L2 R U' F' R'
L F' L' R U' F' R'
L' F' R L U' F' R'
L' F' R L' U' F' R'
L' F' R L2 U' F' R'
L' F' R U' D F' R'
L' F' R U' D' F' R'
L' F' R U' D2 F' R'
L' F' R U' F R' F2
L' F' R U' F' R' D
L' F' R U' F' R' D'
L' F' R U' F' R' D2
L' F' R U' F' D R'
L' F' R U' F' D' R'
L' F' R U' F' D2 R'
L' F' R U' F2 R' F
R' F' R F U' R F'
L' F' R D U' F' R'
L' F' R D' U' F' R'
L' F' R D2 U' F' R'
L2 F' R L U' F' R'
L2 F' R L' U' F' R'
L' F' R F U' R' F2
L' F' R F U' F2 R'
L2 F' R L2 U' F' R'
L F' L2 R U' F' R'
L' F' R F2 U' R' F
L' F' R F2 U' F R'
L2 F' R U' D F' R'
L2 F' R U' D' F' R'
L2 F' R U' D2 F' R'
L2 F' R U' F R' F2
L2 F' R U' F' R' D
L2 F' R U' F' R' D'
L2 F' R U' F' R' D2
L2 F' R U' F' D R'
L2 F' R U' F' D' R'
L2 F' R U' F' D2 R'
L2 F' R U' F2 R' F
L2 F' R D U' F' R'
L2 F' R D' U' F' R'
L2 F' R D2 U' F' R'
R2 F' R U B U2 R
L2 F' R F U' R' F2
L2 F' R F U' F2 R'
R2 F' R U' R2 F' R'
L2 F' R F2 U' R' F
L2 F' R F2 U' F R'
L F' R L U' F' R'
L F' R L' U' F' R'
L F' R L2 U' F' R'
L F' R U' D F' R'
L F' R U' D' F' R'
L F' R U' D2 F' R'
L F' R U' F R' F2
L F' R U' F' R' D
L F' R U' F' R' D'
L F' R U' F' R' D2
L F' R U' F' D R'
L F' R U' F' D' R'
L F' R U' F' D2 R'
L F' R U' F2 R' F
L F' R D U' F' R'
R F' R U' R2 D' F2
L F' R D' U' F' R'
L F' R D2 U' F' R'
L F' R F U' R' F2
L F' R F U' F2 R'
R F' R D' F2 U' F2
L F' R F2 U' R' F
L F' R F2 U' F R'
