B L U' R' U B U
D2 L' U2 F R U' L'
D L' F U R B R'
D L' F B L U R'
D L' B F L U R'
D L2 U R B L R'
D L2 U R B R' L
D L2 B L F U R'
B R' U L B R U
U R' B' L D' R2 B
U R' B' D' L R2 B
U R' B' D' R2 L B
R' D' B L R F' U
R' D' B R L F' U
R' D' B R F' L U
B U' R' U L B U
B' U2 R F' R2 U' L
U2 F R F' B' U' L
U2 F R B' F' U' L
D2 F B L B' U L2
U2 F B' R F' U' L
B2 D B U L R' B'
B2 D B U R' L B'
R' B L R U D2 L2
R' B L R U' R2 U2
R' B L R D' F2 U
R' B L R D2 U L2
D2 B L D2 B' U L
D2 B L F B' U L'
D2 B L B' F U L'
R' B R L U D2 L2
R' B R L U' R2 U2
R' B R L D' F2 U
R' B R L D2 U L2
D B L' F L2 U R'
R' B R D' L F2 U
R' B R D' F2 L U
R' B R D2 L U L
D2 B F L B' U L2
U B' L D R B R'
U B' D L R B R'
U B' D R L B R'
U2 B' F R F' U' L
U B2 D R B L R'
U B2 D R B R' L
