B L D R' B R' F'
D L2 B U' L R' B
D L2 B U' R' L B
B R F' R U' L F'
B R F' R U' F' L
D R' B R' D L F2
D R' B R' D F2 L
D R' B D L R' F2
D R' B D L F2 R'
D R' B D R' L F2
D R' B D R' F2 L
D R' B D F2 L R'
D R' B D F2 R' L
R D' R2 B U L B'
R' D' B R2 U L B'
B D L R' B R' F'
B' D R' B' L U2 B2
B' D R' B' U2 B2 R'
B D R' L B R' F'
B D' L R2 F' R B'
B D' L R2 F' B' R
B D' L R2 B' F' R
B D' R2 L F' R B'
B D' R2 L F' B' R
B D' R2 L B' F' R
B D' R2 F' L R B'
B D' R2 F' L B' R
B D' R2 F' R L B'
D2 F2 D' R' B L R'
D2 F2 D' R' B R' L
D2 F2 D' B L R' B
D2 F2 D' B R' L B
D B L2 U' L' R' B
D B L2 U' R' L' B
D B L2 U' R' B L'
D B R' D L F2 B
D B R' D L B F2
D B R' D F2 L B
