U F' D R F' L'
F L' U L U F L'
F2 L' U' L R B U
F2 L' U' R L B U
F2 R U L' U' B' U
U' R U' L' F' U' R
U' R U' D' L' F U'
D' R U2 L' F U' L
D R U2 L' F' U' L
U' R U2 F' D R F'
F2 R U2 B' U' L' R'
F2 R U2 B' U' R' L'
U' R D' U' L' F U'
F' R F' R U L' R'
F' R F' R U R' L'
D R' D' F2 B R U
D R' D' B F2 R U
R U2 L' F' U' L R
R U2 L' F' U' R L
F' R' F' R U L' R
F' R' F' R U R L'
D R' B D' F2 R U
R U2 D' L' F U' L
F' R2 F' R U L' R2
F' R2 F' R U R2 L'
F2 U L' U' R B' U
F2 U L' U' B' R U
F U L F D2 L' R2
F U L F D2 R2 L'
U' D R U' L' F' U'
F U F L F L2 R
F U F L F R L2
B' U F' D R F' L'
B2 U F' D R F' L'
B U F' D R F' L'
U' D' R U' L' F U'
D' U' R U' L' F U'
D U' R U' L' F' U'
R D' U2 L' F U' L
F U' L' U2 L F L'
R F L' U L U F
R2 F U' L' R' U2 F'
R2 F U' R' L' U2 F'
U F' L D R F' L'
U F' L' D R F' L'
U F' L2 D R F' L'
U F' R D' F' L' F
U F' D L R F' L'
U F' D L' R F' L'
U F' D L2 R F' L'
U F' D R L F' L'
U F' D R L' F' L'
U F' D R L2 F' L'
U F' D R D F' L'
U F' D R D' F' L'
U F' D R D2 F' L'
U F' D R F' L' D
U F' D R F' L' D'
U F' D R F' L' D2
U F' D R F' D L'
U F' D R F' D' L'
U F' D R F' D2 L'
U F' D' R F' L' F
U F' D' F' L' F R
U F2 L' U' R B U
U F2 L' F D R F'
D2 F2 R B U L' R'
D2 F2 R B U R' L'
D F2 R' B R2 U L'
U F2 U' R B U L'
D2 F2 B R U L' R2
D2 F2 B R U R2 L'
D2 B F2 R U L' R2
D2 B F2 R U R2 L'
