B' L' F U B2
D' B' U L B2
B' L U2 B' U' B'
B' L D L2 F U
B' L' D F L2 U
B' L' F L U B2
B' L' F L' U B2
B' L' F L2 U B2
B' L' F U B2 D
B' L' F U B2 D'
B' L' F U B2 D2
B' L' F D L2 U
B L' F B2 U B2
B L' B2 F U B2
B' L2 U B L B
L2 U2 F U' B L
B' U B' D' B' L
L' D' F U B R'
L' F L B' U B2
L' F U D' B R'
L' F D' U B R'
B' D L2 F U L'
D' F B' U L B2
D F B' U L' B2
D F B' U B2 L'
B' D F L2 U L
B' D F L2 U L
D' F' B' U L B2
F' D' B' U L B2
B2 D' B U B2 L
F2 D' B' U L B2
F D' B' U L B2
D' F2 B' U L B2
B' F L' F U B2
D' B' L' U L2 B2
D' B' L' U B2 L2
D' B' L2 U L' B2
D' B' L2 U B2 L'
F' B' L' F U B2
F' B' L' F U B2
D' B' U L B2 D
D' B' U L B2 D'
D' B' U L B2 D2
B' F' L' F U B2
B' F' L' F U B2
D' B' U L' B2 L2
D' B' U L2 B2 L'
F2 B' L' F U B2
F2 B' L' F U B2
F B' L' F U B2
F B' L' F U B2
D' B' D L2 U L'
D' B' F U L B2
D' B' F' U L B2
D B' F U L' B2
D B' F U B2 L'
D' B' F2 U L B2
B' F2 L' F U B2
B' L U B D L2 B
B' L U B D B L2
D' L U B' L R' B2
D' L U B' R' L B2
B' L U B2 U B U'
U L U B' U' R' B2
B' L U2 R B' U' B'
B' L U2 R' B' U' B'
B' L U2 R2 B' U' B'
B' L U2 D' R2 B' U'
B' L U2 D' B' R2 U'
B' L U2 B' R U' B'
B' L U2 B' R' U' B'
B' L U2 B' R2 U' B'
B' L U2 B' U' D B'
B' L U2 B' U' D' B'
B' L U2 B' U' D2 B'
B' L U2 B' U' B' D
B' L U2 B' U' B' D'
B' L U2 B' U' B' D2
B' L U2 B' D U' B'
B' L U2 B' D' U' B'
B' L U2 B' D2 U' B'
B' L D L2 D F U
B' L D L2 D' F U
B' L D L2 D2 F U
B' L D L2 F U D
B' L D L2 F U D'
B' L D L2 F U D2
B' L D L2 F D U
B' L D L2 F D' U
B' L D L2 F D2 U
B' L D F L2 F U
B' L D F' L2 F U
B' L D F2 L2 F U
B' L D' U2 R2 B' U'
B' L D' U2 B' R2 U'
B' L F L2 F U B2
B' L F U2 B' U' B'
B' L F D L2 F U
B' L F' L2 F U B2
B' L F' U2 B' U' B'
B' L F' D L2 F U
B' L F2 L2 F U B2
B' L F2 U2 B' U' B'
B' L F2 D L2 F U
B L B2 U2 B U' B
B' L' R F R' U B2
B' L' R2 F R2 U B2
B' L' U B2 U' F U
B' L' D L2 U2 B' U'
B' L' D F L2 U D
B' L' D F L2 U D'
B' L' D F L2 U D2
B' L' D F L2 D U
B' L' D F L2 D' U
B' L' D F L2 D2 U
B' L' D F U D' B2
B' L' D F D' U B2
B' L' D F' L2 F2 U
B2 L' D F L' B U
B' L' D F2 L2 F' U
B2 L' D F B L' U
B2 L' D B F L' U
F' L' D' F U B R'
B' L' D' F U D B2
B' L' D' F U2 R2 U'
B' L' D' F D U B2
B' L' D' F D2 L2 U
F2 L' D' F U B R'
F L' D' F U B R'
B' L' D2 F L2 U B'
B' L' D2 F U' F U2
F' L' F L B' U B2
B' L' F L U B2 D
B' L' F L U B2 D'
B' L' F L U B2 D2
B' L' F L D L2 U
B' L' F L' U B2 D
B' L' F L' U B2 D'
B' L' F L' U B2 D2
B' L' F L' D L2 U
F2 L' F L B' U B2
B' L' F L2 U B2 D
B' L' F L2 U B2 D'
B' L' F L2 U B2 D2
B' L' F L2 D L2 U
B2 L' F L B U B2
B L' F L B2 U B2
F L' F L B' U B2
B L' F L' B2 U B2
F' L' F U D' B R'
B' L' F U L B2 L'
B' L' F U L2 B2 L2
B' L' F U R' B2 R
B' L' F U R2 B2 R2
B L' F L2 B2 U B2
B' L' F U B D B
B' L' F U B D' B
B' L' F U B D2 B
B' L' F U B' D B'
B' L' F U B' D' B'
B' L' F U B' D2 B'
F2 L' F U D' B R'
B' L' F U' D2 F2 U2
B' L' F U' F U2 B2
B' L' F U' F' U2 B2
B' L' F U' F2 U2 B2
B' L' F U2 R U' B2
B' L' F U2 R' U' B2
B' L' F U2 R2 U' B2
B' L' F U2 D' R2 U'
B' L' F D L2 U D
B' L' F D L2 U D'
B' L' F D L2 U D2
B' L' F D L2 D U
B' L' F D L2 D' U
B' L' F D L2 D2 U
F' L' F D' U B R'
B' L' F D' U2 R2 U'
F L' F U D' B R'
F2 L' F D' U B R'
B' L' F D2 U' F2 U2
B2 L' F B L U B'
F L' F D' U B R'
B' L' F' L F2 U B2
B' L' F' L' F2 U B2
B L' F B2 L U B2
B' L' F' L2 F2 U B2
B L' F B2 L' U B2
B L' F B2 L2 U B2
B L' F B2 U B2 D
B L' F B2 U B2 D'
B L' F B2 U B2 D2
B L' F B2 D L2 U
B' L' F' U B2 D' L2
B' L' F2 L F' U B2
B' L' F2 L' F' U B2
B' L' F2 L2 F' U B2
B' L' F2 D L2 F' U
B' L' F2 D F' L2 U
B2 L' B D F L' U
B2 L' B F L U B'
B L' B2 D F L2 U
B L' B2 F L U B2
B L' B2 F L' U B2
B L' B2 F L2 U B2
B L' B2 F U B2 D
B L' B2 F U B2 D'
B L' B2 F U B2 D2
B L' B2 F D L2 U
B' L2 U L B L B
B' L2 U L' B L B
B' L2 U L2 B L B
B' L2 U B L D B
B' L2 U B L D' B
B' L2 U B L D2 B
B' L2 U B L B D
B' L2 U B L B D'
B' L2 U B L B D2
B' L2 U B L' B L2
B' L2 U B L2 B L'
B' L2 U B D L B
B' L2 U B D' L B
B' L2 U B D2 L B
B' L2 U' F R U2 B2
B' L2 U' F' U2 L' B2
B' L2 U' F' U2 B2 L'
B' L2 U2 R B U' B
F' L2 U2 F U' B L
F2 L2 U2 F U' B L
B' L2 U2 B U' B L
D L2 U2 F U' L' B
D L2 U2 F U' B L'
B' L2 D L F L U
F L2 U2 F U' B L
L2 U L D' B L R'
L2 U L D' B R' L
B' L2 F L F U B2
B' L2 F U B L B
B' L2 F' L F U B2
U L2 F U' F' L' B
U L2 F U' F' B L'
U L2 F U' B F' L'
B' L2 F' U B L B
L2 U L2 B L D' R2
L2 U L2 B D' L R2
L2 U L2 B D' R2 L
B' L2 F2 L F U B2
B' L2 F2 U B L B
B2 L2 B U' F R U2
B L2 B2 L F U B2
B L2 B2 U B L B
B' R L' F R' U B2
L2 U B U F U' L
L U B U B2 U' R'
L U B' R' B2 D L2
D2 R F' R' B' U B2
L U' B D L2 F R
D' R' B' R U L B
L2 U2 D F U' B L
L2 U2 D' F U' B L
L2 U2 D2 F U' B L
B' R2 L' F R2 U B2
L2 U2 F U' L B L
L2 U2 F U' L' B L
L2 U2 F U' L2 B L
L2 U2 F U' D B L
L2 U2 F U' D' B L
L2 U2 F U' D2 B L
L2 U2 F U' B L D
L2 U2 F U' B L D'
L2 U2 F U' B L D2
L2 U2 F U' B D L
L2 U2 F U' B D' L
L2 U2 F U' B D2 L
L2 U2 F D U' B L
L2 U2 F D' U' B L
L2 U2 F D2 U' B L
L U2 B' R' F' U' B2
L U2 B' U' B' R' B'
D' R2 B' R2 U L B
B' U L U B' U' B'
B' U L B D L2 B
B' U L B D B L2
B' U L B2 U B U'
L2 D U2 F U' B L
B' U L' U' F U B2
L' D F U' L' U2 B
B' U L' B2 U' F U
B' U D' B D B2 L
B' U D' B' L D B2
B' U D' B' D L B2
B2 U D' B' L D' R2
B2 U D' B' D' L R2
B2 U D' B' D' R2 L
L' D' L' U B L R'
L' D' L' U B R' L
D' U B U' B2 U L
D' U B' L B2 D' R2
B' U F' B2 D F L'
R' D' R B' U L B2
B' U B L B D L2
B' U B D' B' L B2
B' U B' D' B' L D
B' U B' D' B' L D'
B' U B' D' B' L D2
B' U B' D' B' D L
B' U B' D' B' D' L
B' U B' D' B' D2 L
B' U B2 L U B' U'
B' U B2 L' U' F U
B' U B2 D F L' F'
B' U B2 D' B' L B
B' U B2 F' D F L'
L' D' F L U B R'
L' D' F L' U B R'
L' D' F L2 U B R'
L2 D' U2 F U' B L
L' D' F U B R' D
L' D' F U B R' D'
L' D' F U B R' D2
L' D' F U B D R'
L' D' F U B D' R'
L' D' F U B D2 R'
L' D' F B' U B2 R'
R' D' B' R U L B
L' D' B' F U B2 R'
U D' B U' B2 U L
U D' B' L B2 D' R2
R' D2 R F' B' U B2
R' D2 R B' F' U B2
L2 D2 U2 F U' B L
L' D2 F U D B R'
L' D2 F D U B R'
R' D2 B' R F' U B
B' U2 D' R2 B' U' L
L' F L U B D' R2
B' U2 D' B' R2 U' L
L' F L D B' U B2
L' F L D' B' U B2
L' F L D2 B' U B2
L' F L B' L U B2
L' F L B' L' U B2
L' F L B' L2 U B2
L' F L B' U B2 D
L' F L B' U B2 D'
L' F L B' U B2 D2
L' F L B' D L2 U
L' F L' U2 F U' B
L' F L2 U B' R' B2
L' F L2 B2 U B' R'
B' U2 B' U' D' B' L
B' U2 B' D' U' B' L
L' F U D' B R' D
L' F U D' B R' D'
L' F U D' B R' D2
L' F U D' B D R'
L' F U D' B D' R'
L' F U D' B D2 R'
D F U L' D' B R'
B' D L F L U L2
D F U B L' D' R2
D F U B D' L' R2
D F U B D' R2 L'
B' D L' D' L' F U
B' D L' F U L' B'
B' D L2 U F L' F'
D2 F D B' U L B2
B' D L2 F U L' D
B' D L2 F U L' D'
B' D L2 F U L' D2
B' D L2 F U D L'
B' D L2 F U D' L'
B' D L2 F U D2 L'
B' D L2 F D U L'
B' D L2 F D' U L'
B' D L2 F D2 U L'
B' D L2 F' U' R U2
L' F D' L U B R'
L' F D' L' U B R'
L' F D' L2 U B R'
L' F D' U B R' D
L' F D' U B R' D'
L' F D' U B R' D2
L' F D' U B D R'
L' F D' U B D' R'
L' F D' U B D2 R'
L' F D' B' U B2 R'
D F D B' U L' B2
D F D B' U B2 L'
D F D' B' U L' B2
D F D' B' U B2 L'
L' F B L B' U B
D' F B' L' U L2 B2
D' F B' L' U B2 L2
D' F B' L2 U L' B2
D' F B' L2 U B2 L'
L' F B' L B' U B'
D F D2 B' U L' B2
D' F B' U L B2 D
D' F B' U L B2 D'
D' F B' U L B2 D2
D F D2 B' U B2 L'
D' F B' U L' B2 L2
D' F B' U L2 B2 L'
D' F B' D L2 U L'
D F B' L U L2 B2
D F B' L U B2 L2
D F B' L2 U L B2
D F B' U L B2 L2
D F B' U L' B2 D
D F B' U L' B2 D'
D F B' U L' B2 D2
D F B' U B L' B
D F B' U B2 L' D
D F B' U B2 L' D'
D F B' U B2 L' D2
D F B' U B2 D L'
D F B' U B2 D' L'
D F B' U B2 D2 L'
D F B' D L2 U L
L' F' L F2 B' U B2
L' F' L B' F2 U B2
B' D F L2 U L D
B' D F L2 U L D'
B' D F L2 U L D2
B' D F L2 U D L
B' D F L2 U D' L
B' D F L2 U D2 L
B' D F L2 D U L
B' D F L2 D' U L
B' D F L2 D2 U L
B' D F L2 F U L
B' D F L2 F' U L
B' D F L2 F2 U L
B' D F U D' L' B2
B' D F U D' B2 L'
B' D F D' U L' B2
B' D F D' U B2 L'
B' D F' L2 U' R U2
F' D F B' U L' B2
F' D F B' U B2 L'
B' D F' L2 F2 U L'
B2 D F B U L' B2
B2 D F B U B2 L'
F2 D F B' U L' B2
F2 D F B' U B2 L'
B' D F2 L2 F' U L'
F D F B' U L' B2
F D F B' U B2 L'
B2 D B F U L' B2
B2 D B F U B2 L'
F' D B' F U L' B2
F' D B' F U B2 L'
L' F' U D' L2 B R'
L' F' U D' B L2 R'
L' F' U D' B R' L2
F2 D B' F U L' B2
F2 D B' F U B2 L'
L2 F' U D B L R2
L2 F' U D B R2 L
L2 F' U B L D R2
L2 F' U B D L R2
L2 F' U B D R2 L
F D B' F U L' B2
F D B' F U B2 L'
L2 F' U2 F2 U' B L
D2 F' D B' U L B2
L2 F' D U B L R2
L2 F' D U B R2 L
L' F' D' U L2 B R'
L' F' D' U B L2 R'
L' F' D' U B R' L2
D' F' B' L' U L2 B2
D' F' B' L' U B2 L2
D' F' B' L2 U L' B2
D' F' B' L2 U B2 L'
D' F' B' U L B2 D
D' F' B' U L B2 D'
D' F' B' U L B2 D2
D' F' B' U L' B2 L2
D' F' B' U L2 B2 L'
D' F' B' D L2 U L'
B' D' U B D B2 L
B' D' U B' L D B2
B' D' U B' D L B2
B2 D' U B' L D' R2
B2 D' U B' D' L R2
B2 D' U B' D' R2 L
D F' B' U' R U2 B2
L' F2 L F' B' U B2
B' D' U2 R2 B' U' L
L' F2 L B' F' U B2
B' D' U2 B' R2 U' L
F' D' F B' U L B2
B2 D' F B U B2 L
F2 D' F B' U L B2
F' D' F' B' U L B2
B2 D' F' B U B2 L
F2 D' F' B' U L B2
F D' F B' U L B2
F' D' F2 B' U L B2
B2 D' F2 B U B2 L
B2 D' B L U B2 L
F2 D' F2 B' U L B2
B2 D' B L' U B2 L
B2 D' B L2 U B2 L
F D' F' B' U L B2
B2 D' B U L B2 L
B2 D' B U L' B2 L
B2 D' B U L2 B2 L
B2 D' B U B2 L D
B2 D' B U B2 L D'
B2 D' B U B2 L D2
B2 D' B U B2 D L
B2 D' B U B2 D' L
B2 D' B U B2 D2 L
B2 D' B U' R' U2 B2
F' D' B' L' U L2 B2
B2 D' B F U B2 L
F' D' B' L' U B2 L2
B2 D' B F' U B2 L
F' D' B' L2 U L' B2
F' D' B' L2 U B2 L'
B2 D' B F2 U B2 L
F' D' B' U L B2 D
F' D' B' U L B2 D'
F' D' B' U L B2 D2
F' D' B' U L' B2 L2
F' D' B' U L2 B2 L'
F2 D' B' L' U L2 B2
F2 D' B' L' U B2 L2
F2 D' B' L2 U L' B2
F2 D' B' L2 U B2 L'
F D' F2 B' U L B2
F' D' B' D L2 U L'
F2 D' B' U L B2 D
F2 D' B' U L B2 D'
F2 D' B' U L B2 D2
F2 D' B' U L' B2 L2
F2 D' B' U L2 B2 L'
F' D' B' F U L B2
F' D' B' F' U L B2
F' D' B' F2 U L B2
F2 D' B' D L2 U L'
F2 D' B' F U L B2
F2 D' B' F' U L B2
F2 D' B' F2 U L B2
B D' B' U L B R2
F D' B' L' U L2 B2
F D' B' L' U B2 L2
F D' B' L2 U L' B2
F D' B' L2 U B2 L'
F D' B' U L B2 D
F D' B' U L B2 D'
F D' B' U L B2 D2
F D' B' U L' B2 L2
F D' B' U L2 B2 L'
F D' B' D L2 U L'
F D' B' F U L B2
F D' B' F' U L B2
F D' B' F2 U L B2
L2 F2 U2 F' U' B L
L' F2 D F' U B R
D2 F2 D B' U L B2
L' F2 D' F' U B R'
D' F2 B' L' U L2 B2
D' F2 B' L' U B2 L2
D' F2 B' L2 U L' B2
D' F2 B' L2 U B2 L'
D' F2 B' U L B2 D
D' F2 B' U L B2 D'
D' F2 B' U L B2 D2
D' F2 B' U L' B2 L2
D' F2 B' U L2 B2 L'
D' F2 B' D L2 U L'
D' B L B2 U L B2
D' B L' B2 U L B2
D' B L2 B2 U L B2
U B L' U' F B2 U
U B L' U' B2 F U
D' B R2 D' F2 L' R2
D' B R2 D' F2 R2 L'
B' F L U2 B' U' B'
B' F L D L2 F U
B' F L' D F L2 U
B' F L' F L U B2
B' F L' F L' U B2
B' F L' F L2 U B2
B' F L' F U B2 D
B' F L' F U B2 D'
B' F L' F U B2 D2
B' F L' F D L2 U
F' B L' F B2 U B2
B' F L2 U B L B
F' B L' B2 F U B2
F2 B L' F B2 U B2
F2 B L' B2 F U B2
D' B D' R2 D' F2 L'
B F L' F B2 U B2
B F L' B2 F U B2
F B L' F B2 U B2
F B L' B2 F U B2
L' B F L B' U B
U B D' R2 B' L B
U B D' B' L B R2
B' F U B' D' B' L
D' B' L U B2 D L2
D' B' L D L2 U L2
R' B' L' R F U B
D' B' L' U L' B2 L'
D' B' L' U L2 B2 D
D' B' L' U L2 B2 D'
D' B' L' U L2 B2 D2
D' B' L' U B L2 B
D' B' L' U B2 L2 D
D' B' L' U B2 L2 D'
D' B' L' U B2 L2 D2
D' B' L' D L2 F2 U
D' B' L' D F2 L2 U
D' B' L' F U L2 B2
D' B' L' F U B2 L2
D' B' L' F' U L2 B2
D' B' L' F' U B2 L2
D' B' L' F2 U L2 B2
D' B' L' F2 U B2 L2
R' B' L2 R U B L
B' F D L2 F U L'
D B' L F U L' B2
D B' L F U B2 L'
D' B' L2 U L B2 L2
D' B' L2 U L' B2 D
D' B' L2 U L' B2 D'
D' B' L2 U L' B2 D2
D' B' L2 U B L' B
D' B' L2 U B2 L' D
D' B' L2 U B2 L' D'
D' B' L2 U B2 L' D2
D' B' L2 U B2 D L'
D' B' L2 U B2 D' L'
D' B' L2 U B2 D2 L'
D' B' L2 D L2 U L
B' F D F L2 U L
R2 B' L' R2 F U B
R' B' R L' F U B
R' B' R L2 U B L
D B' L' F U L' B2
D B' L' F U B2 L'
R2 B' L2 R2 U B L
D2 B' R F' R' U B2
U B' L' F U F' B2
U B' L' F U B2 F'
D B' L2 F U L' B2
D B' L2 F U B2 L'
B2 F D' B U B2 L
B' F' L U2 B' U' B'
B' F' L D L2 F U
F' B' L U2 B' U' B'
F' B' L D L2 F U
F2 B' L U2 B' U' B'
F2 B' L D L2 F U
D' B' U L R' B2 R
D' B' U L R2 B2 R2
D' B' U L B D B
D' B' U L B D' B
D' B' U L B D2 B
D' B' U L B' D B'
D' B' U L B' D' B'
D' B' U L B' D2 B'
D' B' U L' B L2 B
D' B' U L' B2 L2 D
D' B' U L' B2 L2 D'
D' B' U L' B2 L2 D2
D' B' U L2 B L' B
D' B' U L2 B2 L' D
D' B' U L2 B2 L' D'
D' B' U L2 B2 L' D2
D' B' U L2 B2 D L'
D' B' U L2 B2 D' L'
D' B' U L2 B2 D2 L'
B' F' L' D F L2 U
D' B' U R' L B2 R
D' B' U R2 L B2 R2
R2 B' R2 L' F U B
B' F' L' F L U B2
B' F' L' F L' U B2
B' F' L' F L2 U B2
R2 B' R2 L2 U B L
B' F' L' F U B2 D
B' F' L' F U B2 D'
B' F' L' F U B2 D2
B' F' L' F D L2 U
D' B' U D' L D B2
D' B' U D2 L D2 B2
D' B' U F L F' B2
D' B' U F L B2 F'
F' B' L' D F L2 U
D' B' U F2 L F2 B2
D' B' U F2 L B2 F2
D2 B' U B' D B' L
F' B' L' F L U B2
F' B' L' F L' U B2
F' B' L' F L2 U B2
F' B' L' F U B2 D
F' B' L' F U B2 D'
F' B' L' F U B2 D2
F' B' L' F D L2 U
F2 B' L' D F L2 U
D' B' U B2 U2 R' U2
B' F' L2 U B L B
F2 B' L' F L U B2
F2 B' L' F L' U B2
F2 B' L' F L2 U B2
F2 B' L' F U B2 D
F2 B' L' F U B2 D'
F2 B' L' F U B2 D2
F2 B' L' F D L2 U
D' B' U' R U2 L B2
D' B' U' R' U2 L B2
F B' L U2 B' U' B'
F B' L D L2 F U
D' B' U' R2 U2 L B2
F' B' L2 U B L B
D' B' U' D2 F2 U2 L
D' B' U' F U2 L B2
D' B' U' F' U2 L B2
D' B' U' F2 U2 L B2
F2 B' L2 U B L B
B F' L' F B2 U B2
D B' U F L' F' B2
D B' U F L' B2 F'
D B' U F B2 L' F'
D2 B' U2 R' B U' B
D' B' U2 R U' L B2
D' B' U2 R' U' L B2
D' B' U2 R2 U' L B2
F B' L' D F L2 U
B F' L' B2 F U B2
D B' U B' D2 B' L
D B' U B2 F L' F'
D' B' U2 D' R2 U' L
F B' L' F L U B2
F B' L' F L' U B2
F B' L' F L2 U B2
F B' L' F U B2 D
F B' L' F U B2 D'
F B' L' F U B2 D2
F B' L' F D L2 U
D B' U' F U2 L' B2
D B' U' F U2 B2 L'
D' B' D L2 U L' D
D' B' D L2 U L' D'
D' B' D L2 U L' D2
D' B' D L2 U D L'
D' B' D L2 U D' L'
D' B' D L2 U D2 L'
D B' U' F' R U2 B2
D' B' D L2 D U L'
D' B' D L2 D' U L'
F B' L2 U B L B
D' B' D L2 D2 U L'
D' B' D F L2 U L'
D' B' D F' L2 U L'
D' B' D F2 L2 U L'
D' B' D' U L D B2
D' B' D' U2 R2 U' L
R' B' D2 R F' U B
D' B' D2 U L D2 B2
D' B' D2 U' F2 U2 L
B' F' U B' D' B' L
D' B' F L' U L2 B2
D' B' F L' U B2 L2
F' B' U B' D' B' L
D' B' F L2 U L' B2
D' B' F L2 U B2 L'
L' B' F L B' U B'
D' B' F U L B2 D
D' B' F U L B2 D'
D' B' F U L B2 D2
D' B' F U L' B2 L2
D' B' F U L2 B2 L'
F2 B' U B' D' B' L
D' B' F D L2 U L'
D' B' F' L' U L2 B2
D' B' F' L' U B2 L2
D' B' F' L2 U L' B2
D' B' F' L2 U B2 L'
D' B' F' U L B2 D
D' B' F' U L B2 D'
D' B' F' U L B2 D2
D' B' F' U L' B2 L2
D' B' F' U L2 B2 L'
D' B' F' D L2 U L'
D B' F L U L2 B2
