U' L U2 L2 F' U'
U' L U2 F' L2 U'
U' L D2 R2 B U
U L' D' F' U' B2
U L' D2 F' R2 U'
B2 L' F' R' U' L
U L' F' U' D' B2
U L' F' U2 L2 U
U L' F' D' U' B2
U L' F' D2 R2 U'
L U2 L2 F' U' L
B2 U L' F' R' U'
L' D' F' U' L B2
L D2 R2 B U L'
L' D2 F' R2 U' L
L' F' U' D' L B2
L' F' U2 L2 U L'
L' F' D' U' L B2
L' F' D2 R2 U' L
U' L R2 D B U F2
U' L R2 D2 B R2 U
U' L R2 B U D F2
U' L R2 B U2 L2 U'
U' L R2 B D U F2
U' L R2 B D2 R2 U
U' L U F D R2 F2
U' L U F D F2 R2
R2 L D B U L' F2
U2 L U' F' L2 U' B'
U' L U2 L F' L U'
D2 L U2 L2 F' U' L
U' L U2 L2 D F' U'
U' L U2 L2 D' F' U'
D' L U2 L2 F' U' L
U' L U2 L2 D2 F' U'
U' L U2 L2 F' U' D
U' L U2 L2 F' U' D'
U' L U2 L2 F' U' D2
U' L U2 L2 F' D U'
U' L U2 L2 F' D' U'
U' L U2 L2 F' D2 U'
U2 L U2 L2 F' U' L2
D L U2 L2 F' U' L
U' L U2 D F' U' F'
U' L U2 F L2 F2 U'
U' L U2 F' L2 U' D
U' L U2 F' L2 U' D'
U' L U2 F' L2 U' D2
U' L U2 F' L2 D U'
U' L U2 F' L2 D' U'
U' L U2 F' L2 D2 U'
U' L U2 F' U' D F2
U' L U2 F' D U' F2
U2 L U2 F' L2 U' L2
U L U2 F' L2 B' U'
R2 L D2 B R2 U L'
U' L D R2 B U F2
U' L D U2 F' U' F'
D' L D2 R2 B U L'
D2 L D2 R2 B U L'
U' L D2 R2 D B U
U' L D2 R2 D' B U
U' L D2 R2 D2 B U
U' L D2 R2 B U D
U' L D2 R2 B U D'
U' L D2 R2 B U D2
U' L D2 R2 B D U
U' L D2 R2 B D' U
U' L D2 R2 B D2 U
D L D2 R2 B U L'
U' L D2 B R2 B U
U' L D2 B' R2 B U
U' L D2 B2 R2 B U
R2 L B U D L' F2
R2 L B U2 L2 U' L
R2 L B D U L' F2
R2 L B D2 R2 U L'
U L F' L2 U' D' B2
U L F' L2 U2 L2 U
U L F' L2 D' U' B2
U L F' L2 D2 R2 U'
U' L B U2 L2 F' U'
U' L B U2 F' L2 U'
U' L B D2 R2 B U
U' L B' U2 L2 F' U'
U' L B' U2 F' L2 U'
U' L B' D2 R2 B U
U' L B2 U2 L2 F' U'
U' L B2 U2 F' L2 U'
R2 L' U2 L2 B U L'
U' L B2 D2 R2 B U
U L' R2 U2 L2 B U
U L' R2 U2 B L2 U
U L' R2 D2 R2 F' U'
R2 L' D2 R2 F' U' L
U L' U2 L2 U2 F' U'
B2 L' D F' R' U' L
B L' D F' U' L B'
U L' D F' R2 U' B
U L' D F' U F' U2
D2 L' D' F' U' L B2
D' L' D' F' U' L B2
B2 L' D' F' R' U' L
D L' D' F' U' L B2
U L' D' F' R U' B2
U L' D' F' R' U' B2
U L' D' F' R2 U' B2
U L' D' F' U' B2 D
U L' D' F' U' B2 D'
U L' D' F' U' B2 D2
U L' D' F' D' R2 U'
D2 L' D2 F' R2 U' L
D' L' D2 F' R2 U' L
U L' D2 R2 U2 B U
B2 L' D2 F' R' U' L
D L' D2 F' R2 U' L
B L' D2 F' R U' L
U L' D2 F R2 F2 U'
U L' D2 F' R2 U' D
U L' D2 F' R2 U' D'
U L' D2 F' R2 U' D2
U L' D2 F' R2 D U'
U L' D2 F' R2 D' U'
U L' D2 F' R2 D2 U'
U L' D2 F' U' D B2
U L' D2 F' D U' B2
U L' D2 F2 R2 F U'
B2 L' F R' F2 U' L
D' L' F' U' D' L B2
D2 L' F' U' D' L B2
B2 L' F' R' U' L D
B2 L' F' R' U' L D'
B2 L' F' R' U' L D2
B2 L' F' R' U' D L
B2 L' F' R' U' D' L
B2 L' F' R' U' D2 L
B2 L' F' R' D U' L
B2 L' F' R' D' U' L
D' L' F' U2 L2 U L'
B2 L' F' R' D2 U' L
D2 L' F' U2 L2 U L'
B' L' F' U' L' B' L2
U' L' F' U2 F L2 U
D' L' F' D' U' L B2
D2 L' F' D' U' L B2
U L' F' R U' D' B2
U L' F' R U2 L2 U
U2 L' F' U2 L2 U L2
U L' F' R D' U' B2
U L' F' R D2 R2 U'
D' L' F' D2 R2 U' L
D2 L' F' D2 R2 U' L
U L' F' R' U' D' B2
U L' F' R' U2 L2 U
D L' F' U' D' L B2
U L' F' R' D' U' B2
U L' F' R' D2 R2 U'
B L' F' U' D L B'
D L' F' U2 L2 U L'
B2 L' F' D R' U' L
U L' F' R2 U' D' B2
U L' F' R2 U2 L2 U
U L' F' R2 D' U' B2
U L' F' R2 D2 R2 U'
B2 L' F' D' R' U' L
U L' F' U D F2 U2
B L' F' D U' L B'
B2 L' F' D2 R' U' L
D L' F' D' U' L B2
U L' F' U' D' B2 D
U L' F' U' D' B2 D'
U L' F' U' D' B2 D2
U L' F' U' B D' B2
U L' F' U' B' D' B2
U L' F' U' B2 D' B2
U L' F' U2 L2 U D
U L' F' U2 L2 U D'
U L' F' U2 L2 U D2
D L' F' D2 R2 U' L
U L' F' U2 L2 D U
U L' F' U2 L2 D' U
U L' F' U2 L2 D2 U
U L' F' D U F2 U2
U L' F' D' R U' B2
U L' F' D' R' U' B2
U L' F' D' R2 U' B2
U L' F' D' U' B2 D
U L' F' D' U' B2 D'
U L' F' D' U' B2 D2
U L' F' D2 R2 U' D
U L' F' D2 R2 U' D'
U L' F' D2 R2 U' D2
U L' F' D2 R2 D U'
U L' F' D2 R2 D' U'
U L' F' D2 R2 D2 U'
B2 L' F2 R' F U' L
L' R2 U2 L2 B U L'
U L' F2 U2 L2 B' U
U L' F2 D' F U' B2
U L' F2 D2 R2 F U'
U L' F2 D2 F R2 U'
L R2 D B U L' F2
L' R2 D2 R2 F' U' L
F2 L2 R B' L' U L'
L R2 D2 B R2 U L'
L R2 B U D L' F2
L R2 B U2 L2 U' L
L R2 B D U L' F2
L R2 B D2 R2 U L'
L U L' U L' F' U'
R2 U L' U2 L2 B U
R2 U L' U2 B L2 U
R2 U L' D2 R2 F' U'
B2 L2 F' L R' U' L
B2 L2 F' R' L U' L
U L2 F' D' L U' B'
U L2 F2 R F L U'
F2 L2 B' L' R U L'
F2 L2 B' R L' U L'
F2 R L2 B' L' U L'
R2 U' L D B U F2
R2 U' L D2 B R2 U
R2 U' L B U D F2
R2 U' L B U2 L2 U'
R2 U' L B D U F2
R2 U' L B D2 R2 U
B2 R' D2 L' F U' L
L U2 L F' L U' L
L U2 L2 D F' U' L
L U2 L2 D' F' U' L
L U2 L2 D2 F' U' L
L U2 L2 F' U' L D
L U2 L2 F' U' L D'
L U2 L2 F' U' L D2
L U2 L2 F' U' D L
L U2 L2 F' U' D' L
L U2 L2 F' U' D2 L
L U2 L2 F' D U' L
L U2 L2 F' D' U' L
L U2 L2 F' D2 U' L
U' R2 L D B U F2
U' R2 L D2 B R2 U
U' R2 L B U D F2
U' R2 L B U2 L2 U'
U' R2 L B D U F2
U' R2 L B D2 R2 U
U R2 L' U2 L2 B U
U R2 L' U2 B L2 U
U R2 L' D2 R2 F' U'
L' U2 F2 L2 B' U L'
L U2 B L2 F' U' L
L U2 B' L2 F' U' L
L U2 B2 L2 F' U' L
L D R2 B U L' F2
U' D L U2 L2 F' U'
U' D L U2 F' L2 U'
U' D L D2 R2 B U
B2 U L F' L2 R' U'
B2 U L F' R' L2 U'
D' U L' D' F' U' B2
D2 U L' D' F' U' B2
D' U L' D2 F' R2 U'
D2 U L' D2 F' R2 U'
D' U L' F' U' D' B2
D' U L' F' U2 L2 U
D' U L' F' D' U' B2
D' U L' F' D2 R2 U'
D2 U L' F' U' D' B2
D2 U L' F' U2 L2 U
D2 U L' F' D' U' B2
D2 U L' F' D2 R2 U'
B2 U L' D F' R' U'
B' U L' F' R U' B
B2 U L' D' F' R' U'
B2 U L' D2 F' R' U'
B2 U L' F R' F2 U'
B2 U L' F' R' U' D
B2 U L' F' R' U' D'
B2 U L' F' R' U' D2
B2 U L' F' R' D U'
B2 U L' F' R' D' U'
B2 U L' F' R' D2 U'
B2 U L' F' D R' U'
B2 U L' F' D' R' U'
B2 U L' F' D2 R' U'
B2 U L' F2 R' F U'
D U L' D' F' U' B2
B U L' D2 F' R U'
D U L' D2 F' R2 U'
L' D F' R2 U' L B
L' D F' U F' U2 L
D U L' F' U' D' B2
D U L' F' U2 L2 U
D U L' F' D' U' B2
D U L' F' D2 R2 U'
U D L' D' F' U' B2
U D L' D2 F' R2 U'
B2 U L2 F' L R' U'
B2 U L2 F' R' L U'
U D L' F' U' D' B2
U D L' F' U2 L2 U
U D L' F' D' U' B2
U D L' F' D2 R2 U'
B2 U R' D2 L' F U'
B2 U D L' F' R' U'
B2 U D' L' F' R' U'
B2 U D2 L' F' R' U'
B U D2 L' F' R U'
D' U' L U2 L2 F' U'
U' D' L U2 L2 F' U'
D' U' L U2 F' L2 U'
U' D' L U2 F' L2 U'
D2 U' L U2 L2 F' U'
D2 U' L U2 F' L2 U'
D' U' L D2 R2 B U
U' D' L D2 R2 B U
D2 U' L D2 R2 B U
D U' L U2 L2 F' U'
D U' L U2 F' L2 U'
D U' L D2 R2 B U
U D' L' D' F' U' B2
U D' L' D2 F' R2 U'
U D' L' F' U' D' B2
U D' L' F' U2 L2 U
U D' L' F' D' U' B2
U D' L' F' D2 R2 U'
L' D' F' R U' L B2
L' D' F' R' U' L B2
L' D' F' R2 U' L B2
F2 U' L2 R B' L' U
