R D' F L B' L2
D2 B R' U' R2 F
D2 B R' U' F R2
L' R D' L F B' L'
L' R D' L B' F L'
L2 R D' L2 F L' B'
R L' D' L F B' L'
R L' D' L B' F L'
F L' R2 F' U R F
R L2 D' L2 F L' B'
D2 R D F L B' L
D2 R D F B' L B'
D2 R D B' F L B'
U' R D' F L B' L2
U2 R D' F L B' L2
D R D' F L' D2 B2
D R D' F D2 L' B2
D R D' F D2 B2 L'
U R D' F L B' L2
D' R F L D B' L
D2 R F D L B' L
D2 R F D B' L B'
B R F U' L' U L
B R F' R U' R' F2
B R F' R U' F2 R'
D R' U' F B L R2
D R' U' F B R2 L
D R' U' B R2 F L
D R' U' B F L R2
D R' U' B F R2 L
B R' F' R U' R F2
D R' B R2 D' F L'
F R2 L' F' U R F
F R2 U' L' F' U R
B R2 U' D R' F B
B R2 U' D R' B F
B R2 U' D F R' B
B' R2 D R' F L2 B
B' R2 D R' F B L2
B' R2 D R' B F L2
B' R2 D F L2 R' B
B' R2 D F R' L2 B
B' R2 D F R' B L2
B R2 D U' R' F B
B R2 D U' R' B F
B R2 D U' F R' B
D2 R2 F D' L2 R' B
D2 R2 F D' R' L2 B
D2 R2 F D' R' B L2
B R2 F' R U' R2 F2
B R2 F' R U' F2 R2
R2 D R' D' F L' B
R2 D R' D' F B L'
R2 D R' D' B F L'
R2 D R' B D' F L'
R2 D F R' D' L2 B
R2 D F R' D' B L2
R2 D F R' B D' L2
R2 D F' U R' F2 B
R2 D F' U R' B F2
R2 D F' U F2 R' B
R D F B' D2 L B'
R D B' D2 F L B'
R D B' F D2 L B'
R D' L F B' L' F
D2 U B R' U' R2 F
D2 U B R' U' F R2
R D' L B' L' F L'
R D' L B' F L' F
R D' F L B L2 B2
R D' F L B' L2 D
R D' F L B' L2 D'
R D' F L B' L2 D2
R D' F L B2 L2 B
R D' F L' U2 F U2
R D' F B L B' L2
R D' F B' L B' L2
R D' F B2 L B' L2
R D' F' L F2 B' L'
R D' F' L B' F2 L'
R D' F' L2 F2 L' B'
R D' F2 L F' B' L'
R D' F2 L B' F' L'
B U' R F U' L' U
R D' F2 L2 F' L' B'
R D' B F L B' L2
B U' R2 D R' F B
B U' R2 D R' B F
B U' R2 D F R' B
D2 U' B R' U' R2 F
D2 U' B R' U' F R2
B U' D R F D2 B2
B U' D R' F B R2
B U' D R' B R2 F
B U' D R' B F R2
R D' B' F L B' L2
R D' B2 F L B' L2
R2 D2 F D' L2 R' B
R2 D2 F D' R' L2 B
R2 D2 F D' R' B L2
U' D2 B R' U' R2 F
U' D2 B R' U' F R2
D2 U2 B R' U' R2 F
D2 U2 B R' U' F R2
U2 D2 B R' U' R2 F
U2 D2 B R' U' F R2
U D2 B R' U' R2 F
U D2 B R' U' F R2
L D2 B R' U' R2 F'
R2 F L R' D' L2 B2
R2 F L R' D' B2 L2
R2 F L D' L2 R' B2
R2 F L D' R' L2 B2
R2 F L D' R' B2 L2
R2 F L' F2 U R' F2
R2 F L' F2 U F2 R'
R2 F R' L D' L2 B2
R2 F R' L D' B2 L2
R2 F R' U' L' F2 U
R2 F U' L' F2 U R'
R F U' D2 L' F U
B' D R F L2 D2 B2
B' D R F2 L2 F' B'
B' D R F2 L2 B' F'
R F D B' L D' B2
B' D R' F L2 B R2
B' D R' F B L2 R2
B' D R' F B R2 L2
B' D R' B R2 F L2
B' D R' B F L2 R2
B' D R' B F R2 L2
B D R' U' F B R2
B D R' U' B R2 F
B D R' U' B F R2
R F D2 U' L' F U
B D U' R F D2 B2
B D U' R' F B R2
B D U' R' B R2 F
B D U' R' B F R2
R' F' R B U' R F2
R2 F' U R' F2 D B2
R2 F' U2 R U' R2 F2
R2 F' U2 R U' F2 R2
R' F2 U F' L' R2 B'
R' F2 U F' L' B' R2
R' F2 U F' R2 L' B'
D2 B R' U' R' F R'
D2 B R' U' R2 D F
D2 B R' U' R2 D' F
D2 B R' U' R2 D2 F
D2 B R' U' R2 F D
D2 B R' U' R2 F D'
D2 B R' U' R2 F D2
D2 B R' U' F R2 D
D2 B R' U' F R2 D'
D2 B R' U' F R2 D2
D2 B R' U' F' R2 F2
D2 B R' D' F2 U' F'
D2 B R' F' U' R2 F2
D2 B R' F' U' F2 R2
D2 B R' F2 U' F' R2
D B R' U' F B R2
D B R' U' B R2 F
D B R' U' B F R2
D2 B U' R D F B2
D2 B U' R D B2 F
D2 B U' R F D B2
D B U' R F D2 B2
D B U' R' F B R2
D B U' R' B R2 F
D B U' R' B F R2
D2 B D R' U' R2 F
D2 B D R' U' F R2
D2 B D' R' U' R2 F
D2 B D' R' U' F R2
D2 B D2 R' U' R2 F
D2 B D2 R' U' F R2
F' B R F U' R F
R B D' F L B' L2
F2 B U L' U2 F' B'
F2 B U L' U2 B' F'
F2 B U' F2 R F B
F2 B U' F2 R B F
B F' R F U' R F
R B' D' F L B' L2
B F2 U L' U2 F' B'
B F2 U L' U2 B' F'
B F2 U' F2 R F B
B F2 U' F2 R B F
R B2 D' F L B' L2
