U L' U2 F B'
U L' U2 B' F
U L F L2 U2 F
U L F B' L2 U2
U L B' L2 U2 B'
U L B' F L2 U2
U L' U2 D F B'
U L' U2 D B' F
U L' U2 D' F B'
U L' U2 D' B' F
U L' U2 D2 F B'
U L' U2 D2 B' F
U L' U2 F D B'
U L' U2 F D' B'
U L' U2 F D2 B'
U L' U2 F B' D
U L' U2 F B' D'
U L' U2 F B' D2
U L' U2 B' D F
U L' U2 B' D' F
U L' U2 B' D2 F
U L' U2 B' F D
U L' U2 B' F D'
U L' U2 B' F D2
U L' D U2 F B'
U L' D U2 B' F
U L' D' U2 F B'
U L' D' U2 B' F
U L' D2 U2 F B'
U L' D2 U2 B' F
U L' F' U2 F2 B'
U L' F' U2 B' F2
U L' F2 U2 F' B'
U L' F2 U2 B' F'
U L' B U2 F B2
U L' B U2 B2 F
U L' B2 U2 F B
U L' B2 U2 B F
R' U L' U2 F B'
R' U L' U2 B' F
R2 U L' U2 F B'
R2 U L' U2 B' F
R U L' U2 F B'
R U L' U2 B' F
D2 U' F2 R F' B
D2 U' F2 R B F'
U' D2 F2 R F' B
U' D2 F2 R B F'
U' F2 D2 R F' B
U' F2 D2 R B F'
U B L' U2 F B'
U B L' U2 B' F
U B' L' U2 F B'
U B' L' U2 B' F
U B2 L' U2 F B'
U B2 L' U2 B' F
U L D2 F B' U2 R2
U L D2 B' F U2 R2
U L F L2 U2 D F
U L F L2 U2 D' F
U L F L2 U2 D2 F
U L F L2 U2 F D
U L F L2 U2 F D'
U L F L2 U2 F D2
U L F L2 D U2 F
U L F L2 D' U2 F
U L F L2 D2 U2 F
U L F L2 B U2 F
U L F L2 B' U2 F
U L F L2 B2 U2 F
U L F D2 B' U2 R2
U L F B L2 B2 U2
U L F B' L2 U2 D
U L F B' L2 U2 D'
U L F B' L2 U2 D2
U L F B' L2 D U2
U L F B' L2 D' U2
U L F B' L2 D2 U2
U L F B' U2 D2 R2
U L F B' D2 U2 R2
U L F B2 L2 B U2
U L F' L2 F2 U2 F'
U L F' B' L2 F2 U2
U L F2 L2 F' U2 F2
U L F2 B' L2 F' U2
U L B L2 B2 U2 B
U L B F L2 B2 U2
U L B' L2 U2 D B'
U L B' L2 U2 D' B'
U L B' L2 U2 D2 B'
U L B' L2 U2 B' D
U L B' L2 U2 B' D'
U L B' L2 U2 B' D2
U L B' L2 D U2 B'
U L B' L2 D' U2 B'
U L B' L2 D2 U2 B'
U L B' L2 F U2 B'
U L B' L2 F' U2 B'
U L B' L2 F2 U2 B'
U L B' D2 F U2 R2
U L B' F L2 U2 D
U L B' F L2 U2 D'
U L B' F L2 U2 D2
U L B' F L2 D U2
