F2 L U R F' U B
U' L D' F B2 U2 L'
U' L D' B2 F U2 L'
B' L' R' B U L U2
B2 L' R' B R' U' R
U' L' D F2 U' B' L
F2 R F' U' L F U2
B' R' L' B U L U2
B2 R' L' B R' U' R
B2 R' U L' B R' U'
B2 R' U B L' R' U'
B2 R' U B R' L' U'
B' R' B L' U L2 U2
B' R' B L' U' D2 R2
B' R' B L' D F2 U'
B' R' B L' D2 U' R2
B2 R' B L' R' U' R
B2 R' B R' L' U' R
B' U L' R' F' B U'
B' U L' R' B F' U'
L' D F2 U' L' B' L
L' D F2 B' R' U' L
B' U R' L' F' B U'
B' U R' L' B F' U'
B' U R' B L' F' U'
L' D B' R' F2 U' L
L' D B' F2 R' U' L
L' B' R' D F2 B U'
L' B' R' D B F2 U'
L' B' R' D2 B U' R2
L' B' R' B U L2 U2
L' B' R' B U' D2 R2
L' B' R' B D F2 U'
L' B' R' B D2 U' R2
L B' U' L2 R' B U'
L B' U' R' L2 B U'
L B' U' R' B L2 U'
