B' L B U' R' B2
D2 F L' U' R' B
D2 F2 U' R' F' B
D2 F2 U' R' B F'
U' L R' D B' L' F
U' L R' B' L' D F2
R2 L U' D' R F' B'
R2 L U' D' R B' F'
R2 L U' D' B' R F'
R2 L D' U' R F' B'
R2 L D' U' R B' F'
R2 L D' U' B' R F'
U' L D R' B' L' F
D2 L F L' U' R' B
B' L F B U' R' B2
R' L B' U L B U'
B' L F' B U' R' B2
D2 L F2 U' R' F' B
D2 L F2 U' R' B F'
B' L F2 B U' R' B2
B' L B R U' R2 B2
B' L B R U' B2 R2
B' L B R2 U' R B2
B' L B R2 U' B2 R
B' L B U' R B2 R2
B' L B U' R' B2 D
B' L B U' R' B2 D'
B' L B U' R' B2 D2
B' L B U' R2 B2 R
B' L B D' R2 U' R
B' L B F U' R' B2
B' L B F' U' R' B2
B' L B F2 U' R' B2
D L' U' D R' F B
D L' U' D R' B F
D L' U' D F R' B
D L' D U' R' F B
D L' D U' R' B F
D L' D U' F R' B
L R' B' U L B U'
D2 L' F L' U' R' B
D L' F' R U' R2 F2
D L' F' R U' F2 R2
D2 L' F2 U' R' F' B
D2 L' F2 U' R' B F'
L R2 U' D' R F' B'
L R2 U' D' R B' F'
L R2 U' D' B' R F'
B' L' B L2 U' R' B'
L R2 D' U' R F' B'
L R2 D' U' R B' F'
L R2 D' U' B' R F'
D2 L2 F L' U' R' B
D2 L2 F2 U' R' F' B
D2 L2 F2 U' R' B F'
B' L2 B L' U' R' B'
L U' R' B' U L U'
L U' R2 D' R F' B'
L U' R2 D' R B' F'
L U' R2 D' B' R F'
L U' D' R F' R2 B'
L U' D' R F' B' R2
U' R' L D B' L' F
L U' D' R B' F' R2
L U' D' R' B' D2 F2
U' R' L B' L' D F2
U' R' B' U L U' B'
L2 D L' U' R' F B'
L2 D L' U' R' B' F
L2 D L' U' F R' B'
B' U L B U' R' B2
L D' R U' F' R2 B'
L D' R U' F' B' R2
L D' R U' B' F' R2
B' U' L B U' R' B2
L D' U' R F' R2 B'
L D' U' R F' B' R2
L D' U' R B' F' R2
L D' U' R' B' D2 F2
D2 U' R2 D R F' B
D2 U' R2 D R B F'
D2 U' F' R' D' F2 B
D2 U' F' R' D' B F2
D2 U' F' R' B D' F2
U' D2 R2 D R F' B
U' D2 R2 D R B F'
B' U2 L B U' R' B2
L2 D2 F L' U' R' B'
U' D2 F' R' D' F2 B
U' D2 F' R' D' B F2
U' D2 F' R' B D' F2
L D2 F2 U' R' F' B'
L D2 F2 U' R' B' F'
D2 F L' R U' R2 B
D2 F L' U' R' D B
D2 F L' U' R' D' B
D2 F L' U' R' D2 B
D2 F L' U' R' B D
D2 F L' U' R' B D'
D2 F L' U' R' B D2
D2 F L' F U' R' B
D2 F L' F' U' R' B
D2 F L' F2 U' R' B
D2 F R L' U' R2 B
D F U2 L' U R' F
D F U2 L' U F R'
D F' L' R U' R2 F
D F' L' R U' F R2
D F' R L' U' R2 F
D F' R L' U' F R2
D2 F' U' R' D' F2 B
D2 F' U' R' D' B F2
D2 F' U' R' B D' F2
D2 F' U2 R U R2 B
D F' D2 R U' F' R2
D2 F2 L U' R' F' B
D2 F2 L U' R' B F'
D2 F2 L' U' R' F' B
D2 F2 L' U' R' B F'
D2 F2 L2 U' R' F' B
D2 F2 L2 U' R' B F'
D2 F2 U' R' D F' B
D2 F2 U' R' D B F'
D2 F2 U' R' D' F' B
D2 F2 U' R' D' B F'
D2 F2 U' R' D2 F' B
D2 F2 U' R' D2 B F'
D2 F2 U' R' F' D B
D2 F2 U' R' F' D' B
D2 F2 U' R' F' D2 B
D2 F2 U' R' F' B D
D2 F2 U' R' F' B D'
D2 F2 U' R' F' B D2
D2 F2 U' R' B D F'
D2 F2 U' R' B D' F'
D2 F2 U' R' B D2 F'
D2 F2 U' R' B F' D
D2 F2 U' R' B F' D'
D2 F2 U' R' B F' D2
D2 F2 U' F R' F' B
D2 F2 U' F R' B F'
D2 F2 U' F' R' F' B
D2 F2 U' F' R' B F'
D2 F2 U' F2 R' F' B
D2 F2 U' F2 R' B F'
F' D2 F L' U' R' B
F2 D2 F L' U' R' B
F D2 F L' U' R' B
F' D2 F2 U' R' F' B
F' D2 F2 U' R' B F'
F2 D2 F2 U' R' F' B
F2 D2 F2 U' R' B F'
F D2 F2 U' R' F' B
F D2 F2 U' R' B F'
B' F L B U' R' B2
R2 B' L B U' R B2
R2 B' L B U' B2 R
L B' L B U' R' B'
R B' L B U' R2 B2
R B' L B U' B2 R2
B' F' L B U' R' B2
R' B' U L B U' B2
F' B' L B U' R' B2
F2 B' L B U' R' B2
F B' L B U' R' B2
L B' U L B U' R'
B' F2 L B U' R' B2
U2 B2 U' L U2 F B'
U2 B2 U' L U2 B' F
