B L U F U
B L R U F U
B L R' U F U
B L R2 U F U
B L U D F U
B L U D' F U
B L U D2 F U
B L U F U D
B L U F U D'
B L U F U D2
B L U F D U
B L U F D' U
B L U F D2 U
B L D U F U
B L D' U F U
B L D2 U F U
B R L U F U
B R' L U F U
B R2 L U F U
L2 D' B L R' U2
L2 D' B R' L U2
B D L U F U
B D' L U F U
B D2 L U F U
L' B L U' B2 U'
L' B L U2 D L2
L' B L D U2 L2
L' B L D' R2 U2
D2 B L U F U
D' B L U F U
L2 B L U' B' U'
D B L U F U
L' B U' B2 U' R'
L' B D L U2 L
L' B D' L R2 U2
L' B D' R2 L U2
B L R U D F U
B L R U D' F U
B L R U D2 F U
B L R U F U D
B L R U F U D'
B L R U F U D2
B L R U F D U
B L R U F D' U
B L R U F D2 U
B L R D U F U
B L R D' U F U
B L R D2 U F U
R' L U F R B U
B L R' U D F U
B L R' U D' F U
B L R' U D2 F U
B L R' U F U D
B L R' U F U D'
B L R' U F U D2
B L R' U F D U
B L R' U F D' U
B L R' U F D2 U
B L R' D U F U
B L R' D' U F U
B L R' D2 U F U
B L R2 U D F U
B L R2 U D' F U
B L R2 U D2 F U
B L R2 U F U D
B L R2 U F U D'
B L R2 U F U D2
B L R2 U F D U
B L R2 U F D' U
B L R2 U F D2 U
B L R2 D U F U
B L R2 D' U F U
B L R2 D2 U F U
B L U R F R' U
B L U R2 F R2 U
B L U D F U D
B L U D F U D'
B L U D F U D2
B L U D F D U
B L U D F D' U
B L U D F D2 U
B L U D' F U D
B L U D' F U D'
B L U D' F U D2
B L U D' F D U
B L U D' F D' U
B L U D' F D2 U
B L U D2 F U D
B L U D2 F U D'
B L U D2 F U D2
B L U D2 F D U
B L U D2 F D' U
B L U D2 F D2 U
B L U F' U D' L2
B L U F' D' U L2
B L U F2 D F' U
B L U F2 D' F' U
B L U F2 D2 F' U
B L U' L2 B' L2 U'
B L U' B U2 F U
B L U' B' U2 F U
B L U' B2 U2 F U
B L U2 L2 U B' U'
B L U2 F' D' F L2
B L D R U F U
B L D R' U F U
B L D R2 U F U
B L D U F U D
B L D U F U D'
B L D U F U D2
B L D U F D U
B L D U F D' U
B L D U F D2 U
B L D' R U F U
B L D' R' U F U
B L D' R2 U F U
B L D' U F U D
B L D' U F U D'
B L D' U F U D2
B L D' U F D U
B L D' U F D' U
B L D' U F D2 U
R2 L F' D' L2 B' R'
B L D2 R U F U
B L D2 R' U F U
B L D2 R2 U F U
B L D2 U F U D
B L D2 U F U D'
B L D2 U F U D2
B L D2 U F D U
B L D2 U F D' U
B L D2 U F D2 U
U' L F U B R U2
B L F' U2 D' L2 B'
B L F' D R2 F U2
B L F' D F R2 U2
B L F' D' U2 L2 B'
B L F' D' F U2 L2
L R' U F R B U
B L' U' D F2 B' U'
B L' U' D B' F2 U'
B L' U' D2 B' U' R2
B L' U' B' U L2 U2
B L' U' B' U' D2 R2
B L' U' B' D F2 U'
