B' L F L2 D R2
B' L U F' U' L2 F2
B' L U F' U' F2 L2
B' L D' F D L2 R2
B' L D' F D R2 L2
B' L F L D L R2
B' L F L D R2 L
B' L F L' D L' R2
B' L F L' D R2 L'
B' L F L2 R D R2
B' L F L2 R' D R2
B' L F L2 R2 D R2
B' L F L2 U F2 U'
B' L F L2 D R2 D
B' L F L2 D R2 D'
B' L F L2 D R2 D2
B' L F R L2 D R2
B2 L F L2 D B R2
B2 L F L2 B D R2
B' L F R' L2 D R2
B' L F R2 L2 D R2
B L F L2 B2 D R2
B' L F U F2 U' L2
B' L F D R2 D' L2
B2 L F B L2 D R2
B L F B2 L2 D R2
U' L F' L' U' B' L'
B' L F' L2 F2 D R2
B2 L F' U' L2 F2 B
B2 L F' U' L2 B F2
B2 L F' U' F2 L2 B
B2 L F' U' F2 B L2
B2 L F' U' B L2 F2
B2 L F' U' B F2 L2
B L F' U' L2 F2 B2
B L F' U' L2 B2 F2
B L F' U' F2 L2 B2
B L F' U' F2 B2 L2
B L F' U' B2 L2 F2
B L F' U' B2 F2 L2
B2 L B F L2 D R2
B L B2 F L2 D R2
B' L' U L2 F' U' F2
B' L' U F' L2 U' F
B' L' U F' U B' U2
F' L' U' L2 F L' B'
B' L' U2 B' U' F' U'
B L' F B2 D R2 F'
B L' B2 F D R2 F'
F' L2 U F U2 L' F
F' L2 U' L' F L' B'
U' R U' B' L' R' F'
U' R U' B' R' L' F'
U2 R' D' B' L' F' R
U2 R' B' L' D' F' R
U2 R' B' D' L' F' R
B' U L2 F' U' L F
B' U F' U' L F L'
B' U B L F' U' L2
L F L' D R2 B' L'
L F L' D B' L' R2
L F L' D B' R2 L'
L F L' B' L' D R2
L F L' B' D L' R2
L F L' B' D R2 L'
B' D L F L2 D R2
L2 F' L' U' F L2 B'
L F' L' U' B' L' F2
L2 F' U' L' F L2 B'
B' D' L F L2 D R2
U F' U' L F L' B'
U F' U' D2 B' L F
U F' U' B' L F L'
U F' D2 U' B' L F
B' D2 L F L2 D R2
R2 B L U F L2 B2
R2 B L U F B2 L2
R2 B L U B2 F L2
U B L F' U' L2 B2
U B L F' U' B2 L2
R2 B L' B2 D' R2 F'
F' B L U' F L' B2
F' B L U' F B2 L'
F' B L U' B2 F L'
R2 B U B2 D L' F
D2 B' L F L2 D R2
D' B' L F L2 D R2
U2 B' L' R' D' F' R
R2 B' L F L2 D' R2
U2 B' L' U F' L' U'
D B' L F L2 D R2
U2 B' R' L' D' F' R
U2 B' R' D' L' F' R
B2 F' L U' F L' B
B2 F' L U' F B L'
B2 F' L U' B F L'
B F' L U' F L' B2
B F' L U' F B2 L'
B F' L U' B2 F L'
R2 B' D' L R2 F L2
R2 B' D' L F L2 R2
R2 B' D' L F R2 L2
R2 B' D' R2 L F L2
F' B2 L U' F L' B
F' B2 L U' F B L'
F' B2 L U' B F L'
