U L' U F U B
U' L D B D L2 R2
U' L D B D R2 L2
U' L D2 B R2 D L2
U' L B D L2 D R2
U' L B D2 R2 D' L2
F2 L B' L' U' R B2
F2 L B' L' U' B2 R
U L' R2 F' U F2 U
U L' R2 F' U2 D' L2
U L' R2 F' D R2 U2
U L' R2 F' D' U2 L2
U L' U L' U B L
U2 L' U F U F' B
U2 L' U F U B F'
U L' U D F U B
U L' U D' F U B
U L' U D2 F U B
U L' U F L U B
U L' U F L' U B
U L' U F L2 U B
U L' U F U D B
U L' U F U D' B
U L' U F U D2 B
U L' U F U B D
U L' U F U B D'
U L' U F U B D2
U L' U F D U B
U L' U F D' U B
U L' U F D2 U B
U L' U2 L2 B D L2
U L' U2 B U' F U
U L' D U F U B
U L' D' U F U B
U L' D2 U F U B
U L' F' U F2 U B
U L' F' U2 D' L2 B
U L' F' U2 D' B L2
U L' F' U2 B D' L2
U L' F' D R2 F' U2
U L' F' D' U2 L2 B
U L' F' D' U2 B L2
U L' F2 U F' U B
U2 L2 U B2 R' B' L
U2 L2 U' L U2 B L
R2 U L' F' U F2 U
R2 U L' F' U2 D' L2
R2 U L' F' D R2 U2
R2 U L' F' D' U2 L2
R2 U D L' F' R U2
L' U F U2 L U' B
L' U' L2 B' L' U' B2
U R2 L' F' U F2 U
U R2 L' F' U2 D' L2
U R2 L' F' D R2 U2
U R2 L' F' D' U2 L2
D2 R2 U L' F' U2 L'
D R2 U L' F' R U2
U R2 D L' F' R U2
R2 D U L' F' R U2
B' U L' U F U B2
D' U L' U2 B' L B2
D U L' R2 F' R U2
U D L' R2 F' R U2
D U L' F U2 L' B
D U L' F U2 B L'
D U L' F2 U2 B L
U D L' F U2 L' B
U D L' F U2 B L'
U D L' F2 U2 B L
D U R2 L' F' R U2
U D R2 L' F' R U2
L D B' L' F2 U' B2
D U F2 U2 B L R
D U F2 U2 B R L
U D F2 U2 B L R
U D F2 U2 B R L
D' U' L B' L B2 R'
U' D' L B' L B2 R'
U D' L' U2 B' L B2
F2 U' L B R D L2
F2 U' L B D L2 R
F2 U' L B D R L2
U' D' B U2 L' R' U2
D' U' B U2 L' R' U2
D' U' B U2 R' L' U2
U' D' B U2 R' L' U2
U' D' B' L B2 D2 R2
D' U' B' L B2 D2 R2
U' D' B' L2 B2 L' R'
U' D' B' L2 B2 R' L'
D' U' B' L2 B2 L' R'
D' U' B' L2 B2 R' L'
B2 U' D' B' L D2 R2
F2 U' D' B R D2 L2
F2 U' D' B' L R B2
F2 U' D' B' L B2 R
F2 U' D' B' R L B2
F2 U' B2 R D' B' L
F2 U' B2 D' R B' L
F2 U' B2 D' B' L R
F2 U' B2 D' B' R L
B U2 L' U F U F'
F2 U2 L2 U B L R
F2 U2 L2 U B R L
L D2 B' L' U' R2 B2
L D2 B' L' U' B2 R2
U2 F L' F U B R
F D F U' L' B R
F D F U' B L' R
F D F U' B R L'
B2 D' U' B' L D2 R2
F2 D' U' B R D2 L2
F2 D' U' B' L R B2
F2 D' U' B' L B2 R
F2 D' U' B' R L B2
U2 F2 L2 U B L R
U2 F2 L2 U B R L
B2 D' F2 U' R B' L
B2 D' F2 U' B' L R
B2 D' F2 U' B' R L
F2 D' B' U' L R B2
F2 D' B' U' L B2 R
F2 D' B' U' R L B2
D' F2 U' B R D2 L2
D' F2 U' B' L R B2
D' F2 U' B' L B2 R
D' F2 U' B' R L B2
D' F2 B' U' L R B2
D' F2 B' U' L B2 R
D' F2 B' U' R L B2
L B L D L2 F2 R
U' B U2 L' U F U
L B' L' U L' U2 B2
L B' L' F2 U' R B2
L B' L' F2 U' B2 R
D' B' U L' U2 L2 B2
D' B' U L' U2 B2 L2
D' B' U' L B2 D2 R2
D' B' U' L2 B2 L' R'
D' B' U' L2 B2 R' L'
L B' D L' F2 R U'
D' B' F2 U' L R B2
D' B' F2 U' L B2 R
D' B' F2 U' R L B2
L' B2 U R' F U B'
L' B2 U F R' U B'
B2 F2 U' R D' B' L
F2 B2 U' R D' B' L
U' B2 D' B' L D2 R2
B2 F2 U' D' R B' L
B2 F2 U' D' B' L R
B2 F2 U' D' B' R L
F2 B2 U' D' R B' L
F2 B2 U' D' B' L R
F2 B2 U' D' B' R L
B2 F2 D' U' R B' L
B2 F2 D' U' B' L R
B2 F2 D' U' B' R L
F2 B2 D' U' R B' L
F2 B2 D' U' B' L R
F2 B2 D' U' B' R L
