D2 L B2 D' R2 F'
D2 L' U F L2 B2
D2 L' U F B2 L2
D2 L' U B2 F L2
D' L2 U D' L' F
D' L2 D' U L' F
U L2 D2 L' F B2
U L2 D2 L' B2 F
R U L D2 F' B2
R U L D2 B2 F'
U L2 D2 B2 L' F
L2 U D2 L' F B2
L2 U D2 L' B2 F
L2 U D2 B2 L' F
R U D2 L F' B2
R U D2 L B2 F'
R U D2 F' L B2
U' R F2 U2 F L
L2 U' F2 R U2 F'
R U' F2 U2 F L
U' R2 F2 U2 L F
D2 U L' F L2 B2
D2 U L' F B2 L2
D2 U L' B2 F L2
R D' L2 U L' F'
U D2 L' F L2 B2
U D2 L' F B2 L2
U D2 L' B2 F L2
L2 D2 U L' F B2
L2 D2 U L' B2 F
L2 D2 U B2 L' F
R D2 U L F' B2
R D2 U L B2 F'
R D2 U F' L B2
D' F' L2 R U L'
D' F' R L2 U L'
U' F2 R U2 L F'
U' F2 R U2 F' L
U' F2 R2 U2 L F
U' F2 B2 R' B U2
U' B2 R' F2 B U2
U' B2 R' B F2 U2
U' B2 F2 R' B U2
L' R U L2 D2 F' B2
L' R U L2 D2 B2 F'
L2 R U L' D2 F' B2
L2 R U L' D2 B2 F'
L' R U F L2 F2 B'
L' R U F L2 B' F2
L2 R U D2 L' F' B2
L2 R U D2 L' B2 F'
U L R D2 F' R' B2
L2 R U D2 B2 L' F'
U L R F' R2 B R
D2 L R B2 D' R2 F'
L' R U' F2 U2 F L2
D2 L R' B2 D' R2 F'
L2 R U' F2 R U2 F
D2 L R2 B2 D' R2 F'
L2 R D' L2 U L F'
L2 R D' L2 U F' L
L R D' L2 U L2 F'
L R D' L2 U F' L2
R L D' L2 U L2 F'
R L D' L2 U F' L2
U' L U2 F2 U2 R F'
L2 R D2 U L' F' B2
L2 R D2 U L' B2 F'
L2 R D2 U B2 L' F'
D2 L D L2 U F L2
L R D2 F' B2 D' R2
R L D2 F' B2 D' R2
L R D2 B2 D' F' R2
L R D2 B2 F' D' R2
R L D2 B2 D' F' R2
R L D2 B2 F' D' R2
L' R F U L2 F2 B'
L' R F U L2 B' F2
U L D2 L' F L B2
L R F' B2 D' R2 B
R L F' B2 D' R2 B
U L D2 B2 L' F L
D2 L F B2 D' R2 F'
D' L F' L R U L'
D' L F' R L U L'
U' L F' R F' R B
D2 L F' B2 D' R2 F'
D2 L F2 B2 D' R2 F'
L R B2 F' D' R2 B
R L B2 F' D' R2 B
R L' U L2 D2 F' B2
R L' U L2 D2 B2 F'
R L' U F L2 F2 B'
R L' U F L2 B' F2
R' L' U' F2 B U2 L2
L' R' U' F2 B U2 L2
R' L' U' B F2 U2 L2
L' R' U' B F2 U2 L2
D2 L B2 R2 D' F' R2
D2 L B2 R2 F' D' R2
L2 R' U' F2 B R U2
R L' U' F2 U2 F L2
L2 R' U' B F2 R U2
D2 L B2 D' R2 D F'
D2 L B2 D' R2 D' F'
D2 L B2 D' R2 D2 F'
D2 L B2 D' R2 F' D
D2 L B2 D' R2 F' D'
D2 L B2 D' R2 F' D2
D2 L B2 D' F R2 F'
D2 L B2 D' F' R2 F'
D2 L B2 D' F2 R2 F'
D2 L B2 F D' R2 F'
D2 L B2 F' D' R2 F'
D2 L B2 F2 D' R2 F'
D2 L' R U F L2 B2
D2 L' R U F B2 L2
D2 L' R U B2 F L2
D2 L' R' U F L2 B2
D2 L' R' U F B2 L2
D2 L' R' U B2 F L2
D2 L' R2 U F L2 B2
D2 L' R2 U F B2 L2
D2 L' R2 U B2 F L2
D2 L' U F L' B2 L'
D2 L' U F L2 B2 D
D2 L' U F L2 B2 D'
D2 L' U F L2 B2 D2
D2 L' U F B L2 B
D2 L' U F B2 L2 D
D2 L' U F B2 L2 D'
D2 L' U F B2 L2 D2
D2 L' U F' L2 F2 B2
D2 L' U F' L2 B2 F2
D2 L' U F' B2 L2 F2
D2 L' U F2 L2 F' B2
D2 L' U F2 L2 B2 F'
D2 L' U F2 B2 L2 F'
D2 L' U B F L2 B
D2 L' U B2 F L2 D
D2 L' U B2 F L2 D'
D2 L' U B2 F L2 D2
D2 L' U B2 F' L2 F2
D2 L' U B2 F2 L2 F'
R L' F U L2 F2 B'
R L' F U L2 B' F2
D2 L' D F2 L2 U F'
D2 L' F L2 B2 D' R2
D2 L' F B2 L2 D' R2
D2 L' F' U L2 F2 B2
D2 L' F' U L2 B2 F2
D2 L' F' U F2 L2 B2
D2 L' F' U F2 B2 L2
D2 L' F' U B2 L2 F2
D2 L' F' U B2 F2 L2
R L2 U L' D2 F' B2
R L2 U L' D2 B2 F'
R L2 U D2 L' F' B2
R L2 U D2 L' B2 F'
R L2 U D2 B2 L' F'
D2 L' F2 U L2 F' B2
D2 L' F2 U L2 B2 F'
D2 L' F2 U F' L2 B2
D2 L' F2 U F' B2 L2
D2 L' F2 U B2 L2 F'
D2 L' F2 U B2 F' L2
R' L2 U' F2 B R U2
R' L2 U' B F2 R U2
R L2 U' F2 R U2 F
R L2 D' L2 U L F'
R L2 D' L2 U F' L
D2 L' B2 F L2 D' R2
D' L2 R U D' L' F
D' L2 R D' U L' F
F L2 R U B' L' F'
D' L2 R' U D' L' F
R L2 D2 U L' F' B2
R L2 D2 U L' B2 F'
R L2 D2 U B2 L' F'
D' L2 R' D' U L' F
D' L2 R2 U D' L' F
D' L2 R2 D' U L' F
D' L2 U D' L' D F
D' L2 U D' L' D' F
D' L2 U D' L' D2 F
D' L2 U D' L' F D
D' L2 U D' L' F D'
D' L2 U D' L' F D2
D L2 U D L' F B2
D L2 U D L' B2 F
D L2 U D B2 L' F
D2 L2 U B2 D L' F
U2 L2 U F2 R U2 F'
F L2 U D2 B' L' F
F L2 U B' D2 L' F
U2 L2 U' D2 L' F B2
U2 L2 U' D2 L' B2 F
U2 L2 U' D2 B2 L' F
D' L2 D R U L' F'
U L2 U2 F2 R U2 F'
D L2 D U L' F B2
D L2 D U L' B2 F
D L2 D U B2 L' F
D' L2 D' R U L' F
D' L2 D' R' U L' F
D' L2 D' R2 U L' F
D' L2 D' U L' D F
D' L2 D' U L' D' F
D' L2 D' U L' D2 F
D' L2 D' U L' F D
D' L2 D' U L' F D'
D' L2 D' U L' F D2
R' U L R2 F' R2 B
R' U L U2 F2 B U2
R' U L U2 B F2 U2
U' L2 D2 L' R2 F B2
U' L2 D2 L' R2 B2 F
U' L2 D2 L' F R2 B2
U' L2 D2 L' F B2 R2
U' L2 D2 L' B2 R2 F
U' L2 D2 L' B2 F R2
R' U L B' D2 F2 B2
R' U L B' D2 B2 F2
U' L2 D2 R2 L' F B2
U' L2 D2 R2 L' B2 F
R U L U2 F2 U2 F
U' L2 D2 R2 B2 L' F
R U L D F' D B2
R U L D' F' D' B2
R U L D2 F' B2 D
R U L D2 F' B2 D'
R U L D2 F' B2 D2
R U L D2 B2 D F'
R U L D2 B2 D' F'
R U L D2 B2 D2 F'
R U L D2 B2 F' D
R U L D2 B2 F' D'
R U L D2 B2 F' D2
U2 L2 D2 U' L' F B2
U2 L2 D2 U' L' B2 F
U2 L2 D2 U' B2 L' F
R U L F' R2 B R2
U L2 D2 L' F B2 D
U L2 D2 L' F B2 D'
U L2 D2 L' F B2 D2
R U L F' U2 F' U2
U L2 D2 L' B2 D F
U L2 D2 L' B2 D' F
U L2 D2 L' B2 D2 F
U L2 D2 L' B2 F D
U L2 D2 L' B2 F D'
U L2 D2 L' B2 F D2
L' U L' D2 L' F B2
L' U L' D2 L' B2 F
R U L B D2 F' B2
R U L B D2 B2 F'
U' L2 D2 B2 L' R2 F
U' L2 D2 B2 L' F R2
L' U L' D2 B2 L' F
F L2 D2 U B' L' F
U' L2 D2 B2 R2 L' F
R U L B' D2 F' B2
R U L B' D2 B2 F'
R U L B2 D2 F' B2
R U L B2 D2 B2 F'
U L2 D2 B L' F B
U L2 D2 B L' B F
U L2 D2 B2 L' D F
U L2 D2 B2 L' D' F
U L2 D2 B2 L' D2 F
U L2 D2 B2 L' F D
U L2 D2 B2 L' F D'
U L2 D2 B2 L' F D2
R U L' F L2 F2 B'
R U L' F L2 B' F2
D' L2 F' R F U L'
D' L2 F' D R F' U
R U L2 D2 L' F' B2
R U L2 D2 L' B2 F'
R U L2 D2 B2 L' F'
U' L2 F2 L2 R U2 F'
U' L2 F2 R L2 U2 F'
D' L2 F2 U' R B U2
U L2 F2 R U2 F' R'
R' U R2 L F' R2 B
R' U R2 F' L R2 B
R' U R2 F' R2 L B
U L2 B D2 L' F B2
U L2 B D2 L' B2 F
U L2 B D2 B2 L' F
R U D L D F' B2
R U D L D B2 F'
R U D L F' D B2
U L2 B' D2 L' F B2
U L2 B' D2 L' B2 F
U L2 B' D2 B2 L' F
R U D F' L D B2
R U D F' D L B2
R' U D2 L' B2 L2 F
U L2 B2 D2 L' F B2
U L2 B2 D2 L' B2 F
U L2 B2 D2 B2 L' F
L2 U D2 L' F B2 D
L2 U D2 L' F B2 D'
L2 U D2 L' F B2 D2
L2 U D2 L' B2 D F
L2 U D2 L' B2 D' F
L2 U D2 L' B2 D2 F
L2 U D2 L' B2 F D
L2 U D2 L' B2 F D'
L2 U D2 L' B2 F D2
R U D' F' D' L B2
D2 R L B2 D' R2 F'
D2 R L' U F L2 B2
D2 R L' U F B2 L2
D2 R L' U B2 F L2
R U D2 L F' B2 D
R U D2 L F' B2 D'
R U D2 L F' B2 D2
R U D2 L B2 D F'
R U D2 L B2 D' F'
R U D2 L B2 D2 F'
R U D2 L B2 F' D
R U D2 L B2 F' D'
R U D2 L B2 F' D2
R U D2 L' F' L2 B2
R U D2 L' F' B2 L2
R U D2 L' B2 L2 F'
R U D2 L' B2 F' L2
L2 U D2 B L' F B
L2 U D2 B L' B F
R U D2 L2 B2 L' F'
U R L D2 F' R' B2
L2 U D2 B2 L' D F
L2 U D2 B2 L' D' F
L2 U D2 B2 L' D2 F
L2 U D2 B2 L' F D
L2 U D2 B2 L' F D'
L2 U D2 B2 L' F D2
U R L F' R2 B R
R U D2 F L F2 B2
R U D2 F L B2 F2
R U D2 F' L B2 D
R U D2 F' L B2 D'
R U D2 F' L B2 D2
R U D2 F' L' B2 L2
R U D2 F' L2 B2 L'
D' R L2 U D' L' F
R U F L2 B' L' F2
D' R L2 D' U L' F
F R L2 U B' L' F'
D2 R U L' F L2 B2
D2 R U L' F B2 L2
D2 R U L' B2 F L2
R U F' L R2 B R2
R U F' L U2 F' U2
R U F' R2 L B R2
F' R U F' L D' B2
F R U L2 B' L' F'
R U F' U2 F' U2 L
U2 R U F2 U2 F L
L2 U F2 R U2 F' R'
F R U F' L D2 B2
U2 R U' L D2 F' B2
U2 R U' L D2 B2 F'
F R U F' D2 L B2
U2 R U' D2 L F' B2
U2 R U' D2 L B2 F'
U2 R U' D2 F' L B2
U' R U2 L D2 F' B2
U' R U2 L D2 B2 F'
F R U' F U2 L F2
F R U' F U2 F2 L
U' R U2 D2 L F' B2
U' R U2 D2 L B2 F'
U' R U2 D2 F' L B2
L2 U B D2 L' F B2
L2 U B D2 L' B2 F
L2 U B D2 B2 L' F
L2 U B' D2 L' F B2
L2 U B' D2 L' B2 F
L2 U B' D2 B2 L' F
L2 U B2 D2 L' F B2
L2 U B2 D2 L' B2 F
L2 U B2 D2 B2 L' F
R U B2 D2 F' B2 L
R U B2 D2 B2 L F'
R U B2 D2 B2 F' L
U' R D2 U2 L F' B2
U' R D2 U2 L B2 F'
U' R D2 U2 F' L B2
U2 R D2 U' L F' B2
U2 R D2 U' L B2 F'
U2 R D2 U' F' L B2
U R D2 L F' R' B2
U R D2 F' L R' B2
U R D2 F' R' L B2
D' R F' L2 R U L'
D' R F' R L2 U L'
U R F' L R2 B R
U R F' R' D2 L B'
U R F' R2 L B R
L' U' R F2 U2 F L2
U' R F2 R U2 F L
U' R F2 R' U2 F L
U' R F2 R2 U2 F L
L2 U' R F2 R U2 F
U' R F2 U2 D F L
U' R F2 U2 D' F L
U' R F2 U2 D2 F L
U' R F2 U2 F L D
U' R F2 U2 F L D'
U' R F2 U2 F L D2
U' R F2 U2 F D L
U' R F2 U2 F D' L
U' R F2 U2 F D2 L
U' R F2 U2 F' L F2
U' R F2 U2 F2 L F'
U' R F2 D U2 F L
U' R F2 D' U2 F L
U' R F2 D2 U2 F L
U' R F2 B2 R' U2 F
R U' R F2 U2 L F
R' U' R' F2 U2 L F
L' U' R' F2 B U2 L2
L' U' R' B F2 U2 L2
U R F2 U2 R' F L
U R F2 U2 F L R'
U R F2 U2 F R' L
L2 U' R' F2 B R U2
L2 U' R' B F2 R U2
R' U' R2 F2 U2 F L
L2 U' R2 F2 R B U2
U' R B2 F2 R' U2 F
L2 U' D2 L' F B2 R'
L2 U' D2 L' B2 R' F
L2 U' D2 L' B2 F R'
D2 R' L B2 D' R2 F'
D2 R' L' U F L2 B2
D2 R' L' U F B2 L2
D2 R' L' U B2 F L2
D' R' L2 U D' L' F
D' R' L2 D' U L' F
D2 R' U L' F L2 B2
D2 R' U L' F B2 L2
D2 R' U L' B2 F L2
R' U' F2 R' U2 L F
R' U' F2 R2 U2 L F'
R' U' F2 R2 U2 F' L
L' U' F2 R U2 L2 F'
L' U' F2 R U2 F' L2
L' U' F2 R' B U2 L2
L2 U' F2 R U2 D F'
L2 U' F2 R U2 D' F'
L2 U' F2 R U2 D2 F'
L2 U' F2 R U2 F' D
L2 U' F2 R U2 F' D'
L2 U' F2 R U2 F' D2
L2 U' F2 R D U2 F'
L2 U' F2 R D' U2 F'
L2 U' F2 R D2 U2 F'
L2 U' F2 R B U2 F'
L2 U' F2 R B' U2 F'
L2 U' F2 R B2 U2 F'
L2 U' F2 R' B R2 U2
R' U' F2 B2 R' B' U2
R U' F2 R U2 F L
L2 U' F2 B R U2 F'
R U' F2 R' U2 F L
L2 U' F2 B' R U2 F'
L2 U' F2 B2 R U2 F'
R U' F2 R2 U2 F L
R U' F2 U2 D F L
R U' F2 U2 D' F L
R U' F2 U2 D2 F L
R U' F2 U2 F L D
R U' F2 U2 F L D'
R U' F2 U2 F L D2
R U' F2 U2 F D L
R U' F2 U2 F D' L
R U' F2 U2 F D2 L
R U' F2 U2 F' L F2
R U' F2 U2 F2 L F'
R U' F2 D U2 F L
R U' F2 D' U2 F L
R U' F2 D2 U2 F L
R U' F2 B2 R' U2 F
L2 U' B F2 R U2 F'
R' U' B2 R' F2 B' U2
R' U' B2 R' B' F2 U2
U2 R' D R2 U' L F'
U2 R' D R2 U' F' L
L2 U' B' F2 R U2 F'
R' U' B2 F2 R' B' U2
L2 U' B2 F2 R U2 F'
R U' B2 F2 R' U2 F
D' R' F' L2 R U L'
D' R' F' R L2 U L'
U' R' F2 R' U2 L F
U' R' F2 R2 U2 L F'
U' R' F2 R2 U2 F' L
B2 R' F2 U2 D' R2 F'
B2 R' F2 D L2 B U2
B2 R' F2 D B L2 U2
B2 R' F2 D' U2 R2 F'
U' R' F2 B2 R' B' U2
B2 R' F2 D' B U2 R2
B2 R' F2 B U B U
U R' F2 L' B U2 L2
F2 R' B U B' U L
B2 R' B F2 U B U
R' U2 D R2 U' L F'
R' U2 D R2 U' F' L
U' R' B2 R' F2 B' U2
U' R' B2 R' B' F2 U2
U' R' B2 F2 R' B' U2
D2 R2 L B2 D' R2 F'
D2 R2 L' U F L2 B2
D2 R2 L' U F B2 L2
D2 R2 L' U B2 F L2
D' R2 L2 U D' L' F
D' R2 L2 D' U L' F
D2 R2 U L' F L2 B2
D2 R2 U L' F B2 L2
D2 R2 U L' B2 F L2
U' R2 U2 L D2 F B2
U' R2 U2 L D2 B2 F
U' R2 U2 D2 L F B2
U' R2 U2 D2 L B2 F
U' R2 D2 U2 L F B2
