D L2 F' U' L B'
D' L R2 B U L2 B'
F' L U F B2 U2 L'
F' L U B2 F U2 L'
B2 L F U' F2 U' L2
B2 L F U2 L2 D R2
D2 L' R2 F2 B' D' R2
D2 L' R2 B' F2 D' R2
B L' R2 F' B' D' R2
R2 L' D' B' D' R2 F2
R2 L' D' B' D' F2 R2
B2 L' R2 B' D' R2 F'
B L' R2 B' D' F' R2
B L' R2 B' F' D' R2
D2 L' U F' U' F' B'
D2 L' U F' U' B' F'
R2 L' D2 F2 B' D' R2
R2 L' D2 B' F2 D' R2
D' L' U' R2 B U B2
F' L' U' D2 F2 B' L
F' L' U' D2 B' L F2
F' L' U' D2 B' F2 L
F' L' U' B' L2 F L'
F' L' D2 U' F2 B' L
F' L' D2 U' B' L F2
F' L' D2 U' B' F2 L
D2 L' F D R2 F B'
D2 L' F D R2 B' F
D2 L' F D F R2 B'
D2 L' F D F B' R2
D2 L' F D B' R2 F
D2 L' F D B' F R2
D2 L' F B' D R2 F
D2 L' F B' D F R2
B2 L' F D B' R2 F'
B L' F D R2 F' B'
B L' F D R2 B' F'
B2 L' F B' D R2 F'
D2 L' F2 U F U' B'
D2 L' F2 B' U F U'
D2 L' B' U F' U' F'
D' L' B' U' R2 B U
D L' B' U L' F' U'
D2 L' B' F D R2 F
D2 L' B' F D F R2
D2 L' B' F2 U F U'
B2 L' B' F D R2 F'
L' R2 D' B' D' R2 F2
L' R2 D' B' D' F2 R2
D L2 R U' L B' R'
L' R2 D2 F2 B' D' R2
L' R2 D2 B' F2 D' R2
B2 L2 U' F' U' L B'
D L2 D F' R U' L
B' L2 F L D R2 B'
B' L2 F L D B' R2
B' L2 F L B' D R2
D2 L2 F' U' L F' B'
D2 L2 F' U' L B' F'
D2 L2 F' U' F' L B'
B' L2 F' U' L F2 B'
B' L2 F' U' L B' F2
B' L2 F' U' F2 L B'
D L2 F' R U' L B'
D L2 F' R' U' L B'
D L2 F' R2 U' L B'
D L2 F' U' L D B'
D L2 F' U' L D' B'
D L2 F' U' L D2 B'
D L2 F' U' L B' D
D L2 F' U' L B' D'
D L2 F' U' L B' D2
L' U D2 F' U' F' B'
L' U D2 F' U' B' F'
D R L2 U' L B' R'
L' U F' U B2 U2 B
L' U F' U' D2 F2 B'
L' U F' U' D2 B' F2
L' U F' D2 U' F2 B'
L' U F' D2 U' B' F2
L' U' D' R2 B U B2
F2 R B2 U' F R U'
D' R2 L B U L2 B'
D2 R2 L' F2 B' D' R2
D2 R2 L' B' F2 D' R2
B2 R2 L' B' D' R2 F'
B R2 L' F' B' D' R2
B R2 L' B' D' F' R2
B R2 L' B' F' D' R2
B2 R2 U B L U L2
L' U2 B2 U' F' U' B
R D L2 U' L B' R'
D' R2 B L U L2 B'
D' R2 B L2 U L B'
L' D F D R2 F2 B'
L' D F D R2 B' F2
L' D F D F2 R2 B'
L' D F D F2 B' R2
L' D F D B' R2 F2
L' D F D B' F2 R2
L' D F B' D R2 F2
L' D F B' D F2 R2
L' D F' L2 U' L2 B'
L2 D F' L2 R U' L'
L2 D F' R L2 U' L'
L' D B' U L2 F' U'
L' D B' U F' L2 U'
D' U R2 B L U L2
L' D B' F D R2 F2
L' D B' F D F2 R2
R2 D' L' B' D' R2 F2
R2 D' L' B' D' F2 R2
L' D' U' R2 B U B2
D' U' R2 B U L' B'
U' D' R2 B U L' B'
U D' R2 B L U L2
L' D' B' U' R2 B U
R2 D2 L' F2 B' D' R2
R2 D2 L' B' F2 D' R2
L' D2 R2 F2 B' D' R2
L' D2 R2 B' F2 D' R2
L' D2 U F' U' F' B'
L' D2 U F' U' B' F'
L' D2 F D R2 F B'
L' D2 F D R2 B' F
L' D2 F D F R2 B'
L' D2 F D F B' R2
L' D2 F D B' R2 F
L' D2 F D B' F R2
L' D2 F B' D R2 F
L' D2 F B' D F R2
L' D2 F2 U F U' B'
L' D2 F2 B' U F U'
L' D2 B' U F' U' F'
L' D2 B' F D R2 F
L' D2 B' F D F R2
L' D2 B' F2 U F U'
L' F D R2 D F2 B'
L' F D R2 D B' F2
L' F D R2 B' D F2
L' F D B' R2 D F2
L' F D2 F2 D' R2 B'
L' F D2 F2 D' B' R2
L F B2 U' F2 U' L2
L F B2 U2 L2 D R2
L2 F' U' L D2 F2 B'
L2 F' U' L D2 B' F2
L F' U F2 B2 U2 L2
L F' U B2 F2 U2 L2
L F' U' L2 D2 F2 B2
L F' U' L2 D2 B2 F2
L' F' D L2 U' L2 B'
L' F' D2 F2 D R2 B'
L' F' D2 F2 D B' R2
L' F' D2 F2 B' D R2
L' F' D2 B' F2 D R2
F' D2 L' U' F2 B' L
F' D2 L' U' B' L F2
F' D2 L' U' B' F2 L
D B L2 F' U' L B'
L' B' L2 F L2 D R2
B F D R2 F' L' B'
D B' L2 F' U' L B'
F B D R2 F' L' B'
L B' L2 F D R2 B'
L B' L2 F D B' R2
L B' L2 F B' D R2
L B' L2 B' F D R2
L' B' U L2 F' U' F2
L' B' U F' L2 U' F
L' B' U F' U B' U2
L' B' U2 B' U' F' U'
D B2 L2 F' U' L B'
B2 F2 R U' F R U'
F2 B2 R U' F R U'
L B2 F U' F2 U' L2
L B2 F U2 L2 D R2
