F' L' F U' B' L' U'
L2 U L F B' R' U'
L2 U L B' R' F U'
L2 U L B' F R' U'
L D F U R F B'
L D F U R B' F
L D F U B' R F
F U R B L F B'
F U R B L B' F
F U B L R F B'
F U B L R B' F
F U B L B' R F
F U B R L F B'
F U B R L B' F
L D2 R2 F U R B'
L D2 R2 F U B' R
L D2 F R2 U R' B'
L F U R D F2 B'
L F U R D B' F2
L F U R B' D F2
L F U D R F2 B'
L F U D R B' F2
L F U D B' R F2
L F U B' R D F2
L F U B' D R F2
L F D U R F2 B'
L F D U R B' F2
L F D U B' R F2
L F D2 R2 U R' B'
L' F' B' U L' F2 U2
L' F' B' U F2 U2 R
L' F2 B' U F' U2 R
L' B' F' U L' F2 U2
L' B' F' U F2 U2 R
L' B' F2 U F' U2 R
