B L R D B2 R'
B R L D B2 R'
D' R D' R2 B L
D2 R' D R' B L
D' R' D' B L R2
D' R' D' B R2 L
D2 R2 D' B L B'
D2 R2 B D' L B'
D B L D R2 B'
D B L D B' R2
D B L B' D R2
D2 B R2 D' L B'
D' L R D' R2 B L
B L R D R B2 R'
B L R D R' B2 R'
B L R D R2 B2 R'
B L R D B2 R' D
B L R D B2 R' D'
B L R D B2 R' D2
B L R D B2 D R'
B L R D B2 D' R'
B L R D B2 D2 R'
B L R B2 D R' B2
D2 L R' D R' B L
D' L R' D' B L R2
D' L R' D' B R2 L
D2 L R2 D' B L B'
D2 L R2 B D' L B'
B L R2 B2 R' D B2
B L U R' U L U2
B L U' B2 L U R'
B L U2 L U' R' U'
B L D R D B2 R'
D L D R2 B L B2
D L D B L R2 B2
D L D B L B2 R2
D L D B R2 L B2
B L D' R D B2 R'
D L D' B L B2 R'
B L D2 R D B2 R'
D L B L B2 D R2
D2 L B R2 D' L B'
B L B' D' B' R' B
B L B2 R' U' L U
B L B2 U' L U R'
B2 L B2 D' R' B L
D' L' R D' R2 B L
D2 L' R' D R' B L
D' L' R' D' B L R2
D' L' R' D' B R2 L
D2 L' R2 D' B L B'
D2 L' R2 B D' L B'
U2 L' D L' F R U2
B' L' D' L2 B2 L R'
B' L' D' L2 B2 R' L
B' L' D' B2 L D2 R2
D2 L' B R2 D' L B'
D' L2 R D' R2 B L
B L2 R D L' B2 R'
D2 L2 R' D R' B L
D' L2 R' D' B L R2
D' L2 R' D' B R2 L
D2 L2 R2 D' B L B'
D2 L2 R2 B D' L B'
U2 L2 U' R B R' U'
U2 L2 U2 D B L B'
U2 L2 D U2 B L B'
U2 L2 D' R F' U2 L'
U2 L2 D' R' U2 B L
U2 L2 D' F R F' U2
F' L2 D' B' R' U2 B
U2 L2 F D' R F' U2
D2 L2 B R2 D' L B'
F' L2 B' R' U L U
B L2 B2 L' D' B2 R'
D' R L D' R2 B L
B R L D R B2 R'
B R L D R' B2 R'
B R L D R2 B2 R'
B R L D B2 R' D
B R L D B2 R' D'
B R L D B2 R' D2
B R L D B2 D R'
B R L D B2 D' R'
B R L D B2 D2 R'
D' R L' D' R2 B L
B R L B2 D R' B2
D' R L2 D' R2 B L
B R L2 D L' B2 R'
D2 R D R' B L R2
D2 R D R' B R2 L
B R D L B2 D R2
D' R D' L R2 B L
D' R D' L' R2 B L
D' R D' L2 R2 B L
D2 R D' R B L B'
D' R D' R2 L B L
D' R D' R2 L' B L
D' R D' R2 L2 B L
D' R D' R2 D B L
D' R D' R2 D' B L
D' R D' R2 D2 B L
D' R D' R2 B L D
D' R D' R2 B L D'
D' R D' R2 B L D2
D' R D' R2 B D L
D' R D' R2 B D' L
D' R D' R2 B D2 L
D2 R D' B L R B'
D2 R D' B L B' R
D2 R D' B R L B'
D' R D' B L R2 B
D' R D' B R2 L B
B R D2 R2 D' L B2
D2 R B R D' L B'
D R B L D R2 B'
D R B L D B' R2
D R B L B' D R2
D2 R B D' L R B'
D2 R B D' L B' R
D2 R B D' R L B'
U R B R' U L2 U2
U R B R' U' D2 R2
U R B R' D F2 U'
U R B R' D2 U' R2
U R B D R' F2 U'
U R B D F2 R' U'
U R B D2 R' U' R'
D2 R' L D R' B L
D' R' L D' B L R2
D' R' L D' B R2 L
D2 R' L' D R' B L
D' R' L' D' B L R2
D' R' L' D' B R2 L
D2 R' L2 D R' B L
D' R' L2 D' B L R2
D' R' L2 D' B R2 L
D2 R' D L R' B L
D2 R' D L' R' B L
D2 R' D L2 R' B L
D2 R' D R' L B L
D2 R' D R' L' B L
D2 R' D R' L2 B L
D2 R' D R' D B L
D2 R' D R' D' B L
D2 R' D R' D2 B L
D2 R' D R' B L D
D2 R' D R' B L D'
D2 R' D R' B L D2
D2 R' D R' B D L
D2 R' D R' B D' L
D2 R' D R' B D2 L
D' R' D B D2 L R2
D' R' D B D2 R2 L
D' R' D' L B L R2
D' R' D' L B R2 L
D' R' D' L' B L R2
D' R' D' L' B R2 L
D' R' D' L2 B L R2
D' R' D' L2 B R2 L
D2 R' D' R' B L B'
B R' D F2 U' L F2
B R' D F2 U' F2 L
D2 R' D' B L B' R'
D' R' D' B L R2 D
D' R' D' B L R2 D'
D' R' D' B L R2 D2
D' R' D' B R2 L D
D' R' D' B R2 L D'
D' R' D' B R2 L D2
D' R' D' B R2 D L
D' R' D' B R2 D' L
D' R' D' B R2 D2 L
D' R' D' B2 R2 B' L
B R' D2 L R2 D B2
D' R' D2 B L D R2
D' R' D2 B D L R2
D' R' D2 B D R2 L
B R' D2 R2 L D B2
B R' D2 R2 D L B2
D' R' B L U' B U
D2 R' B D' L B' R'
D R' B L D R2 B'
D R' B L D B' R2
D R' B L B' D R2
L' U2 D L' F R U2
D2 R2 L D' B L B'
D2 R2 L B D' L B'
D2 R2 L' D' B L B'
D2 R2 L' B D' L B'
B R2 L B2 R' D B2
D2 R2 L2 D' B L B'
D2 R2 L2 B D' L B'
D2 R2 U' L F L' U
D2 R2 D R' B L R
D2 R2 D R' B R L
D2 R2 D B D2 L B'
D2 R2 D' L B L B2
D' R2 D' R B L R
D' R2 D' R B R L
D2 R2 D' B L D B'
D2 R2 D' B L D' B'
D2 R2 D' B L D2 B'
D2 R2 D' B L B' D
D2 R2 D' B L B' D'
D2 R2 D' B L B' D2
D2 R2 D' B2 L B' L
L' D L B L B2 R'
L' D L' F U2 F' L'
D2 R2 B D' L D B'
D2 R2 B D' L D' B'
D2 R2 B D' L D2 B'
D2 R2 B D' L B' D
D2 R2 B D' L B' D'
D2 R2 B D' L B' D2
D R2 B L D R2 B'
D R2 B L D B' R2
D R2 B L B' D R2
D2 R2 B' D' B2 L B'
L' D U2 L' F R U2
R' D B L D R2 B'
R' D B L D B' R2
R' D B L B' D R2
L' D B L D2 R2 B'
L' D B L D2 B' R2
L' D B L B' D2 R2
R2 D B L D R2 B'
R2 D B L D B' R2
R2 D B L B' D R2
B U R' U L2 U2 L'
B U R' U' D2 L R2
B U R' U' D2 R2 L
B U R' D F2 U' L
L D B L B R' B2
B U R' D2 U' L R2
B U R' D2 U' R2 L
R D B L D R2 B'
R D B L D B' R2
R D B L B' D R2
B U D R' F2 U' L
D2 U F' R B U' R
L D B2 L R' B' L
B U D F2 R' U' L
L D B2 R' L B' L
L D B2 R' B' L B'
B U D2 R' U' L R'
B U D2 R' U' R' L
D U F2 U' B L B'
U D F2 U' B L B'
R' D' R D' R2 B L
R2 D' R D' R2 B L
R' D' R' D' B L R2
R' D' R' D' B R2 L
L' D' R' B L D2 R2
R D' R D' R2 B L
R2 D' R' D' B L R2
R2 D' R' D' B R2 L
D2 U' L F L' U R2
R D' R' D' B L R2
R D' R' D' B R2 L
L D' R' B2 R' B' L
B' U' L U' L R' U2
B' U' L U' R' L U2
B' U' L B2 U L R'
B' U' L B2 U R' L
L D' B L R' B R'
L D' B L B R' B
L D' B R' L B R'
B' U' D' L B2 U L
L D' B2 R' B' L B2
U' D2 L F L' U R2
R' D2 R' D R' B L
R2 D2 R' D R' B L
R' D2 R2 D' B L B'
R' D2 R2 B D' L B'
R D2 R' D R' B L
R2 D2 R2 D' B L B'
R2 D2 R2 B D' L B'
R D2 R2 D' B L B'
R D2 R2 B D' L B'
B' U2 L2 R' U L' U
B U2 L2 U' R' U' L'
U D2 F' R B U' R
B' U2 R' L2 U L' U
R' D2 B R2 D' L B'
R2 D2 B R2 D' L B'
R D2 B R2 D' L B'
U2 F L2 D' R F' U2
B D L R D R2 B2
B D L R D B2 R2
B D L U R' F2 U'
B D L U F2 R' U'
B D R L D R2 B2
B D R L D B2 R2
B D R D L R2 B2
B D R D L B2 R2
B D R D R2 L B2
B D R' F2 U' L F2
B D R' F2 U' F2 L
B D U R' F2 U' L
B D U F2 R' U' L
U2 F' L2 U2 D L B'
U2 F' L2 D U2 L B'
B D F2 R' U' L F2
B D F2 R' U' F2 L
B' D' L' D' B2 L R2
B' D' L' D' B2 R2 L
B D' L U' B2 L U
B D' R D L B2 R'
B' D' U' L B2 U L
B D2 L R D R B2
B D2 L R D B2 R
B D2 L R2 U R U'
B D2 L U R' U' R'
B D2 R L D R B2
B D2 R L D B2 R
B D2 R D L R B2
B D2 R D L B2 R
B D2 R D R L B2
B D2 R2 L U R U'
D F2 B U' L F2 B'
D F2 B U' L B' F2
D F2 B U' F2 L B'
B D2 R2 U R U' L
R' B L R D B2 R'
D2 B L R' D R' B
B D2 U R' U' L R'
B D2 U R' U' R' L
R2 B L R D B2 R'
D B L R D R2 B'
D B L R D B' R2
D B L R B' D R2
D B L R' D R2 B'
D B L R' D B' R2
D B L R' B' D R2
D B L R2 D R2 B'
D B L R2 D B' R2
D B L R2 B' D R2
D B L U F2 U' B'
D B L D R B' R
D B L D R2 D B'
D B L D R2 D' B'
D B L D R2 D2 B'
D B L D R2 B' D
D B L D R2 B' D'
D B L D R2 B' D2
D B L D B R2 B2
D B L D B' R2 D
D B L D B' R2 D'
D B L D B' R2 D2
D B L D' B' D2 R2
D B L B' R D R2
