U' R' F' L' U R'
F' L R' U L2 R' B'
F' L R' U R' L2 B'
U' L R' F' L' U R'
F' L' R D' R F2 B'
F' L' R D' R B' F2
F' L' R D' B' R F2
F' L' R B' D' R F2
U' L' R' F' L' U R'
F' L' R2 U' R U B'
F' L' R2 B' U' R U
F' L' U' R' U R' B'
R' L' F' U R' B' L'
L' R' F' U R' B' L'
F' L' B' R D' R F'
F' L2 R' U L R' B'
F' L2 R' U R' L B'
U' L2 R' F' L' U R'
F' R L' D' R F2 B'
F' R L' D' R B' F2
F' R L' D' B' R F2
F' R L' B' D' R F2
F R U2 D' R F2 B
F R U2 D' R B F2
F' R D' L' R F2 B'
F' R D' L' R B' F2
F' R D' L' B' R F2
F' R D' R L' F2 B'
F' R D' R L' B' F2
B' R D' R F' L' B'
F R D B2 U2 R B
U2 R D' B L R F2
U2 R D' B R L F2
U2 R D' B R F2 L
F R D' U2 R F2 B
F R D' U2 R B F2
L' U' R' F' U R' B'
U2 R B L D' R F2
R2 U' R' F' L' R2 U
R2 U' R' F' R2 L' U
U2 R B D' L R F2
U2 R B D' R L F2
U2 R B D' R F2 L
F' R' L U L2 R' B'
F' R' L U R' L2 B'
U' R' L F' L' U R'
U' R' L' F' L' U R'
F' R' L2 U L R' B'
F' R' L2 U R' L B'
U' R' L2 F' L' U R'
U R' U R B L R2
U R' U R B R2 L
U' R' D F' L' U R'
U' R' D' F' L' U R'
U' R' D2 F' L' U R'
U' R' F' L' U R' D
U' R' F' L' U R' D'
U' R' F' L' U R' D2
U' R' F' L' U D R'
U' R' F' L' U D' R'
U' R' F' L' U D2 R'
U' R' F' L' D U R'
U' R' F' L' D' U R'
U' R' F' L' D2 U R'
U' R' F' D L' U R'
U' R' F' D' L' U R'
U' R' F' D2 L' U R'
R U2 D' R F2 B L
R U2 D' R B L F2
R U2 D' R B F2 L
F' R2 L' U' R U B'
F' R2 L' B' U' R U
F' R2 U' R U L' B'
U' R2 U' R F' U B
B' R2 D F' L' F B'
B' R2 D F' L' B' F
F2 R2 F D' L' F B'
F2 R2 F D' L' B' F
B2 R2 F' L' D F2 B'
B2 R2 F' L' D B' F2
B2 R2 F' L' B' D F2
B' R2 F' D L' F B'
B' R2 F' D L' B' F
U' D R' F' L' B2 U
U' D R' F' B2 L' U
U' D R' B2 F' L' U
R D B2 U2 R B L
R D' R F' L' F' B'
R D' R F' L' B' F'
R D' U2 R F2 B L
R D' U2 R B L F2
R D' U2 R B F2 L
D U' R' F' L' B2 U
D U' R' F' B2 L' U
D U' R' B2 F' L' U
F' U' R' U L' R' B'
F' U' R' U R' L' B'
L F R U R2 U R'
L F R U2 D' R F2
L F R D B2 U2 R
L F R D' U2 R F2
R2 F D' F2 L' F B'
R2 F D' F2 L' B' F
R' F' L U L2 R' B'
R' F' L U R' L2 B'
U' F' L' R' F' U R'
R' F' L2 U L R' B'
R' F' L2 U R' L B'
U' F' R' L' F' U R'
L' F' R' U R' B' L'
L' F' B' R2 D L' F
L' B' R D' R F' L'
L' B' R2 D F' L' F
B2 F' L U' L2 R2 B'
B2 F' L U' L2 B' R2
B2 F' L U' R2 L2 B'
L' B' R2 F' D L' F
B2 F' L' R2 D F2 B'
B2 F' L' R2 D B' F2
B2 F' L' R2 B' D F2
B2 F' L' B' R2 D F2
B' F' R2 D L' F B'
B' F' R2 D L' B' F
B2 F' R2 L' D F2 B'
B2 F' R2 L' D B' F2
B2 F' R2 L' B' D F2
F' B' R2 D L' F B'
F' B' R2 D L' B' F
L' B' F' R2 D L' F
F' B2 L U' L2 R2 B'
F' B2 L U' L2 B' R2
F' B2 L U' R2 L2 B'
F' B2 L' R2 D F2 B'
F' B2 L' R2 D B' F2
F' B2 L' R2 B' D F2
F' B2 L' B' R2 D F2
F' B2 R2 L' D F2 B'
F' B2 R2 L' D B' F2
F' B2 R2 L' B' D F2
