F' L' F U' L'
U' L' R' F' D R2
F' L' F U' L' D
F' L' F U' L' D'
F' L' F U' L' D2
F' L' F U' D L'
F' L' F U' D' L'
F' L' F U' D2 L'
F' L' F D U' L'
F' L' F D' U' L'
F' L' F D2 U' L'
F' L' F B U' L'
F' L' F B' U' L'
F' L' F B2 U' L'
F' L' B F U' L'
F' L' B' F U' L'
F' L' B2 F U' L'
U' R' L' F' D R2
U' R' D L' F' R
L U2 B' R' U L2
U' D L' R' F' R
U' D R' L' F' R
U' D R' L' F' R
D U' L' R' F' R
D U' R' L' F' R
L' F' L' F2 U' L
D' B U' L' R' F'
D' B U' R' L' F'
F' B L' F U' L'
F' B' L' F U' L'
B' F' L' F U' L'
B2 F' L' F U' L'
B F' L' F U' L'
F' B2 L' F U' L'
U L U B' U F L2
D L U' L2 R' F' R
D L U' R' L2 F' R
D L U' R' F' L2 R
D L U' R' F' R L2
U' L U' B' R' U L2
B' L U2 B' R' U L2
B2 L U2 B' R' U L2
B L U2 B' R' U L2
F' L F L2 F U' L
D L F' L' U' L' R
D L F' L' U' R L'
D' L B U' L2 R' F'
D' L B U' R' L2 F'
D' L B U' R' F' L2
U2 L B' L' R' U L'
U2 L B' R' L' U L'
F' L' R F R' U' L'
U' L' R F' D R2 F'
U' L' R' U F U' F2
U' L' R' D F' D R2
U' L' R' D' F' D R2
U' L' R' D2 F' D R2
U' L' R' F' R D R2
U' L' R' F' R' D R2
U' L' R' F' R2 D R2
U' L' R' F' U F2 U'
U' L' R' F' D R2 D
U' L' R' F' D R2 D'
U' L' R' F' D R2 D2
F' L' R2 F R2 U' L'
U' L' U F U2 R U
U' L' U F' L' F2 U'
U' L' D R' F' D R2
U' L' D' R' F' D R2
U' L' D2 R' F' D R2
F' L' D2 F B' U' L
F' L' D2 B' F U' L
F' L' F U R U2 L'
F' L' F U R' U2 L'
F' L' F U R2 U2 L'
F' L' F U' L2 D L
F' L' F U' L2 D' L
F' L' F U' L2 D2 L
F' L' F U' D L' D
F' L' F U' D L' D'
F' L' F U' D L' D2
F' L' F U' D' L' D
F' L' F U' D' L' D'
F' L' F U' D' L' D2
F' L' F U' D2 L' D
F' L' F U' D2 L' D'
