U' L F2 U' L
U' F2 L U' L
F2 L U F2 U2 L
F2 L U' L D2 B2
U' L U' L D R2
F2 L U' D2 L B2
U' L U' D L R2
U' L U' D R2 L
F2 L D R2 U' L
U' L D U' L R2
U' L D U' R2 L
F2 L D2 U' L B2
F' L F' U' L B'
U L F2 R U' L
U' L F2 U' L D
U' L F2 U' L D'
U' L F2 U' L D2
U' L F2 U' D L
U' L F2 U' D' L
U' L F2 U' D2 L
U' L F2 D U' L
U' L F2 D' U' L
U' L F2 D2 U' L
U2 L' D L' R2 F2
U2 L' D L' F2 R2
U2 L' D R2 L' F2
U2 L2 U L' F2 U'
D' L2 U' L' B2 U'
D' L2 U' B2 L' U'
R' U' L F2 U' L
R2 U' L F2 U' L
L' U' L2 F2 U' L
R U' L F2 U' L
R' U' F2 L U' L
R2 U' F2 L U' L
L U' F2 U' L F2
L U' F2 U' F2 L
R U' F2 L U' L
L' U2 D L' R2 F2
L' U2 D L' F2 R2
L' U2 D R2 L' F2
D2 R2 U B2 R' U
L' D U2 L' R2 F2
L' D U2 L' F2 R2
L' D U2 R2 L' F2
L' D' L2 B2 R' U2
U' D' L B2 U' R'
D' U' L B2 U' R'
L' D' B2 L2 U2 L
U' F' L F' U' L
F2 D' L B2 R' U'
U' F2 L U' L D
U' F2 L U' L D'
U' F2 L U' L D2
U' F2 L U' D L
U' F2 L U' D' L
U' F2 L U' D2 L
U' F2 L D U' L
U' F2 L D' U' L
U' F2 L D2 U' L
L F2 U F2 U2 L
L F2 U' L D2 B2
L F2 U' D2 L B2
U' F2 D' L B2 U'
L F2 D R2 U' L
L F2 D2 U' L B2
F' L R U' L B' R'
F2 L R U F2 U2 L
F2 L R U' L D2 B2
F2 L R U' D2 L B2
F2 L R D R2 U' L
F2 L R D2 U' L B2
U' L R F2 R' U' L
U L R F2 R U' L
F2 L R' U F2 U2 L
F2 L R' U' L D2 B2
F2 L R' U' D2 L B2
L' R U' L2 F2 U' L
F2 L R' D R2 U' L
F2 L R' D2 U' L B2
U L R' F2 R U' L
R' L U' F2 U' L F2
R' L U' F2 U' F2 L
F2 L R2 U F2 U2 L
F2 L R2 U' L D2 B2
R2 L U' F2 U' L F2
R2 L U' F2 U' F2 L
L R U' F2 U' L F2
F2 L R2 U' D2 L B2
L R U' F2 U' F2 L
F2 L R2 D R2 U' L
R L U' F2 U' L F2
R L U' F2 U' F2 L
F2 L R2 D2 U' L B2
U' L R2 F2 R2 U' L
L' R U2 D L' R2 F2
L' R U2 D L' F2 R2
L' R U2 D R2 L' F2
U L R2 F2 R U' L
F2 L U R F2 U2 L
F2 L U R' F2 U2 L
F2 L U R2 F2 U2 L
U' L U D' L2 U2 L'
F2 L U F2 R U2 L
F2 L U F2 R' U2 L
F2 L U F2 R2 U2 L
F2 L U F2 U2 L D
F2 L U F2 U2 L D'
F2 L U F2 U2 L D2
F2 L U F2 U2 D L
F2 L U F2 U2 D' L
F2 L U F2 U2 D2 L
F2 L U F2 D U2 L
F2 L U F2 D' U2 L
F2 L U F2 D2 U2 L
L' R D U2 L' R2 F2
L' R D U2 L' F2 R2
L' R D U2 R2 L' F2
U' L U' L R D R2
U' L U' L R' D R2
U' L U' L R2 D R2
U' L U' L U F2 U'
U' L U' L D R2 D
U' L U' L D R2 D'
U' L U' L D R2 D2
F2 L U' L U2 F2 U2
F2 L U' L D2 B2 D
F2 L U' L D2 B2 D'
F2 L U' L D2 B2 D2
F2 L U' L B D2 B2
F2 L U' L B' D2 B2
F2 L U' L B2 D2 B2
U' L U' L2 D L' R2
U' L U' L2 D R2 L'
U' L U' R L D R2
U' L U' R D L R2
U' L U' R D R2 L
F2 L U' L2 D2 L' B2
F2 L U' L2 D2 B2 L'
U' L U' R' L D R2
U' L U' R' D L R2
U' L U' R' D R2 L
U' L U' R2 L D R2
U' L U' R2 D L R2
U' L U' R2 D R2 L
U' L U' D L R2 D
U' L U' D L R2 D'
U' L U' D L R2 D2
U' L U' D R2 L D
U' L U' D R2 L D'
U' L U' D R2 L D2
U' L U' D R2 D L
U' L U' D R2 D' L
U' L U' D R2 D2 L
F2 L U' D L D B2
U' L U' D2 L D' R2
L' R D' L2 B2 R' U2
F2 L U' D2 L B2 D
F2 L U' D2 L B2 D'
F2 L U' D2 L B2 D2
F2 L U' D2 L' B2 L2
F2 L U' D2 L2 B2 L'
F2 L U' B2 D2 B2 L
L' R D' B2 L2 U2 L
D L U2 R2 D' L2 F2
D L U2 R2 D' F2 L2
F2 L U2 D' L2 U L'
F2 L D R2 U' L D
F2 L D R2 U' L D'
F2 L D R2 U' L D2
F2 L D R2 U' D L
F2 L D R2 U' D' L
F2 L D R2 U' D2 L
F2 L D R2 D U' L
F2 L D R2 D' U' L
F2 L D R2 D2 U' L
U' L D U' L R2 D
U' L D U' L R2 D'
U' L D U' L R2 D2
U' L D U' R2 L D
U' L D U' R2 L D'
U' L D U' R2 L D2
U' L D U' R2 D L
U' L D U' R2 D' L
U' L D U' R2 D2 L
F2 L D U' L D B2
F' L D F' R U' L
U' L D F U' L R2
U' L D F U' R2 L
U' L D F' U' L R2
U' L D F' U' R2 L
U' L D F2 U' L R2
U' L D F2 U' R2 L
U' L D' U L2 U2 L'
F2 L D' U2 L2 U L'
F2 L D2 R U' L B2
F2 L D2 R' U' L B2
F2 L D2 R2 U' L B2
U' L D2 U' L D' R2
F2 L D2 U' L B2 D
F2 L D2 U' L B2 D'
F2 L D2 U' L B2 D2
F2 L D2 U' L' B2 L2
F2 L D2 U' L2 B2 L'
R' L F2 U F2 U2 L
R' L F2 U' L D2 B2
R' L F2 U' D2 L B2
R' L F2 D R2 U' L
L R F2 U F2 U2 L
R2 L F2 U F2 U2 L
L R F2 U' L D2 B2
R2 L F2 U' L D2 B2
R2 L F2 U' D2 L B2
L R F2 U' D2 L B2
R L F2 U F2 U2 L
R L F2 U' L D2 B2
R' L F2 D2 U' L B2
R L F2 U' D2 L B2
R2 L F2 D R2 U' L
L R F2 D R2 U' L
R L F2 D R2 U' L
R2 L F2 D2 U' L B2
L R F2 D2 U' L B2
R L F2 D2 U' L B2
U' L F D F U' L
U' L F D' F U' L
U' L F D2 F U' L
F' L F' R U' L B'
F' L F' R' U' L B'
F' L F' R2 U' L B'
F' L F' U' L D B'
F' L F' U' L D' B'
F' L F' U' L D2 B'
F' L F' U' L B' D
F' L F' U' L B' D'
F' L F' U' L B' D2
U' L F' D F' U' L
U' L F' D' F' U' L
U' L F' D2 F' U' L
U' L F2 U R U2 L
U' L F2 U R' U2 L
U' L F2 U R2 U2 L
U L F2 R U' L D
U L F2 R U' L D'
U L F2 R U' L D2
U L F2 R U' D L
U L F2 R U' D' L
U L F2 R U' D2 L
U L F2 R D U' L
U L F2 R D' U' L
U L F2 R D2 U' L
U' L F2 U' L2 D L'
U' L F2 U' L2 D' L'
U' L F2 U' L2 D2 L'
U' L F2 U' D L D
U' L F2 U' D L D'
U' L F2 U' D L D2
U' L F2 U' D' L D
U' L F2 U' D' L D'
U' L F2 U' D' L D2
U' L F2 U' D2 L D
U' L F2 U' D2 L D'
U' L F2 U' D2 L D2
U' L F2 U' F L F'
U' L F2 U' F2 L F2
U' L F2 U2 F U L
U' L F2 U2 F' U L
U' L F2 U2 F2 U L
U' L F2 D U' L D
U' L F2 D U' L D'
U' L F2 D U' L D2
U' L F2 D' U' L D
U' L F2 D' U' L D'
U' L F2 D' U' L D2
U' L F2 D2 U' L D
U' L F2 D2 U' L D'
U' L F2 D2 U' L D2
U2 L F2 B U' B' L
U L F2 D R U' L
U L F2 D' R U' L
U' L F2 B2 U R' U2
U2 L F2 B2 U' B2 L
U L F2 D2 R U' L
U2 L B F2 U' B' L
R' L' U' L2 F2 U' L
L' R' U' L2 F2 U' L
R2 L' U' L2 F2 U' L
R L' U' L2 F2 U' L
L R' U' F2 U' L F2
L R' U' F2 U' F2 L
F2 L B2 U R' F2 U2
F2 L B2 U F2 R' U2
F2 L B2 U' D2 B2 L
R' L' U2 D L' R2 F2
R' L' U2 D L' F2 R2
L' R' U2 D L' R2 F2
L' R' U2 D L' F2 R2
R' L' U2 D R2 L' F2
L' R' U2 D R2 L' F2
F2 L B2 D2 U' B2 L
R2 L' U2 D L' R2 F2
R2 L' U2 D L' F2 R2
R2 L' U2 D R2 L' F2
U' L B2 F2 U R' U2
R L' U2 D L' R2 F2
R L' U2 D L' F2 R2
R L' U2 D R2 L' F2
U2 L B2 F2 U' B2 L
U2 L' R D L' R2 F2
U2 L' R D L' F2 R2
U2 L' R D R2 L' F2
R' L' D U2 L' R2 F2
R' L' D U2 L' F2 R2
R' L' D U2 R2 L' F2
L' R' D U2 L' R2 F2
L' R' D U2 L' F2 R2
L' R' D U2 R2 L' F2
R2 L' D U2 L' R2 F2
R2 L' D U2 L' F2 R2
R2 L' D U2 R2 L' F2
U2 L' R' D L' R2 F2
U2 L' R' D L' F2 R2
U2 L' R' D R2 L' F2
R L' D U2 L' R2 F2
R L' D U2 L' F2 R2
R L' D U2 R2 L' F2
R' L' D' L2 B2 R' U2
L' R' D' L2 B2 R' U2
D2 L' R2 D L2 U2 F2
R2 L' D' L2 B2 R' U2
R L' D' L2 B2 R' U2
D2 L' R2 D' B2 U2 R2
U2 L' R2 D L' R2 F2
U2 L' R2 D L' F2 R2
U2 L' R2 D R2 L' F2
R' L' D' B2 L2 U2 L
L' R' D' B2 L2 U2 L
R2 L' D' B2 L2 U2 L
R L' D' B2 L2 U2 L
U2 L' U L2 F2 U' L
D' L' U' L2 B2 U' R'
U' L' U' D L' R2 F2
U' L' U' D L' F2 R2
U' L' U' D R2 L' F2
D' L' U2 D F2 L2 R
D' L' U2 D F2 R L2
B L' U2 D L' R2 F
B L' U2 D L' F R2
B L' U2 D R2 L' F
D' L' D L' U2 L' F2
U2 L' D L R2 F2 L2
U2 L' D L F2 L2 R2
U2 L' D L F2 R2 L2
U2 L' D L' R' F2 R'
U2 L' D L' R2 F2 D
U2 L' D L' R2 F2 D'
U2 L' D L' R2 F2 D2
U2 L' D L' F R2 F
U2 L' D L' F2 R2 D
U2 L' D L' F2 R2 D'
U2 L' D L' F2 R2 D2
U2 L' D L2 R2 F2 L
U2 L' D L2 F2 L R2
U2 L' D L2 F2 R2 L
B L' D L' F R2 B
U2 L' D R' L' F2 R'
F2 L' D R2 U' L' F2
U2 L' D R2 L F2 L2
U2 L' D R2 L' F2 D
U2 L' D R2 L' F2 D'
U2 L' D R2 L' F2 D2
U2 L' D R2 L2 F2 L
D' L' D U2 F2 L2 R
D' L' D U2 F2 R L2
U' L' D U' L' R2 F2
U' L' D U' L' F2 R2
U' L' D U' R2 L' F2
L R' F2 U F2 U2 L
L R' F2 U' L D2 B2
L R' F2 U' D2 L B2
L R' F2 D R2 U' L
B L' D U2 L' R2 F
B L' D U2 L' F R2
B L' D U2 R2 L' F
L R' F2 D2 U' L B2
D' L' D' L' R2 B2 U2
D' L' D' L' B2 R2 U2
U2 L' D' L' D2 F2 R
D' L' D' R2 L' B2 U2
D' L' D' R2 B2 L' U2
D' L' D' B2 L' R2 U2
D' L' D' B2 R2 L' U2
U2 L' D2 L' D' R2 F2
U2 L' D2 L' D' F2 R2
L' R2 U' L2 F2 U' L
U' L' F2 L2 U R U2
U' L' F2 U' D F2 L'
U' L' F2 D U' F2 L'
L R2 U' F2 U' L F2
L R2 U' F2 U' F2 L
U' L' B L2 F2 U' L
L' R2 U2 D L' R2 F2
L' R2 U2 D L' F2 R2
L' R2 U2 D R2 L' F2
U' L' B' L2 F2 U' L
L' R2 D U2 L' R2 F2
L' R2 D U2 L' F2 R2
L' R2 D U2 R2 L' F2
L' R2 D' L2 B2 R' U2
U' L' B2 L2 F2 U' L
L' R2 D' B2 L2 U2 L
D' L2 R U' L' B2 U'
D' L2 R U' B2 L' U'
U2 L2 R U L' F2 U'
D' L2 R' U' L' B2 U'
D' L2 R' U' B2 L' U'
U2 L2 R' U L' F2 U'
D' L2 R2 U' L' B2 U'
D' L2 R2 U' B2 L' U'
U2 L2 R2 U L' F2 U'
U2 L2 U L F2 L2 U'
U2 L2 U L' U' D R2
U2 L2 U L' D U' R2
U2 L2 U L' F2 U' D
U2 L2 U L' F2 U' D'
U2 L2 U L' F2 U' D2
U2 L2 U L' F2 D U'
U2 L2 U L' F2 D' U'
U2 L2 U L' F2 D2 U'
U2 L2 U L2 F2 L U'
D' L2 U D2 F2 R U
U2 L2 U D L' U' R2
U L2 U L' F2 R U'
U2 L2 U F2 U2 R U
D' L2 U' L B2 L2 U'
D' L2 U' L' U' D L2
D' L2 U' L' D U' L2
D L2 U F2 R U R
D' L2 U' L' B2 U' D
D' L2 U' L' B2 U' D'
D' L2 U' L' B2 U' D2
D' L2 U' L' B2 D U'
D' L2 U' L' B2 D' U'
D' L2 U' L' B2 D2 U'
L R2 F2 U F2 U2 L
L R2 F2 U' L D2 B2
L R2 F2 U' D2 L B2
D' L2 U' D L' U' L'
L R2 F2 D R2 U' L
L R2 F2 D2 U' L B2
D' L2 U' B L' B U'
D' L2 U' B2 L' U' D
D' L2 U' B2 L' U' D'
D' L2 U' B2 L' U' D2
D' L2 U' B2 L' D U'
D' L2 U' B2 L' D' U'
D' L2 U' B2 L' D2 U'
D' L2 U' B2 D L' U'
D' L2 U' B2 D' L' U'
D' L2 U' B2 D2 L' U'
D' L2 U2 L D L2 F2
D' L2 U2 L D F2 L2
U' L2 D L' U' L R2
U' L2 D L' U' R2 L
F2 L2 D L' R2 U' L
D' L2 D U' L' U' L'
F2 L2 D R2 L' U' L
U2 L2 D R2 U L' U'
U2 L2 D U L' U' R2
D' L2 D' R2 U' L' U'
R' U L F2 R U' L
F2 L2 D2 L' U' L B2
D' L2 D2 U F2 R U
L2 U L F2 L2 R U'
L2 U L F2 R L2 U'
R2 U L F2 R U' L
R U L F2 R U' L
L2 U L' F2 U2 L U
U2 L2 F2 U' R U R'
U' L2 B L' F2 U' L
D' L2 B U' L' B U'
D' L2 B U' B L' U'
U' L2 B' L' F2 U' L
F' L2 B' U L' F' U'
D' L2 B' U' B' L' U'
U' L2 B2 L' F2 U' L
D' L2 B2 U' L' U' L
F' R L U' L B' R'
F2 R L U F2 U2 L
F2 R L U' L D2 B2
F2 R L U' D2 L B2
F2 R L D R2 U' L
L' U D2 R2 B2 U L'
U' R L F2 R' U' L
F2 R L D2 U' L B2
L' U D2 B2 R2 U L'
U2 R L' D L' R2 F2
U2 R L' D L' F2 R2
U2 R L' D R2 L' F2
U R L F2 R U' L
D' R L2 U' L' B2 U'
D' R L2 U' B2 L' U'
U2 R L2 U L' F2 U'
U2 R U L F2 U' L
U2 R U F2 L U' L
D' R U' L B2 U' R'
U R U2 L F2 U' L
U R U2 F2 L U' L
F2 R D' L B2 R' U'
R' U' L U' L D R2
R' U' L U' D L R2
R' U' L U' D R2 L
R' U' L D U' L R2
R' U' L D U' R2 L
R' U' L F2 U' L D
R' U' L F2 U' L D'
R' U' L F2 U' L D2
R' U' L F2 U' D L
R' U' L F2 U' D' L
R' U' L F2 U' D2 L
R' U' L F2 D U' L
R' U' L F2 D' U' L
R' U' L F2 D2 U' L
