R2 U L' D R2 B'
R2 U L' D B' R2
R2 U L' B' D R2
R2 U D L' R2 B'
R2 U D L' B' R2
R2 U D R2 L' B'
R2 D U L' R2 B'
R2 D U L' B' R2
R2 D U R2 L' B'
D' U L' F2 R B'
D' U L' F2 B' R
D' U L' B' F2 R
U' D' L' F2 R B
D' U' L' F2 R B
U D' L' F2 R B'
U D' L' F2 B' R
U D' L' B' F2 R
R2 D2 B2 U L' B'
L' R U F2 L' U' B'
D' L U' L2 F2 R B
R L' U F2 L' U' B'
F' L' R2 F B U L'
F' L' R2 B F U L'
U L' D R2 D2 F2 B'
U L' D R2 D2 B' F2
U L' D B R2 F' B2
U L' D B R2 B2 F'
U L' D' F2 D2 R2 B'
U L' D' F2 D2 B' R2
U L' D' F2 B' D2 R2
U L' D' B' F2 D2 R2
D' L' F2 R2 D R' B
D' L' F2 D R' B R2
U L' B' D R2 D2 F2
U L' B' D' F2 D2 R2
U L' B2 D B R2 F'
R2 U L' R D R2 B'
R2 U L' R D B' R2
R2 U L' R B' D R2
R2 U L' R' D R2 B'
R2 U L' R' D B' R2
R2 U L' R' B' D R2
R2 U L' R2 D R2 B'
R2 U L' R2 D B' R2
R2 U L' R2 B' D R2
R2 U L' U F2 U' B'
R2 U L' D R B' R
R2 U L' D R2 D B'
R2 U L' D R2 D' B'
R2 U L' D R2 D2 B'
R2 U L' D R2 B' D
R2 U L' D R2 B' D'
R2 U L' D R2 B' D2
R2 U L' D B R2 B2
R2 U L' D B' R2 D
R2 U L' D B' R2 D'
R2 U L' D B' R2 D2
R2 U L' D' B' D2 R2
R2 U L' B' R D R2
R2 U L' B' R' D R2
R2 U L' B' R2 D R2
R2 U L' B' U F2 U'
R2 U L' B' D R2 D
R2 U L' B' D R2 D'
R2 U L' B' D R2 D2
R2 U L' B2 D B R2
R2 U R L' D R2 B'
R2 U R L' D B' R2
R2 U R L' B' D R2
L' U R F2 L' U' B'
R2 U R D L' R2 B'
R2 U R D L' B' R2
R2 U R D R2 L' B'
R2 U R' L' D R2 B'
R2 U R' L' D B' R2
R2 U R' L' B' D R2
R2 U R' D L' R2 B'
R2 U R' D L' B' R2
R2 U R' D R2 L' B'
R2 U R2 L' D R2 B'
R2 U R2 L' D B' R2
R2 U R2 L' B' D R2
R2 U R2 D L' R2 B'
R2 U R2 D L' B' R2
R2 U R2 D R2 L' B'
R2 U D L' R B' R
R2 U D L' R2 D B'
R2 U D L' R2 D' B'
R2 U D L' R2 D2 B'
R2 U D L' R2 B' D
R2 U D L' R2 B' D'
R2 U D L' R2 B' D2
R2 U D L' B R2 B2
R2 U D L' B' R2 D
R2 U D L' B' R2 D'
R2 U D L' B' R2 D2
R2 U D R L' B' R
R2 U D R2 L' D B'
R2 U D R2 L' D' B'
R2 U D R2 L' D2 B'
R2 U D R2 L' B' D
R2 U D R2 L' B' D'
R2 U D R2 L' B' D2
R2 U D R2 D L' B'
R2 U D R2 D' L' B'
R2 U D R2 D2 L' B'
R2 U D R2 B L' B'
R2 U D R2 B' L' B'
R2 U D R2 B2 L' B'
R2 U D B L' R2 B'
R2 U D B L' B' R2
R2 U D B R2 L' B'
R2 U D B' L' R2 B'
R2 U D B' L' B' R2
R2 U D B' R2 L' B'
R2 U D B2 L' R2 B'
R2 U D B2 L' B' R2
R2 U D B2 R2 L' B'
R2 U D2 L' D' R2 B'
R2 U D2 L' D' B' R2
D' R U L' F2 R B'
D' R U L' F2 B' R
D' R U L' B' F2 R
D' R U' L' F2 R B
R2 U B L' D R2 B'
R2 U B L' D B' R2
R2 U B L' B' D R2
R2 U B D L' R2 B'
R2 U B D L' B' R2
R2 U B D R2 L' B'
R2 U B' L' D R2 B'
R2 U B' L' D B' R2
R2 U B' L' B' D R2
R2 U B' D L' R2 B'
R2 U B' D L' B' R2
R2 U B' D R2 L' B'
R2 U B2 L' D R2 B'
R2 U B2 L' D B' R2
R2 U B2 L' B' D R2
R2 U B2 D L' R2 B'
R2 U B2 D L' B' R2
R2 U B2 D R2 L' B'
D' R' U L' F2 R B'
D' R' U L' F2 B' R
D' R' U L' B' F2 R
D' R' U' L' F2 R B
F' R2 L' F B U L'
F' R2 L' B F U L'
D' R2 U L' F2 R B'
D' R2 U L' F2 B' R
D' R2 U L' B' F2 R
B' R2 U L' D R2 B'
B' R2 U L' D B' R2
B' R2 U L' B' D R2
B2 R2 U L' D R2 B'
B2 R2 U L' D B' R2
B2 R2 U L' B' D R2
B' R2 U D L' R2 B'
B' R2 U D L' B' R2
B' R2 U D R2 L' B'
B2 R2 U D L' R2 B'
B2 R2 U D L' B' R2
B2 R2 U D R2 L' B'
B R2 U L' D R2 B'
B R2 U L' D B' R2
B R2 U L' B' D R2
D' R2 U' L' F2 R B
B R2 U D L' R2 B'
B R2 U D L' B' R2
B R2 U D R2 L' B'
R2 U2 F2 U R U2 B
B' R2 D U L' R2 B'
B' R2 D U L' B' R2
B' R2 D U R2 L' B'
B2 R2 D U L' R2 B'
B2 R2 D U L' B' R2
B2 R2 D U R2 L' B'
B R2 D U L' R2 B'
B R2 D U L' B' R2
B R2 D U R2 L' B'
F' R2 D' L' F B U
F' R2 D' L' B F U
F' R2 D' B L' F U
B' R2 D2 B2 U L' B'
B2 R2 D2 B2 U L' B'
B R2 D2 B2 U L' B'
F' R2 F B U L' B'
R' D R' U L' R' B'
R' D R' U R' L' B'
R D R U L' R B'
R D R U L' B' R
R D R U R L' B'
F' R2 B L' F U L'
F' R2 B D' L' F U
F' R2 B F U L' B'
R2 D U L' R B' R
R2 D U L' R2 D B'
R2 D U L' R2 D' B'
R2 D U L' R2 D2 B'
R2 D U L' R2 B' D
R2 D U L' R2 B' D'
R2 D U L' R2 B' D2
R2 D U L' B R2 B2
R2 D U L' B' R2 D
R2 D U L' B' R2 D'
R2 D U L' B' R2 D2
R2 D U R L' B' R
R2 D U R2 L' D B'
R2 D U R2 L' D' B'
R2 D U R2 L' D2 B'
R2 D U R2 L' B' D
R2 D U R2 L' B' D'
R2 D U R2 L' B' D2
R2 D U R2 D L' B'
R2 D U R2 D' L' B'
R2 D U R2 D2 L' B'
R2 D U R2 B L' B'
R2 D U R2 B' L' B'
R2 D U R2 B2 L' B'
R2 D U B L' R2 B'
R2 D U B L' B' R2
R2 D U B R2 L' B'
R2 D U B' L' R2 B'
R2 D U B' L' B' R2
R2 D U B' R2 L' B'
R2 D U B2 L' R2 B'
R2 D U B2 L' B' R2
R2 D U B2 R2 L' B'
D' U L' R F2 R B'
D' U L' R F2 B' R
D' U L' R B' F2 R
D' U L' R' F2 R B'
D' U L' R' F2 B' R
D' U L' R' B' F2 R
D' U L' R2 F2 R B'
D' U L' R2 F2 B' R
D' U L' R2 B' F2 R
D' U L' F2 R D B'
D' U L' F2 R D' B'
D' U L' F2 R D2 B'
D' U L' F2 R B' D
D' U L' F2 R B' D'
D' U L' F2 R B' D2
D' U L' F2 R' B' R2
D' U L' F2 D R B'
D' U L' F2 D B' R
D' U L' F2 D' R B'
D' U L' F2 D' B' R
D' U L' F2 D2 R B'
D' U L' F2 D2 B' R
D' U L' F2 B R B2
D' U L' F2 B' R D
D' U L' F2 B' R D'
D' U L' F2 B' R D2
D' U L' F2 B' D R
D' U L' F2 B' D' R
D' U L' F2 B' D2 R
D' U L' B F2 R B2
D' U L' B' R F2 R
D' U L' B' R' F2 R
D' U L' B' R2 F2 R
D' U L' B' F2 R D
D' U L' B' F2 R D'
D' U L' B' F2 R D2
D' U L' B' F2 D R
D' U L' B' F2 D' R
D' U L' B' F2 D2 R
D U L' R2 D2 F2 B'
D U L' R2 D2 B' F2
D' U L2 U2 L F2 B'
D' U L2 U2 L B' F2
D' U L2 U2 F2 L B'
U D L' R2 D2 F2 B'
U D L' R2 D2 B' F2
D U L' B R2 F' B2
D U L' B R2 B2 F'
D' U R L' F2 R B'
D' U R L' F2 B' R
D' U R L' B' F2 R
U D L' B R2 F' B2
U D L' B R2 B2 F'
D' U R' L' F2 R B'
D' U R' L' F2 B' R
D' U R' L' B' F2 R
D' U R2 L' F2 R B'
D' U R2 L' F2 B' R
D' U R2 L' B' F2 R
R2 D B U L' R2 B'
R2 D B U L' B' R2
R2 D B U R2 L' B'
D U R2 L' D2 F2 B'
D U R2 L' D2 B' F2
R2 D B' U L' R2 B'
R2 D B' U L' B' R2
R2 D B' U R2 L' B'
U D R2 L' D2 F2 B'
U D R2 L' D2 B' F2
D U R2 D2 L' F2 B'
D U R2 D2 L' B' F2
F2 U D R F' B2 U2
F2 U D R B2 F' U2
U D R2 D2 L' F2 B'
U D R2 D2 L' B' F2
B' U D' L' F2 R B'
B' U D' L' F2 B' R
B' U D' L' B' F2 R
F2 U D B2 R F' U2
R2 D B2 U L' R2 B'
R2 D B2 U L' B' R2
B2 U D' L' F2 R B'
B2 U D' L' F2 B' R
B2 U D' L' B' F2 R
R2 D B2 U R2 L' B'
B U D' L' F2 R B'
B U D' L' F2 B' R
B U D' L' B' F2 R
D' U B L' F2 R B'
D' U B L' F2 B' R
D' U B L' B' F2 R
D U B L' R2 F' B'
D U B L' R2 B' F'
D' U B' L' F2 R B'
D' U B' L' F2 B' R
D' U B' L' B' F2 R
D U B R2 L' F' B'
D U B R2 L' B' F'
U D B L' R2 F' B'
U D B L' R2 B' F'
U D B R2 L' F' B'
U D B R2 L' B' F'
D' U B2 L' F2 R B'
D' U B2 L' F2 B' R
D' U B2 L' B' F2 R
U' D B2 U2 L' R2 B'
U' D B2 U2 L' B' R2
U' D B2 U2 R2 L' B'
D U B2 L' B' R2 F'
U D B2 L' B' R2 F'
D' U' L' R F2 B R
U' D' L' R F2 B R
U' D' L' R B F2 R
D' U' L' R B F2 R
D' U' L' F2 R D B
D' U' L' F2 R D' B
D' U' L' F2 R D2 B
D' U' L' F2 R B D
D' U' L' F2 R B D'
D' U' L' F2 R B D2
U' D' L' F2 R D B
U' D' L' F2 R D' B
U' D' L' F2 R D2 B
U' D' L' F2 R B D
U' D' L' F2 R B D'
U' D' L' F2 R B D2
D' U' L' F2 D R B
U' D' L' F2 D R B
D' U' L' F2 D' R B
U' D' L' F2 D' R B
U' D' L' F2 D2 R B
D' U' L' F2 D2 R B
U' D' L' F2 B R B
D' U' L' F2 B R B
U' D' L' F2 B' R B
D' U' L' F2 B' R B
U' D' L' F2 B2 R B
D' U' L' F2 B2 R B
D' U' L' B F2 R B
U' D' L' B F2 R B
U' D' L' B' F2 R B
D' U' L' B' F2 R B
U' D' L' B2 F2 R B
D' U' L' B2 F2 R B
U D' L' R F2 R B'
U D' L' R F2 B' R
U D' L' R B' F2 R
U D' L' R' F2 R B'
U D' L' R' F2 B' R
U D' L' R' B' F2 R
U D' L' R2 F2 R B'
U D' L' R2 F2 B' R
U D' L' R2 B' F2 R
U' D' R L' F2 B R
D' U' R L' F2 B R
U' D' R L' B F2 R
D' U' R L' B F2 R
U D' L' F2 R D B'
U D' L' F2 R D' B'
U D' L' F2 R D2 B'
U D' L' F2 R B' D
U D' L' F2 R B' D'
U D' L' F2 R B' D2
U D' L' F2 R' B' R2
U D' L' F2 D R B'
U D' L' F2 D B' R
U D' L' F2 D' R B'
U D' L' F2 D' B' R
U D' L' F2 D2 R B'
U D' L' F2 D2 B' R
U D' L' F2 B R B2
U D' L' F2 B' R D
U D' L' F2 B' R D'
U D' L' F2 B' R D2
U D' L' F2 B' D R
U D' L' F2 B' D' R
U D' L' F2 B' D2 R
U D' L' B F2 R B2
U D' L' B' R F2 R
U D' L' B' R' F2 R
U D' L' B' R2 F2 R
U D' L' B' F2 R D
U D' L' B' F2 R D'
U D' L' B' F2 R D2
U D' L' B' F2 D R
U D' L' B' F2 D' R
U D' L' B' F2 D2 R
U' D' R B L' F2 R
D' U' R B L' F2 R
U D' L2 U2 L F2 B'
U D' L2 U2 L B' F2
U D' L2 U2 F2 L B'
