L2 R F U' F2 B
L2 R F U' B F2
R L2 F U' F2 B
R L2 F U' B F2
R U' F' B D' R2
R U' B D' F' R2
R U' B F' D' R2
R U2 B' U F' B2
R U2 B' U B2 F'
L2 F R U' F' B
L2 F R U' B F'
R' L U F' B L U2
R' L U B L F' U2
R' L U B F' L U2
L' R U' D F' B R
L' R U' D B F' R
L' R U' D' F' B R'
L' R U' D' B F' R'
L' R U' F' D' B R'
L' R U' B D F' R
L R U' F B R F2
L2 R U' F' D B R2
L2 R U' F' B D R2
R L U' F B R F2
L2 R U' B F' D R2
L R U' B F R F2
R L U' B F R F2
L' R D U' F' B R
L' R D U' B F' R
L2 R D F U' F2 B
L2 R D F U' B F2
U2 L U' F U2 R F'
L' R D' U' F' B R'
L' R D' U' B F' R'
L2 R D' F U' F2 B
L2 R D' F U' B F2
L2 R D2 F U' F2 B
L2 R D2 F U' B F2
L2 R F L U' F2 B
L2 R F L U' B F2
L2 R F L' U' F2 B
L2 R F L' U' B F2
L2 R F L2 U' F2 B
L2 R F L2 U' B F2
L2 R F U' F2 D B
L2 R F U' F2 D' B
L2 R F U' F2 D2 B
L2 R F U' F2 B D
L2 R F U' F2 B D'
L2 R F U' F2 B D2
L2 R F U' B F2 D
L2 R F U' B F2 D'
L2 R F U' B F2 D2
L2 R F D' L2 U' B
L R F2 U' F B R
L R F2 U' B F R
R L F2 U' F B R
R L F2 U' B F R
L R' U F' B L U2
L R' U B L F' U2
L R' U B F' L U2
R L' U' D F' B R
R L' U' D B F' R
R L' U' D' F' B R'
R L' U' D' B F' R'
R L' U' F' D' B R'
R L' U' B D F' R
R L' D U' F' B R
R L' D U' B F' R
R L' D' U' F' B R'
R L' D' U' B F' R'
L2 R' F U F2 B U2
L2 R' F U B F2 U2
L2 R' F D R2 U' F'
R L2 U' F' D B R2
R L2 U' F' B D R2
R L2 U' B F' D R2
R L2 D F U' F2 B
R L2 D F U' B F2
R L2 D' F U' F2 B
R L2 D' F U' B F2
D' L2 R F L' U' B
F' L2 R F U' F2 B
F' L2 R F U' B F2
F2 L2 R F U' F2 B
F2 L2 R F U' B F2
F L2 R F U' F2 B
F L2 R F U' B F2
R L2 D2 F U' F2 B
R L2 D2 F U' B F2
R' L2 F U F2 B U2
R' L2 F U B F2 U2
R' L2 F D R2 U' F'
L2 R2 F R' U' F' B
L2 R2 F R' U' B F'
R L2 F L U' F2 B
R L2 F L U' B F2
