F' L' U2 B' U L B
R2 L' B' U L F B2
R2 L' B' U L B2 F
U L' F' B' U2 L R'
U L' F' B' U2 R' L
U L' B' F' U2 L R'
U L' B' F' U2 R' L
L' R2 B' U L F B2
L' R2 B' U L B2 F
R' U B' L R' F B
R' U B' L R' B F
R' U B' L F R' B
R' U B' R' L F B
R' U B' R' L B F
R2 U B' L R' F B2
R2 U B' L R' B2 F
R2 U B' L F R' B2
R2 U B' R' L F B2
R2 U B' R' L B2 F
U' R B R' F' L' U2
U R' B' L R' F B
U R' B' L R' B F
U R' B' L F R' B
U R' B' R' L F B
U R' B' R' L B F
U R2 B' L R' F B2
U R2 B' L R' B2 F
U R2 B' L F R' B2
U R2 B' R' L F B2
U R2 B' R' L B2 F
D2 U' F' L' R B U2
D2 U' F' R L' B U2
D2 U' F' R B L' U2
B U' F' L' R' U2 F'
B U' F' R' L' U2 F'
U' D2 F' L' R B U2
U' D2 F' R L' B U2
U' D2 F' R B L' U2
U' F' L' R B R' U2
U' F' L' B R' U2 F'
U' F' L' B' U2 L F
U' F' R L' B R' U2
U' F' R B L' R' U2
U' F' R B R' L' U2
U F' L' B' U2 L R'
U F' L' B' U2 R' L
U' F' B L' R' U2 F'
U' F' B R' L' U2 F'
U F' B L R' U2 F
U F' B R' L U2 F
U F' B' U2 L R' F'
U F' B' U2 R' L F'
U F' B' U2 R' F' L
U B L F' R' U2 F2
U' B F' L' R' U2 F'
U' B F' R' L' U2 F'
U B F' L R' U2 F
U B F' R' L U2 F
U B' L R2 B R F
U B' L F R' D2 B2
U B' L F D2 R' B2
L' B' R2 U L F B
L' B' R2 U L B F
L' B' U L F D2 B2
U B' R' D2 L F B'
U B' R' D2 L B' F
U B' R2 L B R F
L' B' U' F' U2 L F
U B' F' U2 L R' F'
U B' F' U2 R' L F'
U B' F' U2 R' F' L
U B2 R2 B L R' F
U B2 R2 B L F R'
U B2 R2 B R' L F
