F' L' U' B L U' B
F R B2 L2 D' F L'
F R B2 D' L2 F L'
F2 R' U F' L' R B2
F2 R' U F' L' B2 R
F2 R' U F' R L' B2
F2 R' U F' R B2 L'
F2 R' U F' B2 L' R
F2 R' U F' B2 R L'
F2 R' U B2 F' L' R
F2 R' U B2 F' R L'
F R' U F' L' R2 B2
F R' U F' L' B2 R2
F R' U F' R2 L' B2
F R' U F' R2 B2 L'
F R' U F' B2 L' R2
F R' U F' B2 R2 L'
F R' U B2 F' L' R2
F R' U B2 F' R2 L'
F2 R2 F' U R F' B2
F2 R2 F' U R B2 F'
F2 R2 F' U B2 R F'
F U' B L U' B R
R2 F R B2 D' L2 F'
R2 F R B2 D' F' L2
R2 F B2 R D' L2 F'
R2 F B2 R D' F' L2
R2 F' U F2 R F' B2
R2 F' U F2 R B2 F'
R2 F' U F2 B2 R F'
R2 F' U B2 F2 R F'
U' B L U' B' R' B2
D' B R2 F U' R F'
R B2 L2 D' F L' R
R B2 L2 D' F R L'
R B2 D' L2 F L' R
R B2 D' L2 F R L'
R2 B2 F R D' L2 F'
R2 B2 F R D' F' L2
