U R' F' L' U' L
B2 L R U' B U2 R'
B2 L R' U D2 F' R
B2 L R' D2 U F' R
U2 L R' F' U' F2 R
U2 L R' F2 U' F' R
B2 L R' B U F' R'
B2 L D' R' B U F'
B2 L D2 R' U F' R
U2 L F' R' U' F2 R
B2 L B R U R2 F'
B2 L B R2 U R F'
U L' R' F' L' U' L2
F' L2 R' B' U' F' R'
U L2 R' F' L' U' L'
L' U R' F' L' U' L
L2 U R' F' L' U' L
L U R' F' L' U' L
B2 R L U' B U2 R'
B R U' L F B U2
B R U' L B F U2
B2 R' L U D2 F' R
B2 R' L D2 U F' R
U2 R' L F' U' F2 R
B2 R' L B U F' R'
U2 R' L F2 U' F' R
U R' L' F' L' U' L2
F' R' L2 B' U' F' R'
U' R' U R B L U2
U R' L2 F' L' U' L'
B R' U' L F U2 F2
F' R' U2 F U R F2
B2 R' D L B' U F'
U R' D F' L' U' L
B2 R' D2 L U F' R
U R' D' F' L' U' L
U2 R' F L U' R F
U R' D2 F' L' U' L
U R' F' L' U' L D
U R' F' L' U' L D'
U R' F' L' U' L D2
U R' F' L' U' D L
U R' F' L' U' D' L
U R' F' L' U' D2 L
U R' F' L' D U' L
U R' F' L' D' U' L
U R' F' L' D2 U' L
U R' F' D L' U' L
U R' F' D' L' U' L
R2 U2 R F U' R F2
U R' F' D2 L' U' L
U R' F' B L' U' L
U R' F' B' L' U' L
U R' F' B2 L' U' L
U R' B F' L' U' L
R U2 R2 F U' R F2
U R' B' F' L' U' L
U R' B2 F' L' U' L
R U2 F R2 U' F' R'
R U2 F2 R2 U' F' R
B' R2 B' L U R F'
B' R2 B2 U R F' B
B' R2 B2 U R B F'
D' U R' F' L' U' L
D2 U R' F' L' U' L
D U R' F' L' U' L
U D R' F' L' U' L
U D' R' F' L' U' L
U D2 R' F' L' U' L
U2 F L R' U' R2 F
U2 F L R' U' F R2
U2 F R' L U' R2 F
U2 F R' L U' F R2
B2 D L R' B' U F'
B2 D L B' R' U F'
B2 D R' L B' U F'
U F' L' R' F' U' L
U F' R' L' F' U' L
B2 D' L R' B U F'
B' D' R U R2 F' B
B' D' R U R2 B F'
B2 D' R' L B U F'
B2 D2 L R' U F' R
R' F2 U2 F2 U F' R
B2 D2 R' L U F' R
R' B U L U2 L' F'
R' B' U' F R' F2 L'
R2 B' U2 R U' F' R2
R B' D2 L2 U R' F2
R B' D2 L2 U F2 R'
F2 B' D' L2 R' F' B
F2 B' D' L2 R' B F'
F2 B' D' R' L2 F' B
F2 B' D' R' L2 B F'
F2 B' D' R' F' L2 B
F2 B' D' R' F' B L2
F2 B' D' R' B L2 F'
F2 B' D' R' B F' L2
B' F2 D' L2 R' F' B
B' F2 D' L2 R' B F'
B' F2 D' R' L2 F' B
B' F2 D' R' L2 B F'
B' F2 D' R' F' L2 B
B' F2 D' R' F' B L2
B' F2 D' R' B L2 F'
B' F2 D' R' B F' L2
