R' L' U' R' F L'
L' R' U' R' F L'
R' L' U' F L' R'
R' L' U' F R' L'
L' R' U' F L' R'
L' R' U' F R' L'
R' U' L' R' F L'
R' U' L' F L' R'
R' U' L' F R' L'
R' U' R' L' F L'
R' U' R' F L' F
R' U' F L' R' F
R' U' F L' F R'
R' U' F R' L' F
F R' U' L' R' F
F R' U' L' F R'
F R' U' R' L' F
R' F U' L' R' F
R' F U' L' F R'
R' F U' R' L' F
F L R' U' L2 R' F
F L R' U' L2 F R'
F L R' U' R' L2 F
R' L U' L2 R' F L'
R' L U' L2 F L' R'
R' L U' L2 F R' L'
R' L U' R' L2 F L'
D' L R' F2 B' L U'
D' L R' B' L F2 U'
D' L R' B' F2 L U'
B2 L U L2 R2 F L'
B2 L U L2 F L' R2
B2 L U L2 F R2 L'
B2 L U R2 L2 F L'
D' L F2 R' B' L U'
R2 L' U R U' F L'
R' L' U' R F L' R2
R' L' U' R F R2 L'
L' R' U' R F L' R2
L' R' U' R F R2 L'
R' L' U' R' F L' D
R' L' U' R' F L' D'
R' L' U' R' F L' D2
R' L' U' R' F D L'
R' L' U' R' F D' L'
R' L' U' R' F D2 L'
L' R' U' R' F L' D
L' R' U' R' F L' D'
L' R' U' R' F L' D2
L' R' U' R' F D L'
L' R' U' R' F D' L'
L' R' U' R' F D2 L'
L R' U' L2 R' F L'
L R' U' L2 F L' R'
L R' U' L2 F R' L'
L R' U' R' L2 F L'
R' L' U' F L' R' D
R' L' U' F L' R' D'
R' L' U' F L' R' D2
R' L' U' F L' D R'
R' L' U' F L' D' R'
R' L' U' F L' D2 R'
L' R' U' F L' R' D
L' R' U' F L' R' D'
L' R' U' F L' R' D2
L' R' U' F L' D R'
L' R' U' F L' D' R'
L' R' U' F L' D2 R'
R' L' U' F R' L' D
R' L' U' F R' L' D'
R' L' U' F R' L' D2
R' L' U' F R' D L'
R' L' U' F R' D' L'
R' L' U' F R' D2 L'
L' R' U' F R' L' D
L' R' U' F R' L' D'
L' R' U' F R' L' D2
L' R' U' F R' D L'
L' R' U' F R' D' L'
L' R' U' F R' D2 L'
R' L' U' F D L' R'
R' L' U' F D R' L'
R' L' U' F D' L' R'
R' L' U' F D' R' L'
L' R' U' F D L' R'
L' R' U' F D R' L'
R' L' U' F D2 L' R'
R' L' U' F D2 R' L'
L' R' U' F D' L' R'
L' R' U' F D' R' L'
L' R' U' F D2 L' R'
L' R' U' F D2 R' L'
F L' R D R F B2
F L' R D R B2 F
F L' R D B2 R F
U' L' R' U' R' F L'
U' L' R' U' F L' R'
U' L' R' U' F R' L'
U2 L' R' U' R' F L'
U2 L' R' U' F L' R'
U2 L' R' U' F R' L'
U L' R' U' R' F L'
U L' R' U' F L' R'
U L' R' U' F R' L'
F L' R2 U R U' F
B2 L' R2 F D' L' B2
B2 L' R2 F D' B2 L'
F L' U R' U' R' F
F L' U R' U' F R'
R2 L' F L2 D' L B'
B L' U' R2 F L' B'
R2 L' F D' L B' L2
B L' U' F L' R2 B'
B L' U' F L' B' R2
B L' U' F R2 L' B'
R' L' F' U' F2 L' R'
R' L' F' U' F2 R' L'
L' R' F' U' F2 L' R'
L' R' F' U' F2 R' L'
B2 L' F R2 D' L' B2
B2 L' F R2 D' B2 L'
F L' F R D R B2
F L' F R D B2 R
F L' F R2 U R U'
F L' F U R' U' R'
L' R2 U R U' F L'
L' R2 F L2 D' L B'
L' R2 F D' L B' L2
R' U L' U2 R' F L'
R' U L' U2 F L' R'
R' U L' U2 F R' L'
R2 U L' R U' F L'
R2 U R L' U' F L'
R2 U R U' L' F L'
R2 U R U' F L' F
L' U R' U' R' F L'
L' U R' U' F L' R'
L' U R' U' F R' L'
F R L' D R F B2
F R L' D R B2 F
F R L' D B2 R F
R' U' L' R F L' R2
R' U' L' R F R2 L'
R' U' L' R' F L' D
R' U' L' R' F L' D'
R' U' L' R' F L' D2
R' U' L' R' F D L'
R' U' L' R' F D' L'
R' U' L' R' F D2 L'
R' U' L' F L' R' D
R' U' L' F L' R' D'
R' U' L' F L' R' D2
R' U' L' F L' D R'
R' U' L' F L' D' R'
R' U' L' F L' D2 R'
R' U' L' F R' L' D
R' U' L' F R' L' D'
R' U' L' F R' L' D2
R' U' L' F R' D L'
R' U' L' F R' D' L'
R' U' L' F R' D2 L'
R' U' L' F D L' R'
R' U' L' F D R' L'
R' U' L' F D' L' R'
R' U' L' F D' R' L'
R' U' L' F D2 L' R'
R' U' L' F D2 R' L'
R' U' R L' F L' R2
R' U' R L' F R2 L'
R' U' R F L' R2 F
R' U' R F L' F R2
R' U' R F R2 L' F
R' U' R' L' F L' D
R' U' R' L' F L' D'
R' U' R' L' F L' D2
R' U' R' L' F D L'
R' U' R' L' F D' L'
R' U' R' L' F D2 L'
L' U' R' U' R' F L'
L' U' R' U' F L' R'
L' U' R' U' F R' L'
R' U' R' F L' D F
R' U' R' F L' D' F
R' U' R' F L' D2 F
R' U' R' F L' F D
R' U' R' F L' F D'
R' U' R' F L' F D2
D' R' L F2 B' L U'
D' R' L B' L F2 U'
D' R' L B' F2 L U'
R' U' F L' R F R2
R' U' F L' R' D F
R' U' F L' R' D' F
R' U' F L' R' D2 F
R' U' F L' R' F D
R' U' F L' R' F D'
R' U' F L' R' F D2
R' U' F L' D R' F
R' U' F L' D F R'
R' U' F L' D' R' F
R' U' F L' D' F R'
F R' L U' L2 R' F
R' U' F L' D2 R' F
F R' L U' L2 F R'
R' U' F L' D2 F R'
R' U' F L' F R' D
R' U' F L' F R' D'
R' U' F L' F R' D2
R' U' F L' F D R'
R' U' F L' F D' R'
R' U' F L' F D2 R'
F R' L U' R' L2 F
R' U' F L' F' R' F2
U' R' L' U' R' F L'
U' R' L' U' F L' R'
U' R' L' U' F R' L'
R' U' F R L' F R2
R' U' F R' L' D F
R' U' F R' L' D' F
R' U' F R' L' D2 F
R' U' F R' L' F D
R' U' F R' L' F D'
R' U' F R' L' F D2
U2 R' L' U' R' F L'
U2 R' L' U' F L' R'
U2 R' L' U' F R' L'
U R' L' U' R' F L'
U R' L' U' F L' R'
U R' L' U' F R' L'
D2 R' U L2 B R' U2
R' U' F2 R' F' L' F
D2 R' U B L2 R' U2
D2 R' U B R' L2 U2
U' R' U' L' R' F L'
U' R' U' L' F L' R'
U' R' U' L' F R' L'
U' R' U' R' L' F L'
U' R' U' R' F L' F
U2 R' U' L' R' F L'
U2 R' U' L' F L' R'
U2 R' U' L' F R' L'
U' R' U' F L' R' F
U' R' U' F L' F R'
U2 R' U' R' L' F L'
U' R' U' F R' L' F
U2 R' U' R' F L' F
F R' U' L' R F R2
F R' U' L' R' D F
F R' U' L' R' D' F
F R' U' L' R' D2 F
F R' U' L' R' F D
F R' U' L' R' F D'
F R' U' L' R' F D2
F R' U' L' D R' F
F R' U' L' D F R'
F R' U' L' D' R' F
F R' U' L' D' F R'
F R' U' L' D2 R' F
U2 R' U' F L' R' F
F R' U' L' D2 F R'
F R' U' L' F R' D
F R' U' L' F R' D'
F R' U' L' F R' D2
U2 R' U' F L' F R'
F R' U' L' F D R'
F R' U' L' F D' R'
F R' U' L' F D2 R'
F R' U' L' F' R' F2
U2 R' U' F R' L' F
U R' U' L' R' F L'
U R' U' L' F L' R'
U R' U' L' F R' L'
F R' U' R L' F R2
F R' U' R' L' D F
F R' U' R' L' D' F
F R' U' R' L' D2 F
F R' U' R' L' F D
F R' U' R' L' F D'
F R' U' R' L' F D2
U R' U' R' L' F L'
U R' U' R' F L' F
U R' U' F L' R' F
U R' U' F L' F R'
U R' U' F R' L' F
U' R' F U' L' R' F
U' R' F U' L' F R'
U' R' F U' R' L' F
U2 R' F U' L' R' F
U2 R' F U' L' F R'
U2 R' F U' R' L' F
U R' F U' L' R' F
U R' F U' L' F R'
U R' F U' R' L' F
F2 R' F' U' L' R' F
F2 R' F' U' L' F R'
F2 R' F' U' L' F R'
F2 R' F' U' R' L' F
D' R' F2 L B' L U'
L' U2 R' U' R' F L'
L' U2 R' U' F L' R'
L' U2 R' U' F R' L'
D' R' F2 B' L B' U'
D' R' B' L F2 B' U'
D' R' B' L B' F2 U'
D' R' B' F2 L B' U'
R' U2 F U L' R' F
R' U2 F U L' F R'
R' U2 F U R' L' F
B2 R2 L' F D' L' B2
B2 R2 L' F D' B2 L'
F R2 L' U R U' F
F R2 U R U' L' F
B2 R2 F L' D' F B2
B2 R2 F L' D' B2 F
B2 R2 F L' F D' B2
F U R' U' L' R' F
F U R' U' L' F R'
F U R' U' R' L' F
B U' L' R2 F B' L'
B U' L' R2 B' F L'
B U' L' F R2 B' L'
B U' L' F B' L' R2
B U' L' F B' R2 L'
B U' L' B' R2 F L'
B U' L' B' F L' R2
B U' L' B' F R2 L'
F U' R' U' L' R' F
F U' R' U' L' F R'
F U' R' U' R' L' F
B U' R2 L' F B' L'
B U' R2 L' B' F L'
B U' R2 F L' F B'
B U' R2 F L' B' F
B U' F L' R2 F B'
B U' F L' R2 B' F
B U' F L' F R2 B'
B U' F L' F B' R2
B U' F L' B' R2 F
B U' F L' B' F R2
B U' F R2 L' F B'
B U' F R2 L' B' F
F U2 R' U' L' R' F
F U2 R' U' L' F R'
F U2 R' U' R' L' F
R' F L U' L2 R' F
R' F L U' L2 F R'
R' F L U' R' L2 F
L' F L' R D R B2
L' F L' R D B2 R
L' F L' R2 U R U'
L' F L' U R' U' R'
R2 F L' F U' L' U
L' F R L' D R B2
L' F R L' D B2 R
R2 F L2 D' L F B'
R2 F L2 D' L B' F
L' F R D L' R B2
L' F R D L' B2 R
L' F R D R L' B2
L' F R D R B2 L'
L' F R D B2 L' R
L' F R D B2 R L'
U' F R' U' L' R' F
U' F R' U' L' F R'
U' F R' U' R' L' F
U2 F R' U' L' R' F
U2 F R' U' L' F R'
U2 F R' U' R' L' F
