L' D' R' B U' R'
B2 L D B U L F2
B2 L D B U F2 L
B2 L D2 B R2 U L
B2 L B U D L F2
B2 L B U D F2 L
B2 L B U2 L2 U' L'
B2 L B D U L F2
B2 L B D U F2 L
B2 L B D2 R2 U L
D' L' R' D' B U' R'
L2 R' D F L B' U'
L2 R' D2 F L U' L2
L2 R' F L B' U' L
L2 R' F D L B' U'
L2 R' F B' U' L F
U' L' D' R' B U' R'
U2 L' D' R' B U' R'
U L' D' R' B U' R'
L2 R' B' F U' L F
R' L2 D F L B' U'
R' L2 D2 F L U' L2
R' L2 F L B' U' L
D2 L2 R' F L U' L2
D' L2 R' F L B U'
R' L2 F D L B' U'
R' L2 F B' U' L F
R' L2 B' F U' L F
D2 L2 F L R' U' L2
D' L2 F L R' B U'
D2 L2 F R' L U' L2
D' L2 F R' L B U'
F2 R B' U L D B2
F2 R B' U D L B2
F2 R B' U2 R2 U' L
F2 R B' D U L B2
F2 R B' D2 L2 U L'
D' R' L' D' B U' R'
D2 R' L2 F L U' L2
D' R' L2 F L B U'
F2 R' U2 R2 B' U L
F2 R' U2 B' R2 U L
F R' U2 B' R' U L
F2 R' D2 L2 F U' L'
D' R' B L' U' D' R2
D' R' B L' U2 B2 U
D' R' B L' D' U' R2
D' R' B L' D2 F2 U'
D' R' B D' L' U' R2
D' R' B D2 L' F2 U'
R' U2 F B' U L F
R' U2 F2 R B' U L
R' U2 F2 B' R U L
R' U2 B' U L D F2
R' U2 B' U2 L' U' L2
R' U2 B' F U L F
R' U2 B' F2 R U L
L2 D R' F L B' U'
L2 D F L R' B' U'
L2 D F R' L B' U'
B' U D L D F2 B'
B' U D L D B' F2
B' U D L B' D F2
L' D' R' F B U' R'
L' D' R' F' B U' R'
L' D' R' F2 B U' R'
L' D' R' B U' R' D
L' D' R' B U' R' D'
L' D' R' B U' R' D2
L' D' R' B U' D R'
L' D' R' B U' D' R'
L' D' R' B U' D2 R'
L' D' R' B D U' R'
L' D' R' B D' U' R'
L' D' R' B D2 U' R'
L' D' R' B F U' R'
L' D' R' B F' U' R'
L' D' R' B F2 U' R'
L2 D' R' F L B U'
L' D' F R' B U' R'
L2 D' F L R' B U'
L2 D' F R' L B U'
L' D' F' R' B U' R'
L' D' F2 R' B U' R'
R' D2 L2 F L U' L2
L2 D2 R' F L U' L2
L2 D2 F L R' U' L2
B' U2 L' B R' U' L2
L2 D2 F R' L U' L2
B' U2 D L' U' L2 B'
L2 F L R' B' U' L
L2 F L D' R' B U'
L2 F R' L B' U' L
L2 F R' D L B' U'
L2 F R' B' U' L F
R' F U2 B' R' U L
L2 F D L R' B' U'
L2 F D R' L B' U'
L' F D' R' B U' R'
L2 F D' L R' B U'
L2 F D' R' L B U'
B' D U L D F2 B'
B' D U L D B' F2
B' D U L B' D F2
B' D U2 L' U' L2 B'
B' D F U L F B'
B' D F U L B' F
B' D F2 R U L B'
L' F' D' R' B U' R'
R2 F2 R B' L' U L2
R' F2 U2 R B' U L
R' F2 U2 B' R U L
L' F2 D' R' B U' R'
R2 F2 B' L' R U L2
R2 F2 B' R L' U L2
R' B L' U2 B2 U L
B2 F L B U L F
B' F U D L F B'
B' F U D L B' F
R' B' L' U' L2 D2 R2
B' F D U L F B'
B' F D U L B' F
R' B' U' L D F2 R
R B' U L D F2 B2
R B' U L D B2 F2
F2 B' R U D L B'
F2 B' R D U L B'
R2 B' U2 L' R U' L2
R2 B' U2 R L' U' L2
R B' U2 L' R2 U' L2
R B' U2 R2 L' U' L2
F B' U D L F B'
F B' U D L B' F
F2 B' D R U L B'
R2 B' F2 L' R U L2
R2 B' F2 R L' U L2
F B' D U L F B'
F B' D U L B' F
B2 F2 L B R U L
F2 B2 L B R U L
F B2 L B U L F
B' F2 R U D L B'
B' F2 R D U L B'
B' F2 D R U L B'
