B2 L R2 F U'
B2 L F R2 U'
B2 R2 L F U'
B2 L R' F R' U'
B2 L R2 D F U'
B2 L R2 D' F U'
B2 L R2 D2 F U'
B2 L R2 F U' D
B2 L R2 F U' D'
B2 L R2 F U' D2
B2 L R2 F D U'
B2 L R2 F D' U'
B2 L R2 F D2 U'
B2 L D F U' B2
B2 L F R2 U' D
B2 L F R2 U' D'
B2 L F R2 U' D2
B2 L F R2 D U'
B2 L F R2 D' U'
B2 L F R2 D2 U'
B2 L F U' D B2
B2 L F D U' B2
B2 L F' R2 F2 U'
B2 R' L F R' U'
R' U2 R' F' B2 U'
R' U2 R' B2 F' U'
B2 R2 L D F U'
B2 R2 L D' F U'
B2 R2 L D2 F U'
B2 R2 L F U' D
B2 R2 L F U' D'
B2 R2 L F U' D2
B2 R2 L F D U'
B2 R2 L F D' U'
B2 R2 L F D2 U'
B2 R2 D L F U'
B2 R2 D' L F U'
B2 R2 D2 L F U'
B2 R2 F L F U'
B2 R2 F' L F U'
B2 R2 F2 L F U'
B' R2 B' L F U'
B2 D L F U' B2
L F B2 L R2 U'
L F B2 R2 L U'
B2 F L R2 F U'
B2 F L F R2 U'
B2 F R2 L F U'
B2 F' L R2 F U'
B2 F' L F R2 U'
B2 F' R2 L F U'
L' B2 L R2 F' U'
F' B2 L R2 F U'
L' B2 R2 L F' U'
F' B2 L F R2 U'
L' B2 R2 F' L U'
B2 F2 L R2 F U'
F2 B2 L R2 F U'
B2 F2 L F R2 U'
F2 B2 L F R2 U'
F B2 L R2 F U'
F B2 L F R2 U'
L B2 R2 F L U'
F' B2 R2 L F U'
B2 F2 R2 L F U'
F2 B2 R2 L F U'
R2 B2 U2 R B U
F B2 R2 L F U'
L B2 F L R2 U'
L B2 F R2 L U'
B2 L R D R F U'
B2 L R D' R F U'
B2 L R D2 R F U'
B2 L R' D R' F U'
B2 L R' D F R' U'
B2 L R' D' R' F U'
B2 L R' D' F R' U'
B2 L R' D2 R' F U'
B2 L R' D2 F R' U'
B2 L R' F R' U' D
B2 L R' F R' U' D'
B2 L R' F R' U' D2
B2 L R' F R' D U'
B2 L R' F R' D' U'
B2 L R' F R' D2 U'
B2 L R' F D R' U'
B2 L R' F D' R' U'
B2 L R' F D2 R' U'
B2 L R' F' R' F2 U'
B2 L R2 D F U' D
B2 L R2 D F U' D'
B2 L R2 D F U' D2
B2 L R2 D F D U'
B2 L R2 D F D' U'
B2 L R2 D F D2 U'
B2 L R2 D' F U' D
B2 L R2 D' F U' D'
B2 L R2 D' F U' D2
B2 L R2 D' F D U'
B2 L R2 D' F D' U'
B2 L R2 D' F D2 U'
B2 L R2 D2 F U' D
B2 L R2 D2 F U' D'
B2 L R2 D2 F U' D2
B2 L R2 D2 F D U'
B2 L R2 D2 F D' U'
B2 L R2 D2 F D2 U'
B2 L R2 F' U' D R2
B2 L R2 F' D U' R2
R' L U2 R' F B2 U'
R' L U2 R' B2 F U'
B2 L R2 F2 D F' U'
B2 L R2 F2 D' F' U'
B2 L R2 F2 D2 F' U'
R' L U2 F R' B2 U'
B2 L U2 D2 L2 B' U
B2 L D R F U' B2
B2 L D R' F U' B2
B2 L D R2 F U' B2
B2 L D F R U' B2
B2 L D F R' U' B2
B2 L D F R2 U' B2
B2 L D F U' B2 D
B2 L D F U' B2 D'
B2 L D F U' B2 D2
B2 L D F D' R2 U'
B2 L D' F U F U2
B2 L D2 U2 L2 B' U
R2 L F2 L' F' B2 U'
R2 L F2 L' B2 F' U'
B2 L D2 F U' D' B2
B2 L D2 F U2 L2 U
B2 L D2 F D' U' B2
B2 L D2 F D2 R2 U'
B2 L F R D R U'
B2 L F R D' R U'
B2 L F R D2 R U'
B2 L F R' D R' U'
B2 L F R' D' R' U'
B2 L F R' D2 R' U'
R2 L F2 B2 L' F' U'
B2 L F U D' F2 U2
B2 L F U' D B2 D
B2 L F U' D B2 D'
B2 L F U' D B2 D2
B2 L F U' B D B2
B2 L F U' B' D B2
B2 L F U' B2 D B2
B2 L F U2 D2 L2 U
B2 L F D R U' B2
B2 L F D R' U' B2
B2 L F D R2 U' B2
B2 L F D U' B2 D
B2 L F D U' B2 D'
B2 L F D U' B2 D2
B2 L F D' U F2 U2
B2 L F D2 U2 L2 U
F' L F B2 L R2 U'
B2 L F B R2 B' U'
F' L F B2 R2 L U'
F2 L F B2 L R2 U'
B L F B L R2 U'
F2 L F B2 R2 L U'
B L F B R2 L U'
B2 L F B2 R2 B2 U'
F L F B2 L R2 U'
F L F B2 R2 L U'
B2 L F' R' F2 R' U'
B2 L F' R2 U' D R2
B2 L F' R2 D U' R2
B2 L F' R2 F2 U' D
B2 L F' R2 F2 U' D'
B2 L F' R2 F2 U' D2
B2 L F' R2 F2 D U'
B2 L F' R2 F2 D' U'
B2 L F' R2 F2 D2 U'
B2 L F' U' D R2 B2
B2 L F' U' D B2 R2
B2 L F' D U' R2 B2
B2 L F' D U' B2 R2
B2 L F2 R2 U2 B U
B2 L F2 D F' U' B2
B2 L B R2 F B' U'
R2 L B2 F2 L' F' U'
B2 L B R2 B' F U'
B L B R2 F L U'
B2 L B F R2 B' U'
B L B F L R2 U'
B L B F R2 L U'
F' L B2 R2 F L U'
F2 L B2 R2 F L U'
B2 L B2 R2 F B2 U'
B2 L B2 R2 B2 F U'
F L B2 R2 F L U'
F' L B2 F L R2 U'
F' L B2 F R2 L U'
L R' U2 R' F B2 U'
L R' U2 R' B2 F U'
F2 L B2 F L R2 U'
F2 L B2 F R2 L U'
B2 L B2 F R2 B2 U'
F L B2 F L R2 U'
F L B2 F R2 L U'
L R' U2 F R' B2 U'
D2 L' R' B' L' F2 U
D L' R' B' U B' L'
B2 L' R2 F L2 F U'
B2 L' R2 F' L2 F U'
B2 L' R2 F2 L2 F U'
B2 L' F L2 R2 F U'
B2 L' F L2 F R2 U'
B2 L' F R2 L2 F U'
R2 L' B2 U2 B R U
B2 L' F' L2 R2 F U'
B2 L' F' L2 F R2 U'
B2 L' F' R2 L2 F U'
B2 L' F2 L2 R2 F U'
B2 L' F2 L2 F R2 U'
B2 L' F2 R2 L2 F U'
F' L' B2 L R2 F' U'
F2 L' B2 L R2 F' U'
F' L' B2 R2 L F' U'
F' L' B2 R2 F' L U'
F L' B2 L R2 F' U'
F2 L' B2 R2 L F' U'
F2 L' B2 R2 F' L U'
F L' B2 R2 L F' U'
F L' B2 R2 F' L U'
L2 R2 F2 L' F B2 U'
L2 R2 F2 L' B2 F U'
R2 L2 F2 L' F B2 U'
R2 L2 F2 L' B2 F U'
L R2 F2 L' F' B2 U'
L R2 F2 L' B2 F' U'
L2 R2 F2 B2 L' F U'
R2 L2 F2 B2 L' F U'
L R2 F2 B2 L' F' U'
L' R2 B2 U2 B R U
L2 R2 B2 F2 L' F U'
R2 L2 B2 F2 L' F U'
L R2 B2 F2 L' F' U'
D2 L2 F2 D2 R' B U
B2 R L D R F U'
B2 R L D' R F U'
B2 R L D2 R F U'
L U F B2 L R2 U'
L U F B2 R2 L U'
B2 R D L R F U'
B2 R D R L F U'
L' U B2 L R2 F' U'
L' U B2 R2 L F' U'
L' U B2 R2 F' L U'
B2 R D' L R F U'
B2 R D' R L F U'
L U B2 R2 F L U'
L U B2 F L R2 U'
L U B2 F R2 L U'
B2 R D2 L R F U'
B2 R D2 R L F U'
B2 R F' L F R U'
B' R B' L R F U'
B' R B' R L F U'
B2 R' L D R' F U'
B2 R' L D F R' U'
B2 R' L D' R' F U'
B2 R' L D' F R' U'
B2 R' L D2 R' F U'
B2 R' L D2 F R' U'
B2 R' L F R' U' D
B2 R' L F R' U' D'
B2 R' L F R' U' D2
B2 R' L F R' D U'
B2 R' L F R' D' U'
B2 R' L F R' D2 U'
B2 R' L F D R' U'
B2 R' L F D' R' U'
B2 R' L F D2 R' U'
B2 R' L F' R' F2 U'
