B L U F' L' U F'
B' R U' F2 B L R2
B' R U' F2 B R2 L
B' R U' B L R2 F2
B' R U' B L F2 R2
B' R U' B R2 L F2
B' R U' B R2 F2 L
B' R U' B F2 L R2
B' R U' B F2 R2 L
B2 R U' F2 B L R'
B2 R U' F2 B R' L
B2 R U' B L R' F2
B2 R U' B L F2 R'
B2 R U' B R' L F2
B2 R U' B R' F2 L
B2 R U' B F2 L R'
B2 R U' B F2 R' L
B' R' F2 L2 D B' L
B' R' F2 D L2 B' L
B2 R2 B U' R' F2 B
B2 R2 B U' R' B F2
B2 R2 B U' F2 R' B
B' U F' L' U F' R'
U F' L' U F R F2
D F' R2 B' U R' B
R' F2 L2 D B' L R'
R' F2 L2 D B' R' L
R' F2 D L2 B' L R'
R' F2 D L2 B' R' L
R2 F2 B' R' D L2 B
R2 F2 B' R' D B L2
R2 B U' F2 B2 R' B
R2 B U' B2 R' F2 B
R2 B U' B2 R' B F2
R2 B U' B2 F2 R' B
R2 B' R' F2 D L2 B
R2 B' R' F2 D B L2
R2 B' F2 R' D L2 B
R2 B' F2 R' D B L2
