D2 L2 F U R2 F2
D2 L2 F U F2 R2
B' R2 U L2 B U2
B' R2 U B L2 U2
B' R2 U' D2 R2 F'
B' R2 D2 U' R2 F'
B' D F2 U' F B2
B' D F2 U' B2 F
D F2 B' U' F B'
D F2 B' U' B' F
R2 B' U L2 B2 U2
R2 B' U B2 L2 U2
R2 B' U' D2 R2 F2
R2 B' U' D2 F2 R2
R2 B' D L2 F2 U'
R2 B' D F2 L2 U'
R2 B' D2 U' R2 F2
R2 B' D2 U' F2 R2
D B' F2 U' F B'
D B' F2 U' B' F
R2 L U L B U2 L
B' L R2 U L B U2
B' L U' D F' B2 R'
B' L U' D B2 F' R'
B' L U' F' D B2 R'
B' L D U' F' B2 R'
B' L D U' B2 F' R'
B L D F' B2 L2 R'
B L D F' B2 R' L2
B L D B2 L2 F' R'
B L D B2 F' L2 R'
B L D B2 F' R' L2
B L F' D B2 L2 R'
B L F' D B2 R' L2
B' L' R2 U L' B U2
B' L' R2 U B L' U2
B L' D L2 F' B2 R'
B L' D L2 B2 F' R'
L R2 U L B U2 L
B' L' F2 R2 U' R' F
B' L' F2 R2 U' F R'
D2 L2 U F' R2 D' L2
B L2 U2 D L2 F' B2
B L2 U2 D L2 B2 F'
B L2 U2 D F' L2 B2
B L2 U2 D F' B2 L2
B L2 U2 D B2 L2 F'
B L2 U2 D B2 F' L2
B L2 U2 F' D L2 B2
B L2 U2 F' D B2 L2
D2 L2 D F B2 U F2
D2 L2 D B2 F U F2
B L2 D U2 L2 F' B2
B L2 D U2 L2 B2 F'
B L2 D U2 F' L2 B2
B L2 D U2 F' B2 L2
B L2 D U2 B2 L2 F'
B L2 D U2 B2 F' L2
B L2 D' R2 F2 B U2
B L2 D' R2 B F2 U2
B L2 D' F2 R2 U2 F
D2 L2 F R U R F2
D2 L2 F R' U R' F2
D2 L2 F R' U F2 R'
D2 L2 F U R' F2 R'
D2 L2 F U R2 F2 D
D2 L2 F U R2 F2 D'
D2 L2 F U R2 F2 D2
D2 L2 F U F R2 F
D2 L2 F U F2 R2 D
D2 L2 F U F2 R2 D'
D2 L2 F U F2 R2 D2
D2 L2 F D R2 B2 U
D2 L2 F D B2 R2 U
D2 L2 F B U R2 F2
D2 L2 F B U F2 R2
D2 L2 F B' U R2 F2
D2 L2 F B' U F2 R2
D2 L2 F B2 U R2 F2
D2 L2 F B2 U F2 R2
D' L2 F' D' L2 R2 B
D' L2 F' D' R2 L2 B
D' L2 F' D' R2 B L2
R2 U L2 B U F U
D2 L2 B F U R2 F2
D2 L2 B F U F2 R2
D2 L2 B' F U R2 F2
D2 L2 B' F U F2 R2
L2 U D F U F2 B2
L2 U D F U B2 F2
D2 L2 B2 F U R2 F2
D2 L2 B2 F U F2 R2
L2 U D2 F L2 U F2
L2 U F U F2 D B2
L2 U F U2 R2 U' F2
L2 U F D R2 U B2
R2 U B L2 U' B2 U'
R2 U B L2 U2 D L2
R2 U B L2 D U2 L2
R2 U B L2 D' R2 U2
L U' D F' B2 L' R'
L U' D F' B2 R' L'
L U' D B2 F' L' R'
L U' D B2 F' R' L'
L U' F' D B2 L' R'
L U' F' D B2 R' L'
L2 U2 D F' B2 D' L2
L2 U2 D B2 F' D' L2
B' R2 L U L B U2
B' R2 L' U L' B U2
B' R2 L' U B L' U2
L2 U2 D2 F' D' L2 B2
L2 U2 D2 F' D' B2 L2
B' R2 U L' B L' U2
B' R2 U L2 D B U2
B' R2 U L2 D' B U2
B' R2 U L2 D2 B U2
B' R2 U L2 B U2 D
B' R2 U L2 B U2 D'
B' R2 U L2 B U2 D2
B' R2 U L2 B D U2
B' R2 U L2 B D' U2
B' R2 U L2 B D2 U2
B' R2 U D2 B U2 R2
L2 U2 F' D B2 D2 L2
L2 U2 F' D' L2 D2 B2
B' R2 U B L2 U2 D
B' R2 U B L2 U2 D'
B' R2 U B L2 U2 D2
B' R2 U B L2 D U2
B' R2 U B L2 D' U2
B' R2 U B L2 D2 U2
B' R2 U B U2 D2 R2
B' R2 U B D2 U2 R2
B' R2 U B' L2 B2 U2
B' R2 U B2 L2 U2 F
B' R2 U' R2 D2 F' R2
B' R2 U' R2 F' D2 R2
B' R2 U' D2 R2 D F'
B' R2 U' D2 R2 D' F'
B' R2 U' D2 R2 D2 F'
B' R2 U' D2 R2 F' D
B' R2 U' D2 R2 F' D'
B' R2 U' D2 R2 F' D2
B' R2 U' D2 F R2 F'
B' R2 U' D2 F' R2 F'
B' R2 U' D2 F2 R2 F'
B' R2 U' F D2 R2 F'
B' R2 U' F' D2 R2 F'
B' R2 U' F2 D2 R2 F'
B' R2 D F2 U B U2
F' R2 D F2 B' U' F2
F' R2 D B' F2 U' F2
F2 R2 D F2 B' U' F'
F2 R2 D B' F2 U' F'
B' R2 D2 L U' R2 F'
B' R2 D2 L' U' R2 F'
B' R2 D2 L2 U' R2 F'
B' R2 D2 U B U2 R2
B' R2 D2 U' R2 D F'
B' R2 D2 U' R2 D' F'
B' R2 D2 U' R2 D2 F'
B' R2 D2 U' R2 F' D
B' R2 D2 U' R2 F' D'
B' R2 D2 U' R2 F' D2
B' R2 D2 U' F R2 F'
B' R2 D2 U' F' R2 F'
B' R2 D2 U' F2 R2 F'
B' R2 D2 F U' R2 F'
B' R2 D2 F' U' R2 F'
B' R2 D2 F2 U' R2 F'
F R2 D' B' L2 F U'
F2 R2 D2 B' U' R2 F
F2 R2 D2 B' U' F R2
B' R2 F U L2 B U2
B' R2 F U B L2 U2
B' R2 F U' D2 R2 F'
B' R2 F D2 U' R2 F'
B' R2 F' U L2 B U2
B' R2 F' U B L2 U2
B' R2 F' U' D2 R2 F'
B' R2 F' D2 U' R2 F'
B' R2 F2 U L2 B U2
B' R2 F2 U B L2 U2
B' R2 F2 U' D2 R2 F'
B' R2 F2 D2 U' R2 F'
R' D R' F2 B' L U'
R' D R' B' L F2 U'
R' D R' B' F2 L U'
U' R2 B' U L2 B2 U2
U' R2 B' U B2 L2 U2
U' R2 B' U' D2 R2 F2
U' R2 B' U' D2 F2 R2
U' R2 B' D L2 F2 U'
U' R2 B' D F2 L2 U'
F' R2 B' D F2 U' F2
F2 R2 B' U L2 B' U2
U' R2 B' D2 U' R2 F2
U' R2 B' D2 U' F2 R2
F2 R2 B' U' D2 R2 F
F2 R2 B' U' D2 F R2
F2 R2 B' U' F D2 R2
U2 R2 B' U L2 B2 U2
U2 R2 B' U B2 L2 U2
U2 R2 B' U' D2 R2 F2
U2 R2 B' U' D2 F2 R2
F2 R2 B' D F2 U' F'
U2 R2 B' D L2 F2 U'
U2 R2 B' D F2 L2 U'
F2 R2 B' D2 U' R2 F
F2 R2 B' D2 U' F R2
F R2 B' L' U' F2 R
U2 R2 B' D2 U' R2 F2
U2 R2 B' D2 U' F2 R2
F R2 B' U L2 U2 F2
L2 D U F U F2 B2
L2 D U F U B2 F2
F R2 B' U' F2 D2 R2
U R2 B' U L2 B2 U2
U R2 B' U B2 L2 U2
U R2 B' U' D2 R2 F2
U R2 B' U' D2 F2 R2
U R2 B' D L2 F2 U'
U R2 B' D F2 L2 U'
U R2 B' D2 U' R2 F2
U R2 B' D2 U' F2 R2
B R2 B2 U L2 U2 F
B R2 B2 U B' L2 U2
L D U' F' B2 L' R'
L D U' F' B2 R' L'
L2 D U2 F' B2 D' L2
L D U' B2 F' L' R'
L D U' B2 F' R' L'
L2 D U2 B2 F' D' L2
B' U L2 U2 D F' B2
B' U L2 U2 D B2 F'
B' U L2 U2 F' D B2
B' U L2 D U2 F' B2
B' U L2 D U2 B2 F'
B' U L2 D' F2 U2 F
D2 U L2 F U R2 F2
D2 U L2 F U F2 R2
R' D F2 R' B' L U'
R2 D F2 B' U B2 U2
R2 D F2 B' U' D2 F2
R2 D F2 B' D L2 U'
R2 D F2 B' D2 U' F2
F' U R2 D F2 B' U'
F' U R2 D B' F2 U'
F' U R2 D2 B' U' R2
F' U R2 B' U L2 U2
F' U R2 B' U' D2 R2
F' U R2 B' D F2 U'
F' U R2 B' D2 U' R2
R2 D B' D L2 U' R2
F' U D F2 B' U' B'
R2 D B' F2 U B2 U2
R2 D B' F2 U' D2 F2
R2 D B' F2 D L2 U'
R2 D B' F2 D2 U' F2
F' U D B' F2 U' B'
U' D F2 B' U' F B'
U' D F2 B' U' B' F
U2 D F2 B' U' F B'
U2 D F2 B' U' B' F
D U F2 B' U' F B'
D U F2 B' U' B' F
U D F2 B' U' F B'
U D F2 B' U' B' F
U' D B' F2 U' F B'
U' D B' F2 U' B' F
U2 D B' F2 U' F B'
U2 D B' F2 U' B' F
D U B' F2 U' F B'
D U B' F2 U' B' F
U D B' F2 U' F B'
U D B' F2 U' B' F
F' U B' R2 U L2 U2
F' U B' R2 U' D2 R2
F' U B' R2 D F2 U'
F' U B' R2 D2 U' R2
F' U B' D F2 U' B2
D2 U' L2 F U R2 F2
D2 U' L2 F U F2 R2
L2 D' F2 U F' U F2
L2 D' F2 U2 F D' L2
R2 D' B' D L2 F U'
B' U' D B2 D F' R2
B' U' D' F' D' R2 B
D U' F2 B' U' F B'
D U' F2 B' U' B' F
F' U' D2 L2 F U R2
R2 D2 L U' R2 F' L'
B' U' D2 F' R2 D' B2
D U' B' F2 U' F B'
D U' B' F2 U' B' F
B' U' F' D B2 D R2
B' U' F' D2 R2 D' B2
U' D2 L2 F U R2 F2
U' D2 L2 F U F2 R2
D2 U2 L2 F U R2 F2
D2 U2 L2 F U F2 R2
U2 D2 L2 F U R2 F2
U2 D2 L2 F U F2 R2
U D2 L2 F U R2 F2
U D2 L2 F U F2 R2
L2 D2 U F L2 U F2
L2 D2 U2 F' D' L2 B2
L2 D2 U2 F' D' B2 L2
D U2 F2 B' U' F B'
D U2 F2 B' U' B' F
R2 D2 B' U B2 U2 R2
R2 D2 B' U' R2 D2 F2
D U2 B' F2 U' F B'
D U2 B' F2 U' B' F
B' U2 D2 L2 U F' R2
D2 F L2 F U R2 F
D2 F L2 F U F R2
B' D L F2 U' F B2
B' D L F2 U' B2 F
L2 F U2 R2 U' R2 F2
L2 F U2 R2 U' F2 R2
B' D L' F2 U' F B2
B' D L' F2 U' B2 F
B' D L2 F2 U' F B2
B' D L2 F2 U' B2 F
B D L2 B2 D F' R2
F' D U F2 B' U' B'
R2 F B' U L2 B2 U2
R2 F B' U B2 L2 U2
R2 F B' U' D2 R2 F2
R2 F B' U' D2 F2 R2
F' D U B' F2 U' B'
R2 F B' D L2 F2 U'
R2 F B' D F2 L2 U'
R2 F B' D2 U' R2 F2
R2 F B' D2 U' F2 R2
B' D U' B2 D F' R2
D2 F' L2 F U F' R2
B' D F2 R U' F B2
B' D F2 R U' B2 F
B' D F2 R' U' F B2
B' D F2 R' U' B2 F
B' D F2 R2 U' F B2
B' D F2 R2 U' B2 F
B' D F2 U' F B2 D
B' D F2 U' F B2 D'
B' D F2 U' F B2 D2
B' D F2 U' B2 D F
B' D F2 U' B2 D' F
B' D F2 U' B2 D2 F
B' D F2 U' B2 F D
B' D F2 U' B2 F D'
B' D F2 U' B2 F D2
B' D F2 D' R2 U' F
F' D F2 B' U' F2 B'
F' D F2 B' U' B' F2
B2 D F2 B U' F B
B2 D F2 B U' B F
F2 D F2 B' U' F' B'
F2 D F2 B' U' B' F'
D2 F' R2 U' L2 F U
F' D B D L2 B R2
B D F2 U' F L2 B2
B D F2 U' F B2 L2
B D F2 U' B2 F L2
F' D B D B L2 R2
F' D B D B R2 L2
B2 D B F2 U' F B
B2 D B F2 U' B F
F' D B' F2 U' F2 B'
F' D B' F2 U' B' F2
F2 D B' F2 U' F' B'
F2 D B' F2 U' B' F'
B' D B2 D L2 F' R2
B' D B2 D F' L2 R2
B' D B2 D F' R2 L2
D2 F' U' L2 F U R2
F' D B2 U F2 B U'
F' D B2 U B F2 U'
B D B2 L2 D F' R2
D F' U F' B' U' B'
D F' U B' F' U' B'
D' F' D' R2 B D L2
L2 F' D' L2 D2 R2 B2
L2 F' D' L2 D2 B2 R2
L2 F' D' F2 U2 L2 F2
L2 F' D' F2 U2 F2 L2
R2 F' B' U L2 B2 U2
R2 F' B' U B2 L2 U2
R2 F' B' U' D2 R2 F2
R2 F' B' U' D2 F2 R2
R2 F' B' D L2 F2 U'
R2 F' B' D F2 L2 U'
R2 F' B' D2 U' R2 F2
R2 F' B' D2 U' F2 R2
B' D' U' F' D' R2 B
D F' B2 U F' B U'
D F' B2 U B F' U'
D F2 R B' U' F B'
D F2 R B' U' B' F
D F2 R' B' U' F B'
D F2 R' B' U' B' F
D F2 R2 B' U' F B'
D F2 R2 B' U' B' F
L2 F2 U' R2 B U' F
L' F2 D R F L' B2
L' F2 D R F B2 L'
L' F2 D R B2 F L'
L' F2 D B2 R F L'
F' D2 L2 F U F' R2
B D2 L2 F2 U R2 F
B D2 L2 F2 U F R2
D F2 D' R2 B' U' F
D F2 D' B' R2 U' F
F' D2 R2 U' L2 F U
B D2 R2 D' B2 L2 F
R2 F2 B' U L2 B2 U2
D F2 B' R U' F B'
D F2 B' R U' B' F
R2 F2 B' U B2 L2 U2
D F2 B' R' U' F B'
D F2 B' R' U' B' F
R2 F2 B' U' D2 R2 F2
R2 F2 B' U' D2 F2 R2
D F2 B' R2 U' F B'
D F2 B' R2 U' B' F
R2 F2 B' D L2 F2 U'
F' D2 U' L2 F U R2
R2 F2 B' D F2 L2 U'
B' D2 U' F' R2 D' B2
D F2 B' U' D F B'
D F2 B' U' D B' F
D F2 B' U' D' F B'
D F2 B' U' D' B' F
D F2 B' U' D2 F B'
D F2 B' U' D2 B' F
D F2 B' U' F D B'
D F2 B' U' F D' B'
D F2 B' U' F D2 B'
D F2 B' U' F B' D
D F2 B' U' F B' D'
D F2 B' U' F B' D2
D F2 B' U' B' D F
D F2 B' U' B' D' F
D F2 B' U' B' D2 F
D F2 B' U' B' F D
D F2 B' U' B' F D'
D F2 B' U' B' F D2
R2 F2 B' D2 U' R2 F2
R2 F2 B' D2 U' F2 R2
D F2 B' D U' F B'
D F2 B' D U' B' F
D F2 B' D' U' F B'
D F2 B' D' U' B' F
D F2 B' D2 U' F B'
D F2 B' D2 U' B' F
B' D2 U2 L2 U F' R2
R2 B L2 U' B2 U' B2
F' B L D B2 L2 R'
F' B L D B2 R' L2
B' F L' R2 U' F2 R
F' B L' D L2 B2 R'
D B D L2 F' B R2
D B D L2 B F' R2
D B D F' L2 B R2
D B D F' B L2 R2
D B D F' B R2 L2
D B D B L2 F' R2
D B D B F' L2 R2
D B D B F' R2 L2
B' F R2 L' U' F2 R
B' F R2 U L2 U2 F2
B' F R2 U' F2 D2 R2
R2 B' L U L B2 U2
R2 B' L U B2 U2 R'
F' B D L2 B2 D R2
R2 B' L' U L' B2 U2
R2 B' L' U B2 L' U2
R2 B' L' U' D2 F2 R
R2 B' L' D2 U' F2 R
F' B D B2 L2 D R2
F' B D2 R2 D' L2 B2
F' B D2 R2 D' B2 L2
U' B' R2 U L2 B U2
U' B' R2 U B L2 U2
U' B' R2 U' D2 R2 F'
U' B' R2 D2 U' R2 F'
R B' R U L2 B U2
R B' R U B L2 U2
R B' R U' D2 R2 F'
U2 B' R2 U L2 B U2
U2 B' R2 U B L2 U2
U2 B' R2 U' D2 R2 F'
R B' R D2 U' R2 F'
U2 B' R2 D2 U' R2 F'
B F' L D B2 L2 R'
B F' L D B2 R' L2
U B' R2 U L2 B U2
R2 B' U L B2 U2 R'
U B' R2 U B L2 U2
R2 B' U L' B2 L' U2
U B' R2 U' D2 R2 F'
R2 B' U L2 U2 D2 F2
R2 B' U L2 D2 U2 F2
R2 B' U L2 B2 U2 D
R2 B' U L2 B2 U2 D'
R2 B' U L2 B2 U2 D2
R2 B' U L2 B2 D U2
