F2 L2 F U' L' B'
L2 F U R U2 B
L2 R F U R U2 B
B L F' B2 R' U L'
B L B2 R' F' U L'
B L B2 F' R' U L'
L2 R' F U R U2 B
F2 L2 R F U' L' B'
R' L2 F U R U2 B
F2 L2 R' F U' L' B'
L2 R2 F U R U2 B
R2 L2 F U R U2 B
R L2 F U R U2 B
F2 L2 R2 F U' L' B'
F2 L2 F R U' L' B'
U2 L2 F R B U' L
F2 L2 F R' U' L' B'
F' L2 F U' L' B' L2
U' L2 F U' B L B'
F2 L2 F R2 U' L' B'
F2 L2 F U' L' D B'
F2 L2 F U' L' D' B'
F2 L2 F U' L' D2 B'
F2 L2 F U' L' B' D
F2 L2 F U' L' B' D'
F2 L2 F U' L' B' D2
F2 L2 F U' D L' B'
F2 L2 F U' D' L' B'
F2 L2 F U' D2 L' B'
F2 L2 F U' B L' B'
F2 L2 F U' B' L' B'
F2 L2 F U' B2 L' B'
F2 L2 F D U' L' B'
F2 L2 F D' U' L' B'
F2 L2 F D2 U' L' B'
U2 L2 F B R U' L
F2 L2 F B' R' U' L'
U2 L2 B F R U' L
F2 L2 B' R' F U' L'
F2 L2 B' F R' U' L'
F2 R L2 F U' L' B'
F2 R' L2 F U' L' B'
F2 R2 L2 F U' L' B'
B U L F B2 R' U
B U L B2 R' F U
B U L B2 F R' U
L2 D F U R U2 B
L2 D' F U R U2 B
B U' L B2 R' F' U
F' U' L2 F U' L B'
L2 D2 F U R U2 B
B' U2 L2 R' B U' L
F' U2 L2 F R U' L
F2 U2 L2 F R U' L'
B' U2 R' L2 B U' L
B' U2 R' B L2 U' L'
B' U2 B L2 U' L' B'
L2 F R2 U R' F' U2
L2 F U R U2 D B
L2 F U R U2 D' B
L2 F U R U2 D2 B
L2 F U R U2 B D
L2 F U R U2 B D'
L2 F U R U2 B D2
L2 F U R D U2 B
L2 F U R D' U2 B
L2 F U R D2 U2 B
L2 F U R F U2 B
L2 F U R F' U2 B
L2 F U R F2 U2 B
L2 F U R' F' R2 U2
L2 F U D R U2 B
L2 F U D' R U2 B
L2 F U D2 R U2 B
L2 F U F2 U2 L' B'
L2 F U' F2 L' F2 B'
L2 F U' F2 L' B' F2
L2 F D U R U2 B
L2 F D' U R U2 B
L2 F D2 U R U2 B
L2 F B' R' U R2 U2
L2 F B' R' U' D2 L2
L2 F B' R' D B2 U'
L2 F B' R' D2 U' L2
L2 F' U' L' D R2 B'
L2 F' U' L' D B' R2
L2 F' U' L' B' D R2
L2 F' U' D L' R2 B'
L2 F' U' D L' B' R2
L2 F' U' D R2 L' B'
L2 F' D U' L' R2 B'
L2 F' D U' L' B' R2
L2 F' D U' R2 L' B'
R' F2 L2 F U' L' B'
L F2 L F U' L' B'
R2 F2 L2 F U' L' B'
R F2 L2 F U' L' B'
B' D2 R2 F' U L' B'
F' B L B2 R' U L2
L2 B' R' F U R U2
D2 B' R2 F' U L' B'
B F' L B2 R' U L2
B' F' U2 L2 R' U' L
B' F' U2 R' L2 U' L
L2 B' F R' U R2 U2
L2 B' F R' U' D2 L2
L2 B' F R' D B2 U'
L2 B' F R' D2 U' L2
F' B' U2 L2 R' U' L
F' B' U2 R' L2 U' L
