B R' B2 D F2 L'
B U' L2 U' R' B2
B U2 R' B2 D F2
B' D' L B2 U2 B2
B' D' B2 U2 R' B2
U2 B R' B2 D F2
D' B2 U2 D B R'
D' B2 D U2 B R'
B' L U' L U2 L' U
B2 L U' L F U' B
B L U' L U' R' B2
B' L B2 U R' U B2
B L' U' L' U' R' B2
B L2 R U' B2 L R2
B L2 R U' B2 R2 L
U' L2 U D2 F L' U2
U2 L2 U' L2 B R' B2
B L2 U' R' B2 D L2
U2 L2 U' B L2 R' B'
U2 L2 U' B R' L2 B'
U2 L2 U' B2 L2 B' R'
U' L2 D2 U F L' U2
D2 L2 F L' U R2 U
D2 L2 F L' U2 D' F2
D2 L2 F L' D B2 U2
D2 L2 F L' D' U2 F2
D2 L2 F U2 D' F2 R
D2 L2 F D L' B2 U2
D2 L2 F D B2 L' U2
D2 L2 F D' L' U2 F2
D2 L2 F D' U2 F2 R
U' L2 F2 R2 U' B R'
U' L2 F2 U' R2 B R'
U2 L2 B U' L2 R' B'
U2 L2 B U' R' L2 B'
D' L2 B2 D' F L' U2
B R L2 U' B2 L R2
B R L2 U' B2 R2 L
L U' L U' R B R'
U2 R B R' B2 D F2
B R B2 R2 D L F2
B R B2 R2 D F2 L
B' R' D L2 F2 L' R
B' R' D L2 F2 R L'
B' R' D F2 L' D2 R2
B R' D F2 D' L' B2
B R' D F2 D' B2 L'
L2 U' B2 D L2 B' R'
B R' F2 B2 D L' F2
U2 R' B R' B2 D F2
B R' B D F2 L' B
B R' B D F2 B L'
B R' B D B F2 L'
B R' B' D F2 B' L'
B R' B' D B' F2 L'
B R' B2 D L F2 L'
B R' B2 D L' F2 L'
B R' B2 D L2 F2 L'
B R' B2 D F2 L' D
B R' B2 D F2 L' D'
B R' B2 D F2 L' D2
B R' B2 D F2 D L'
B R' B2 D F2 D' L'
B R' B2 D F2 D2 L'
B R' B2 F2 D L' F2
B' R2 D2 L2 D' F2 R
U2 R2 B R' B2 D F2
B R2 B2 R D F2 L'
B' U L2 U L' U2 L
B U D L2 U R' F2
B U D L2 U F2 R'
U2 D F' D F' R B'
U2 D F' D F' B' R
U2 D F' D B' F' R
U2 D F' B' D F' R
U2 D F2 D' B R' B2
U2 D F2 B2 D' B R'
U2 D B' F' D F' R
U2 D B2 F2 D' B R'
B2 U' L F L U' B
B2 U' L2 U' D' B R'
B2 U' L2 D' U' B R'
B U' L2 R U' R2 B2
B U' L2 R U' B2 R2
B U' L2 R2 U' R B2
B U' L2 R2 U' B2 R
B U' L2 U' R B2 R2
B U' L2 U' R' B2 D
B U' L2 U' R' B2 D'
B U' L2 U' R' B2 D2
B U' L2 U' R2 B2 R
B U' L2 D' R2 U' R
B U' L2 F U' R' B2
B U' L2 F' U' R' B2
B U' L2 F2 U' R' B2
B U' R L2 U' R2 B2
B U' R L2 U' B2 R2
B U' R' B2 D L2 F2
B U' R' B2 D F2 L2
B U' R2 L2 U' R B2
B U' R2 L2 U' B2 R
B U' F L2 U' R' B2
B U' F' L2 U' R' B2
B U' F2 L2 U' R' B2
B' U2 L U' L U' L2
B' U2 L U2 L' D F2
B U' B2 D L2 F2 R
D2 U2 F D' F2 R B'
D2 U2 F D' F2 B' R
D2 U2 F D' B' F2 R
L2 D2 F L' U' L U'
D2 U2 F B' D' F2 R
U2 D2 F D' F2 R B'
U2 D2 F D' F2 B' R
U2 D2 F D' B' F2 R
U2 D2 F B' D' F2 R
D2 U2 F' D' R F2 B'
D2 U2 F' D' R B' F2
D2 U2 F' D' B' R F2
D2 U2 F' B' D' R F2
U2 D2 F' D' R F2 B'
U2 D2 F' D' R B' F2
U2 D2 F' D' B' R F2
B U2 L2 U' L2 R' B2
B U2 L2 U' R' L2 B2
B U2 L2 U' R' B2 L2
U2 D2 F' B' D' R F2
D U2 F' D F' R B'
D U2 F' D F' B' R
D U2 F' D B' F' R
D U2 F' B' D F' R
D U2 F2 D' B R' B2
D U2 F2 B2 D' B R'
B U2 R B2 R2 D F2
B U2 R' U L2 U' B2
B U2 R' D F2 D' B2
D2 U2 B' F D' F2 R
B U2 R' F B2 D F2
D2 U2 B' F' D' R F2
B U2 R' F' B2 D F2
B U2 R' F2 B2 D F2
B' U2 D L U2 L' F2
B U2 R' B D F2 B
B U2 R' B D B F2
B U2 R' B' D F2 B'
B U2 R' B' D B' F2
B U2 R' B2 U L2 U'
B U2 R' B2 D F2 D
B U2 R' B2 D F2 D'
B U2 R' B2 D F2 D2
B U2 R' B2 F D F2
B U2 R' B2 F' D F2
B U2 R' B2 F2 D F2
U2 D2 B' F D' F2 R
