R' U R' B L U
R' L F U R' B U
R2 L B U' R F U2
L' R' U R' B U B2
R' L' U R' B U B2
B' L' R2 B U B2 L
B2 L' R2 B U L2 B2
B2 L' R2 B U B2 L2
B L' R2 B U L B2
L R' F U R' B U
R2 L' F2 B U L' B2
R2 L' F2 B U B2 L'
R2 L' B U' R U2 B2
R2 L' B F2 U L' B2
R2 L' B F2 U B2 L'
B L2 R2 B U L B'
L' R2 F2 B U L' B2
L' R2 F2 B U B2 L'
L' R2 B U' R U2 B2
L' R2 B F2 U L' B2
L' R2 B F2 U B2 L'
L R2 B U' R F U2
R' U L R' B L U
R' U L' R' B L U
R' U L2 R' B L U
D2 L2 F' U' B2 L B'
D2 L2 F' B2 U' L B'
R' U R' L B L U
R' U R' L' B L U
R' U R' L2 B L U
R' U R' D B L U
R' U R' D' B L U
R' U R' D2 B L U
R' U R' B L U D
R' U R' B L U D'
R' U R' B L U D2
R' U R' B L D U
R' U R' B L D' U
R' U R' B L D2 U
R' U R' B D L U
R' U R' B D' L U
R' U R' B D2 L U
D2 L2 B2 F' U' L B'
U2 R' F' U R' B U
B' R2 L' B U B2 L
B2 R2 L' B U L2 B2
B2 R2 L' B U B2 L2
B R2 L' B U L B2
B R2 L2 B U L B'
D' R2 F2 L' B' D' R2
B2 R2 B L' U B' L
U' R2 B U' R U2 B
B R2 B L' U B' L2
U2 R2 B U' R F' U2
U R2 F2 B L U L2
U R2 B L U' R U2
U R2 B L F2 U L'
U R2 B F2 L U L2
F' U2 R2 U' R F' U2
R' F U R' B L U
D2 F D R2 F2 L' B'
L F D R' B2 L U2
L F D B2 U2 L R2
L F D B2 U2 R2 L
L F D' L2 R' U2 F2
L F D' R' L2 U2 F2
F D R' B2 L F U2
F D R2 D2 F2 L' B'
D2 F' L2 U' B2 L B'
D2 F' L2 B2 U' L B'
R' F' U R' B L U
L F' D2 L2 U' B2 L
R2 F2 L B U L2 B'
R' F2 U R' B L U
F' D2 L2 U' B2 L B'
F' D2 L2 B2 U' L B'
R2 F2 B L U L2 B'
R2 F2 B L2 U L B'
R2 B L U' R F U2
U B L R2 B U L
R2 B L' U' R U2 B'
R2 B L' F2 U B' L'
L' B R2 B U L B
L2 B R2 B U L B'
U B R2 L B U L
R2 B F2 L U L2 B'
R2 B F2 L2 U L B'
